ward,precinct,total,MARVIN MCNEIL,MARVIN MCNEIL Percent,JEFFREY BAKER,JEFFREY BAKER Percent,"HOWARD B. BROOKINS, JR.","HOWARD B. BROOKINS, JR. Percent","JOSEPH C. ZIEGLER, JR.","JOSEPH C. ZIEGLER, JR. Percent",DORIS LEWIS BROOKS,DORIS LEWIS BROOKS Percent,PATRICIA A. FOSTER,PATRICIA A. FOSTER Percent,KEN LEWIS,KEN LEWIS Percent,precinct_id
21,40,209,39,18.66,18,8.61,102,48.8,14,6.7,23,11.0,11,5.26,2,0.96,21040
21,41,261,25,9.58,4,1.53,140,53.64,31,11.88,42,16.09,15,5.75,4,1.53,21041
21,42,287,24,8.36,7,2.44,103,35.89,18,6.27,38,13.24,17,5.92,80,27.87,21042
21,43,247,52,21.05,13,5.26,94,38.06,9,3.64,33,13.36,41,16.6,5,2.02,21043
21,44,255,46,18.04,41,16.08,106,41.57,13,5.1,28,10.98,14,5.49,7,2.75,21044
21,45,245,36,14.69,7,2.86,104,42.45,23,9.39,38,15.51,26,10.61,11,4.49,21045
21,46,265,39,14.72,16,6.04,118,44.53,29,10.94,29,10.94,25,9.43,9,3.4,21046
21,47,213,11,5.16,10,4.69,71,33.33,13,6.1,18,8.45,90,42.25,0,0.0,21047
21,48,251,9,3.59,11,4.38,100,39.84,24,9.56,21,8.37,59,23.51,27,10.76,21048
21,49,279,38,13.62,9,3.23,114,40.86,25,8.96,27,9.68,19,6.81,47,16.85,21049
21,50,216,26,12.04,8,3.7,89,41.2,9,4.17,37,17.13,25,11.57,22,10.19,21050
21,51,281,50,17.79,5,1.78,136,48.4,17,6.05,41,14.59,30,10.68,2,0.71,21051
21,52,261,17,6.51,10,3.83,120,45.98,23,8.81,24,9.2,65,24.9,2,0.77,21052
21,53,189,43,22.75,12,6.35,100,52.91,15,7.94,0,0.0,15,7.94,4,2.12,21053
21,54,198,18,9.09,9,4.55,97,48.99,12,6.06,25,12.63,30,15.15,7,3.54,21054
