ward,precinct,total,COLLEEN MARY DILLON,COLLEEN MARY DILLON Percent,DANIEL MARTIN,DANIEL MARTIN Percent,COLLEEN MURPHY,COLLEEN MURPHY Percent,JOHN M MARCATANTE,JOHN M MARCATANTE Percent,"TRISHA LYNN KANNON LLOYD """"TRISHA KANNON""""","TRISHA LYNN KANNON LLOYD """"TRISHA KANNON"""" Percent",DANIEL BUTTERWORTH,DANIEL BUTTERWORTH Percent,precinct_id
38,21,1343,178,13.25,198,14.74,238,17.72,84,6.25,111,8.27,273,20.33,38021
38,22,821,118,14.37,125,15.23,125,15.23,52,6.33,71,8.65,126,15.35,38022
38,23,1212,162,13.37,176,14.52,229,18.89,98,8.09,102,8.42,213,17.57,38023
38,24,1286,205,15.94,190,14.77,234,18.2,70,5.44,115,8.94,235,18.27,38024
38,25,1343,179,13.33,138,10.28,224,16.68,67,4.99,160,11.91,285,21.22,38025
39,14,123,26,21.14,18,14.63,26,21.14,6,4.88,13,10.57,11,8.94,39014
39,17,1784,359,20.12,296,16.59,320,17.94,156,8.74,187,10.48,228,12.78,39017
39,18,768,182,23.7,96,12.5,148,19.27,79,10.29,70,9.11,117,15.23,39018
39,20,1037,185,17.84,184,17.74,206,19.86,90,8.68,99,9.55,139,13.4,39020
39,23,159,29,18.24,24,15.09,31,19.5,12,7.55,22,13.84,20,12.58,39023
39,32,1681,288,17.13,253,15.05,316,18.8,125,7.44,188,11.18,239,14.22,39032
39,33,644,106,16.46,94,14.6,127,19.72,51,7.92,71,11.02,101,15.68,39033
39,34,744,140,18.82,115,15.46,148,19.89,60,8.06,82,11.02,98,13.17,39034
41,1,817,164,20.07,157,19.22,125,15.3,82,10.04,72,8.81,87,10.65,41001
41,2,466,105,22.53,91,19.53,68,14.59,55,11.8,58,12.45,38,8.15,41002
41,3,468,98,20.94,75,16.03,67,14.32,56,11.97,47,10.04,47,10.04,41003
41,4,1032,260,25.19,216,20.93,133,12.89,111,10.76,149,14.44,75,7.27,41004
41,5,1138,260,22.85,221,19.42,171,15.03,96,8.44,147,12.92,126,11.07,41005
41,6,1065,257,24.13,200,18.78,159,14.93,91,8.54,132,12.39,106,9.95,41006
41,7,895,182,20.34,180,20.11,143,15.98,72,8.04,101,11.28,103,11.51,41007
41,8,838,181,21.6,158,18.85,126,15.04,68,8.11,107,12.77,109,13.01,41008
41,9,1791,418,23.34,363,20.27,252,14.07,133,7.43,257,14.35,172,9.6,41009
41,10,1460,322,22.05,304,20.82,174,11.92,142,9.73,198,13.56,156,10.68,41010
41,11,1110,244,21.98,223,20.09,131,11.8,68,6.13,177,15.95,136,12.25,41011
41,12,653,144,22.05,157,24.04,78,11.94,71,10.87,61,9.34,70,10.72,41012
41,13,1492,289,19.37,278,18.63,237,15.88,131,8.78,182,12.2,180,12.06,41013
41,14,1801,379,21.04,342,18.99,270,14.99,167,9.27,237,13.16,206,11.44,41014
41,15,2304,555,24.09,484,21.01,335,14.54,170,7.38,300,13.02,222,9.64,41015
41,16,817,178,21.79,177,21.66,129,15.79,68,8.32,85,10.4,75,9.18,41016
41,17,541,135,24.95,107,19.78,81,14.97,47,8.69,70,12.94,49,9.06,41017
41,18,1808,431,23.84,328,18.14,289,15.98,123,6.8,242,13.38,208,11.5,41018
41,19,879,200,22.75,166,18.89,143,16.27,56,6.37,132,15.02,88,10.01,41019
41,20,988,221,22.37,193,19.53,145,14.68,89,9.01,126,12.75,102,10.32,41020
41,21,953,216,22.67,193,20.25,152,15.95,74,7.76,124,13.01,95,9.97,41021
41,22,852,189,22.18,190,22.3,132,15.49,65,7.63,120,14.08,80,9.39,41022
41,23,1061,249,23.47,210,19.79,163,15.36,87,8.2,137,12.91,118,11.12,41023
41,24,1718,383,22.29,362,21.07,258,15.02,138,8.03,230,13.39,180,10.48,41024
41,25,1447,314,21.7,307,21.22,209,14.44,104,7.19,178,12.3,220,15.2,41025
41,26,1713,350,20.43,371,21.66,277,16.17,103,6.01,188,10.97,211,12.32,41026
41,27,1266,284,22.43,279,22.04,178,14.06,99,7.82,174,13.74,125,9.87,41027
41,28,2137,611,28.59,444,20.78,313,14.65,128,5.99,248,11.61,185,8.66,41028
41,29,2374,526,22.16,622,26.2,359,15.12,148,6.23,240,10.11,253,10.66,41029
41,30,1793,393,21.92,457,25.49,267,14.89,135,7.53,191,10.65,193,10.76,41030
41,31,1744,439,25.17,453,25.97,269,15.42,135,7.74,188,10.78,139,7.97,41031
45,1,2071,425,20.52,346,16.71,355,17.14,186,8.98,288,13.91,248,11.97,45001
45,2,1083,225,20.78,164,15.14,169,15.6,93,8.59,126,11.63,155,14.31,45002
45,3,620,146,23.55,107,17.26,96,15.48,59,9.52,74,11.94,64,10.32,45003
45,4,756,160,21.16,108,14.29,136,17.99,45,5.95,112,14.81,97,12.83,45004
45,5,1062,211,19.87,143,13.47,199,18.74,84,7.91,124,11.68,143,13.47,45005
45,6,1359,298,21.93,245,18.03,231,17.0,97,7.14,183,13.47,148,10.89,45006
45,7,1296,314,24.23,182,14.04,244,18.83,124,9.57,119,9.18,156,12.04,45007
45,8,1120,194,17.32,179,15.98,199,17.77,117,10.45,134,11.96,150,13.39,45008
45,9,1009,183,18.14,129,12.78,192,19.03,110,10.9,99,9.81,123,12.19,45009
45,10,1037,190,18.32,149,14.37,197,19.0,121,11.67,109,10.51,145,13.98,45010
45,11,1410,250,17.73,205,14.54,274,19.43,129,9.15,153,10.85,198,14.04,45011
45,12,894,148,16.55,114,12.75,173,19.35,75,8.39,112,12.53,145,16.22,45012
45,13,1384,216,15.61,176,12.72,265,19.15,119,8.6,149,10.77,221,15.97,45013
45,14,753,115,15.27,109,14.48,145,19.26,47,6.24,86,11.42,117,15.54,45014
45,15,869,114,13.12,104,11.97,205,23.59,59,6.79,112,12.89,113,13.0,45015
45,16,1059,165,15.58,128,12.09,232,21.91,74,6.99,141,13.31,155,14.64,45016
45,17,1412,247,17.49,197,13.95,268,18.98,120,8.5,155,10.98,198,14.02,45017
45,18,1117,153,13.7,128,11.46,227,20.32,82,7.34,121,10.83,184,16.47,45018
45,19,691,105,15.2,100,14.47,140,20.26,52,7.53,78,11.29,88,12.74,45019
45,20,956,149,15.59,103,10.77,207,21.65,62,6.49,132,13.81,135,14.12,45020
45,21,836,130,15.55,111,13.28,173,20.69,61,7.3,81,9.69,117,14.0,45021
45,22,1119,180,16.09,113,10.1,230,20.55,78,6.97,127,11.35,178,15.91,45022
45,23,1072,150,13.99,136,12.69,228,21.27,57,5.32,102,9.51,164,15.3,45023
45,24,879,123,13.99,86,9.78,169,19.23,53,6.03,92,10.47,173,19.68,45024
45,25,1227,172,14.02,156,12.71,237,19.32,101,8.23,163,13.28,173,14.1,45025
45,26,873,120,13.75,99,11.34,180,20.62,50,5.73,109,12.49,144,16.49,45026
45,28,737,109,14.79,100,13.57,129,17.5,63,8.55,64,8.68,122,16.55,45028
