ward,precinct,total,ERIN VOGEL,ERIN VOGEL Percent,CARLOS SANCHEZ,CARLOS SANCHEZ Percent,DENISE E. MCBROOM,DENISE E. MCBROOM Percent,EVELYN RAZO,EVELYN RAZO Percent,"ABRAHAM """"ABE"""" MATTHEW","ABRAHAM """"ABE"""" MATTHEW Percent",MAGGIE FINUCANE,MAGGIE FINUCANE Percent,MONSERRAT E. AYALA,MONSERRAT E. AYALA Percent,precinct_id
11,23,1212,178,14.69,135,11.14,260,21.45,127,10.48,170,14.03,240,19.8,102,8.42,11023
12,1,565,100,17.7,132,23.36,46,8.14,58,10.27,86,15.22,36,6.37,107,18.94,12001
12,2,343,43,12.54,122,35.57,20,5.83,39,11.37,40,11.66,18,5.25,61,17.78,12002
12,3,783,153,19.54,151,19.28,44,5.62,73,9.32,142,18.14,51,6.51,169,21.58,12003
12,4,682,132,19.35,129,18.91,52,7.62,72,10.56,111,16.28,43,6.3,143,20.97,12004
12,5,637,114,17.9,132,20.72,67,10.52,61,9.58,102,16.01,54,8.48,107,16.8,12005
12,6,608,108,17.76,152,25.0,51,8.39,63,10.36,87,14.31,41,6.74,106,17.43,12006
12,8,528,91,17.23,119,22.54,40,7.58,55,10.42,79,14.96,49,9.28,95,17.99,12008
12,9,289,45,15.57,63,21.8,32,11.07,31,10.73,41,14.19,37,12.8,40,13.84,12009
12,10,169,21,12.43,53,31.36,15,8.88,18,10.65,19,11.24,4,2.37,39,23.08,12010
12,11,394,32,8.12,155,39.34,18,4.57,53,13.45,32,8.12,21,5.33,83,21.07,12011
12,12,395,35,8.86,128,32.41,25,6.33,60,15.19,43,10.89,25,6.33,79,20.0,12012
12,13,548,80,14.6,143,26.09,38,6.93,57,10.4,75,13.69,45,8.21,110,20.07,12013
12,14,430,54,12.56,117,27.21,35,8.14,70,16.28,44,10.23,25,5.81,85,19.77,12014
12,15,512,75,14.65,110,21.48,45,8.79,82,16.02,61,11.91,39,7.62,100,19.53,12015
12,16,533,76,14.26,128,24.02,41,7.69,82,15.38,62,11.63,35,6.57,109,20.45,12016
12,17,534,100,18.73,131,24.53,41,7.68,49,9.18,79,14.79,31,5.81,103,19.29,12017
12,18,566,67,11.84,175,30.92,31,5.48,90,15.9,63,11.13,19,3.36,121,21.38,12018
12,19,336,58,17.26,90,26.79,21,6.25,38,11.31,43,12.8,19,5.65,67,19.94,12019
12,20,455,54,11.87,147,32.31,25,5.49,60,13.19,52,11.43,17,3.74,100,21.98,12020
12,21,502,81,16.14,123,24.5,43,8.57,50,9.96,79,15.74,36,7.17,90,17.93,12021
12,22,355,43,12.11,110,30.99,24,6.76,45,12.68,37,10.42,20,5.63,76,21.41,12022
14,10,742,85,11.46,211,28.44,43,5.8,103,13.88,82,11.05,19,2.56,199,26.82,14010
14,11,798,84,10.53,202,25.31,55,6.89,130,16.29,90,11.28,47,5.89,190,23.81,14011
14,14,369,43,11.65,89,24.12,30,8.13,61,16.53,33,8.94,16,4.34,97,26.29,14014
15,1,630,87,13.81,40,6.35,281,44.6,54,8.57,40,6.35,105,16.67,23,3.65,15001
15,2,828,88,10.63,60,7.25,353,42.63,83,10.02,55,6.64,148,17.87,41,4.95,15002
15,3,324,44,13.58,35,10.8,105,32.41,23,7.1,42,12.96,57,17.59,18,5.56,15003
15,4,394,49,12.44,112,28.43,23,5.84,65,16.5,39,9.9,23,5.84,83,21.07,15004
15,5,385,47,12.21,122,31.69,16,4.16,66,17.14,33,8.57,16,4.16,85,22.08,15005
15,6,475,51,10.74,141,29.68,27,5.68,76,16.0,44,9.26,24,5.05,112,23.58,15006
15,7,252,29,11.51,72,28.57,23,9.13,27,10.71,33,13.1,10,3.97,58,23.02,15007
15,8,409,57,13.94,107,26.16,33,8.07,61,14.91,52,12.71,27,6.6,72,17.6,15008
15,9,468,62,13.25,127,27.14,27,5.77,71,15.17,63,13.46,20,4.27,98,20.94,15009
15,20,448,46,10.27,142,31.7,25,5.58,75,16.74,46,10.27,24,5.36,90,20.09,15020
16,2,332,56,16.87,51,15.36,70,21.08,24,7.23,77,23.19,19,5.72,35,10.54,16002
16,7,339,49,14.45,51,15.04,68,20.06,27,7.96,68,20.06,40,11.8,36,10.62,16007
16,8,242,33,13.64,47,19.42,44,18.18,21,8.68,45,18.6,20,8.26,32,13.22,16008
16,12,141,20,14.18,22,15.6,32,22.7,12,8.51,30,21.28,11,7.8,14,9.93,16012
16,13,13,0,0.0,3,23.08,5,38.46,1,7.69,1,7.69,2,15.38,1,7.69,16013
16,15,452,57,12.61,67,14.82,133,29.42,36,7.96,97,21.46,27,5.97,35,7.74,16015
16,16,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16016
20,1,333,36,10.81,91,27.33,20,6.01,51,15.32,44,13.21,19,5.71,72,21.62,20001
20,2,192,23,11.98,55,28.65,12,6.25,27,14.06,20,10.42,11,5.73,44,22.92,20002
20,3,224,25,11.16,53,23.66,44,19.64,23,10.27,32,14.29,17,7.59,30,13.39,20003
20,4,200,35,17.5,43,21.5,35,17.5,17,8.5,37,18.5,15,7.5,18,9.0,20004
20,5,287,47,16.38,34,11.85,76,26.48,17,5.92,64,22.3,27,9.41,22,7.67,20005
20,6,245,34,13.88,41,16.73,60,24.49,12,4.9,59,24.08,26,10.61,13,5.31,20006
20,23,259,30,11.58,45,17.37,74,28.57,15,5.79,60,23.17,23,8.88,12,4.63,20023
