ward,precinct,total,ANTHONY MICHAEL TAMEZ,ANTHONY MICHAEL TAMEZ Percent,"ELIZABETH """"BETH"""" ROCHFORD","ELIZABETH """"BETH"""" ROCHFORD Percent",STEVE SPAGNOLO,STEVE SPAGNOLO Percent,BRIAN SULLIVAN,BRIAN SULLIVAN Percent,NICK CARUSI,NICK CARUSI Percent,precinct_id
39,28,625,145,23.2,161,25.76,143,22.88,106,16.96,70,11.2,39028
39,29,281,36,12.81,76,27.05,63,22.42,76,27.05,30,10.68,39029
39,30,571,91,15.94,137,23.99,122,21.37,159,27.85,62,10.86,39030
39,31,708,83,11.72,160,22.6,133,18.79,240,33.9,92,12.99,39031
39,35,5,0,0.0,0,0.0,2,40.0,1,20.0,2,40.0,39035
40,23,1104,261,23.64,344,31.16,281,25.45,146,13.22,72,6.52,40023
45,27,1199,242,20.18,352,29.36,265,22.1,243,20.27,97,8.09,45027
45,28,334,75,22.46,100,29.94,65,19.46,62,18.56,32,9.58,45028
45,29,908,226,24.89,283,31.17,201,22.14,138,15.2,60,6.61,45029
50,24,1062,122,11.49,152,14.31,145,13.65,393,37.01,250,23.54,50024
50,25,211,41,19.43,53,25.12,38,18.01,54,25.59,25,11.85,50025
