ward,precinct,total,DAN RICHMAN,DAN RICHMAN Percent,DEMERIKE PALECEK,DEMERIKE PALECEK Percent,MAURILIO GARCIA,MAURILIO GARCIA Percent,JENNIFER A. SCHAFFER,JENNIFER A. SCHAFFER Percent,SAMUEL E. SCHOENBURG,SAMUEL E. SCHOENBURG Percent,"JULIENN """"JULIE"""" KAVIAR","JULIENN """"JULIE"""" KAVIAR Percent",precinct_id
43,6,1744,369,21.16,200,11.47,272,15.6,374,21.44,286,16.4,243,13.93,43006
43,7,1556,273,17.54,221,14.2,255,16.39,362,23.26,232,14.91,213,13.69,43007
43,8,1147,210,18.31,179,15.61,174,15.17,264,23.02,168,14.65,152,13.25,43008
43,17,1241,283,22.8,186,14.99,177,14.26,239,19.26,168,13.54,188,15.15,43017
43,18,1406,283,20.13,216,15.36,205,14.58,278,19.77,222,15.79,202,14.37,43018
43,19,1386,307,22.15,181,13.06,206,14.86,288,20.78,209,15.08,195,14.07,43019
44,1,1465,195,13.31,189,12.9,270,18.43,341,23.28,256,17.47,214,14.61,44001
44,2,1011,213,21.07,128,12.66,158,15.63,220,21.76,154,15.23,138,13.65,44002
44,3,1626,320,19.68,204,12.55,238,14.64,359,22.08,281,17.28,224,13.78,44003
44,4,1931,334,17.3,217,11.24,304,15.74,455,23.56,352,18.23,269,13.93,44004
44,5,1191,152,12.76,196,16.46,225,18.89,279,23.43,194,16.29,145,12.17,44005
44,6,1233,154,12.49,177,14.36,224,18.17,280,22.71,236,19.14,162,13.14,44006
44,7,1248,174,13.94,189,15.14,228,18.27,303,24.28,196,15.71,158,12.66,44007
44,8,1168,175,14.98,196,16.78,185,15.84,245,20.98,199,17.04,168,14.38,44008
44,9,1826,332,18.18,264,14.46,335,18.35,405,22.18,275,15.06,215,11.77,44009
44,10,1743,299,17.15,233,13.37,287,16.47,368,21.11,301,17.27,255,14.63,44010
44,11,1153,215,18.65,145,12.58,192,16.65,262,22.72,182,15.78,157,13.62,44011
44,12,1662,286,17.21,224,13.48,268,16.13,355,21.36,294,17.69,235,14.14,44012
44,13,1589,239,15.04,216,13.59,290,18.25,370,23.29,275,17.31,199,12.52,44013
44,14,1443,200,13.86,195,13.51,281,19.47,329,22.8,258,17.88,180,12.47,44014
44,15,1832,261,14.25,219,11.95,326,17.79,428,23.36,349,19.05,249,13.59,44015
44,16,1656,298,18.0,248,14.98,292,17.63,368,22.22,240,14.49,210,12.68,44016
44,17,1971,281,14.26,248,12.58,366,18.57,451,22.88,352,17.86,273,13.85,44017
44,18,1122,162,14.44,169,15.06,190,16.93,256,22.82,185,16.49,160,14.26,44018
44,19,1571,269,17.12,220,14.0,286,18.2,352,22.41,244,15.53,200,12.73,44019
44,20,1045,165,15.79,149,14.26,195,18.66,221,21.15,176,16.84,139,13.3,44020
44,21,1731,237,13.69,248,14.33,320,18.49,402,23.22,295,17.04,229,13.23,44021
46,1,1315,235,17.87,152,11.56,235,17.87,320,24.33,210,15.97,163,12.4,46001
46,2,1240,192,15.48,141,11.37,236,19.03,315,25.4,216,17.42,140,11.29,46002
46,3,1157,146,12.62,145,12.53,256,22.13,296,25.58,190,16.42,124,10.72,46003
46,4,1576,244,15.48,180,11.42,303,19.23,378,23.98,290,18.4,181,11.48,46004
46,5,1317,223,16.93,139,10.55,251,19.06,309,23.46,237,18.0,158,12.0,46005
46,6,1678,219,13.05,217,12.93,318,18.95,430,25.63,280,16.69,214,12.75,46006
46,7,1024,151,14.75,128,12.5,188,18.36,254,24.8,169,16.5,134,13.09,46007
46,8,1350,198,14.67,201,14.89,257,19.04,325,24.07,216,16.0,153,11.33,46008
46,9,1374,240,17.47,182,13.25,236,17.18,312,22.71,212,15.43,192,13.97,46009
46,10,1510,139,9.21,190,12.58,347,22.98,396,26.23,289,19.14,149,9.87,46010
46,11,1451,173,11.92,197,13.58,311,21.43,356,24.53,243,16.75,171,11.78,46011
46,12,2017,274,13.58,236,11.7,408,20.23,499,24.74,365,18.1,235,11.65,46012
46,13,1493,168,11.25,220,14.74,323,21.63,363,24.31,255,17.08,164,10.98,46013
46,14,871,116,13.32,131,15.04,196,22.5,202,23.19,139,15.96,87,9.99,46014
46,15,2018,315,15.61,218,10.8,406,20.12,483,23.93,343,17.0,253,12.54,46015
46,16,1187,121,10.19,175,14.74,259,21.82,293,24.68,184,15.5,155,13.06,46016
46,17,1880,199,10.59,198,10.53,422,22.45,495,26.33,357,18.99,209,11.12,46017
46,18,1553,174,11.2,172,11.08,371,23.89,379,24.4,287,18.48,170,10.95,46018
46,19,1178,167,14.18,152,12.9,241,20.46,289,24.53,174,14.77,155,13.16,46019
46,20,1104,155,14.04,138,12.5,241,21.83,264,23.91,170,15.4,136,12.32,46020
46,22,1093,125,11.44,113,10.34,238,21.77,295,26.99,184,16.83,138,12.63,46022
47,1,166,12,7.23,21,12.65,43,25.9,44,26.51,33,19.88,13,7.83,47001
47,2,357,48,13.45,40,11.2,73,20.45,99,27.73,60,16.81,37,10.36,47002
47,7,2403,242,10.07,241,10.03,536,22.31,654,27.22,468,19.48,262,10.9,47007
47,8,1427,156,10.93,157,11.0,316,22.14,380,26.63,280,19.62,138,9.67,47008
47,9,1852,223,12.04,204,11.02,410,22.14,477,25.76,335,18.09,203,10.96,47009
47,10,1449,130,8.97,162,11.18,320,22.08,395,27.26,284,19.6,158,10.9,47010
47,11,1350,140,10.37,141,10.44,293,21.7,364,26.96,267,19.78,145,10.74,47011
47,12,1037,104,10.03,111,10.7,230,22.18,264,25.46,222,21.41,106,10.22,47012
47,13,1051,107,10.18,95,9.04,240,22.84,283,26.93,229,21.79,97,9.23,47013
47,14,1558,215,13.8,130,8.34,343,22.02,404,25.93,313,20.09,153,9.82,47014
47,15,1707,246,14.41,102,5.98,376,22.03,484,28.35,368,21.56,131,7.67,47015
47,16,1589,209,13.15,145,9.13,348,21.9,418,26.31,327,20.58,142,8.94,47016
47,17,1351,167,12.36,126,9.33,309,22.87,350,25.91,269,19.91,130,9.62,47017
47,18,1668,160,9.59,164,9.83,392,23.5,446,26.74,359,21.52,147,8.81,47018
47,19,1546,139,8.99,156,10.09,371,24.0,403,26.07,310,20.05,167,10.8,47019
47,20,1427,171,11.98,148,10.37,308,21.58,383,26.84,276,19.34,141,9.88,47020
47,21,1515,218,14.39,140,9.24,306,20.2,403,26.6,294,19.41,154,10.17,47021
47,22,1183,179,15.13,120,10.14,243,20.54,286,24.18,226,19.1,129,10.9,47022
47,23,1328,216,16.27,153,11.52,254,19.13,320,24.1,235,17.7,150,11.3,47023
47,24,1562,244,15.62,165,10.56,317,20.29,387,24.78,286,18.31,163,10.44,47024
47,25,1225,241,19.67,129,10.53,245,20.0,277,22.61,224,18.29,109,8.9,47025
47,26,1786,339,18.98,178,9.97,329,18.42,448,25.08,294,16.46,198,11.09,47026
47,27,1584,265,16.73,150,9.47,319,20.14,400,25.25,259,16.35,191,12.06,47027
47,28,1135,201,17.71,93,8.19,230,20.26,289,25.46,213,18.77,109,9.6,47028
