ward,precinct,total,JACOB ARENA,JACOB ARENA Percent,SAUL ARELLANO,SAUL ARELLANO Percent,ANGELICA P. GREEN,ANGELICA P. GREEN Percent,PERRY ABBASI,PERRY ABBASI Percent,"EDGAR """"EDEK"""" ESPARZA","EDGAR """"EDEK"""" ESPARZA Percent",precinct_id
36,11,303,54,17.82,103,33.99,60,19.8,17,5.61,69,22.77,36011
36,12,243,48,19.75,88,36.21,48,19.75,4,1.65,55,22.63,36012
36,13,140,31,22.14,42,30.0,30,21.43,10,7.14,27,19.29,36013
36,14,449,91,20.27,114,25.39,132,29.4,31,6.9,81,18.04,36014
36,15,218,35,16.06,71,32.57,62,28.44,13,5.96,37,16.97,36015
36,16,43,7,16.28,12,27.91,11,25.58,3,6.98,10,23.26,36016
37,2,403,82,20.35,72,17.87,145,35.98,47,11.66,57,14.14,37002
37,4,586,141,24.06,72,12.29,257,43.86,51,8.7,65,11.09,37004
37,6,722,172,23.82,94,13.02,314,43.49,76,10.53,66,9.14,37006
37,10,575,124,21.57,90,15.65,210,36.52,52,9.04,99,17.22,37010
37,12,647,137,21.17,90,13.91,283,43.74,70,10.82,67,10.36,37012
37,14,697,161,23.1,91,13.06,288,41.32,79,11.33,78,11.19,37014
37,15,142,36,25.35,20,14.08,54,38.03,12,8.45,20,14.08,37015
37,16,746,179,23.99,100,13.4,286,38.34,85,11.39,96,12.87,37016
37,22,591,151,25.55,93,15.74,210,35.53,51,8.63,86,14.55,37022
