ward,precinct,total,EILEEN DORDEK,EILEEN DORDEK Percent,ANGELA ''ANGIE'' MALONEY,ANGELA ''ANGIE'' MALONEY Percent,HEATHER WAY KITZES,HEATHER WAY KITZES Percent,MICHAEL A. NEGRON,MICHAEL A. NEGRON Percent,MATT MARTIN,MATT MARTIN Percent,GUS KATSAFAROS,GUS KATSAFAROS Percent,THOMAS M. SCHWARTZERS,THOMAS M. SCHWARTZERS Percent,KIMBALL LADIEN,KIMBALL LADIEN Percent,JEFF JENKINS,JEFF JENKINS Percent,precinct_id
47,29,389,67,17.22,22,5.66,29,7.46,114,29.31,116,29.82,4,1.03,6,1.54,0,0.0,31,7.97,47029
47,30,488,61,12.5,41,8.4,28,5.74,80,16.39,239,48.98,5,1.02,10,2.05,3,0.61,21,4.3,47030
47,31,382,67,17.54,26,6.81,23,6.02,77,20.16,165,43.19,8,2.09,5,1.31,0,0.0,11,2.88,47031
47,32,465,92,19.78,20,4.3,41,8.82,96,20.65,204,43.87,4,0.86,0,0.0,0,0.0,8,1.72,47032
47,33,335,49,14.63,17,5.07,41,12.24,59,17.61,138,41.19,2,0.6,8,2.39,1,0.3,20,5.97,47033
47,34,420,65,15.48,20,4.76,22,5.24,72,17.14,206,49.05,5,1.19,3,0.71,1,0.24,26,6.19,47034
47,35,435,63,14.48,20,4.6,20,4.6,117,26.9,110,25.29,11,2.53,10,2.3,1,0.23,83,19.08,47035
47,36,425,63,14.82,35,8.24,14,3.29,69,16.24,198,46.59,11,2.59,3,0.71,1,0.24,31,7.29,47036
47,37,443,78,17.61,18,4.06,13,2.93,106,23.93,167,37.7,10,2.26,10,2.26,0,0.0,41,9.26,47037
47,38,422,79,18.72,16,3.79,20,4.74,58,13.74,216,51.18,9,2.13,4,0.95,1,0.24,19,4.5,47038
47,39,407,72,17.69,14,3.44,22,5.41,97,23.83,170,41.77,11,2.7,3,0.74,0,0.0,18,4.42,47039
47,40,439,68,15.49,22,5.01,6,1.37,91,20.73,218,49.66,2,0.46,10,2.28,1,0.23,21,4.78,47040
47,41,441,97,22.0,19,4.31,22,4.99,93,21.09,181,41.04,7,1.59,6,1.36,0,0.0,16,3.63,47041
47,42,407,74,18.18,37,9.09,7,1.72,52,12.78,198,48.65,8,1.97,5,1.23,1,0.25,25,6.14,47042
47,43,379,57,15.04,15,3.96,47,12.4,90,23.75,136,35.88,11,2.9,9,2.37,0,0.0,14,3.69,47043
47,44,333,64,19.22,26,7.81,21,6.31,94,28.23,92,27.63,11,3.3,8,2.4,4,1.2,13,3.9,47044
47,45,399,133,33.33,18,4.51,7,1.75,69,17.29,138,34.59,7,1.75,4,1.0,0,0.0,23,5.76,47045
47,46,393,78,19.85,14,3.56,27,6.87,104,26.46,90,22.9,8,2.04,18,4.58,1,0.25,53,13.49,47046
47,47,429,92,21.45,8,1.86,24,5.59,78,18.18,177,41.26,6,1.4,17,3.96,2,0.47,25,5.83,47047
47,48,48,28,58.33,3,6.25,2,4.17,7,14.58,4,8.33,1,2.08,1,2.08,0,0.0,2,4.17,47048
