ward,precinct,total,JERRY JOYCE,JERRY JOYCE Percent,PAUL VALLAS,PAUL VALLAS Percent,WILLIE L. WILSON,WILLIE L. WILSON Percent,TONI PRECKWINKLE,TONI PRECKWINKLE Percent,WILLIAM M. DALEY,WILLIAM M. DALEY Percent,GARRY MCCARTHY,GARRY MCCARTHY Percent,GERY CHICO,GERY CHICO Percent,precinct_id
2,46,98,7,7.14,14,14.29,6,6.12,19,19.39,42,42.86,5,5.1,5,5.1,02046
3,1,293,11,3.75,5,1.71,129,44.03,105,35.84,31,10.58,3,1.02,9,3.07,03001
3,2,351,12,3.42,6,1.71,94,26.78,181,51.57,41,11.68,3,0.85,14,3.99,03002
3,3,217,20,9.22,6,2.76,48,22.12,90,41.47,34,15.67,2,0.92,17,7.83,03003
3,4,232,4,1.72,16,6.9,84,36.21,101,43.53,24,10.34,1,0.43,2,0.86,03004
3,5,139,5,3.6,2,1.44,64,46.04,43,30.94,22,15.83,1,0.72,2,1.44,03005
3,6,265,20,7.55,38,14.34,10,3.77,47,17.74,105,39.62,11,4.15,34,12.83,03006
3,7,183,2,1.09,6,3.28,70,38.25,68,37.16,31,16.94,2,1.09,4,2.19,03007
3,8,166,6,3.61,3,1.81,84,50.6,51,30.72,19,11.45,1,0.6,2,1.2,03008
3,9,208,13,6.25,5,2.4,68,32.69,88,42.31,20,9.62,2,0.96,12,5.77,03009
3,10,110,3,2.73,4,3.64,58,52.73,27,24.55,15,13.64,0,0.0,3,2.73,03010
3,11,187,11,5.88,12,6.42,72,38.5,72,38.5,16,8.56,0,0.0,4,2.14,03011
3,12,257,6,2.33,8,3.11,88,34.24,124,48.25,25,9.73,2,0.78,4,1.56,03012
3,13,235,16,6.81,33,14.04,16,6.81,72,30.64,64,27.23,6,2.55,28,11.91,03013
3,14,200,11,5.5,15,7.5,34,17.0,72,36.0,51,25.5,5,2.5,12,6.0,03014
3,15,187,3,1.6,2,1.07,77,41.18,75,40.11,29,15.51,1,0.53,0,0.0,03015
3,16,175,3,1.71,7,4.0,83,47.43,55,31.43,20,11.43,4,2.29,3,1.71,03016
3,17,188,11,5.85,14,7.45,22,11.7,68,36.17,52,27.66,9,4.79,12,6.38,03017
3,18,268,9,3.36,12,4.48,91,33.96,97,36.19,45,16.79,6,2.24,8,2.99,03018
3,19,278,25,8.99,31,11.15,8,2.88,57,20.5,118,42.45,9,3.24,30,10.79,03019
3,20,211,4,1.9,8,3.79,78,36.97,85,40.28,28,13.27,1,0.47,7,3.32,03020
3,21,270,14,5.19,21,7.78,23,8.52,96,35.56,83,30.74,6,2.22,27,10.0,03021
3,22,192,22,11.46,21,10.94,10,5.21,54,28.13,60,31.25,8,4.17,17,8.85,03022
3,23,183,6,3.28,4,2.19,81,44.26,58,31.69,19,10.38,5,2.73,10,5.46,03023
3,24,202,6,2.97,8,3.96,78,38.61,65,32.18,34,16.83,4,1.98,7,3.47,03024
3,25,388,21,5.41,47,12.11,20,5.15,82,21.13,158,40.72,14,3.61,46,11.86,03025
3,26,292,9,3.08,29,9.93,12,4.11,98,33.56,117,40.07,6,2.05,21,7.19,03026
3,27,237,31,13.08,25,10.55,8,3.38,62,26.16,75,31.65,12,5.06,24,10.13,03027
3,28,212,5,2.36,2,0.94,86,40.57,94,44.34,21,9.91,2,0.94,2,0.94,03028
3,29,177,4,2.26,11,6.21,75,42.37,58,32.77,23,12.99,1,0.56,5,2.82,03029
3,30,198,2,1.01,7,3.54,83,41.92,77,38.89,19,9.6,0,0.0,10,5.05,03030
3,31,225,5,2.22,3,1.33,89,39.56,94,41.78,26,11.56,1,0.44,7,3.11,03031
3,32,212,11,5.19,14,6.6,27,12.74,76,35.85,62,29.25,9,4.25,13,6.13,03032
3,33,179,10,5.59,19,10.61,12,6.7,68,37.99,47,26.26,12,6.7,11,6.15,03033
3,34,215,6,2.79,22,10.23,28,13.02,74,34.42,53,24.65,5,2.33,27,12.56,03034
3,35,83,2,2.41,3,3.61,21,25.3,35,42.17,19,22.89,1,1.2,2,2.41,03035
3,36,104,1,0.96,4,3.85,48,46.15,39,37.5,8,7.69,1,0.96,3,2.88,03036
3,37,181,5,2.76,4,2.21,74,40.88,73,40.33,17,9.39,1,0.55,7,3.87,03037
3,38,231,3,1.3,9,3.9,86,37.23,101,43.72,19,8.23,4,1.73,9,3.9,03038
3,39,242,20,8.26,28,11.57,5,2.07,72,29.75,88,36.36,10,4.13,19,7.85,03039
3,40,150,7,4.67,5,3.33,35,23.33,56,37.33,36,24.0,2,1.33,9,6.0,03040
3,41,198,11,5.56,11,5.56,42,21.21,87,43.94,34,17.17,4,2.02,9,4.55,03041
4,1,246,3,1.22,7,2.85,22,8.94,177,71.95,25,10.16,3,1.22,9,3.66,04001
4,2,208,12,5.77,24,11.54,8,3.85,76,36.54,63,30.29,10,4.81,15,7.21,04002
4,3,185,6,3.24,2,1.08,61,32.97,97,52.43,16,8.65,0,0.0,3,1.62,04003
4,4,334,8,2.4,11,3.29,101,30.24,171,51.2,34,10.18,5,1.5,4,1.2,04004
4,5,229,4,1.75,12,5.24,57,24.89,131,57.21,18,7.86,0,0.0,7,3.06,04005
4,6,287,11,3.83,8,2.79,69,24.04,137,47.74,51,17.77,3,1.05,8,2.79,04006
4,7,282,8,2.84,10,3.55,68,24.11,166,58.87,24,8.51,2,0.71,4,1.42,04007
4,8,244,2,0.82,10,4.1,76,31.15,129,52.87,15,6.15,2,0.82,10,4.1,04008
4,9,337,14,4.15,12,3.56,60,17.8,209,62.02,31,9.2,1,0.3,10,2.97,04009
4,10,270,10,3.7,17,6.3,52,19.26,150,55.56,29,10.74,5,1.85,7,2.59,04010
4,11,200,3,1.5,5,2.5,77,38.5,83,41.5,26,13.0,1,0.5,5,2.5,04011
4,12,210,2,0.95,2,0.95,73,34.76,106,50.48,20,9.52,0,0.0,7,3.33,04012
4,13,121,10,8.26,8,6.61,6,4.96,41,33.88,38,31.4,7,5.79,11,9.09,04013
4,14,222,0,0.0,9,4.05,72,32.43,89,40.09,32,14.41,5,2.25,15,6.76,04014
4,15,273,6,2.2,2,0.73,78,28.57,139,50.92,31,11.36,2,0.73,15,5.49,04015
4,16,251,18,7.17,28,11.16,8,3.19,85,33.86,81,32.27,12,4.78,19,7.57,04016
4,17,188,7,3.72,29,15.43,6,3.19,78,41.49,54,28.72,7,3.72,7,3.72,04017
4,18,274,9,3.28,5,1.82,85,31.02,138,50.36,26,9.49,3,1.09,8,2.92,04018
4,19,150,2,1.33,4,2.67,66,44.0,52,34.67,18,12.0,2,1.33,6,4.0,04019
4,20,201,17,8.46,24,11.94,6,2.99,68,33.83,63,31.34,11,5.47,12,5.97,04020
4,21,166,4,2.41,15,9.04,12,7.23,70,42.17,45,27.11,5,3.01,15,9.04,04021
4,22,236,1,0.42,7,2.97,30,12.71,129,54.66,59,25.0,1,0.42,9,3.81,04022
4,23,303,5,1.65,11,3.63,23,7.59,234,77.23,27,8.91,1,0.33,2,0.66,04023
4,24,213,2,0.94,7,3.29,27,12.68,145,68.08,24,11.27,5,2.35,3,1.41,04024
4,25,222,10,4.5,18,8.11,15,6.76,78,35.14,75,33.78,8,3.6,18,8.11,04025
4,26,229,2,0.87,5,2.18,90,39.3,105,45.85,22,9.61,1,0.44,4,1.75,04026
4,27,229,7,3.06,9,3.93,25,10.92,156,68.12,24,10.48,3,1.31,5,2.18,04027
4,28,193,8,4.15,9,4.66,51,26.42,91,47.15,25,12.95,3,1.55,6,3.11,04028
4,29,173,2,1.16,7,4.05,58,33.53,88,50.87,9,5.2,1,0.58,8,4.62,04029
4,30,271,3,1.11,7,2.58,112,41.33,118,43.54,21,7.75,1,0.37,9,3.32,04030
4,31,224,5,2.23,6,2.68,30,13.39,146,65.18,29,12.95,1,0.45,7,3.13,04031
4,32,233,1,0.43,8,3.43,61,26.18,126,54.08,29,12.45,1,0.43,7,3.0,04032
4,33,234,1,0.43,5,2.14,48,20.51,143,61.11,33,14.1,0,0.0,4,1.71,04033
4,34,217,7,3.23,16,7.37,51,23.5,110,50.69,19,8.76,2,0.92,12,5.53,04034
4,35,259,8,3.09,7,2.7,63,24.32,140,54.05,29,11.2,2,0.77,10,3.86,04035
4,36,256,9,3.52,12,4.69,52,20.31,122,47.66,46,17.97,1,0.39,14,5.47,04036
4,37,278,23,8.27,28,10.07,12,4.32,96,34.53,74,26.62,13,4.68,32,11.51,04037
4,38,234,8,3.42,9,3.85,56,23.93,101,43.16,46,19.66,0,0.0,14,5.98,04038
5,1,153,3,1.96,5,3.27,51,33.33,71,46.41,15,9.8,2,1.31,6,3.92,05001
5,2,127,8,6.3,4,3.15,65,51.18,36,28.35,11,8.66,0,0.0,3,2.36,05002
5,3,211,4,1.9,8,3.79,8,3.79,166,78.67,17,8.06,2,0.95,6,2.84,05003
5,4,215,5,2.33,7,3.26,42,19.53,128,59.53,24,11.16,3,1.4,6,2.79,05004
5,5,201,7,3.48,3,1.49,82,40.8,83,41.29,21,10.45,0,0.0,5,2.49,05005
5,6,188,2,1.06,5,2.66,82,43.62,77,40.96,17,9.04,2,1.06,3,1.6,05006
5,7,231,6,2.6,9,3.9,33,14.29,140,60.61,33,14.29,1,0.43,9,3.9,05007
5,8,202,8,3.96,12,5.94,3,1.49,149,73.76,26,12.87,1,0.5,3,1.49,05008
5,9,257,5,1.95,9,3.5,21,8.17,182,70.82,23,8.95,1,0.39,16,6.23,05009
5,10,144,2,1.39,4,2.78,65,45.14,53,36.81,15,10.42,1,0.69,4,2.78,05010
5,11,222,6,2.7,9,4.05,24,10.81,141,63.51,33,14.86,5,2.25,4,1.8,05011
5,12,134,8,5.97,5,3.73,55,41.04,49,36.57,10,7.46,2,1.49,5,3.73,05012
5,13,150,6,4.0,2,1.33,57,38.0,59,39.33,17,11.33,3,2.0,6,4.0,05013
5,14,166,7,4.22,4,2.41,39,23.49,80,48.19,29,17.47,2,1.2,5,3.01,05014
5,15,214,5,2.34,10,4.67,36,16.82,118,55.14,28,13.08,5,2.34,12,5.61,05015
5,16,179,4,2.23,6,3.35,73,40.78,68,37.99,21,11.73,2,1.12,5,2.79,05016
5,17,204,4,1.96,9,4.41,70,34.31,89,43.63,23,11.27,3,1.47,6,2.94,05017
5,18,193,3,1.55,9,4.66,33,17.1,121,62.69,19,9.84,2,1.04,6,3.11,05018
5,19,211,5,2.37,18,8.53,14,6.64,136,64.45,30,14.22,3,1.42,5,2.37,05019
5,20,261,8,3.07,15,5.75,27,10.34,167,63.98,32,12.26,3,1.15,9,3.45,05020
5,21,174,3,1.72,13,7.47,24,13.79,110,63.22,20,11.49,0,0.0,4,2.3,05021
5,22,295,7,2.37,14,4.75,16,5.42,168,56.95,78,26.44,1,0.34,11,3.73,05022
5,23,340,10,2.94,13,3.82,28,8.24,238,70.0,36,10.59,5,1.47,10,2.94,05023
5,24,206,3,1.46,8,3.88,25,12.14,139,67.48,25,12.14,1,0.49,5,2.43,05024
5,25,201,2,1.0,7,3.48,36,17.91,115,57.21,34,16.92,1,0.5,6,2.99,05025
5,26,219,2,0.91,12,5.48,73,33.33,98,44.75,24,10.96,3,1.37,7,3.2,05026
5,27,179,2,1.12,10,5.59,1,0.56,117,65.36,45,25.14,0,0.0,4,2.23,05027
5,28,221,4,1.81,10,4.52,76,34.39,103,46.61,17,7.69,3,1.36,8,3.62,05028
5,29,209,5,2.39,8,3.83,62,29.67,104,49.76,20,9.57,2,0.96,8,3.83,05029
5,30,138,5,3.62,8,5.8,60,43.48,46,33.33,16,11.59,1,0.72,2,1.45,05030
5,31,156,2,1.28,9,5.77,58,37.18,68,43.59,14,8.97,0,0.0,5,3.21,05031
5,32,298,8,2.68,13,4.36,85,28.52,152,51.01,32,10.74,1,0.34,7,2.35,05032
5,33,264,2,0.76,4,1.52,120,45.45,99,37.5,30,11.36,2,0.76,7,2.65,05033
5,34,217,3,1.38,13,5.99,5,2.3,148,68.2,43,19.82,2,0.92,3,1.38,05034
5,35,243,7,2.88,16,6.58,17,7.0,162,66.67,34,13.99,3,1.23,4,1.65,05035
5,36,140,3,2.14,4,2.86,47,33.57,60,42.86,18,12.86,2,1.43,6,4.29,05036
5,37,265,5,1.89,10,3.77,15,5.66,184,69.43,38,14.34,3,1.13,10,3.77,05037
5,38,185,5,2.7,3,1.62,89,48.11,63,34.05,21,11.35,1,0.54,3,1.62,05038
5,39,198,4,2.02,8,4.04,9,4.55,130,65.66,38,19.19,3,1.52,6,3.03,05039
5,40,193,2,1.04,5,2.59,67,34.72,93,48.19,23,11.92,2,1.04,1,0.52,05040
5,41,160,5,3.13,5,3.13,9,5.63,89,55.63,44,27.5,2,1.25,6,3.75,05041
6,1,227,4,1.76,4,1.76,67,29.52,122,53.74,21,9.25,1,0.44,8,3.52,06001
6,2,173,7,4.05,7,4.05,71,41.04,50,28.9,31,17.92,1,0.58,6,3.47,06002
6,3,224,5,2.23,2,0.89,107,47.77,67,29.91,34,15.18,5,2.23,4,1.79,06003
6,4,141,4,2.84,4,2.84,61,43.26,44,31.21,21,14.89,2,1.42,5,3.55,06004
6,5,120,2,1.67,1,0.83,75,62.5,28,23.33,10,8.33,0,0.0,4,3.33,06005
6,6,201,8,3.98,7,3.48,65,32.34,89,44.28,23,11.44,0,0.0,9,4.48,06006
6,7,152,2,1.32,5,3.29,67,44.08,54,35.53,19,12.5,1,0.66,4,2.63,06007
6,8,174,5,2.87,3,1.72,68,39.08,70,40.23,23,13.22,1,0.57,4,2.3,06008
6,9,147,2,1.36,4,2.72,64,43.54,52,35.37,20,13.61,1,0.68,4,2.72,06009
6,10,98,2,2.04,2,2.04,51,52.04,30,30.61,9,9.18,1,1.02,3,3.06,06010
6,11,138,9,6.52,2,1.45,72,52.17,38,27.54,11,7.97,2,1.45,4,2.9,06011
6,12,118,3,2.54,2,1.69,61,51.69,37,31.36,7,5.93,2,1.69,6,5.08,06012
6,13,147,6,4.08,2,1.36,63,42.86,40,27.21,19,12.93,1,0.68,16,10.88,06013
6,14,163,8,4.91,8,4.91,80,49.08,50,30.67,11,6.75,1,0.61,5,3.07,06014
6,15,145,5,3.45,4,2.76,79,54.48,34,23.45,19,13.1,1,0.69,3,2.07,06015
6,16,208,8,3.85,10,4.81,91,43.75,74,35.58,12,5.77,4,1.92,9,4.33,06016
6,17,119,1,0.84,2,1.68,52,43.7,37,31.09,22,18.49,0,0.0,5,4.2,06017
6,18,145,4,2.76,4,2.76,68,46.9,47,32.41,16,11.03,2,1.38,4,2.76,06018
6,19,173,7,4.05,4,2.31,84,48.55,59,34.1,19,10.98,0,0.0,0,0.0,06019
6,20,87,3,3.45,0,0.0,47,54.02,18,20.69,14,16.09,2,2.3,3,3.45,06020
6,21,90,1,1.11,5,5.56,53,58.89,22,24.44,6,6.67,2,2.22,1,1.11,06021
6,22,105,6,5.71,6,5.71,44,41.9,34,32.38,11,10.48,2,1.9,2,1.9,06022
6,23,86,0,0.0,3,3.49,37,43.02,24,27.91,16,18.6,1,1.16,5,5.81,06023
6,24,104,3,2.88,6,5.77,44,42.31,39,37.5,11,10.58,1,0.96,0,0.0,06024
6,25,97,4,4.12,2,2.06,55,56.7,25,25.77,9,9.28,0,0.0,2,2.06,06025
6,26,114,2,1.75,2,1.75,54,47.37,45,39.47,8,7.02,0,0.0,3,2.63,06026
6,27,93,2,2.15,0,0.0,47,50.54,25,26.88,11,11.83,6,6.45,2,2.15,06027
6,28,103,1,0.97,6,5.83,54,52.43,33,32.04,6,5.83,2,1.94,1,0.97,06028
6,29,200,7,3.5,11,5.5,57,28.5,80,40.0,28,14.0,4,2.0,13,6.5,06029
6,30,148,8,5.41,2,1.35,58,39.19,58,39.19,20,13.51,1,0.68,1,0.68,06030
6,31,186,5,2.69,10,5.38,59,31.72,80,43.01,22,11.83,3,1.61,7,3.76,06031
6,32,166,8,4.82,6,3.61,63,37.95,65,39.16,21,12.65,0,0.0,3,1.81,06032
6,33,161,2,1.24,4,2.48,71,44.1,68,42.24,10,6.21,1,0.62,5,3.11,06033
6,34,184,3,1.63,0,0.0,52,28.26,88,47.83,32,17.39,1,0.54,8,4.35,06034
6,35,162,7,4.32,4,2.47,62,38.27,62,38.27,19,11.73,4,2.47,4,2.47,06035
6,36,225,12,5.33,10,4.44,60,26.67,105,46.67,27,12.0,1,0.44,10,4.44,06036
6,37,212,7,3.3,10,4.72,76,35.85,90,42.45,24,11.32,1,0.47,4,1.89,06037
6,38,189,4,2.12,13,6.88,78,41.27,63,33.33,19,10.05,1,0.53,11,5.82,06038
6,39,133,2,1.5,2,1.5,60,45.11,44,33.08,16,12.03,4,3.01,5,3.76,06039
6,40,167,4,2.4,5,2.99,67,40.12,69,41.32,12,7.19,1,0.6,9,5.39,06040
6,41,188,5,2.66,10,5.32,75,39.89,65,34.57,19,10.11,3,1.6,11,5.85,06041
6,42,161,4,2.48,3,1.86,64,39.75,61,37.89,19,11.8,1,0.62,9,5.59,06042
6,43,149,3,2.01,4,2.68,71,47.65,49,32.89,17,11.41,2,1.34,3,2.01,06043
6,44,150,2,1.33,2,1.33,67,44.67,53,35.33,23,15.33,1,0.67,2,1.33,06044
6,45,210,7,3.33,6,2.86,90,42.86,77,36.67,24,11.43,2,0.95,4,1.9,06045
6,46,126,5,3.97,2,1.59,54,42.86,44,34.92,12,9.52,1,0.79,8,6.35,06046
6,47,125,4,3.2,2,1.6,61,48.8,38,30.4,12,9.6,0,0.0,8,6.4,06047
6,48,169,2,1.18,5,2.96,69,40.83,65,38.46,18,10.65,0,0.0,10,5.92,06048
7,1,166,4,2.41,9,5.42,82,49.4,52,31.33,12,7.23,2,1.2,5,3.01,07001
7,2,127,1,0.79,6,4.72,73,57.48,35,27.56,4,3.15,1,0.79,7,5.51,07002
7,3,163,3,1.84,2,1.23,64,39.26,60,36.81,24,14.72,2,1.23,8,4.91,07003
7,4,151,1,0.66,4,2.65,57,37.75,59,39.07,20,13.25,3,1.99,7,4.64,07004
7,5,173,8,4.62,6,3.47,70,40.46,62,35.84,18,10.4,1,0.58,8,4.62,07005
7,6,187,5,2.67,8,4.28,43,22.99,94,50.27,27,14.44,5,2.67,5,2.67,07006
7,7,129,3,2.33,4,3.1,60,46.51,44,34.11,15,11.63,0,0.0,3,2.33,07007
7,8,145,8,5.52,6,4.14,51,35.17,57,39.31,15,10.34,0,0.0,8,5.52,07008
