ward,precinct,total,Karen A. Yarbrough,Karen A. Yarbrough Percent,precinct_id
3,24,484,484,100.0,03024
3,25,773,773,100.0,03025
3,26,544,544,100.0,03026
3,27,602,602,100.0,03027
3,28,324,324,100.0,03028
3,29,597,597,100.0,03029
3,30,492,492,100.0,03030
3,31,662,662,100.0,03031
3,32,594,594,100.0,03032
3,33,602,602,100.0,03033
3,34,633,633,100.0,03034
3,35,271,271,100.0,03035
3,36,342,342,100.0,03036
3,37,490,490,100.0,03037
3,38,435,435,100.0,03038
3,39,665,665,100.0,03039
3,40,591,591,100.0,03040
3,41,412,412,100.0,03041
4,1,651,651,100.0,04001
4,2,626,626,100.0,04002
4,3,504,504,100.0,04003
4,4,730,730,100.0,04004
4,5,524,524,100.0,04005
4,6,613,613,100.0,04006
4,7,635,635,100.0,04007
4,8,602,602,100.0,04008
4,9,582,582,100.0,04009
4,10,604,604,100.0,04010
4,11,595,595,100.0,04011
4,12,611,611,100.0,04012
4,13,603,603,100.0,04013
4,14,563,563,100.0,04014
4,15,650,650,100.0,04015
4,16,734,734,100.0,04016
4,17,673,673,100.0,04017
4,18,469,469,100.0,04018
4,19,531,531,100.0,04019
4,20,422,422,100.0,04020
4,21,712,712,100.0,04021
4,22,523,523,100.0,04022
4,23,671,671,100.0,04023
4,24,492,492,100.0,04024
4,25,564,564,100.0,04025
4,26,534,534,100.0,04026
4,27,622,622,100.0,04027
4,28,512,512,100.0,04028
4,29,564,564,100.0,04029
4,30,750,750,100.0,04030
4,31,524,524,100.0,04031
4,32,601,601,100.0,04032
4,33,580,580,100.0,04033
4,34,500,500,100.0,04034
4,35,653,653,100.0,04035
4,36,613,613,100.0,04036
4,37,795,795,100.0,04037
4,38,567,567,100.0,04038
5,1,502,502,100.0,05001
5,2,465,465,100.0,05002
5,3,503,503,100.0,05003
5,4,624,624,100.0,05004
5,5,483,483,100.0,05005
5,6,439,439,100.0,05006
5,7,482,482,100.0,05007
5,8,494,494,100.0,05008
5,9,595,595,100.0,05009
5,10,451,451,100.0,05010
5,11,528,528,100.0,05011
5,12,413,413,100.0,05012
5,13,446,446,100.0,05013
5,14,417,417,100.0,05014
5,15,474,474,100.0,05015
5,16,528,528,100.0,05016
5,17,465,465,100.0,05017
5,18,481,481,100.0,05018
5,19,465,465,100.0,05019
5,20,565,565,100.0,05020
5,21,535,535,100.0,05021
5,22,542,542,100.0,05022
5,23,838,838,100.0,05023
5,24,552,552,100.0,05024
5,25,474,474,100.0,05025
5,26,563,563,100.0,05026
5,27,653,653,100.0,05027
5,28,527,527,100.0,05028
5,29,569,569,100.0,05029
5,30,430,430,100.0,05030
5,31,441,441,100.0,05031
5,32,560,560,100.0,05032
5,33,523,523,100.0,05033
5,34,590,590,100.0,05034
5,35,507,507,100.0,05035
5,36,334,334,100.0,05036
5,37,496,496,100.0,05037
5,38,507,507,100.0,05038
5,39,383,383,100.0,05039
5,40,400,400,100.0,05040
5,41,261,261,100.0,05041
6,1,467,467,100.0,06001
6,2,457,457,100.0,06002
6,3,459,459,100.0,06003
6,4,381,381,100.0,06004
6,5,342,342,100.0,06005
6,6,418,418,100.0,06006
6,7,450,450,100.0,06007
6,8,448,448,100.0,06008
6,9,478,478,100.0,06009
6,10,323,323,100.0,06010
6,11,412,412,100.0,06011
6,12,392,392,100.0,06012
6,13,336,336,100.0,06013
6,14,453,453,100.0,06014
6,15,426,426,100.0,06015
6,16,428,428,100.0,06016
6,17,366,366,100.0,06017
6,18,348,348,100.0,06018
6,19,422,422,100.0,06019
6,20,322,322,100.0,06020
6,21,299,299,100.0,06021
6,22,352,352,100.0,06022
6,23,278,278,100.0,06023
6,24,267,267,100.0,06024
6,25,294,294,100.0,06025
6,26,383,383,100.0,06026
6,27,306,306,100.0,06027
6,28,279,279,100.0,06028
6,29,463,463,100.0,06029
6,30,420,420,100.0,06030
6,31,452,452,100.0,06031
6,32,440,440,100.0,06032
6,33,451,451,100.0,06033
6,34,478,478,100.0,06034
6,35,412,412,100.0,06035
6,36,468,468,100.0,06036
6,37,439,439,100.0,06037
6,38,466,466,100.0,06038
6,39,412,412,100.0,06039
6,40,395,395,100.0,06040
6,41,460,460,100.0,06041
6,42,481,481,100.0,06042
6,43,400,400,100.0,06043
6,44,487,487,100.0,06044
6,45,501,501,100.0,06045
6,46,321,321,100.0,06046
6,47,355,355,100.0,06047
6,48,454,454,100.0,06048
7,1,420,420,100.0,07001
7,2,470,470,100.0,07002
7,3,421,421,100.0,07003
7,4,406,406,100.0,07004
7,5,372,372,100.0,07005
7,6,559,559,100.0,07006
7,7,472,472,100.0,07007
7,8,344,344,100.0,07008
7,9,710,710,100.0,07009
7,10,471,471,100.0,07010
7,11,528,528,100.0,07011
7,12,415,415,100.0,07012
7,13,256,256,100.0,07013
7,14,486,486,100.0,07014
7,15,432,432,100.0,07015
7,16,402,402,100.0,07016
7,17,379,379,100.0,07017
7,18,420,420,100.0,07018
7,19,411,411,100.0,07019
7,20,335,335,100.0,07020
7,21,370,370,100.0,07021
7,22,374,374,100.0,07022
7,23,412,412,100.0,07023
7,24,360,360,100.0,07024
7,25,424,424,100.0,07025
7,26,350,350,100.0,07026
7,27,361,361,100.0,07027
7,28,343,343,100.0,07028
7,29,370,370,100.0,07029
7,30,358,358,100.0,07030
7,31,280,280,100.0,07031
7,32,561,561,100.0,07032
7,33,500,500,100.0,07033
7,34,476,476,100.0,07034
7,35,442,442,100.0,07035
7,36,500,500,100.0,07036
7,37,449,449,100.0,07037
7,38,392,392,100.0,07038
7,39,391,391,100.0,07039
7,40,374,374,100.0,07040
7,41,411,411,100.0,07041
7,42,392,392,100.0,07042
7,43,415,415,100.0,07043
7,44,394,394,100.0,07044
7,45,464,464,100.0,07045
7,46,149,149,100.0,07046
8,1,361,361,100.0,08001
8,2,444,444,100.0,08002
8,3,450,450,100.0,08003
8,4,459,459,100.0,08004
8,5,465,465,100.0,08005
8,6,457,457,100.0,08006
8,7,501,501,100.0,08007
8,8,404,404,100.0,08008
8,9,301,301,100.0,08009
8,10,507,507,100.0,08010
8,11,408,408,100.0,08011
8,12,389,389,100.0,08012
8,13,515,515,100.0,08013
8,14,431,431,100.0,08014
8,15,452,452,100.0,08015
8,16,163,163,100.0,08016
8,17,364,364,100.0,08017
8,18,473,473,100.0,08018
8,19,462,462,100.0,08019
8,20,479,479,100.0,08020
8,21,609,609,100.0,08021
8,22,411,411,100.0,08022
8,23,401,401,100.0,08023
8,24,275,275,100.0,08024
8,25,456,456,100.0,08025
8,26,462,462,100.0,08026
8,27,472,472,100.0,08027
8,28,471,471,100.0,08028
8,29,518,518,100.0,08029
8,30,465,465,100.0,08030
8,31,347,347,100.0,08031
8,32,360,360,100.0,08032
8,33,412,412,100.0,08033
8,34,400,400,100.0,08034
8,35,455,455,100.0,08035
8,36,472,472,100.0,08036
8,37,353,353,100.0,08037
8,38,286,286,100.0,08038
8,39,463,463,100.0,08039
8,40,347,347,100.0,08040
8,41,474,474,100.0,08041
8,42,586,586,100.0,08042
8,43,244,244,100.0,08043
8,44,305,305,100.0,08044
8,45,480,480,100.0,08045
8,46,374,374,100.0,08046
8,47,369,369,100.0,08047
8,48,428,428,100.0,08048
8,49,400,400,100.0,08049
8,50,449,449,100.0,08050
8,51,482,482,100.0,08051
8,52,567,567,100.0,08052
8,53,247,247,100.0,08053
8,54,446,446,100.0,08054
8,55,340,340,100.0,08055
8,56,459,459,100.0,08056
9,1,448,448,100.0,09001
9,2,414,414,100.0,09002
9,3,408,408,100.0,09003
9,4,367,367,100.0,09004
9,5,368,368,100.0,09005
9,6,414,414,100.0,09006
9,7,328,328,100.0,09007
9,8,488,488,100.0,09008
9,9,479,479,100.0,09009
9,10,366,366,100.0,09010
9,11,355,355,100.0,09011
9,12,495,495,100.0,09012
9,13,454,454,100.0,09013
9,14,524,524,100.0,09014
9,15,510,510,100.0,09015
9,16,392,392,100.0,09016
9,17,397,397,100.0,09017
9,18,335,335,100.0,09018
9,19,407,407,100.0,09019
9,20,427,427,100.0,09020
9,21,388,388,100.0,09021
9,22,456,456,100.0,09022
9,23,458,458,100.0,09023
9,24,418,418,100.0,09024
9,25,436,436,100.0,09025
9,26,615,615,100.0,09026
9,27,402,402,100.0,09027
9,28,306,306,100.0,09028
9,29,409,409,100.0,09029
9,30,371,371,100.0,09030
9,31,359,359,100.0,09031
9,32,409,409,100.0,09032
9,33,357,357,100.0,09033
9,34,392,392,100.0,09034
9,35,425,425,100.0,09035
9,36,390,390,100.0,09036
9,37,492,492,100.0,09037
9,38,438,438,100.0,09038
9,39,472,472,100.0,09039
9,40,457,457,100.0,09040
9,41,370,370,100.0,09041
9,42,424,424,100.0,09042
9,43,436,436,100.0,09043
9,44,362,362,100.0,09044
9,45,391,391,100.0,09045
9,46,451,451,100.0,09046
9,47,458,458,100.0,09047
9,48,448,448,100.0,09048
9,49,443,443,100.0,09049
9,50,540,540,100.0,09050
9,51,426,426,100.0,09051
10,1,366,366,100.0,10001
10,2,320,320,100.0,10002
10,3,328,328,100.0,10003
10,4,355,355,100.0,10004
10,5,287,287,100.0,10005
10,6,312,312,100.0,10006
10,7,291,291,100.0,10007
10,8,328,328,100.0,10008
10,9,306,306,100.0,10009
10,10,363,363,100.0,10010
10,11,472,472,100.0,10011
10,12,264,264,100.0,10012
10,13,475,475,100.0,10013
10,14,465,465,100.0,10014
10,15,815,815,100.0,10015
10,16,294,294,100.0,10016
10,17,431,431,100.0,10017
10,18,290,290,100.0,10018
10,19,385,385,100.0,10019
10,20,370,370,100.0,10020
10,21,378,378,100.0,10021
10,22,259,259,100.0,10022
10,23,366,366,100.0,10023
10,24,342,342,100.0,10024
10,25,138,138,100.0,10025
10,26,314,314,100.0,10026
10,27,440,440,100.0,10027
10,28,430,430,100.0,10028
10,29,368,368,100.0,10029
10,30,379,379,100.0,10030
10,31,309,309,100.0,10031
10,32,360,360,100.0,10032
10,33,291,291,100.0,10033
10,34,309,309,100.0,10034
10,35,345,345,100.0,10035
10,36,91,91,100.0,10036
11,1,420,420,100.0,11001
11,2,72,72,100.0,11002
11,3,402,402,100.0,11003
11,4,383,383,100.0,11004
11,5,562,562,100.0,11005
11,6,607,607,100.0,11006
11,7,767,767,100.0,11007
11,8,395,395,100.0,11008
11,9,351,351,100.0,11009
11,10,362,362,100.0,11010
11,11,456,456,100.0,11011
11,12,524,524,100.0,11012
11,13,484,484,100.0,11013
11,14,196,196,100.0,11014
11,15,148,148,100.0,11015
11,16,261,261,100.0,11016
11,17,491,491,100.0,11017
11,18,330,330,100.0,11018
11,19,541,541,100.0,11019
11,20,279,279,100.0,11020
11,21,531,531,100.0,11021
11,22,510,510,100.0,11022
11,23,235,235,100.0,11023
11,24,497,497,100.0,11024
11,25,485,485,100.0,11025
11,26,461,461,100.0,11026
11,27,162,162,100.0,11027
11,28,199,199,100.0,11028
11,29,443,443,100.0,11029
11,30,183,183,100.0,11030
11,31,409,409,100.0,11031
11,32,196,196,100.0,11032
11,33,483,483,100.0,11033
11,34,126,126,100.0,11034
11,35,82,82,100.0,11035
11,36,177,177,100.0,11036
11,37,121,121,100.0,11037
11,38,209,209,100.0,11038
12,1,421,421,100.0,12001
12,2,310,310,100.0,12002
12,3,490,490,100.0,12003
12,4,399,399,100.0,12004
12,5,329,329,100.0,12005
12,6,391,391,100.0,12006
12,7,420,420,100.0,12007
12,8,402,402,100.0,12008
12,9,323,323,100.0,12009
12,10,471,471,100.0,12010
12,11,424,424,100.0,12011
12,12,401,401,100.0,12012
12,13,420,420,100.0,12013
12,14,372,372,100.0,12014
12,15,353,353,100.0,12015
12,16,383,383,100.0,12016
12,17,449,449,100.0,12017
12,18,343,343,100.0,12018
12,19,390,390,100.0,12019
12,20,501,501,100.0,12020
12,21,426,426,100.0,12021
12,22,380,380,100.0,12022
12,23,407,407,100.0,12023
13,1,278,278,100.0,13001
13,2,248,248,100.0,13002
13,3,276,276,100.0,13003
13,4,347,347,100.0,13004
13,5,416,416,100.0,13005
13,6,294,294,100.0,13006
13,7,295,295,100.0,13007
13,8,257,257,100.0,13008
13,9,354,354,100.0,13009
13,10,259,259,100.0,13010
13,11,345,345,100.0,13011
