ward,precinct,total,Jeffrey A. Leef,Jeffrey A. Leef Percent,Danny K. Davis,Danny K. Davis Percent,precinct_id
25,4,552,69,12.5,483,87.5,25004
25,6,164,44,26.83,120,73.17,25006
25,10,854,287,33.61,567,66.39,25010
25,14,276,56,20.29,220,79.71,25014
25,16,804,297,36.94,507,63.06,25016
25,18,314,57,18.15,257,81.85,25018
25,20,461,18,3.9,443,96.1,25020
25,21,928,211,22.74,717,77.26,25021
25,25,564,154,27.3,410,72.7,25025
25,27,722,191,26.45,531,73.55,25027
25,29,510,38,7.45,472,92.55,25029
25,31,977,356,36.44,621,63.56,25031
26,1,241,25,10.37,216,89.63,26001
26,3,479,88,18.37,391,81.63,26003
26,4,313,23,7.35,290,92.65,26004
26,10,302,30,9.93,272,90.07,26010
26,17,346,117,33.82,229,66.18,26017
26,19,297,24,8.08,273,91.92,26019
26,21,526,43,8.17,483,91.83,26021
26,27,192,22,11.46,170,88.54,26027
26,28,269,52,19.33,217,80.67,26028
26,33,368,36,9.78,332,90.22,26033
26,36,402,60,14.93,342,85.07,26036
26,39,257,38,14.79,219,85.21,26039
26,45,61,7,11.48,54,88.52,26045
26,46,298,72,24.16,226,75.84,26046
27,1,720,229,31.81,491,68.19,27001
27,2,564,129,22.87,435,77.13,27002
27,3,326,14,4.29,312,95.71,27003
27,4,288,25,8.68,263,91.32,27004
27,5,367,13,3.54,354,96.46,27005
27,6,512,99,19.34,413,80.66,27006
27,8,437,20,4.58,417,95.42,27008
27,9,277,93,33.57,184,66.43,27009
27,10,515,23,4.47,492,95.53,27010
27,11,598,190,31.77,408,68.23,27011
27,13,518,28,5.41,490,94.59,27013
27,14,311,9,2.89,302,97.11,27014
27,15,368,6,1.63,362,98.37,27015
27,16,635,194,30.55,441,69.45,27016
27,17,517,31,6.0,486,94.0,27017
27,18,382,23,6.02,359,93.98,27018
27,19,333,20,6.01,313,93.99,27019
27,20,458,15,3.28,443,96.72,27020
27,21,532,188,35.34,344,64.66,27021
27,22,291,15,5.15,276,94.85,27022
27,23,388,5,1.29,383,98.71,27023
27,24,393,20,5.09,373,94.91,27024
27,25,447,44,9.84,403,90.16,27025
27,26,389,17,4.37,372,95.63,27026
27,27,608,51,8.39,557,91.61,27027
27,28,251,50,19.92,201,80.08,27028
27,29,397,17,4.28,380,95.72,27029
27,30,264,12,4.55,252,95.45,27030
27,31,412,21,5.1,391,94.9,27031
27,32,434,30,6.91,404,93.09,27032
27,33,520,117,22.5,403,77.5,27033
27,34,455,9,1.98,446,98.02,27034
27,35,530,167,31.51,363,68.49,27035
27,36,374,27,7.22,347,92.78,27036
27,37,550,122,22.18,428,77.82,27037
27,38,748,139,18.58,609,81.42,27038
27,39,333,23,6.91,310,93.09,27039
27,40,597,144,24.12,453,75.88,27040
27,41,457,8,1.75,449,98.25,27041
27,42,125,2,1.6,123,98.4,27042
27,43,392,19,4.85,373,95.15,27043
27,44,407,9,2.21,398,97.79,27044
27,45,997,312,31.29,685,68.71,27045
27,47,368,38,10.33,330,89.67,27047
27,48,850,128,15.06,722,84.94,27048
27,49,377,10,2.65,367,97.35,27049
27,50,487,13,2.67,474,97.33,27050
28,1,414,11,2.66,403,97.34,28001
28,2,418,15,3.59,403,96.41,28002
28,3,401,8,2.0,393,98.0,28003
28,4,386,98,25.39,288,74.61,28004
28,5,220,8,3.64,212,96.36,28005
28,6,220,35,15.91,185,84.09,28006
28,7,506,11,2.17,495,97.83,28007
28,8,478,136,28.45,342,71.55,28008
28,9,440,10,2.27,430,97.73,28009
28,10,569,97,17.05,472,82.95,28010
28,11,870,103,11.84,767,88.16,28011
28,12,481,11,2.29,470,97.71,28012
28,13,428,15,3.5,413,96.5,28013
28,14,424,10,2.36,414,97.64,28014
28,15,156,2,1.28,154,98.72,28015
28,16,313,10,3.19,303,96.81,28016
28,17,424,9,2.12,415,97.88,28017
28,18,337,12,3.56,325,96.44,28018
28,19,383,54,14.1,329,85.9,28019
28,20,444,18,4.05,426,95.95,28020
28,21,387,8,2.07,379,97.93,28021
28,22,403,20,4.96,383,95.04,28022
28,23,582,17,2.92,565,97.08,28023
28,24,408,15,3.68,393,96.32,28024
28,25,546,20,3.66,526,96.34,28025
28,26,532,13,2.44,519,97.56,28026
28,27,457,125,27.35,332,72.65,28027
28,28,513,125,24.37,388,75.63,28028
28,29,253,8,3.16,245,96.84,28029
28,30,71,2,2.82,69,97.18,28030
28,31,569,13,2.28,556,97.72,28031
28,32,478,9,1.88,469,98.12,28032
28,33,537,12,2.23,525,97.77,28033
28,34,868,37,4.26,831,95.74,28034
28,35,539,10,1.86,529,98.14,28035
28,36,265,5,1.89,260,98.11,28036
28,37,606,21,3.47,585,96.53,28037
28,38,216,1,0.46,215,99.54,28038
28,39,359,12,3.34,347,96.66,28039
28,40,575,17,2.96,558,97.04,28040
28,41,351,10,2.85,341,97.15,28041
28,42,530,10,1.89,520,98.11,28042
28,43,597,10,1.68,587,98.32,28043
28,44,335,10,2.99,325,97.01,28044
28,45,495,126,25.45,369,74.55,28045
28,46,788,150,19.04,638,80.96,28046
29,1,570,118,20.7,452,79.3,29001
29,2,730,25,3.42,705,96.58,29002
29,3,605,19,3.14,586,96.86,29003
29,4,587,15,2.56,572,97.44,29004
29,5,498,11,2.21,487,97.79,29005
29,6,461,24,5.21,437,94.79,29006
29,7,484,56,11.57,428,88.43,29007
29,8,504,12,2.38,492,97.62,29008
29,9,7,2,28.57,5,71.43,29009
29,10,596,111,18.62,485,81.38,29010
29,11,319,11,3.45,308,96.55,29011
29,12,614,29,4.72,585,95.28,29012
29,13,575,22,3.83,553,96.17,29013
29,14,500,11,2.2,489,97.8,29014
29,15,589,25,4.24,564,95.76,29015
29,16,565,11,1.95,554,98.05,29016
29,17,500,12,2.4,488,97.6,29017
29,18,535,17,3.18,518,96.82,29018
29,19,561,17,3.03,544,96.97,29019
29,20,660,13,1.97,647,98.03,29020
29,21,709,24,3.39,685,96.61,29021
29,22,411,21,5.11,390,94.89,29022
29,24,484,22,4.55,462,95.45,29024
29,25,579,12,2.07,567,97.93,29025
29,26,524,26,4.96,498,95.04,29026
29,27,455,14,3.08,441,96.92,29027
29,28,647,11,1.7,636,98.3,29028
29,33,361,15,4.16,346,95.84,29033
29,34,324,38,11.73,286,88.27,29034
29,35,401,6,1.5,395,98.5,29035
29,36,437,16,3.66,421,96.34,29036
29,37,480,17,3.54,463,96.46,29037
29,40,584,14,2.4,570,97.6,29040
29,41,452,10,2.21,442,97.79,29041
29,42,579,17,2.94,562,97.06,29042
29,43,365,37,10.14,328,89.86,29043
29,44,643,33,5.13,610,94.87,29044
36,5,457,66,14.44,391,85.56,36005
36,21,104,13,12.5,91,87.5,36021
37,1,386,27,6.99,359,93.01,37001
37,2,372,23,6.18,349,93.82,37002
37,3,400,6,1.5,394,98.5,37003
37,4,425,23,5.41,402,94.59,37004
37,5,484,16,3.31,468,96.69,37005
37,6,488,16,3.28,472,96.72,37006
37,7,341,14,4.11,327,95.89,37007
37,8,395,13,3.29,382,96.71,37008
37,9,544,11,2.02,533,97.98,37009
37,10,549,41,7.47,508,92.53,37010
37,11,413,8,1.94,405,98.06,37011
37,12,383,29,7.57,354,92.43,37012
37,13,379,19,5.01,360,94.99,37013
37,14,521,11,2.11,510,97.89,37014
37,15,508,20,3.94,488,96.06,37015
37,16,517,22,4.26,495,95.74,37016
37,17,447,9,2.01,438,97.99,37017
37,18,458,19,4.15,439,95.85,37018
37,19,427,13,3.04,414,96.96,37019
37,20,423,7,1.65,416,98.35,37020
37,21,443,27,6.09,416,93.91,37021
37,22,436,24,5.5,412,94.5,37022
37,23,461,12,2.6,449,97.4,37023
37,24,507,20,3.94,487,96.06,37024
37,25,459,16,3.49,443,96.51,37025
37,26,500,21,4.2,479,95.8,37026
37,27,508,16,3.15,492,96.85,37027
37,28,426,22,5.16,404,94.84,37028
37,29,492,15,3.05,477,96.95,37029
37,30,468,7,1.5,461,98.5,37030
37,31,520,12,2.31,508,97.69,37031
37,32,456,14,3.07,442,96.93,37032
37,33,567,12,2.12,555,97.88,37033
37,34,479,13,2.71,466,97.29,37034
37,35,490,10,2.04,480,97.96,37035
37,36,492,10,2.03,482,97.97,37036
37,37,561,18,3.21,543,96.79,37037
37,38,512,11,2.15,501,97.85,37038
37,39,474,10,2.11,464,97.89,37039
37,40,508,9,1.77,499,98.23,37040
37,41,465,27,5.81,438,94.19,37041
42,1,601,220,36.61,381,63.39,42001
42,2,754,258,34.22,496,65.78,42002
42,3,715,212,29.65,503,70.35,42003
42,4,1196,421,35.2,775,64.8,42004
42,5,545,195,35.78,350,64.22,42005
42,6,631,206,32.65,425,67.35,42006
42,7,781,302,38.67,479,61.33,42007
42,8,597,169,28.31,428,71.69,42008
42,9,741,217,29.28,524,70.72,42009
42,10,842,266,31.59,576,68.41,42010
42,11,460,207,45.0,253,55.0,42011
42,12,550,206,37.45,344,62.55,42012
42,13,546,205,37.55,341,62.45,42013
42,14,823,348,42.28,475,57.72,42014
42,15,595,260,43.7,335,56.3,42015
42,16,682,225,32.99,457,67.01,42016
42,17,946,373,39.43,573,60.57,42017
42,18,850,328,38.59,522,61.41,42018
42,19,848,332,39.15,516,60.85,42019
42,20,732,300,40.98,432,59.02,42020
42,21,682,220,32.26,462,67.74,42021
42,22,386,173,44.82,213,55.18,42022
42,23,730,321,43.97,409,56.03,42023
42,24,670,251,37.46,419,62.54,42024
42,25,745,303,40.67,442,59.33,42025
42,26,808,275,34.03,533,65.97,42026
42,27,474,153,32.28,321,67.72,42027
42,28,763,259,33.94,504,66.06,42028
42,29,716,283,39.53,433,60.47,42029
42,30,552,243,44.02,309,55.98,42030
42,31,851,333,39.13,518,60.87,42031
42,32,734,339,46.19,395,53.81,42032
42,33,741,177,23.89,564,76.11,42033
42,34,595,262,44.03,333,55.97,42034
42,35,905,264,29.17,641,70.83,42035
42,36,1096,411,37.5,685,62.5,42036
42,37,505,206,40.79,299,59.21,42037
42,38,641,240,37.44,401,62.56,42038
42,39,788,288,36.55,500,63.45,42039
42,40,916,313,34.17,603,65.83,42040
42,41,692,206,29.77,486,70.23,42041
42,42,1073,316,29.45,757,70.55,42042
43,1,354,105,29.66,249,70.34,43001
43,5,109,42,38.53,67,61.47,43005
43,9,87,35,40.23,52,59.77,43009
43,33,661,277,41.91,384,58.09,43033
43,35,740,286,38.65,454,61.35,43035
43,45,394,125,31.73,269,68.27,43045
