ward,precinct,total,Trump & Pence,Trump & Pence Percent,Clinton & Kaine,Clinton & Kaine Percent,Johnson & Weld,Johnson & Weld Percent,Stein & Baraka,Stein & Baraka Percent,precinct_id
2,40,808,165,20.42,609,75.37,27,3.34,7,0.87,02040
2,41,724,147,20.3,536,74.03,32,4.42,9,1.24,02041
2,42,760,143,18.82,577,75.92,34,4.47,6,0.79,02042
2,43,927,198,21.36,676,72.92,46,4.96,7,0.76,02043
2,44,430,83,19.3,317,73.72,26,6.05,4,0.93,02044
2,45,638,100,15.67,505,79.15,21,3.29,12,1.88,02045
2,46,407,74,18.18,304,74.69,24,5.9,5,1.23,02046
3,1,723,16,2.21,691,95.57,6,0.83,10,1.38,03001
3,2,677,12,1.77,653,96.45,3,0.44,9,1.33,03002
3,3,596,46,7.72,539,90.44,6,1.01,5,0.84,03003
3,4,632,12,1.9,608,96.2,3,0.47,9,1.42,03004
3,5,453,12,2.65,439,96.91,0,0.0,2,0.44,03005
3,6,755,123,16.29,586,77.62,35,4.64,11,1.46,03006
3,7,413,13,3.15,392,94.92,2,0.48,6,1.45,03007
3,8,610,9,1.48,586,96.07,3,0.49,12,1.97,03008
3,9,594,14,2.36,563,94.78,4,0.67,13,2.19,03009
3,10,353,7,1.98,345,97.73,0,0.0,1,0.28,03010
3,11,612,7,1.14,589,96.24,4,0.65,12,1.96,03011
3,12,559,12,2.15,531,94.99,6,1.07,10,1.79,03012
3,13,733,102,13.92,595,81.17,25,3.41,11,1.5,03013
3,14,670,70,10.45,565,84.33,26,3.88,9,1.34,03014
3,15,643,12,1.87,624,97.05,2,0.31,5,0.78,03015
3,16,587,8,1.36,562,95.74,5,0.85,12,2.04,03016
3,17,769,67,8.71,671,87.26,20,2.6,11,1.43,03017
3,18,888,25,2.82,842,94.82,6,0.68,15,1.69,03018
3,19,728,126,17.31,562,77.2,34,4.67,6,0.82,03019
3,20,636,5,0.79,624,98.11,3,0.47,4,0.63,03020
3,21,693,104,15.01,564,81.39,20,2.89,5,0.72,03021
3,22,872,116,13.3,718,82.34,22,2.52,16,1.83,03022
3,23,552,8,1.45,530,96.01,6,1.09,8,1.45,03023
3,24,568,12,2.11,549,96.65,4,0.7,3,0.53,03024
3,25,1019,170,16.68,797,78.21,40,3.93,12,1.18,03025
3,26,723,93,12.86,593,82.02,26,3.6,11,1.52,03026
3,27,790,142,17.97,611,77.34,29,3.67,8,1.01,03027
3,28,360,8,2.22,348,96.67,1,0.28,3,0.83,03028
3,29,709,14,1.97,684,96.47,4,0.56,7,0.99,03029
3,30,565,8,1.42,546,96.64,3,0.53,8,1.42,03030
3,31,758,15,1.98,731,96.44,7,0.92,5,0.66,03031
3,32,762,88,11.55,647,84.91,19,2.49,8,1.05,03032
3,33,785,96,12.23,645,82.17,34,4.33,10,1.27,03033
3,34,804,90,11.19,676,84.08,28,3.48,10,1.24,03034
3,35,311,9,2.89,296,95.18,3,0.96,3,0.96,03035
3,36,391,5,1.28,377,96.42,3,0.77,6,1.53,03036
3,37,559,7,1.25,541,96.78,3,0.54,8,1.43,03037
3,38,494,6,1.21,483,97.77,4,0.81,1,0.2,03038
3,39,857,107,12.49,699,81.56,40,4.67,11,1.28,03039
3,40,707,44,6.22,642,90.81,12,1.7,9,1.27,03040
3,41,525,46,8.76,453,86.29,15,2.86,11,2.1,03041
4,1,767,29,3.78,701,91.4,14,1.83,23,3.0,04001
4,2,786,100,12.72,641,81.55,38,4.83,7,0.89,04002
4,3,588,6,1.02,570,96.94,4,0.68,8,1.36,04003
4,4,819,19,2.32,791,96.58,6,0.73,3,0.37,04004
4,5,586,17,2.9,550,93.86,6,1.02,13,2.22,04005
4,6,713,39,5.47,668,93.69,2,0.28,4,0.56,04006
4,7,715,8,1.12,688,96.22,9,1.26,10,1.4,04007
4,8,661,8,1.21,630,95.31,3,0.45,20,3.03,04008
4,9,637,12,1.88,611,95.92,1,0.16,13,2.04,04009
4,10,667,18,2.7,633,94.9,8,1.2,8,1.2,04010
4,11,687,14,2.04,661,96.22,5,0.73,7,1.02,04011
4,12,673,11,1.63,647,96.14,5,0.74,10,1.49,04012
4,13,733,55,7.5,625,85.27,38,5.18,15,2.05,04013
4,14,632,18,2.85,606,95.89,3,0.47,5,0.79,04014
4,15,740,24,3.24,700,94.59,7,0.95,9,1.22,04015
4,16,929,110,11.84,777,83.64,32,3.44,10,1.08,04016
4,17,845,83,9.82,711,84.14,30,3.55,21,2.49,04017
4,18,549,12,2.19,526,95.81,1,0.18,10,1.82,04018
4,19,621,9,1.45,606,97.58,1,0.16,5,0.81,04019
4,20,575,75,13.04,478,83.13,19,3.3,3,0.52,04020
4,21,877,88,10.03,744,84.83,31,3.53,14,1.6,04021
4,22,619,14,2.26,592,95.64,7,1.13,6,0.97,04022
4,23,798,20,2.51,755,94.61,9,1.13,14,1.75,04023
4,24,571,21,3.68,523,91.59,10,1.75,17,2.98,04024
4,25,729,86,11.8,605,82.99,29,3.98,9,1.23,04025
4,26,618,15,2.43,599,96.93,2,0.32,2,0.32,04026
4,27,719,18,2.5,671,93.32,9,1.25,21,2.92,04027
4,28,569,30,5.27,525,92.27,7,1.23,7,1.23,04028
4,29,628,4,0.64,608,96.82,5,0.8,11,1.75,04029
4,30,865,14,1.62,837,96.76,5,0.58,9,1.04,04030
4,31,594,18,3.03,567,95.45,3,0.51,6,1.01,04031
4,32,662,8,1.21,634,95.77,10,1.51,10,1.51,04032
4,33,666,20,3.0,621,93.24,5,0.75,20,3.0,04033
4,34,557,15,2.69,524,94.08,4,0.72,14,2.51,04034
4,35,718,17,2.37,692,96.38,6,0.84,3,0.42,04035
4,36,674,14,2.08,642,95.25,6,0.89,12,1.78,04036
4,37,1027,106,10.32,879,85.59,31,3.02,11,1.07,04037
4,38,621,9,1.45,597,96.14,4,0.64,11,1.77,04038
5,1,557,13,2.33,531,95.33,5,0.9,8,1.44,05001
5,2,514,11,2.14,497,96.69,1,0.19,5,0.97,05002
5,3,641,22,3.43,589,91.89,10,1.56,20,3.12,05003
5,4,713,27,3.79,659,92.43,3,0.42,24,3.37,05004
5,5,562,10,1.78,545,96.98,1,0.18,6,1.07,05005
5,6,498,12,2.41,472,94.78,2,0.4,12,2.41,05006
5,7,568,26,4.58,529,93.13,8,1.41,5,0.88,05007
5,8,621,22,3.54,576,92.75,16,2.58,7,1.13,05008
5,9,684,18,2.63,640,93.57,10,1.46,16,2.34,05009
5,10,541,5,0.92,518,95.75,2,0.37,16,2.96,05010
5,11,618,38,6.15,552,89.32,10,1.62,18,2.91,05011
5,12,480,7,1.46,463,96.46,5,1.04,5,1.04,05012
5,13,521,6,1.15,502,96.35,2,0.38,11,2.11,05013
5,14,459,3,0.65,446,97.17,5,1.09,5,1.09,05014
5,15,575,18,3.13,532,92.52,12,2.09,13,2.26,05015
5,16,609,7,1.15,594,97.54,2,0.33,6,0.99,05016
5,17,553,14,2.53,529,95.66,3,0.54,7,1.27,05017
5,18,558,14,2.51,518,92.83,6,1.08,20,3.58,05018
5,19,578,31,5.36,518,89.62,10,1.73,19,3.29,05019
5,20,647,18,2.78,614,94.9,6,0.93,9,1.39,05020
5,21,634,21,3.31,582,91.8,13,2.05,18,2.84,05021
5,22,642,32,4.98,591,92.06,9,1.4,10,1.56,05022
5,23,1039,46,4.43,951,91.53,19,1.83,23,2.21,05023
5,24,653,22,3.37,606,92.8,9,1.38,16,2.45,05024
5,25,535,15,2.8,506,94.58,9,1.68,5,0.93,05025
5,26,631,11,1.74,606,96.04,4,0.63,10,1.58,05026
5,27,853,38,4.45,783,91.79,14,1.64,18,2.11,05027
5,28,596,14,2.35,570,95.64,6,1.01,6,1.01,05028
5,29,648,15,2.31,614,94.75,8,1.23,11,1.7,05029
5,30,486,14,2.88,466,95.88,3,0.62,3,0.62,05030
5,31,493,5,1.01,471,95.54,7,1.42,10,2.03,05031
5,32,617,16,2.59,584,94.65,6,0.97,11,1.78,05032
5,33,611,7,1.15,597,97.71,2,0.33,5,0.82,05033
5,34,764,34,4.45,694,90.84,17,2.23,19,2.49,05034
5,35,605,33,5.45,544,89.92,8,1.32,20,3.31,05035
5,36,387,9,2.33,373,96.38,2,0.52,3,0.78,05036
5,37,617,22,3.57,573,92.87,10,1.62,12,1.94,05037
5,38,588,8,1.36,567,96.43,3,0.51,10,1.7,05038
5,39,496,18,3.63,457,92.14,11,2.22,10,2.02,05039
5,40,462,7,1.52,447,96.75,3,0.65,5,1.08,05040
5,41,297,7,2.36,278,93.6,4,1.35,8,2.69,05041
6,1,509,6,1.18,498,97.84,5,0.98,0,0.0,06001
6,2,503,3,0.6,489,97.22,4,0.8,7,1.39,06002
6,3,507,10,1.97,491,96.84,3,0.59,3,0.59,06003
6,4,440,3,0.68,432,98.18,1,0.23,4,0.91,06004
6,5,403,7,1.74,393,97.52,2,0.5,1,0.25,06005
6,6,469,14,2.99,446,95.1,6,1.28,3,0.64,06006
6,7,509,9,1.77,488,95.87,2,0.39,10,1.96,06007
6,8,499,8,1.6,484,96.99,1,0.2,6,1.2,06008
6,9,572,10,1.75,554,96.85,3,0.52,5,0.87,06009
6,10,392,8,2.04,381,97.19,2,0.51,1,0.26,06010
6,11,481,9,1.87,464,96.47,1,0.21,7,1.46,06011
6,12,462,11,2.38,448,96.97,2,0.43,1,0.22,06012
6,13,390,6,1.54,376,96.41,3,0.77,5,1.28,06013
6,14,508,8,1.57,491,96.65,1,0.2,8,1.57,06014
6,15,529,16,3.02,507,95.84,2,0.38,4,0.76,06015
6,16,484,7,1.45,463,95.66,6,1.24,8,1.65,06016
6,17,434,7,1.61,420,96.77,4,0.92,3,0.69,06017
6,18,423,7,1.65,413,97.64,1,0.24,2,0.47,06018
6,19,486,9,1.85,469,96.5,3,0.62,5,1.03,06019
6,20,384,4,1.04,370,96.35,2,0.52,8,2.08,06020
6,21,362,4,1.1,353,97.51,1,0.28,4,1.1,06021
6,22,400,9,2.25,388,97.0,1,0.25,2,0.5,06022
6,23,358,9,2.51,346,96.65,2,0.56,1,0.28,06023
6,24,319,9,2.82,306,95.92,3,0.94,1,0.31,06024
6,25,343,9,2.62,327,95.34,4,1.17,3,0.87,06025
6,26,458,3,0.66,443,96.72,6,1.31,6,1.31,06026
6,27,368,12,3.26,350,95.11,1,0.27,5,1.36,06027
6,28,325,3,0.92,317,97.54,4,1.23,1,0.31,06028
6,29,501,7,1.4,482,96.21,3,0.6,9,1.8,06029
6,30,490,10,2.04,469,95.71,4,0.82,7,1.43,06030
6,31,480,7,1.46,465,96.88,2,0.42,6,1.25,06031
6,32,478,7,1.46,462,96.65,0,0.0,9,1.88,06032
6,33,503,15,2.98,479,95.23,2,0.4,7,1.39,06033
6,34,528,8,1.52,517,97.92,1,0.19,2,0.38,06034
6,35,452,5,1.11,445,98.45,0,0.0,2,0.44,06035
6,36,516,9,1.74,503,97.48,3,0.58,1,0.19,06036
6,37,472,19,4.03,442,93.64,2,0.42,9,1.91,06037
6,38,498,9,1.81,482,96.79,1,0.2,6,1.2,06038
6,39,489,6,1.23,474,96.93,4,0.82,5,1.02,06039
6,40,440,8,1.82,427,97.05,3,0.68,2,0.45,06040
6,41,496,7,1.41,484,97.58,3,0.6,2,0.4,06041
6,42,552,9,1.63,538,97.46,0,0.0,5,0.91,06042
6,43,452,6,1.33,438,96.9,4,0.88,4,0.88,06043
6,44,559,9,1.61,538,96.24,4,0.72,8,1.43,06044
6,45,558,11,1.97,538,96.42,1,0.18,8,1.43,06045
6,46,355,5,1.41,346,97.46,2,0.56,2,0.56,06046
6,47,421,11,2.61,408,96.91,1,0.24,1,0.24,06047
6,48,511,9,1.76,496,97.06,3,0.59,3,0.59,06048
7,1,492,10,2.03,474,96.34,4,0.81,4,0.81,07001
7,2,532,11,2.07,512,96.24,5,0.94,4,0.75,07002
7,3,453,9,1.99,437,96.47,4,0.88,3,0.66,07003
7,4,446,11,2.47,428,95.96,2,0.45,5,1.12,07004
7,5,431,8,1.86,411,95.36,2,0.46,10,2.32,07005
7,6,620,17,2.74,578,93.23,7,1.13,18,2.9,07006
7,7,534,11,2.06,518,97.0,2,0.37,3,0.56,07007
7,8,402,18,4.48,373,92.79,3,0.75,8,1.99,07008
7,9,781,22,2.82,749,95.9,4,0.51,6,0.77,07009
7,10,503,8,1.59,492,97.81,0,0.0,3,0.6,07010
7,11,592,6,1.01,574,96.96,3,0.51,9,1.52,07011
7,12,512,7,1.37,496,96.88,1,0.2,8,1.56,07012
7,13,323,9,2.79,309,95.67,1,0.31,4,1.24,07013
7,14,547,14,2.56,521,95.25,4,0.73,8,1.46,07014
7,15,472,8,1.69,453,95.97,3,0.64,8,1.69,07015
7,16,448,10,2.23,430,95.98,2,0.45,6,1.34,07016
7,17,433,9,2.08,421,97.23,1,0.23,2,0.46,07017
7,18,475,11,2.32,461,97.05,1,0.21,2,0.42,07018
7,19,463,9,1.94,448,96.76,3,0.65,3,0.65,07019
7,20,386,9,2.33,369,95.6,4,1.04,4,1.04,07020
7,21,424,17,4.01,403,95.05,1,0.24,3,0.71,07021
7,22,443,16,3.61,419,94.58,5,1.13,3,0.68,07022
7,23,452,7,1.55,440,97.35,1,0.22,4,0.88,07023
7,24,429,6,1.4,420,97.9,0,0.0,3,0.7,07024
7,25,475,19,4.0,442,93.05,5,1.05,9,1.89,07025
7,26,377,7,1.86,366,97.08,2,0.53,2,0.53,07026
7,27,404,7,1.73,391,96.78,3,0.74,3,0.74,07027
7,28,379,12,3.17,356,93.93,6,1.58,5,1.32,07028
7,29,404,9,2.23,386,95.54,1,0.25,8,1.98,07029
7,30,421,14,3.33,400,95.01,5,1.19,2,0.48,07030
7,31,327,9,2.75,308,94.19,6,1.83,4,1.22,07031
7,32,594,20,3.37,569,95.79,2,0.34,3,0.51,07032
7,33,540,9,1.67,525,97.22,1,0.19,5,0.93,07033
7,34,522,9,1.72,497,95.21,4,0.77,12,2.3,07034
7,35,485,13,2.68,464,95.67,2,0.41,6,1.24,07035
7,36,551,17,3.09,524,95.1,3,0.54,7,1.27,07036
7,37,495,12,2.42,474,95.76,1,0.2,8,1.62,07037
7,38,442,7,1.58,433,97.96,0,0.0,2,0.45,07038
7,39,417,7,1.68,406,97.36,2,0.48,2,0.48,07039
7,40,425,8,1.88,409,96.24,5,1.18,3,0.71,07040
7,41,462,7,1.52,443,95.89,5,1.08,7,1.52,07041
7,42,439,5,1.14,426,97.04,3,0.68,5,1.14,07042
7,43,461,8,1.74,450,97.61,1,0.22,2,0.43,07043
7,44,440,7,1.59,427,97.05,0,0.0,6,1.36,07044
7,45,531,5,0.94,523,98.49,1,0.19,2,0.38,07045
7,46,195,6,3.08,188,96.41,0,0.0,1,0.51,07046
8,1,419,7,1.67,403,96.18,5,1.19,4,0.95,08001
8,2,507,10,1.97,484,95.46,6,1.18,7,1.38,08002
8,3,485,6,1.24,474,97.73,1,0.21,4,0.82,08003
8,4,502,6,1.2,486,96.81,2,0.4,8,1.59,08004
8,5,489,10,2.04,469,95.91,3,0.61,7,1.43,08005
8,6,484,5,1.03,474,97.93,4,0.83,1,0.21,08006
8,7,554,7,1.26,539,97.29,2,0.36,6,1.08,08007
8,8,438,5,1.14,422,96.35,1,0.23,10,2.28,08008
8,9,330,5,1.52,315,95.45,3,0.91,7,2.12,08009
8,10,554,12,2.17,535,96.57,1,0.18,6,1.08,08010
8,11,442,10,2.26,423,95.7,1,0.23,8,1.81,08011
8,12,443,11,2.48,426,96.16,2,0.45,4,0.9,08012
8,13,576,12,2.08,553,96.01,3,0.52,8,1.39,08013
8,14,479,7,1.46,460,96.03,4,0.84,8,1.67,08014
8,15,499,6,1.2,485,97.19,3,0.6,5,1.0,08015
8,16,186,5,2.69,177,95.16,1,0.54,3,1.61,08016
8,17,386,10,2.59,371,96.11,2,0.52,3,0.78,08017
8,18,559,6,1.07,548,98.03,3,0.54,2,0.36,08018
8,19,497,11,2.21,479,96.38,2,0.4,5,1.01,08019
8,20,508,8,1.57,490,96.46,3,0.59,7,1.38,08020
8,21,647,6,0.93,633,97.84,5,0.77,3,0.46,08021
8,22,447,10,2.24,431,96.42,3,0.67,3,0.67,08022
8,23,444,8,1.8,428,96.4,3,0.68,5,1.13,08023
8,24,295,3,1.02,288,97.63,1,0.34,3,1.02,08024
8,25,508,2,0.39,500,98.43,2,0.39,4,0.79,08025
8,26,514,7,1.36,502,97.67,2,0.39,3,0.58,08026
8,27,503,15,2.98,479,95.23,5,0.99,4,0.8,08027
8,28,502,10,1.99,488,97.21,3,0.6,1,0.2,08028
8,29,568,7,1.23,552,97.18,2,0.35,7,1.23,08029
8,30,541,12,2.22,518,95.75,6,1.11,5,0.92,08030
8,31,382,12,3.14,365,95.55,2,0.52,3,0.79,08031
8,32,403,5,1.24,397,98.51,0,0.0,1,0.25,08032
8,33,487,8,1.64,473,97.13,2,0.41,4,0.82,08033
8,34,435,4,0.92,424,97.47,4,0.92,3,0.69,08034
8,35,490,8,1.63,472,96.33,5,1.02,5,1.02,08035
8,36,512,1,0.2,496,96.88,5,0.98,10,1.95,08036
8,37,376,5,1.33,363,96.54,0,0.0,8,2.13,08037
8,38,323,3,0.93,317,98.14,0,0.0,3,0.93,08038
8,39,502,9,1.79,482,96.02,5,1.0,6,1.2,08039
8,40,389,6,1.54,379,97.43,0,0.0,4,1.03,08040
8,41,537,3,0.56,521,97.02,6,1.12,7,1.3,08041
8,42,656,8,1.22,640,97.56,2,0.3,6,0.91,08042
8,43,279,8,2.87,268,96.06,1,0.36,2,0.72,08043
8,44,340,7,2.06,328,96.47,2,0.59,3,0.88,08044
8,45,537,6,1.12,527,98.14,0,0.0,4,0.74,08045
8,46,414,3,0.72,407,98.31,2,0.48,2,0.48,08046
8,47,411,5,1.22,394,95.86,5,1.22,7,1.7,08047
8,48,484,8,1.65,469,96.9,2,0.41,5,1.03,08048
8,49,446,9,2.02,434,97.31,1,0.22,2,0.45,08049
8,50,477,7,1.47,464,97.27,1,0.21,5,1.05,08050
8,51,520,7,1.35,507,97.5,3,0.58,3,0.58,08051
8,52,602,6,1.0,591,98.17,1,0.17,4,0.66,08052
8,53,277,2,0.72,267,96.39,2,0.72,6,2.17,08053
8,54,487,11,2.26,470,96.51,2,0.41,4,0.82,08054
8,55,372,6,1.61,362,97.31,2,0.54,2,0.54,08055
8,56,506,9,1.78,487,96.25,3,0.59,7,1.38,08056
9,1,491,12,2.44,470,95.72,5,1.02,4,0.81,09001
9,2,438,5,1.14,430,98.17,1,0.23,2,0.46,09002
9,3,492,2,0.41,489,99.39,0,0.0,1,0.2,09003
9,4,393,3,0.76,387,98.47,1,0.25,2,0.51,09004
9,5,423,0,0.0,417,98.58,2,0.47,4,0.95,09005
9,6,465,10,2.15,448,96.34,4,0.86,3,0.65,09006
9,7,391,7,1.79,381,97.44,0,0.0,3,0.77,09007
9,8,532,6,1.13,519,97.56,5,0.94,2,0.38,09008
9,9,530,5,0.94,523,98.68,0,0.0,2,0.38,09009
9,10,407,3,0.74,393,96.56,2,0.49,9,2.21,09010
9,11,383,5,1.31,373,97.39,1,0.26,4,1.04,09011
9,12,519,12,2.31,496,95.57,1,0.19,10,1.93,09012
9,13,487,3,0.62,473,97.13,5,1.03,6,1.23,09013
9,14,563,13,2.31,544,96.63,3,0.53,3,0.53,09014
9,15,618,3,0.49,608,98.38,3,0.49,4,0.65,09015
9,16,412,5,1.21,401,97.33,2,0.49,4,0.97,09016
9,17,450,3,0.67,441,98.0,2,0.44,4,0.89,09017
9,18,356,5,1.4,347,97.47,2,0.56,2,0.56,09018
9,19,446,4,0.9,438,98.21,1,0.22,3,0.67,09019
9,20,468,6,1.28,456,97.44,2,0.43,4,0.85,09020
9,21,433,13,3.0,419,96.77,0,0.0,1,0.23,09021
9,22,490,11,2.24,470,95.92,1,0.2,8,1.63,09022
9,23,501,8,1.6,487,97.21,2,0.4,4,0.8,09023
9,24,456,8,1.75,443,97.15,2,0.44,3,0.66,09024
9,25,463,4,0.86,449,96.98,4,0.86,6,1.3,09025
9,26,667,1,0.15,663,99.4,2,0.3,1,0.15,09026
9,27,458,6,1.31,448,97.82,1,0.22,3,0.66,09027
9,28,358,11,3.07,345,96.37,1,0.28,1,0.28,09028
9,29,504,11,2.18,484,96.03,4,0.79,5,0.99,09029
9,30,409,10,2.44,397,97.07,2,0.49,0,0.0,09030
9,31,406,11,2.71,388,95.57,1,0.25,6,1.48,09031
9,32,463,6,1.3,450,97.19,3,0.65,4,0.86,09032
9,33,413,3,0.73,405,98.06,3,0.73,2,0.48,09033
9,34,446,4,0.9,434,97.31,5,1.12,3,0.67,09034
9,35,441,6,1.36,431,97.73,1,0.23,3,0.68,09035
9,36,433,4,0.92,423,97.69,2,0.46,4,0.92,09036
9,37,591,64,10.83,504,85.28,12,2.03,11,1.86,09037
9,38,479,8,1.67,463,96.66,5,1.04,3,0.63,09038
9,39,500,4,0.8,490,98.0,3,0.6,3,0.6,09039
9,40,489,9,1.84,470,96.11,6,1.23,4,0.82,09040
9,41,394,10,2.54,379,96.19,1,0.25,4,1.02,09041
9,42,458,10,2.18,441,96.29,2,0.44,5,1.09,09042
9,43,502,5,1.0,490,97.61,3,0.6,4,0.8,09043
9,44,396,8,2.02,387,97.73,0,0.0,1,0.25,09044
9,45,444,8,1.8,429,96.62,1,0.23,6,1.35,09045
9,46,513,16,3.12,489,95.32,4,0.78,4,0.78,09046
9,47,487,8,1.64,470,96.51,4,0.82,5,1.03,09047
9,48,496,9,1.81,478,96.37,3,0.6,6,1.21,09048
9,49,498,10,2.01,480,96.39,2,0.4,6,1.2,09049
9,50,575,10,1.74,556,96.7,2,0.35,7,1.22,09050
9,51,457,6,1.31,442,96.72,3,0.66,6,1.31,09051
10,1,450,12,2.67,428,95.11,6,1.33,4,0.89,10001
10,2,443,178,40.18,257,58.01,6,1.35,2,0.45,10002
10,3,449,165,36.75,266,59.24,7,1.56,11,2.45,10003
10,4,451,17,3.77,423,93.79,3,0.67,8,1.77,10004
10,5,402,146,36.32,246,61.19,8,1.99,2,0.5,10005
10,6,413,74,17.92,329,79.66,2,0.48,8,1.94,10006
10,7,369,49,13.28,305,82.66,5,1.36,10,2.71,10007
