ward,precinct,total,John F Morrow,John F Morrow Percent,Robin Kelly,Robin Kelly Percent,precinct_id
10,12,322,87,27.02,235,72.98,10012
10,13,506,42,8.3,464,91.7,10013
10,14,574,123,21.43,451,78.57,10014
10,15,859,12,1.4,847,98.6,10015
10,16,356,80,22.47,276,77.53,10016
10,17,568,186,32.75,382,67.25,10017
10,18,320,15,4.69,305,95.31,10018
10,19,478,125,26.15,353,73.85,10019
10,20,453,103,22.74,350,77.26,10020
10,21,463,76,16.41,387,83.59,10021
10,22,293,34,11.6,259,88.4,10022
10,23,422,51,12.09,371,87.91,10023
10,24,473,183,38.69,290,61.31,10024
10,25,152,11,7.24,141,92.76,10025
10,26,372,45,12.1,327,87.9,10026
10,27,502,36,7.17,466,92.83,10027
10,28,515,85,16.5,430,83.5,10028
10,29,436,71,16.28,365,83.72,10029
10,30,431,44,10.21,387,89.79,10030
10,31,353,43,12.18,310,87.82,10031
10,32,440,90,20.45,350,79.55,10032
10,33,334,47,14.07,287,85.93,10033
10,34,361,21,5.82,340,94.18,10034
10,35,477,154,32.29,323,67.71,10035
10,36,106,8,7.55,98,92.45,10036
34,2,75,0,0.0,75,100.0,34002
34,4,398,18,4.52,380,95.48,34004
34,18,369,19,5.15,350,94.85,34018
34,22,315,14,4.44,301,95.56,34022
34,23,385,7,1.82,378,98.18,34023
34,24,450,15,3.33,435,96.67,34024
34,27,420,15,3.57,405,96.43,34027
34,28,350,10,2.86,340,97.14,34028
34,30,257,3,1.17,254,98.83,34030
34,36,419,12,2.86,407,97.14,34036
34,37,344,12,3.49,332,96.51,34037
34,38,279,5,1.79,274,98.21,34038
34,39,368,5,1.36,363,98.64,34039
34,41,245,5,2.04,240,97.96,34041
34,53,357,11,3.08,346,96.92,34053
