ward,precinct,total,Diane S. Shapiro,Diane S. Shapiro Percent,Dorothy A. Brown,Dorothy A. Brown Percent,precinct_id
3,39,781,262,33.55,519,66.45,03039
3,40,663,94,14.18,569,85.82,03040
3,41,458,63,13.76,395,86.24,03041
4,1,718,99,13.79,619,86.21,04001
4,2,723,239,33.06,484,66.94,04002
4,3,555,22,3.96,533,96.04,04003
4,4,787,39,4.96,748,95.04,04004
4,5,567,34,6.0,533,94.0,04005
4,6,669,65,9.72,604,90.28,04006
4,7,689,32,4.64,657,95.36,04007
4,8,664,35,5.27,629,94.73,04008
4,9,611,39,6.38,572,93.62,04009
4,10,646,66,10.22,580,89.78,04010
4,11,643,34,5.29,609,94.71,04011
4,12,646,35,5.42,611,94.58,04012
4,13,672,161,23.96,511,76.04,04013
4,14,601,33,5.49,568,94.51,04014
4,15,700,45,6.43,655,93.57,04015
4,16,849,239,28.15,610,71.85,04016
4,17,775,185,23.87,590,76.13,04017
4,18,519,35,6.74,484,93.26,04018
4,19,590,22,3.73,568,96.27,04019
4,20,506,172,33.99,334,66.01,04020
4,21,804,191,23.76,613,76.24,04021
4,22,574,85,14.81,489,85.19,04022
4,23,740,95,12.84,645,87.16,04023
4,24,534,71,13.3,463,86.7,04024
4,25,661,226,34.19,435,65.81,04025
4,26,577,30,5.2,547,94.8,04026
4,27,667,70,10.49,597,89.51,04027
4,28,546,42,7.69,504,92.31,04028
4,29,607,35,5.77,572,94.23,04029
4,30,817,32,3.92,785,96.08,04030
4,31,560,57,10.18,503,89.82,04031
4,32,637,21,3.3,616,96.7,04032
4,33,634,52,8.2,582,91.8,04033
4,34,537,30,5.59,507,94.41,04034
4,35,693,32,4.62,661,95.38,04035
4,36,646,47,7.28,599,92.72,04036
4,37,935,280,29.95,655,70.05,04037
4,38,593,53,8.94,540,91.06,04038
5,1,534,23,4.31,511,95.69,05001
5,2,493,19,3.85,474,96.15,05002
5,3,550,75,13.64,475,86.36,05003
5,4,689,65,9.43,624,90.57,05004
5,5,536,22,4.1,514,95.9,05005
5,6,480,26,5.42,454,94.58,05006
5,7,520,70,13.46,450,86.54,05007
5,8,557,107,19.21,450,80.79,05008
5,9,637,68,10.68,569,89.32,05009
5,10,512,22,4.3,490,95.7,05010
5,11,565,98,17.35,467,82.65,05011
5,12,462,18,3.9,444,96.1,05012
5,13,483,20,4.14,463,95.86,05013
5,14,445,20,4.49,425,95.51,05014
5,15,530,53,10.0,477,90.0,05015
5,16,590,22,3.73,568,96.27,05016
5,17,526,24,4.56,502,95.44,05017
5,18,522,56,10.73,466,89.27,05018
5,19,511,93,18.2,418,81.8,05019
5,20,611,72,11.78,539,88.22,05020
5,21,581,79,13.6,502,86.4,05021
5,22,602,118,19.6,484,80.4,05022
5,23,939,158,16.83,781,83.17,05023
5,24,605,76,12.56,529,87.44,05024
5,25,507,40,7.89,467,92.11,05025
5,26,612,33,5.39,579,94.61,05026
5,27,710,142,20.0,568,80.0,05027
5,28,562,43,7.65,519,92.35,05028
5,29,608,40,6.58,568,93.42,05029
5,30,469,29,6.18,440,93.82,05030
5,31,473,21,4.44,452,95.56,05031
5,32,591,38,6.43,553,93.57,05032
5,33,571,16,2.8,555,97.2,05033
5,34,674,141,20.92,533,79.08,05034
5,35,545,104,19.08,441,80.92,05035
5,36,365,17,4.66,348,95.34,05036
5,37,549,93,16.94,456,83.06,05037
5,38,554,17,3.07,537,96.93,05038
5,39,424,94,22.17,330,77.83,05039
5,40,437,20,4.58,417,95.42,05040
5,41,277,36,13.0,241,87.0,05041
6,1,491,17,3.46,474,96.54,06001
6,2,493,20,4.06,473,95.94,06002
6,3,496,14,2.82,482,97.18,06003
6,4,420,13,3.1,407,96.9,06004
6,5,387,9,2.33,378,97.67,06005
6,6,459,26,5.66,433,94.34,06006
6,7,479,18,3.76,461,96.24,06007
6,8,478,20,4.18,458,95.82,06008
6,9,543,22,4.05,521,95.95,06009
6,10,355,10,2.82,345,97.18,06010
6,11,462,19,4.11,443,95.89,06011
6,12,437,14,3.2,423,96.8,06012
6,13,366,16,4.37,350,95.63,06013
6,14,489,20,4.09,469,95.91,06014
6,15,494,17,3.44,477,96.56,06015
6,16,462,30,6.49,432,93.51,06016
6,17,413,18,4.36,395,95.64,06017
6,18,401,9,2.24,392,97.76,06018
6,19,460,16,3.48,444,96.52,06019
6,20,355,9,2.54,346,97.46,06020
6,21,339,15,4.42,324,95.58,06021
6,22,375,15,4.0,360,96.0,06022
6,23,329,11,3.34,318,96.66,06023
6,24,305,10,3.28,295,96.72,06024
6,25,322,10,3.11,312,96.89,06025
6,26,427,18,4.22,409,95.78,06026
6,27,332,16,4.82,316,95.18,06027
6,28,311,8,2.57,303,97.43,06028
6,29,494,17,3.44,477,96.56,06029
6,30,463,22,4.75,441,95.25,06030
6,31,468,19,4.06,449,95.94,06031
6,32,462,14,3.03,448,96.97,06032
6,33,484,24,4.96,460,95.04,06033
6,34,503,18,3.58,485,96.42,06034
6,35,428,13,3.04,415,96.96,06035
6,36,494,20,4.05,474,95.95,06036
6,37,463,26,5.62,437,94.38,06037
6,38,489,20,4.09,469,95.91,06038
6,39,449,17,3.79,432,96.21,06039
6,40,419,13,3.1,406,96.9,06040
6,41,488,21,4.3,467,95.7,06041
6,42,536,27,5.04,509,94.96,06042
6,43,440,12,2.73,428,97.27,06043
6,44,533,19,3.56,514,96.44,06044
6,45,549,24,4.37,525,95.63,06045
6,46,344,11,3.2,333,96.8,06046
6,47,397,14,3.53,383,96.47,06047
6,48,494,15,3.04,479,96.96,06048
7,1,467,18,3.85,449,96.15,07001
7,2,505,18,3.56,487,96.44,07002
7,3,441,17,3.85,424,96.15,07003
7,4,433,15,3.46,418,96.54,07004
7,5,417,16,3.84,401,96.16,07005
7,6,601,41,6.82,560,93.18,07006
7,7,509,31,6.09,478,93.91,07007
7,8,367,32,8.72,335,91.28,07008
7,9,747,48,6.43,699,93.57,07009
7,10,494,18,3.64,476,96.36,07010
7,11,572,22,3.85,550,96.15,07011
7,12,474,23,4.85,451,95.15,07012
7,13,288,10,3.47,278,96.53,07013
7,14,528,34,6.44,494,93.56,07014
7,15,465,20,4.3,445,95.7,07015
7,16,427,13,3.04,414,96.96,07016
7,17,410,21,5.12,389,94.88,07017
7,18,451,32,7.1,419,92.9,07018
7,19,443,21,4.74,422,95.26,07019
7,20,369,15,4.07,354,95.93,07020
7,21,406,20,4.93,386,95.07,07021
7,22,415,52,12.53,363,87.47,07022
7,23,425,19,4.47,406,95.53,07023
7,24,399,17,4.26,382,95.74,07024
7,25,465,37,7.96,428,92.04,07025
7,26,365,18,4.93,347,95.07,07026
7,27,389,11,2.83,378,97.17,07027
7,28,365,22,6.03,343,93.97,07028
7,29,392,20,5.1,372,94.9,07029
7,30,396,29,7.32,367,92.68,07030
7,31,310,15,4.84,295,95.16,07031
7,32,585,24,4.1,561,95.9,07032
7,33,519,30,5.78,489,94.22,07033
7,34,507,18,3.55,489,96.45,07034
7,35,464,21,4.53,443,95.47,07035
7,36,531,27,5.08,504,94.92,07036
7,37,471,30,6.37,441,93.63,07037
7,38,427,18,4.22,409,95.78,07038
7,39,410,14,3.41,396,96.59,07039
7,40,411,18,4.38,393,95.62,07040
7,41,443,28,6.32,415,93.68,07041
7,42,424,13,3.07,411,96.93,07042
7,43,434,12,2.76,422,97.24,07043
7,44,426,14,3.29,412,96.71,07044
7,45,504,21,4.17,483,95.83,07045
7,46,174,9,5.17,165,94.83,07046
8,1,400,12,3.0,388,97.0,08001
8,2,481,14,2.91,467,97.09,08002
8,3,477,16,3.35,461,96.65,08003
8,4,490,27,5.51,463,94.49,08004
8,5,476,17,3.57,459,96.43,08005
8,6,470,11,2.34,459,97.66,08006
8,7,530,13,2.45,517,97.55,08007
8,8,436,18,4.13,418,95.87,08008
8,9,314,14,4.46,300,95.54,08009
8,10,531,25,4.71,506,95.29,08010
8,11,432,21,4.86,411,95.14,08011
8,12,422,21,4.98,401,95.02,08012
8,13,540,16,2.96,524,97.04,08013
8,14,465,19,4.09,446,95.91,08014
8,15,482,22,4.56,460,95.44,08015
8,16,180,8,4.44,172,95.56,08016
8,17,377,20,5.31,357,94.69,08017
8,18,522,16,3.07,506,96.93,08018
8,19,485,25,5.15,460,94.85,08019
8,20,503,18,3.58,485,96.42,08020
8,21,634,23,3.63,611,96.37,08021
8,22,437,17,3.89,420,96.11,08022
8,23,434,12,2.76,422,97.24,08023
8,24,294,11,3.74,283,96.26,08024
8,25,493,20,4.06,473,95.94,08025
8,26,491,26,5.3,465,94.7,08026
8,27,496,21,4.23,475,95.77,08027
8,28,488,20,4.1,468,95.9,08028
8,29,553,22,3.98,531,96.02,08029
8,30,517,20,3.87,497,96.13,08030
8,31,375,20,5.33,355,94.67,08031
8,32,392,10,2.55,382,97.45,08032
8,33,445,22,4.94,423,95.06,08033
8,34,423,20,4.73,403,95.27,08034
8,35,476,21,4.41,455,95.59,08035
8,36,488,18,3.69,470,96.31,08036
8,37,369,15,4.07,354,95.93,08037
8,38,312,8,2.56,304,97.44,08038
8,39,482,14,2.9,468,97.1,08039
8,40,374,21,5.61,353,94.39,08040
8,41,524,12,2.29,512,97.71,08041
8,42,637,29,4.55,608,95.45,08042
8,43,264,14,5.3,250,94.7,08043
8,44,326,15,4.6,311,95.4,08044
8,45,516,18,3.49,498,96.51,08045
8,46,411,19,4.62,392,95.38,08046
8,47,403,11,2.73,392,97.27,08047
8,48,471,24,5.1,447,94.9,08048
8,49,434,16,3.69,418,96.31,08049
8,50,473,18,3.81,455,96.19,08050
8,51,503,22,4.37,481,95.63,08051
8,52,588,21,3.57,567,96.43,08052
8,53,266,15,5.64,251,94.36,08053
8,54,467,25,5.35,442,94.65,08054
8,55,360,18,5.0,342,95.0,08055
8,56,483,16,3.31,467,96.69,08056
9,1,471,22,4.67,449,95.33,09001
9,2,427,11,2.58,416,97.42,09002
9,3,432,11,2.55,421,97.45,09003
9,4,377,15,3.98,362,96.02,09004
9,5,395,13,3.29,382,96.71,09005
9,6,436,12,2.75,424,97.25,09006
9,7,372,20,5.38,352,94.62,09007
9,8,529,14,2.65,515,97.35,09008
9,9,504,21,4.17,483,95.83,09009
9,10,381,15,3.94,366,96.06,09010
9,11,364,14,3.85,350,96.15,09011
9,12,518,21,4.05,497,95.95,09012
9,13,475,20,4.21,455,95.79,09013
9,14,538,22,4.09,516,95.91,09014
9,15,557,18,3.23,539,96.77,09015
9,16,407,25,6.14,382,93.86,09016
9,17,426,10,2.35,416,97.65,09017
9,18,343,13,3.79,330,96.21,09018
9,19,432,18,4.17,414,95.83,09019
9,20,446,19,4.26,427,95.74,09020
9,21,422,19,4.5,403,95.5,09021
9,22,472,15,3.18,457,96.82,09022
9,23,481,20,4.16,461,95.84,09023
9,24,441,19,4.31,422,95.69,09024
9,25,457,15,3.28,442,96.72,09025
9,26,647,14,2.16,633,97.84,09026
9,27,432,9,2.08,423,97.92,09027
9,28,344,23,6.69,321,93.31,09028
9,29,463,19,4.1,444,95.9,09029
9,30,386,17,4.4,369,95.6,09030
9,31,380,14,3.68,366,96.32,09031
9,32,438,24,5.48,414,94.52,09032
9,33,387,9,2.33,378,97.67,09033
9,34,416,14,3.37,402,96.63,09034
9,35,428,20,4.67,408,95.33,09035
9,36,422,6,1.42,416,98.58,09036
9,37,562,124,22.06,438,77.94,09037
9,38,470,14,2.98,456,97.02,09038
9,39,497,17,3.42,480,96.58,09039
9,40,469,18,3.84,451,96.16,09040
9,41,381,12,3.15,369,96.85,09041
9,42,451,15,3.33,436,96.67,09042
9,43,465,15,3.23,450,96.77,09043
9,44,380,12,3.16,368,96.84,09044
9,45,430,6,1.4,424,98.6,09045
9,46,493,35,7.1,458,92.9,09046
9,47,469,18,3.84,451,96.16,09047
9,48,476,21,4.41,455,95.59,09048
9,49,476,16,3.36,460,96.64,09049
9,50,565,26,4.6,539,95.4,09050
9,51,438,15,3.42,423,96.58,09051
10,1,404,30,7.43,374,92.57,10001
10,2,410,177,43.17,233,56.83,10002
10,3,414,173,41.79,241,58.21,10003
10,4,412,46,11.17,366,88.83,10004
10,5,362,138,38.12,224,61.88,10005
10,6,367,88,23.98,279,76.02,10006
10,7,339,62,18.29,277,81.71,10007
10,8,374,22,5.88,352,94.12,10008
10,9,404,176,43.56,228,56.44,10009
10,10,452,152,33.63,300,66.37,10010
10,11,543,122,22.47,421,77.53,10011
10,12,315,113,35.87,202,64.13,10012
10,13,508,87,17.13,421,82.87,10013
10,14,564,172,30.5,392,69.5,10014
10,15,856,27,3.15,829,96.85,10015
10,16,359,120,33.43,239,66.57,10016
10,17,554,249,44.95,305,55.05,10017
10,18,315,34,10.79,281,89.21,10018
10,19,469,164,34.97,305,65.03,10019
10,20,440,133,30.23,307,69.77,10020
10,21,453,113,24.94,340,75.06,10021
10,22,292,47,16.1,245,83.9,10022
10,23,414,73,17.63,341,82.37,10023
10,24,460,222,48.26,238,51.74,10024
10,25,150,15,10.0,135,90.0,10025
10,26,363,66,18.18,297,81.82,10026
10,27,491,50,10.18,441,89.82,10027
10,28,502,114,22.71,388,77.29,10028
10,29,428,95,22.2,333,77.8,10029
10,30,425,73,17.18,352,82.82,10030
10,31,343,61,17.78,282,82.22,10031
10,32,431,123,28.54,308,71.46,10032
10,33,333,59,17.72,274,82.28,10033
10,34,344,37,10.76,307,89.24,10034
10,35,466,186,39.91,280,60.09,10035
10,36,105,11,10.48,94,89.52,10036
11,1,503,180,35.79,323,64.21,11001
11,2,82,19,23.17,63,76.83,11002
11,3,461,82,17.79,379,82.21,11003
11,4,421,130,30.88,291,69.12,11004
11,5,642,149,23.21,493,76.79,11005
11,6,722,236,32.69,486,67.31,11006
11,7,854,168,19.67,686,80.33,11007
11,8,449,131,29.18,318,70.82,11008
11,9,416,139,33.41,277,66.59,11009
11,10,414,142,34.3,272,65.7,11010
11,11,530,213,40.19,317,59.81,11011
11,12,635,290,45.67,345,54.33,11012
11,13,550,254,46.18,296,53.82,11013
11,14,248,103,41.53,145,58.47,11014
11,15,165,52,31.52,113,68.48,11015
11,16,349,148,42.41,201,57.59,11016
11,17,570,173,30.35,397,69.65,11017
11,18,386,151,39.12,235,60.88,11018
11,19,610,175,28.69,435,71.31,11019
11,20,320,136,42.5,184,57.5,11020
11,21,595,250,42.02,345,57.98,11021
11,22,596,221,37.08,375,62.92,11022
11,23,269,96,35.69,173,64.31,11023
11,24,528,205,38.83,323,61.17,11024
11,25,570,222,38.95,348,61.05,11025
11,26,552,203,36.78,349,63.22,11026
11,27,184,62,33.7,122,66.3,11027
11,28,236,92,38.98,144,61.02,11028
11,29,545,259,47.52,286,52.48,11029
11,30,248,107,43.15,141,56.85,11030
11,31,490,217,44.29,273,55.71,11031
11,32,240,108,45.0,132,55.0,11032
11,33,587,192,32.71,395,67.29,11033
11,34,155,70,45.16,85,54.84,11034
11,35,102,33,32.35,69,67.65,11035
11,36,216,74,34.26,142,65.74,11036
11,37,133,37,27.82,96,72.18,11037
11,38,244,50,20.49,194,79.51,11038
12,1,466,109,23.39,357,76.61,12001
12,2,380,74,19.47,306,80.53,12002
12,3,559,153,27.37,406,72.63,12003
12,4,462,109,23.59,353,76.41,12004
12,5,383,124,32.38,259,67.62,12005
12,6,451,97,21.51,354,78.49,12006
12,7,471,60,12.74,411,87.26,12007
12,8,463,108,23.33,355,76.67,12008
12,9,382,95,24.87,287,75.13,12009
12,10,515,60,11.65,455,88.35,12010
12,11,471,83,17.62,388,82.38,12011
12,12,479,100,20.88,379,79.12,12012
12,13,471,99,21.02,372,78.98,12013
12,14,417,49,11.75,368,88.25,12014
12,15,409,71,17.36,338,82.64,12015
12,16,425,70,16.47,355,83.53,12016
12,17,503,95,18.89,408,81.11,12017
12,18,401,60,14.96,341,85.04,12018
12,19,445,103,23.15,342,76.85,12019
12,20,567,88,15.52,479,84.48,12020
12,21,496,95,19.15,401,80.85,12021
12,22,440,56,12.73,384,87.27,12022
12,23,460,115,25.0,345,75.0,12023
13,1,332,122,36.75,210,63.25,13001
13,2,319,149,46.71,170,53.29,13002
13,3,311,65,20.9,246,79.1,13003
13,4,420,177,42.14,243,57.86,13004
13,5,462,101,21.86,361,78.14,13005
13,6,373,203,54.42,170,45.58,13006
13,7,326,64,19.63,262,80.37,13007
13,8,329,163,49.54,166,50.46,13008
13,9,419,100,23.87,319,76.13,13009
13,10,341,217,63.64,124,36.36,13010
13,11,400,154,38.5,246,61.5,13011
13,12,359,114,31.75,245,68.25,13012
13,13,361,84,23.27,277,76.73,13013
13,14,398,115,28.89,283,71.11,13014
13,15,591,125,21.15,466,78.85,13015
13,16,301,59,19.6,242,80.4,13016
13,17,373,142,38.07,231,61.93,13017
13,18,333,167,50.15,166,49.85,13018
13,19,481,46,9.56,435,90.44,13019
13,20,259,140,54.05,119,45.95,13020
13,21,444,232,52.25,212,47.75,13021
13,22,419,207,49.4,212,50.6,13022
13,23,335,78,23.28,257,76.72,13023
13,24,369,108,29.27,261,70.73,13024
13,25,401,113,28.18,288,71.82,13025
13,26,406,138,33.99,268,66.01,13026
13,27,366,119,32.51,247,67.49,13027
13,28,305,69,22.62,236,77.38,13028
13,29,344,94,27.33,250,72.67,13029
13,30,312,43,13.78,269,86.22,13030
13,31,407,202,49.63,205,50.37,13031
13,32,349,200,57.31,149,42.69,13032
13,33,358,160,44.69,198,55.31,13033
13,34,421,81,19.24,340,80.76,13034
13,35,341,68,19.94,273,80.06,13035
13,36,255,50,19.61,205,80.39,13036
13,37,430,89,20.7,341,79.3,13037
13,38,348,182,52.3,166,47.7,13038
13,39,399,72,18.05,327,81.95,13039
13,40,325,88,27.08,237,72.92,13040
13,41,459,68,14.81,391,85.19,13041
13,42,372,210,56.45,162,43.55,13042
13,43,394,111,28.17,283,71.83,13043
13,44,397,67,16.88,330,83.12,13044
13,45,419,156,37.23,263,62.77,13045
13,46,496,103,20.77,393,79.23,13046
13,47,460,70,15.22,390,84.78,13047
13,48,339,162,47.79,177,52.21,13048
14,1,476,272,57.14,204,42.86,14001
14,2,577,149,25.82,428,74.18,14002
14,3,496,68,13.71,428,86.29,14003
14,4,417,206,49.4,211,50.6,14004
14,5,627,72,11.48,555,88.52,14005
14,6,228,32,14.04,196,85.96,14006
14,7,563,107,19.01,456,80.99,14007
14,8,520,120,23.08,400,76.92,14008
14,9,502,210,41.83,292,58.17,14009
14,10,312,81,25.96,231,74.04,14010
14,11,280,20,7.14,260,92.86,14011
14,12,459,112,24.4,347,75.6,14012
14,13,368,66,17.93,302,82.07,14013
14,14,451,62,13.75,389,86.25,14014
14,15,516,52,10.08,464,89.92,14015
14,16,320,71,22.19,249,77.81,14016
14,17,371,55,14.82,316,85.18,14017
14,18,176,64,36.36,112,63.64,14018
14,19,451,75,16.63,376,83.37,14019
14,20,315,62,19.68,253,80.32,14020
14,21,410,62,15.12,348,84.88,14021
14,22,563,192,34.1,371,65.9,14022
14,23,346,112,32.37,234,67.63,14023
14,24,504,239,47.42,265,52.58,14024
14,25,287,47,16.38,240,83.62,14025
14,26,337,58,17.21,279,82.79,14026
14,27,438,93,21.23,345,78.77,14027
14,28,348,75,21.55,273,78.45,14028
14,29,387,57,14.73,330,85.27,14029
14,30,270,27,10.0,243,90.0,14030
14,31,264,33,12.5,231,87.5,14031
15,1,428,67,15.65,361,84.35,15001
15,2,329,9,2.74,320,97.26,15002
15,3,337,15,4.45,322,95.55,15003
15,4,432,78,18.06,354,81.94,15004
15,5,430,65,15.12,365,84.88,15005
15,6,474,104,21.94,370,78.06,15006
15,7,351,12,3.42,339,96.58,15007
15,8,396,51,12.88,345,87.12,15008
15,9,557,99,17.77,458,82.23,15009
15,10,597,122,20.44,475,79.56,15010
15,11,550,86,15.64,464,84.36,15011
15,12,538,108,20.07,430,79.93,15012
15,13,437,57,13.04,380,86.96,15013
15,14,411,56,13.63,355,86.37,15014
15,15,402,49,12.19,353,87.81,15015
15,16,464,48,10.34,416,89.66,15016
15,17,346,13,3.76,333,96.24,15017
15,18,359,11,3.06,348,96.94,15018
15,19,377,39,10.34,338,89.66,15019
15,20,299,11,3.68,288,96.32,15020
15,21,305,6,1.97,299,98.03,15021
15,22,386,17,4.4,369,95.6,15022
15,23,387,11,2.84,376,97.16,15023
15,24,372,9,2.42,363,97.58,15024
16,1,494,93,18.83,401,81.17,16001
16,2,423,16,3.78,407,96.22,16002
16,3,364,13,3.57,351,96.43,16003
16,4,395,22,5.57,373,94.43,16004
16,5,352,13,3.69,339,96.31,16005
16,6,395,13,3.29,382,96.71,16006
16,7,382,19,4.97,363,95.03,16007
16,8,297,15,5.05,282,94.95,16008
16,9,435,25,5.75,410,94.25,16009
16,10,375,15,4.0,360,96.0,16010
16,11,408,26,6.37,382,93.63,16011
16,12,360,12,3.33,348,96.67,16012
16,13,453,39,8.61,414,91.39,16013
16,14,376,12,3.19,364,96.81,16014
16,15,430,9,2.09,421,97.91,16015
16,16,386,10,2.59,376,97.41,16016
16,17,478,43,9.0,435,91.0,16017
16,18,384,32,8.33,352,91.67,16018
16,19,377,23,6.1,354,93.9,16019
16,20,357,11,3.08,346,96.92,16020
16,21,352,9,2.56,343,97.44,16021
16,22,390,16,4.1,374,95.9,16022
16,23,431,45,10.44,386,89.56,16023
16,24,243,14,5.76,229,94.24,16024
16,25,427,20,4.68,407,95.32,16025
16,26,356,13,3.65,343,96.35,16026
16,27,365,13,3.56,352,96.44,16027
16,28,370,18,4.86,352,95.14,16028
16,29,390,19,4.87,371,95.13,16029
16,30,382,16,4.19,366,95.81,16030
16,31,407,17,4.18,390,95.82,16031
16,32,466,47,10.09,419,89.91,16032
16,33,375,12,3.2,363,96.8,16033
16,34,371,14,3.77,357,96.23,16034
16,35,482,40,8.3,442,91.7,16035
16,36,303,14,4.62,289,95.38,16036
17,1,424,50,11.79,374,88.21,17001
17,2,439,14,3.19,425,96.81,17002
17,3,491,25,5.09,466,94.91,17003
17,4,592,14,2.36,578,97.64,17004
17,5,373,15,4.02,358,95.98,17005
17,6,437,23,5.26,414,94.74,17006
17,7,442,43,9.73,399,90.27,17007
17,8,452,27,5.97,425,94.03,17008
17,9,362,14,3.87,348,96.13,17009
17,10,597,26,4.36,571,95.64,17010
17,11,395,17,4.3,378,95.7,17011
17,12,591,46,7.78,545,92.22,17012
17,13,415,17,4.1,398,95.9,17013
