ward,precinct,total,Richard C. Cooke,Richard C. Cooke Percent,precinct_id
33,21,509,509,100.0,33021
33,22,416,416,100.0,33022
33,23,472,472,100.0,33023
33,24,531,531,100.0,33024
33,25,499,499,100.0,33025
33,26,365,365,100.0,33026
33,27,459,459,100.0,33027
33,28,414,414,100.0,33028
35,1,366,366,100.0,35001
35,2,383,383,100.0,35002
35,3,383,383,100.0,35003
35,4,360,360,100.0,35004
35,5,346,346,100.0,35005
35,6,378,378,100.0,35006
35,7,373,373,100.0,35007
35,8,356,356,100.0,35008
35,10,482,482,100.0,35010
35,11,394,394,100.0,35011
35,12,253,253,100.0,35012
35,13,268,268,100.0,35013
35,14,290,290,100.0,35014
35,15,430,430,100.0,35015
35,16,229,229,100.0,35016
35,17,421,421,100.0,35017
35,18,292,292,100.0,35018
35,19,230,230,100.0,35019
35,20,362,362,100.0,35020
35,21,332,332,100.0,35021
35,23,212,212,100.0,35023
35,24,334,334,100.0,35024
35,25,488,488,100.0,35025
35,26,326,326,100.0,35026
35,27,356,356,100.0,35027
35,28,349,349,100.0,35028
36,6,257,257,100.0,36006
36,8,278,278,100.0,36008
36,9,295,295,100.0,36009
36,11,241,241,100.0,36011
36,12,195,195,100.0,36012
36,13,211,211,100.0,36013
36,21,200,200,100.0,36021
36,22,282,282,100.0,36022
36,23,96,96,100.0,36023
36,25,312,312,100.0,36025
37,2,255,255,100.0,37002
37,10,399,399,100.0,37010
37,12,255,255,100.0,37012
37,16,72,72,100.0,37016
37,22,274,274,100.0,37022
37,26,41,41,100.0,37026
37,41,147,147,100.0,37041
40,8,539,539,100.0,40008
40,38,274,274,100.0,40038
47,9,211,211,100.0,47009
47,13,111,111,100.0,47013
47,40,205,205,100.0,47040
47,42,176,176,100.0,47042
