ward,precinct,total,Eve Marie Reilly,Eve Marie Reilly Percent,precinct_id
47,10,596,596,100.0,47010
47,12,460,460,100.0,47012
47,13,320,320,100.0,47013
47,14,402,402,100.0,47014
47,16,441,441,100.0,47016
47,17,401,401,100.0,47017
47,20,415,415,100.0,47020
47,21,411,411,100.0,47021
47,22,528,528,100.0,47022
47,25,509,509,100.0,47025
47,26,634,634,100.0,47026
47,27,390,390,100.0,47027
47,28,410,410,100.0,47028
47,29,465,465,100.0,47029
47,30,573,573,100.0,47030
47,31,470,470,100.0,47031
47,32,550,550,100.0,47032
47,33,299,299,100.0,47033
47,34,484,484,100.0,47034
47,35,408,408,100.0,47035
47,36,536,536,100.0,47036
47,37,484,484,100.0,47037
47,38,459,459,100.0,47038
47,39,436,436,100.0,47039
47,40,213,213,100.0,47040
47,42,303,303,100.0,47042
47,43,431,431,100.0,47043
47,45,449,449,100.0,47045
47,46,371,371,100.0,47046
47,47,494,494,100.0,47047
47,48,31,31,100.0,47048
50,23,185,185,100.0,50023
50,24,36,36,100.0,50024
50,26,5,5,100.0,50026
50,30,69,69,100.0,50030
50,31,97,97,100.0,50031
