ward,precinct,total,Leonard Murray,Leonard Murray Percent,precinct_id
5,14,343,343,100.0,05014
5,15,397,397,100.0,05015
5,16,411,411,100.0,05016
5,17,326,326,100.0,05017
5,18,409,409,100.0,05018
5,19,387,387,100.0,05019
5,20,453,453,100.0,05020
5,21,460,460,100.0,05021
5,22,460,460,100.0,05022
5,23,715,715,100.0,05023
5,24,463,463,100.0,05024
5,25,381,381,100.0,05025
5,26,444,444,100.0,05026
5,27,556,556,100.0,05027
5,28,432,432,100.0,05028
5,29,456,456,100.0,05029
5,30,330,330,100.0,05030
5,31,341,341,100.0,05031
5,32,448,448,100.0,05032
5,33,432,432,100.0,05033
5,34,499,499,100.0,05034
5,35,423,423,100.0,05035
5,36,250,250,100.0,05036
5,37,392,392,100.0,05037
5,38,383,383,100.0,05038
5,39,323,323,100.0,05039
5,40,326,326,100.0,05040
5,41,200,200,100.0,05041
6,7,367,367,100.0,06007
6,9,350,350,100.0,06009
6,11,301,301,100.0,06011
6,15,249,249,100.0,06015
6,18,29,29,100.0,06018
6,21,189,189,100.0,06021
6,23,191,191,100.0,06023
6,24,184,184,100.0,06024
6,26,196,196,100.0,06026
6,28,209,209,100.0,06028
6,30,287,287,100.0,06030
6,32,333,333,100.0,06032
6,40,95,95,100.0,06040
6,48,356,356,100.0,06048
7,1,319,319,100.0,07001
7,2,356,356,100.0,07002
7,3,318,318,100.0,07003
7,4,319,319,100.0,07004
7,5,279,279,100.0,07005
7,6,443,443,100.0,07006
7,8,266,266,100.0,07008
7,9,537,537,100.0,07009
7,13,42,42,100.0,07013
8,1,256,256,100.0,08001
8,2,313,313,100.0,08002
8,26,160,160,100.0,08026
8,42,464,464,100.0,08042
11,12,420,420,100.0,11012
11,13,371,371,100.0,11013
11,14,167,167,100.0,11014
11,15,118,118,100.0,11015
11,16,219,219,100.0,11016
11,18,286,286,100.0,11018
11,20,245,245,100.0,11020
11,23,191,191,100.0,11023
11,27,131,131,100.0,11027
11,28,151,151,100.0,11028
11,32,159,159,100.0,11032
11,34,88,88,100.0,11034
11,35,57,57,100.0,11035
15,2,215,215,100.0,15002
15,3,244,244,100.0,15003
15,7,231,231,100.0,15007
15,17,233,233,100.0,15017
15,18,228,228,100.0,15018
15,20,198,198,100.0,15020
15,21,214,214,100.0,15021
15,22,122,122,100.0,15022
15,23,267,267,100.0,15023
15,24,246,246,100.0,15024
16,2,213,213,100.0,16002
16,3,231,231,100.0,16003
16,5,259,259,100.0,16005
16,6,263,263,100.0,16006
16,8,200,200,100.0,16008
16,9,309,309,100.0,16009
16,10,259,259,100.0,16010
16,11,26,26,100.0,16011
16,12,248,248,100.0,16012
16,14,255,255,100.0,16014
16,15,296,296,100.0,16015
16,16,242,242,100.0,16016
16,20,241,241,100.0,16020
16,21,226,226,100.0,16021
16,24,146,146,100.0,16024
16,25,266,266,100.0,16025
16,26,212,212,100.0,16026
16,27,225,225,100.0,16027
16,28,234,234,100.0,16028
16,29,191,191,100.0,16029
16,30,263,263,100.0,16030
16,31,284,284,100.0,16031
16,33,236,236,100.0,16033
16,34,262,262,100.0,16034
16,36,206,206,100.0,16036
17,8,78,78,100.0,17008
17,13,257,257,100.0,17013
17,19,80,80,100.0,17019
17,35,39,39,100.0,17035
17,36,133,133,100.0,17036
20,1,363,363,100.0,20001
20,2,147,147,100.0,20002
20,3,275,275,100.0,20003
20,4,132,132,100.0,20004
20,5,357,357,100.0,20005
20,6,164,164,100.0,20006
20,7,356,356,100.0,20007
20,8,295,295,100.0,20008
20,9,453,453,100.0,20009
20,10,289,289,100.0,20010
20,11,409,409,100.0,20011
20,12,309,309,100.0,20012
20,13,335,335,100.0,20013
20,14,176,176,100.0,20014
20,16,376,376,100.0,20016
20,17,10,10,100.0,20017
20,18,272,272,100.0,20018
20,19,354,354,100.0,20019
20,21,267,267,100.0,20021
20,22,379,379,100.0,20022
20,23,389,389,100.0,20023
20,24,347,347,100.0,20024
20,25,248,248,100.0,20025
20,26,381,381,100.0,20026
20,27,175,175,100.0,20027
20,28,212,212,100.0,20028
20,29,365,365,100.0,20029
20,30,169,169,100.0,20030
20,31,378,378,100.0,20031
20,32,275,275,100.0,20032
20,33,239,239,100.0,20033
20,34,513,513,100.0,20034
20,35,289,289,100.0,20035
20,36,133,133,100.0,20036
20,37,125,125,100.0,20037
20,38,146,146,100.0,20038
20,39,45,45,100.0,20039
