ward,precinct,total,Herb Schumann,Herb Schumann Percent,Martin J. Durkan,Martin J. Durkan Percent,Christopher Anthony,Christopher Anthony Percent,precinct_id
3,4,592,12,2.03,531,89.7,49,8.28,03004
3,5,410,14,3.41,369,90.0,27,6.59,03005
3,6,676,192,28.4,381,56.36,103,15.24,03006
3,7,376,14,3.72,337,89.63,25,6.65,03007
3,8,560,9,1.61,505,90.18,46,8.21,03008
3,9,551,18,3.27,498,90.38,35,6.35,03009
3,10,334,7,2.1,316,94.61,11,3.29,03010
3,11,577,11,1.91,517,89.6,49,8.49,03011
3,12,504,13,2.58,434,86.11,57,11.31,03012
3,13,658,181,27.51,385,58.51,92,13.98,03013
3,14,616,116,18.83,428,69.48,72,11.69,03014
3,15,585,14,2.39,532,90.94,39,6.67,03015
3,16,562,12,2.14,512,91.1,38,6.76,03016
3,17,694,99,14.27,518,74.64,77,11.1,03017
3,18,804,34,4.23,717,89.18,53,6.59,03018
3,19,638,204,31.97,347,54.39,87,13.64,03019
3,20,582,25,4.3,523,89.86,34,5.84,03020
3,21,613,160,26.1,394,64.27,59,9.62,03021
3,22,755,170,22.52,481,63.71,104,13.77,03022
3,23,507,18,3.55,459,90.53,30,5.92,03023
3,24,502,17,3.39,455,90.64,30,5.98,03024
3,25,932,299,32.08,528,56.65,105,11.27,03025
3,26,633,169,26.7,375,59.24,89,14.06,03026
3,27,708,217,30.65,395,55.79,96,13.56,03027
3,28,337,10,2.97,302,89.61,25,7.42,03028
3,29,642,21,3.27,589,91.74,32,4.98,03029
3,30,530,17,3.21,479,90.38,34,6.42,03030
3,31,687,10,1.46,626,91.12,51,7.42,03031
3,32,653,135,20.67,466,71.36,52,7.96,03032
3,33,684,168,24.56,437,63.89,79,11.55,03033
3,34,687,143,20.82,459,66.81,85,12.37,03034
3,35,279,9,3.23,242,86.74,28,10.04,03035
3,36,353,5,1.42,331,93.77,17,4.82,03036
3,37,511,5,0.98,465,91.0,41,8.02,03037
3,38,456,13,2.85,404,88.6,39,8.55,03038
3,39,771,197,25.55,484,62.78,90,11.67,03039
3,40,635,60,9.45,516,81.26,59,9.29,03040
3,41,437,52,11.9,329,75.29,56,12.81,03041
4,1,693,79,11.4,504,72.73,110,15.87,04001
4,2,708,183,25.85,425,60.03,100,14.12,04002
4,3,522,8,1.53,471,90.23,43,8.24,04003
4,4,752,23,3.06,665,88.43,64,8.51,04004
4,5,541,25,4.62,462,85.4,54,9.98,04005
4,6,638,36,5.64,550,86.21,52,8.15,04006
4,7,665,15,2.26,598,89.92,52,7.82,04007
4,8,622,7,1.13,545,87.62,70,11.25,04008
4,9,588,13,2.21,510,86.73,65,11.05,04009
4,10,623,27,4.33,526,84.43,70,11.24,04010
4,11,613,17,2.77,558,91.03,38,6.2,04011
4,12,630,18,2.86,569,90.32,43,6.83,04012
4,13,646,118,18.27,438,67.8,90,13.93,04013
4,14,570,15,2.63,502,88.07,53,9.3,04014
4,15,677,27,3.99,590,87.15,60,8.86,04015
4,16,829,190,22.92,524,63.21,115,13.87,04016
4,17,758,138,18.21,493,65.04,127,16.75,04017
4,18,488,21,4.3,436,89.34,31,6.35,04018
4,19,549,14,2.55,509,92.71,26,4.74,04019
4,20,493,117,23.73,300,60.85,76,15.42,04020
4,21,785,133,16.94,528,67.26,124,15.8,04021
4,22,559,55,9.84,437,78.18,67,11.99,04022
4,23,723,53,7.33,547,75.66,123,17.01,04023
4,24,520,48,9.23,410,78.85,62,11.92,04024
4,25,654,173,26.45,382,58.41,99,15.14,04025
4,26,551,16,2.9,506,91.83,29,5.26,04026
4,27,659,43,6.53,526,79.82,90,13.66,04027
4,28,525,29,5.52,449,85.52,47,8.95,04028
4,29,574,8,1.39,513,89.37,53,9.23,04029
4,30,775,18,2.32,707,91.23,50,6.45,04030
4,31,554,30,5.42,476,85.92,48,8.66,04031
4,32,609,15,2.46,544,89.33,50,8.21,04032
4,33,602,34,5.65,497,82.56,71,11.79,04033
4,34,514,19,3.7,449,87.35,46,8.95,04034
4,35,660,20,3.03,592,89.7,48,7.27,04035
4,36,628,28,4.46,548,87.26,52,8.28,04036
4,37,913,195,21.36,587,64.29,131,14.35,04037
4,38,582,18,3.09,502,86.25,62,10.65,04038
5,1,528,13,2.46,477,90.34,38,7.2,05001
5,2,482,13,2.7,444,92.12,25,5.19,05002
5,3,547,46,8.41,398,72.76,103,18.83,05003
5,4,662,39,5.89,529,79.91,94,14.2,05004
5,5,512,13,2.54,458,89.45,41,8.01,05005
5,6,458,14,3.06,413,90.17,31,6.77,05006
5,7,507,45,8.88,408,80.47,54,10.65,05007
5,8,554,69,12.45,366,66.06,119,21.48,05008
5,9,616,36,5.84,487,79.06,93,15.1,05009
5,10,477,7,1.47,430,90.15,40,8.39,05010
5,11,551,52,9.44,397,72.05,102,18.51,05011
5,12,441,14,3.17,402,91.16,25,5.67,05012
5,13,468,11,2.35,412,88.03,45,9.62,05013
5,14,430,7,1.63,384,89.3,39,9.07,05014
5,15,502,27,5.38,403,80.28,72,14.34,05015
5,16,543,11,2.03,497,91.53,35,6.45,05016
5,17,490,17,3.47,442,90.2,31,6.33,05017
5,18,515,28,5.44,404,78.45,83,16.12,05018
5,19,510,60,11.76,350,68.63,100,19.61,05019
5,20,586,44,7.51,452,77.13,90,15.36,05020
5,21,558,60,10.75,402,72.04,96,17.2,05021
5,22,579,72,12.44,434,74.96,73,12.61,05022
5,23,920,114,12.39,637,69.24,169,18.37,05023
5,24,591,55,9.31,427,72.25,109,18.44,05024
5,25,491,19,3.87,418,85.13,54,11.0,05025
5,26,570,14,2.46,509,89.3,47,8.25,05026
5,27,700,107,15.29,479,68.43,114,16.29,05027
5,28,548,19,3.47,470,85.77,59,10.77,05028
5,29,588,20,3.4,515,87.59,53,9.01,05029
5,30,456,15,3.29,411,90.13,30,6.58,05030
5,31,453,10,2.21,399,88.08,44,9.71,05031
5,32,569,20,3.51,497,87.35,52,9.14,05032
5,33,544,8,1.47,511,93.93,25,4.6,05033
5,34,673,101,15.01,455,67.61,117,17.38,05034
5,35,541,63,11.65,379,70.06,99,18.3,05035
5,36,345,10,2.9,321,93.04,14,4.06,05036
5,37,544,56,10.29,412,75.74,76,13.97,05037
5,38,536,7,1.31,498,92.91,31,5.78,05038
5,39,403,49,12.16,289,71.71,65,16.13,05039
5,40,424,9,2.12,380,89.62,35,8.25,05040
5,41,263,16,6.08,217,82.51,30,11.41,05041
6,1,470,9,1.91,428,91.06,33,7.02,06001
6,2,477,4,0.84,441,92.45,32,6.71,06002
6,3,469,7,1.49,444,94.67,18,3.84,06003
6,4,404,8,1.98,383,94.8,13,3.22,06004
6,5,367,4,1.09,345,94.01,18,4.9,06005
6,6,435,14,3.22,387,88.97,34,7.82,06006
6,7,475,12,2.53,436,91.79,27,5.68,06007
6,8,460,7,1.52,434,94.35,19,4.13,06008
6,9,529,16,3.02,486,91.87,27,5.1,06009
6,10,340,10,2.94,308,90.59,22,6.47,06010
6,11,435,14,3.22,393,90.34,28,6.44,06011
6,12,412,5,1.21,389,94.42,18,4.37,06012
6,13,348,11,3.16,310,89.08,27,7.76,06013
6,14,474,11,2.32,428,90.3,35,7.38,06014
6,15,455,11,2.42,429,94.29,15,3.3,06015
6,16,456,12,2.63,414,90.79,30,6.58,06016
6,17,389,4,1.03,358,92.03,27,6.94,06017
6,18,387,10,2.58,352,90.96,25,6.46,06018
6,19,436,9,2.06,396,90.83,31,7.11,06019
6,20,342,7,2.05,320,93.57,15,4.39,06020
6,21,327,6,1.83,310,94.8,11,3.36,06021
6,22,366,17,4.64,340,92.9,9,2.46,06022
6,23,307,9,2.93,285,92.83,13,4.23,06023
6,24,278,2,0.72,264,94.96,12,4.32,06024
6,25,305,5,1.64,283,92.79,17,5.57,06025
6,26,405,7,1.73,372,91.85,26,6.42,06026
6,27,329,10,3.04,302,91.79,17,5.17,06027
6,28,289,9,3.11,270,93.43,10,3.46,06028
6,29,460,6,1.3,420,91.3,34,7.39,06029
6,30,443,12,2.71,397,89.62,34,7.67,06030
6,31,454,9,1.98,416,91.63,29,6.39,06031
6,32,444,11,2.48,399,89.86,34,7.66,06032
6,33,466,15,3.22,422,90.56,29,6.22,06033
6,34,494,11,2.23,447,90.49,36,7.29,06034
6,35,428,6,1.4,400,93.46,22,5.14,06035
6,36,493,15,3.04,443,89.86,35,7.1,06036
6,37,451,14,3.1,399,88.47,38,8.43,06037
6,38,469,7,1.49,423,90.19,39,8.32,06038
6,39,444,13,2.93,406,91.44,25,5.63,06039
6,40,406,5,1.23,380,93.6,21,5.17,06040
6,41,471,12,2.55,438,92.99,21,4.46,06041
6,42,503,11,2.19,464,92.25,28,5.57,06042
6,43,417,7,1.68,382,91.61,28,6.71,06043
6,44,499,11,2.2,449,89.98,39,7.82,06044
6,45,513,11,2.14,462,90.06,40,7.8,06045
6,46,329,7,2.13,298,90.58,24,7.29,06046
6,47,375,4,1.07,352,93.87,19,5.07,06047
6,48,471,11,2.34,427,90.66,33,7.01,06048
7,1,459,14,3.05,421,91.72,24,5.23,07001
7,2,484,15,3.1,443,91.53,26,5.37,07002
7,3,430,11,2.56,393,91.4,26,6.05,07003
7,4,415,7,1.69,376,90.6,32,7.71,07004
7,5,396,11,2.78,350,88.38,35,8.84,07005
7,6,580,17,2.93,503,86.72,60,10.34,07006
7,7,491,20,4.07,447,91.04,24,4.89,07007
7,8,365,13,3.56,321,87.95,31,8.49,07008
7,9,716,18,2.51,640,89.39,58,8.1,07009
7,10,484,9,1.86,446,92.15,29,5.99,07010
7,11,549,8,1.46,500,91.07,41,7.47,07011
7,12,452,10,2.21,413,91.37,29,6.42,07012
7,13,280,9,3.21,254,90.71,17,6.07,07013
7,14,504,17,3.37,458,90.87,29,5.75,07014
7,15,437,12,2.75,394,90.16,31,7.09,07015
7,16,415,14,3.37,375,90.36,26,6.27,07016
7,17,403,14,3.47,369,91.56,20,4.96,07017
7,18,437,16,3.66,382,87.41,39,8.92,07018
7,19,430,14,3.26,385,89.53,31,7.21,07019
7,20,359,12,3.34,328,91.36,19,5.29,07020
7,21,389,10,2.57,356,91.52,23,5.91,07021
7,22,410,20,4.88,364,88.78,26,6.34,07022
7,23,417,7,1.68,388,93.05,22,5.28,07023
7,24,378,4,1.06,346,91.53,28,7.41,07024
7,25,451,17,3.77,404,89.58,30,6.65,07025
7,26,364,7,1.92,335,92.03,22,6.04,07026
7,27,383,5,1.31,350,91.38,28,7.31,07027
7,28,354,10,2.82,322,90.96,22,6.21,07028
7,29,384,10,2.6,354,92.19,20,5.21,07029
7,30,382,16,4.19,333,87.17,33,8.64,07030
7,31,299,6,2.01,278,92.98,15,5.02,07031
7,32,572,16,2.8,515,90.03,41,7.17,07032
7,33,512,12,2.34,469,91.6,31,6.05,07033
7,34,491,11,2.24,430,87.58,50,10.18,07034
7,35,455,11,2.42,413,90.77,31,6.81,07035
7,36,518,16,3.09,471,90.93,31,5.98,07036
7,37,459,7,1.53,426,92.81,26,5.66,07037
7,38,409,9,2.2,378,92.42,22,5.38,07038
7,39,396,6,1.52,370,93.43,20,5.05,07039
7,40,391,8,2.05,360,92.07,23,5.88,07040
7,41,425,11,2.59,386,90.82,28,6.59,07041
7,42,401,11,2.74,368,91.77,22,5.49,07042
7,43,411,8,1.95,379,92.21,24,5.84,07043
7,44,395,6,1.52,365,92.41,24,6.08,07044
7,45,486,16,3.29,445,91.56,25,5.14,07045
7,46,159,1,0.63,147,92.45,11,6.92,07046
8,1,380,10,2.63,351,92.37,19,5.0,08001
8,2,460,12,2.61,422,91.74,26,5.65,08002
8,3,456,4,0.88,420,92.11,32,7.02,08003
8,4,472,10,2.12,432,91.53,30,6.36,08004
8,5,465,11,2.37,413,88.82,41,8.82,08005
8,6,468,11,2.35,439,93.8,18,3.85,08006
8,7,502,8,1.59,468,93.23,26,5.18,08007
8,8,398,9,2.26,360,90.45,29,7.29,08008
8,9,310,4,1.29,295,95.16,11,3.55,08009
8,10,520,10,1.92,467,89.81,43,8.27,08010
8,11,417,10,2.4,375,89.93,32,7.67,08011
8,12,400,10,2.5,362,90.5,28,7.0,08012
8,13,523,12,2.29,490,93.69,21,4.02,08013
8,14,444,16,3.6,405,91.22,23,5.18,08014
8,15,460,9,1.96,421,91.52,30,6.52,08015
8,16,176,7,3.98,154,87.5,15,8.52,08016
8,17,376,6,1.6,357,94.95,13,3.46,08017
8,18,494,7,1.42,464,93.93,23,4.66,08018
8,19,478,17,3.56,436,91.21,25,5.23,08019
8,20,489,11,2.25,441,90.18,37,7.57,08020
8,21,612,2,0.33,583,95.26,27,4.41,08021
8,22,423,10,2.36,392,92.67,21,4.96,08022
8,23,424,9,2.12,394,92.92,21,4.95,08023
8,24,283,4,1.41,259,91.52,20,7.07,08024
8,25,471,10,2.12,431,91.51,30,6.37,08025
8,26,471,10,2.12,438,92.99,23,4.88,08026
8,27,485,16,3.3,436,89.9,33,6.8,08027
8,28,484,9,1.86,445,91.94,30,6.2,08028
8,29,537,9,1.68,496,92.36,32,5.96,08029
8,30,495,13,2.63,439,88.69,43,8.69,08030
8,31,363,15,4.13,331,91.18,17,4.68,08031
8,32,380,5,1.32,366,96.32,9,2.37,08032
8,33,425,9,2.12,391,92.0,25,5.88,08033
8,34,404,8,1.98,379,93.81,17,4.21,08034
8,35,470,9,1.91,429,91.28,32,6.81,08035
8,36,476,8,1.68,439,92.23,29,6.09,08036
8,37,360,13,3.61,316,87.78,31,8.61,08037
8,38,303,4,1.32,274,90.43,25,8.25,08038
8,39,468,9,1.92,443,94.66,16,3.42,08039
8,40,354,6,1.69,332,93.79,16,4.52,08040
8,41,482,11,2.28,443,91.91,28,5.81,08041
8,42,609,11,1.81,563,92.45,35,5.75,08042
8,43,252,7,2.78,230,91.27,15,5.95,08043
8,44,317,6,1.89,292,92.11,19,5.99,08044
8,45,500,10,2.0,462,92.4,28,5.6,08045
8,46,387,10,2.58,353,91.21,24,6.2,08046
8,47,391,11,2.81,365,93.35,15,3.84,08047
8,48,449,9,2.0,413,91.98,27,6.01,08048
8,49,416,2,0.48,393,94.47,21,5.05,08049
8,50,453,5,1.1,407,89.85,41,9.05,08050
8,51,488,14,2.87,449,92.01,25,5.12,08051
8,52,561,9,1.6,516,91.98,36,6.42,08052
8,53,257,6,2.33,230,89.49,21,8.17,08053
8,54,455,10,2.2,425,93.41,20,4.4,08054
8,55,349,3,0.86,323,92.55,23,6.59,08055
8,56,466,10,2.15,426,91.42,30,6.44,08056
9,1,462,11,2.38,424,91.77,27,5.84,09001
9,2,425,4,0.94,399,93.88,22,5.18,09002
9,3,437,7,1.6,413,94.51,17,3.89,09003
9,4,358,6,1.68,336,93.85,16,4.47,09004
9,5,385,10,2.6,355,92.21,20,5.19,09005
9,6,434,8,1.84,393,90.55,33,7.6,09006
9,7,349,7,2.01,319,91.4,23,6.59,09007
9,8,498,8,1.61,459,92.17,31,6.22,09008
9,9,483,9,1.86,439,90.89,35,7.25,09009
9,10,380,5,1.32,349,91.84,26,6.84,09010
9,11,364,10,2.75,338,92.86,16,4.4,09011
9,12,501,14,2.79,452,90.22,35,6.99,09012
9,13,462,7,1.52,433,93.72,22,4.76,09013
9,14,527,14,2.66,491,93.17,22,4.17,09014
9,15,554,6,1.08,532,96.03,16,2.89,09015
9,16,398,11,2.76,363,91.21,24,6.03,09016
9,17,412,7,1.7,392,95.15,13,3.16,09017
9,18,332,2,0.6,317,95.48,13,3.92,09018
9,19,416,8,1.92,397,95.43,11,2.64,09019
9,20,438,5,1.14,412,94.06,21,4.79,09020
9,21,405,7,1.73,377,93.09,21,5.19,09021
9,22,462,12,2.6,415,89.83,35,7.58,09022
9,23,463,9,1.94,429,92.66,25,5.4,09023
9,24,423,5,1.18,397,93.85,21,4.96,09024
9,25,449,11,2.45,408,90.87,30,6.68,09025
9,26,644,5,0.78,619,96.12,20,3.11,09026
9,27,419,9,2.15,389,92.84,21,5.01,09027
9,28,338,19,5.62,302,89.35,17,5.03,09028
9,29,437,11,2.52,409,93.59,17,3.89,09029
9,30,377,15,3.98,348,92.31,14,3.71,09030
9,31,365,12,3.29,337,92.33,16,4.38,09031
9,32,427,10,2.34,394,92.27,23,5.39,09032
9,33,374,7,1.87,346,92.51,21,5.61,09033
9,34,404,10,2.48,376,93.07,18,4.46,09034
9,35,424,8,1.89,384,90.57,32,7.55,09035
9,36,406,7,1.72,377,92.86,22,5.42,09036
9,37,539,69,12.8,394,73.1,76,14.1,09037
9,38,460,9,1.96,422,91.74,29,6.3,09038
9,39,479,5,1.04,454,94.78,20,4.18,09039
9,40,455,9,1.98,417,91.65,29,6.37,09040
9,41,377,5,1.33,350,92.84,22,5.84,09041
9,42,434,8,1.84,398,91.71,28,6.45,09042
9,43,458,8,1.75,433,94.54,17,3.71,09043
9,44,369,7,1.9,346,93.77,16,4.34,09044
9,45,407,4,0.98,382,93.86,21,5.16,09045
9,46,466,21,4.51,409,87.77,36,7.73,09046
9,47,464,12,2.59,418,90.09,34,7.33,09047
9,48,469,11,2.35,426,90.83,32,6.82,09048
9,49,462,11,2.38,426,92.21,25,5.41,09049
9,50,549,13,2.37,496,90.35,40,7.29,09050
9,51,437,6,1.37,395,90.39,36,8.24,09051
10,1,390,18,4.62,343,87.95,29,7.44,10001
10,2,401,118,29.43,244,60.85,39,9.73,10002
10,3,400,102,25.5,260,65.0,38,9.5,10003
10,4,404,25,6.19,332,82.18,47,11.63,10004
10,5,356,102,28.65,217,60.96,37,10.39,10005
10,6,360,47,13.06,288,80.0,25,6.94,10006
10,7,326,34,10.43,260,79.75,32,9.82,10007
10,8,367,5,1.36,332,90.46,30,8.17,10008
10,9,408,120,29.41,246,60.29,42,10.29,10009
10,10,435,85,19.54,308,70.8,42,9.66,10010
10,11,524,62,11.83,417,79.58,45,8.59,10011
10,12,313,70,22.36,213,68.05,30,9.58,10012
10,13,491,31,6.31,430,87.58,30,6.11,10013
10,14,555,99,17.84,403,72.61,53,9.55,10014
10,15,830,8,0.96,787,94.82,35,4.22,10015
10,16,339,71,20.94,230,67.85,38,11.21,10016
10,17,542,158,29.15,308,56.83,76,14.02,10017
10,18,306,12,3.92,270,88.24,24,7.84,10018
10,19,460,94,20.43,308,66.96,58,12.61,10019
10,20,436,85,19.5,307,70.41,44,10.09,10020
10,21,447,54,12.08,348,77.85,45,10.07,10021
10,22,282,22,7.8,231,81.91,29,10.28,10022
10,23,407,31,7.62,340,83.54,36,8.85,10023
10,24,453,163,35.98,248,54.75,42,9.27,10024
10,25,145,9,6.21,126,86.9,10,6.9,10025
10,26,362,31,8.56,296,81.77,35,9.67,10026
10,27,484,21,4.34,427,88.22,36,7.44,10027
10,28,488,67,13.73,375,76.84,46,9.43,10028
10,29,423,57,13.48,331,78.25,35,8.27,10029
10,30,419,36,8.59,347,82.82,36,8.59,10030
10,31,344,34,9.88,279,81.1,31,9.01,10031
10,32,414,64,15.46,304,73.43,46,11.11,10032
10,33,329,30,9.12,269,81.76,30,9.12,10033
10,34,329,16,4.86,297,90.27,16,4.86,10034
10,35,440,123,27.95,271,61.59,46,10.45,10035
10,36,100,7,7.0,86,86.0,7,7.0,10036
11,1,490,109,22.24,292,59.59,89,18.16,11001
11,2,74,14,18.92,53,71.62,7,9.46,11002
11,3,453,43,9.49,288,63.58,122,26.93,11003
11,4,417,72,17.27,285,68.35,60,14.39,11004
11,5,632,82,12.97,417,65.98,133,21.04,11005
11,6,693,169,24.39,424,61.18,100,14.43,11006
11,7,836,137,16.39,613,73.33,86,10.29,11007
11,8,452,81,17.92,306,67.7,65,14.38,11008
11,9,414,91,21.98,264,63.77,59,14.25,11009
11,10,410,86,20.98,265,64.63,59,14.39,11010
11,11,534,138,25.84,307,57.49,89,16.67,11011
11,12,635,161,25.35,418,65.83,56,8.82,11012
11,13,592,152,25.68,383,64.7,57,9.63,11013
11,14,240,72,30.0,140,58.33,28,11.67,11014
11,15,174,29,16.67,120,68.97,25,14.37,11015
11,16,340,101,29.71,193,56.76,46,13.53,11016
11,17,556,99,17.81,351,63.13,106,19.06,11017
11,18,382,78,20.42,270,70.68,34,8.9,11018
11,19,614,106,17.26,393,64.01,115,18.73,11019
11,20,329,62,18.84,232,70.52,35,10.64,11020
11,21,604,121,20.03,419,69.37,64,10.6,11021
11,22,596,136,22.82,369,61.91,91,15.27,11022
11,23,268,60,22.39,174,64.93,34,12.69,11023
11,24,556,101,18.17,407,73.2,48,8.63,11024
11,25,555,137,24.68,345,62.16,73,13.15,11025
11,26,548,106,19.34,356,64.96,86,15.69,11026
11,27,180,36,20.0,121,67.22,23,12.78,11027
11,28,239,57,23.85,150,62.76,32,13.39,11028
11,29,537,148,27.56,327,60.89,62,11.55,11029
11,30,236,64,27.12,142,60.17,30,12.71,11030
11,31,478,124,25.94,307,64.23,47,9.83,11031
11,32,244,66,27.05,155,63.52,23,9.43,11032
11,33,567,138,24.34,340,59.96,89,15.7,11033
11,34,150,42,28.0,90,60.0,18,12.0,11034
11,35,100,23,23.0,70,70.0,7,7.0,11035
11,36,215,39,18.14,157,73.02,19,8.84,11036
11,37,127,25,19.69,86,67.72,16,12.6,11037
11,38,237,27,11.39,154,64.98,56,23.63,11038
12,1,467,59,12.63,342,73.23,66,14.13,12001
12,2,370,43,11.62,291,78.65,36,9.73,12002
12,3,552,85,15.4,374,67.75,93,16.85,12003
12,4,452,61,13.5,320,70.8,71,15.71,12004
12,5,380,79,20.79,241,63.42,60,15.79,12005
12,6,436,57,13.07,334,76.61,45,10.32,12006
12,7,474,32,6.75,361,76.16,81,17.09,12007
12,8,447,52,11.63,326,72.93,69,15.44,12008
12,9,379,48,12.66,283,74.67,48,12.66,12009
12,10,513,26,5.07,413,80.51,74,14.42,12010
12,11,460,43,9.35,360,78.26,57,12.39,12011
12,12,467,50,10.71,363,77.73,54,11.56,12012
12,13,470,50,10.64,361,76.81,59,12.55,12013
12,14,413,21,5.08,344,83.29,48,11.62,12014
12,15,391,24,6.14,302,77.24,65,16.62,12015
12,16,421,29,6.89,339,80.52,53,12.59,12016
12,17,497,59,11.87,368,74.04,70,14.08,12017
12,18,400,34,8.5,316,79.0,50,12.5,12018
12,19,435,57,13.1,325,74.71,53,12.18,12019
12,20,559,55,9.84,441,78.89,63,11.27,12020
12,21,475,62,13.05,358,75.37,55,11.58,12021
12,22,423,15,3.55,338,79.91,70,16.55,12022
12,23,452,66,14.6,314,69.47,72,15.93,12023
13,1,330,77,23.33,222,67.27,31,9.39,13001
13,2,319,91,28.53,194,60.82,34,10.66,13002
13,3,314,41,13.06,234,74.52,39,12.42,13003
13,4,412,123,29.85,247,59.95,42,10.19,13004
