ward,precinct,total,August (O'Neill) Deuser,August (O'Neill) Deuser Percent,Bobby L. Rush,Bobby L. Rush Percent,precinct_id
6,38,491,10,2.04,481,97.96,06038
6,39,469,10,2.13,459,97.87,06039
6,40,425,6,1.41,419,98.59,06040
6,41,488,10,2.05,478,97.95,06041
6,42,540,18,3.33,522,96.67,06042
6,43,441,9,2.04,432,97.96,06043
6,44,547,11,2.01,536,97.99,06044
6,45,544,14,2.57,530,97.43,06045
6,46,343,13,3.79,330,96.21,06046
6,47,399,7,1.75,392,98.25,06047
6,48,497,11,2.21,486,97.79,06048
7,1,167,4,2.4,163,97.6,07001
8,1,404,9,2.23,395,97.77,08001
8,2,480,10,2.08,470,97.92,08002
8,3,477,8,1.68,469,98.32,08003
8,4,162,4,2.47,158,97.53,08004
8,5,463,8,1.73,455,98.27,08005
8,6,478,4,0.84,474,99.16,08006
8,8,431,9,2.09,422,97.91,08008
8,10,538,15,2.79,523,97.21,08010
8,11,430,13,3.02,417,96.98,08011
8,12,432,12,2.78,420,97.22,08012
8,13,564,14,2.48,550,97.52,08013
8,14,466,9,1.93,457,98.07,08014
8,15,477,11,2.31,466,97.69,08015
8,16,183,6,3.28,177,96.72,08016
8,18,532,13,2.44,519,97.56,08018
8,19,485,13,2.68,472,97.32,08019
8,20,502,8,1.59,494,98.41,08020
8,21,635,6,0.94,629,99.06,08021
8,22,439,12,2.73,427,97.27,08022
8,23,434,5,1.15,429,98.85,08023
8,24,290,9,3.1,281,96.9,08024
8,25,503,12,2.39,491,97.61,08025
8,26,504,16,3.17,488,96.83,08026
8,27,89,5,5.62,84,94.38,08027
8,29,555,13,2.34,542,97.66,08029
8,30,524,12,2.29,512,97.71,08030
8,31,376,15,3.99,361,96.01,08031
8,33,452,15,3.32,437,96.68,08033
8,34,424,11,2.59,413,97.41,08034
8,35,481,11,2.29,470,97.71,08035
8,37,374,11,2.94,363,97.06,08037
8,38,319,11,3.45,308,96.55,08038
8,40,384,9,2.34,375,97.66,08040
8,41,521,8,1.54,513,98.46,08041
8,43,274,6,2.19,268,97.81,08043
8,44,332,6,1.81,326,98.19,08044
8,45,525,14,2.67,511,97.33,08045
8,47,402,12,2.99,390,97.01,08047
8,48,467,8,1.71,459,98.29,08048
8,49,371,7,1.89,364,98.11,08049
8,50,298,7,2.35,291,97.65,08050
8,51,506,10,1.98,496,98.02,08051
8,52,594,13,2.19,581,97.81,08052
8,54,460,10,2.17,450,97.83,08054
8,55,362,4,1.1,358,98.9,08055
8,56,494,7,1.42,487,98.58,08056
9,12,521,13,2.5,508,97.5,09012
9,23,489,11,2.25,478,97.75,09023
9,24,446,9,2.02,437,97.98,09024
9,25,460,12,2.61,448,97.39,09025
9,36,427,5,1.17,422,98.83,09036
9,42,451,8,1.77,443,98.23,09042
9,47,473,13,2.75,460,97.25,09047
9,48,486,9,1.85,477,98.15,09048
9,49,490,11,2.24,479,97.76,09049
9,50,566,15,2.65,551,97.35,09050
9,51,440,10,2.27,430,97.73,09051
13,19,477,48,10.06,429,89.94,13019
13,41,78,7,8.97,71,91.03,13041
16,6,2,0,0.0,2,100.0,16006
16,9,407,11,2.7,396,97.3,16009
16,27,5,0,0.0,5,100.0,16027
16,28,376,10,2.66,366,97.34,16028
16,30,385,6,1.56,379,98.44,16030
16,31,85,0,0.0,85,100.0,16031
16,34,87,1,1.15,86,98.85,16034
17,1,428,49,11.45,379,88.55,17001
17,2,448,7,1.56,441,98.44,17002
17,3,495,14,2.83,481,97.17,17003
17,4,611,12,1.96,599,98.04,17004
17,5,374,8,2.14,366,97.86,17005
17,6,247,12,4.86,235,95.14,17006
17,8,401,17,4.24,384,95.76,17008
17,9,369,11,2.98,358,97.02,17009
17,10,598,21,3.51,577,96.49,17010
17,11,405,7,1.73,398,98.27,17011
17,12,75,3,4.0,72,96.0,17012
17,13,0,0,0.0,0,0.0,17013
17,15,537,16,2.98,521,97.02,17015
17,16,364,15,4.12,349,95.88,17016
17,17,436,24,5.5,412,94.5,17017
17,18,471,4,0.85,467,99.15,17018
17,20,546,1,0.18,545,99.82,17020
17,21,500,8,1.6,492,98.4,17021
17,22,424,11,2.59,413,97.41,17022
17,23,311,4,1.29,307,98.71,17023
17,24,511,12,2.35,499,97.65,17024
17,25,346,6,1.73,340,98.27,17025
17,26,540,10,1.85,530,98.15,17026
17,27,451,11,2.44,440,97.56,17027
17,28,366,6,1.64,360,98.36,17028
17,29,449,13,2.9,436,97.1,17029
17,30,395,56,14.18,339,85.82,17030
17,32,418,5,1.2,413,98.8,17032
17,33,136,6,4.41,130,95.59,17033
17,34,363,6,1.65,357,98.35,17034
17,35,321,7,2.18,314,97.82,17035
17,36,400,4,1.0,396,99.0,17036
17,37,403,10,2.48,393,97.52,17037
17,38,503,12,2.39,491,97.61,17038
17,39,469,6,1.28,463,98.72,17039
17,40,457,10,2.19,447,97.81,17040
17,41,529,7,1.32,522,98.68,17041
18,1,431,26,6.03,405,93.97,18001
18,2,446,82,18.39,364,81.61,18002
18,3,400,127,31.75,273,68.25,18003
18,4,474,18,3.8,456,96.2,18004
18,5,341,9,2.64,332,97.36,18005
18,6,408,143,35.05,265,64.95,18006
18,7,490,64,13.06,426,86.94,18007
18,8,454,17,3.74,437,96.26,18008
18,9,431,28,6.5,403,93.5,18009
18,10,550,21,3.82,529,96.18,18010
18,11,385,62,16.1,323,83.9,18011
18,12,437,21,4.81,416,95.19,18012
18,13,489,22,4.5,467,95.5,18013
18,14,464,18,3.88,446,96.12,18014
18,15,19,7,36.84,12,63.16,18015
18,16,434,20,4.61,414,95.39,18016
18,17,463,39,8.42,424,91.58,18017
18,18,368,8,2.17,360,97.83,18018
18,19,435,13,2.99,422,97.01,18019
18,20,379,4,1.06,375,98.94,18020
18,21,546,28,5.13,518,94.87,18021
18,22,492,14,2.85,478,97.15,18022
18,23,433,26,6.0,407,94.0,18023
18,26,524,28,5.34,496,94.66,18026
18,27,371,28,7.55,343,92.45,18027
18,28,438,137,31.28,301,68.72,18028
18,29,490,52,10.61,438,89.39,18029
18,31,476,26,5.46,450,94.54,18031
18,32,474,6,1.27,468,98.73,18032
18,33,366,8,2.19,358,97.81,18033
18,34,519,30,5.78,489,94.22,18034
18,35,477,24,5.03,453,94.97,18035
18,36,487,63,12.94,424,87.06,18036
18,37,495,19,3.84,476,96.16,18037
18,38,407,8,1.97,399,98.03,18038
18,39,414,23,5.56,391,94.44,18039
18,41,515,17,3.3,498,96.7,18041
18,42,439,21,4.78,418,95.22,18042
18,44,400,143,35.75,257,64.25,18044
18,45,457,49,10.72,408,89.28,18045
18,47,385,22,5.71,363,94.29,18047
18,48,375,5,1.33,370,98.67,18048
18,49,324,15,4.63,309,95.37,18049
18,50,394,20,5.08,374,94.92,18050
19,2,516,90,17.44,426,82.56,19002
19,5,338,98,28.99,240,71.01,19005
19,10,62,17,27.42,45,72.58,19010
19,11,30,17,56.67,13,43.33,19011
19,13,585,36,6.15,549,93.85,19013
19,14,526,150,28.52,376,71.48,19014
19,20,420,70,16.67,350,83.33,19020
19,25,105,23,21.9,82,78.1,19025
19,27,470,68,14.47,402,85.53,19027
19,28,561,36,6.42,525,93.58,19028
19,31,424,175,41.27,249,58.73,19031
19,36,686,87,12.68,599,87.32,19036
19,37,456,84,18.42,372,81.58,19037
19,38,428,62,14.49,366,85.51,19038
19,39,223,17,7.62,206,92.38,19039
19,40,506,148,29.25,358,70.75,19040
19,42,364,90,24.73,274,75.27,19042
19,43,668,33,4.94,635,95.06,19043
19,47,692,126,18.21,566,81.79,19047
19,48,635,25,3.94,610,96.06,19048
19,49,567,73,12.87,494,87.13,19049
19,57,88,25,28.41,63,71.59,19057
20,1,510,15,2.94,495,97.06,20001
20,3,397,7,1.76,390,98.24,20003
20,5,513,15,2.92,498,97.08,20005
20,7,514,17,3.31,497,96.69,20007
20,8,456,8,1.75,448,98.25,20008
20,9,645,20,3.1,625,96.9,20009
20,10,422,14,3.32,408,96.68,20010
20,11,552,12,2.17,540,97.83,20011
20,12,424,7,1.65,417,98.35,20012
20,13,602,8,1.33,594,98.67,20013
20,14,269,6,2.23,263,97.77,20014
20,16,523,28,5.35,495,94.65,20016
20,18,394,10,2.54,384,97.46,20018
20,19,516,8,1.55,508,98.45,20019
20,22,480,20,4.17,460,95.83,20022
20,23,598,9,1.51,589,98.49,20023
20,24,492,23,4.67,469,95.33,20024
20,26,502,26,5.18,476,94.82,20026
20,27,185,5,2.7,180,97.3,20027
20,28,306,7,2.29,299,97.71,20028
20,29,569,13,2.28,556,97.72,20029
20,30,5,1,20.0,4,80.0,20030
20,31,175,4,2.29,171,97.71,20031
20,33,344,8,2.33,336,97.67,20033
20,34,707,48,6.79,659,93.21,20034
20,35,483,10,2.07,473,97.93,20035
20,37,177,3,1.69,174,98.31,20037
21,1,458,9,1.97,449,98.03,21001
21,2,391,5,1.28,386,98.72,21002
21,3,494,7,1.42,487,98.58,21003
21,4,484,7,1.45,477,98.55,21004
21,5,519,7,1.35,512,98.65,21005
21,6,425,9,2.12,416,97.88,21006
21,7,475,5,1.05,470,98.95,21007
21,8,510,12,2.35,498,97.65,21008
21,9,490,7,1.43,483,98.57,21009
21,10,441,13,2.95,428,97.05,21010
21,11,449,8,1.78,441,98.22,21011
21,12,449,12,2.67,437,97.33,21012
21,13,490,13,2.65,477,97.35,21013
21,14,532,14,2.63,518,97.37,21014
21,15,445,6,1.35,439,98.65,21015
21,16,439,14,3.19,425,96.81,21016
21,17,445,14,3.15,431,96.85,21017
21,18,527,10,1.9,517,98.1,21018
21,19,490,13,2.65,477,97.35,21019
21,20,452,8,1.77,444,98.23,21020
21,21,396,9,2.27,387,97.73,21021
21,22,443,15,3.39,428,96.61,21022
21,23,427,10,2.34,417,97.66,21023
21,24,458,7,1.53,451,98.47,21024
21,25,412,9,2.18,403,97.82,21025
21,26,517,16,3.09,501,96.91,21026
21,27,449,3,0.67,446,99.33,21027
21,28,597,12,2.01,585,97.99,21028
21,29,515,13,2.52,502,97.48,21029
21,30,403,12,2.98,391,97.02,21030
21,31,313,3,0.96,310,99.04,21031
21,32,459,4,0.87,455,99.13,21032
21,33,467,7,1.5,460,98.5,21033
21,34,506,10,1.98,496,98.02,21034
21,35,485,12,2.47,473,97.53,21035
21,36,484,12,2.48,472,97.52,21036
21,37,417,5,1.2,412,98.8,21037
21,38,496,2,0.4,494,99.6,21038
21,39,409,5,1.22,404,98.78,21039
21,40,433,9,2.08,424,97.92,21040
21,41,438,10,2.28,428,97.72,21041
21,42,514,8,1.56,506,98.44,21042
21,43,480,4,0.83,476,99.17,21043
21,44,464,11,2.37,453,97.63,21044
21,45,435,20,4.6,415,95.4,21045
21,46,534,11,2.06,523,97.94,21046
21,47,480,5,1.04,475,98.96,21047
21,48,446,16,3.59,430,96.41,21048
21,49,514,12,2.33,502,97.67,21049
21,50,393,14,3.56,379,96.44,21050
21,51,440,12,2.73,428,97.27,21051
21,52,487,8,1.64,479,98.36,21052
21,53,362,12,3.31,350,96.69,21053
21,54,416,12,2.88,404,97.12,21054
34,1,493,4,0.81,489,99.19,34001
34,2,294,4,1.36,290,98.64,34002
34,3,525,11,2.1,514,97.9,34003
34,5,440,6,1.36,434,98.64,34005
34,6,531,19,3.58,512,96.42,34006
34,7,514,9,1.75,505,98.25,34007
34,8,400,3,0.75,397,99.25,34008
34,9,436,15,3.44,421,96.56,34009
34,10,449,7,1.56,442,98.44,34010
34,11,430,5,1.16,425,98.84,34011
34,12,503,13,2.58,490,97.42,34012
34,13,504,6,1.19,498,98.81,34013
34,14,407,9,2.21,398,97.79,34014
34,15,470,11,2.34,459,97.66,34015
34,16,429,12,2.8,417,97.2,34016
34,17,597,11,1.84,586,98.16,34017
34,19,612,12,1.96,600,98.04,34019
34,20,517,8,1.55,509,98.45,34020
34,21,516,14,2.71,502,97.29,34021
34,22,113,1,0.88,112,99.12,34022
34,25,499,8,1.6,491,98.4,34025
34,26,512,6,1.17,506,98.83,34026
34,29,396,9,2.27,387,97.73,34029
34,30,145,4,2.76,141,97.24,34030
34,31,430,9,2.09,421,97.91,34031
34,32,466,8,1.72,458,98.28,34032
34,33,452,7,1.55,445,98.45,34033
34,34,502,9,1.79,493,98.21,34034
34,35,526,12,2.28,514,97.72,34035
34,40,538,8,1.49,530,98.51,34040
34,41,106,2,1.89,104,98.11,34041
34,42,436,3,0.69,433,99.31,34042
34,43,411,12,2.92,399,97.08,34043
34,44,456,7,1.54,449,98.46,34044
34,45,488,10,2.05,478,97.95,34045
34,46,303,3,0.99,300,99.01,34046
34,47,488,9,1.84,479,98.16,34047
34,48,482,8,1.66,474,98.34,34048
34,49,559,18,3.22,541,96.78,34049
34,50,428,9,2.1,419,97.9,34050
34,51,482,16,3.32,466,96.68,34051
34,52,339,10,2.95,329,97.05,34052
