ward,precinct,total,Vince Kolber,Vince Kolber Percent,Mike Quigley,Mike Quigley Percent,Rob Sherman,Rob Sherman Percent,precinct_id
33,10,84,17,20.24,63,75.0,4,4.76,33010
33,18,809,83,10.26,664,82.08,62,7.66,33018
33,19,289,42,14.53,226,78.2,21,7.27,33019
33,23,45,6,13.33,35,77.78,4,8.89,33023
33,24,775,92,11.87,644,83.1,39,5.03,33024
33,27,25,5,20.0,18,72.0,2,8.0,33027
36,7,532,164,30.83,337,63.35,31,5.83,36007
36,14,500,97,19.4,374,74.8,29,5.8,36014
36,15,503,106,21.07,370,73.56,27,5.37,36015
36,16,336,60,17.86,266,79.17,10,2.98,36016
36,17,494,101,20.45,369,74.7,24,4.86,36017
36,18,459,111,24.18,327,71.24,21,4.58,36018
36,20,225,56,24.89,157,69.78,12,5.33,36020
36,24,336,83,24.7,231,68.75,22,6.55,36024
36,26,432,122,28.24,281,65.05,29,6.71,36026
36,28,451,121,26.83,306,67.85,24,5.32,36028
36,29,255,58,22.75,180,70.59,17,6.67,36029
36,30,474,88,18.57,354,74.68,32,6.75,36030
38,2,516,255,49.42,248,48.06,13,2.52,38002
38,3,513,150,29.24,335,65.3,28,5.46,38003
38,4,474,147,31.01,302,63.71,25,5.27,38004
38,5,511,170,33.27,310,60.67,31,6.07,38005
38,6,509,156,30.65,327,64.24,26,5.11,38006
38,7,463,157,33.91,287,61.99,19,4.1,38007
38,8,463,136,29.37,305,65.87,22,4.75,38008
38,9,535,184,34.39,319,59.63,32,5.98,38009
38,10,458,123,26.86,301,65.72,34,7.42,38010
38,11,456,107,23.46,327,71.71,22,4.82,38011
38,12,481,199,41.37,268,55.72,14,2.91,38012
38,13,520,181,34.81,315,60.58,24,4.62,38013
38,14,528,144,27.27,351,66.48,33,6.25,38014
38,15,451,116,25.72,304,67.41,31,6.87,38015
38,16,505,148,29.31,324,64.16,33,6.53,38016
38,17,557,232,41.65,299,53.68,26,4.67,38017
38,18,505,155,30.69,330,65.35,20,3.96,38018
38,19,551,159,28.86,370,67.15,22,3.99,38019
38,20,513,171,33.33,307,59.84,35,6.82,38020
38,21,431,125,29.0,282,65.43,24,5.57,38021
38,22,461,110,23.86,324,70.28,27,5.86,38022
38,23,526,136,25.86,363,69.01,27,5.13,38023
38,24,540,179,33.15,333,61.67,28,5.19,38024
38,25,430,108,25.12,294,68.37,28,6.51,38025
38,26,501,139,27.74,328,65.47,34,6.79,38026
38,27,520,165,31.73,329,63.27,26,5.0,38027
38,28,589,219,37.18,350,59.42,20,3.4,38028
38,29,466,109,23.39,321,68.88,36,7.73,38029
38,30,482,175,36.31,279,57.88,28,5.81,38030
38,31,508,121,23.82,357,70.28,30,5.91,38031
38,32,480,108,22.5,337,70.21,35,7.29,38032
38,33,500,128,25.6,346,69.2,26,5.2,38033
38,34,482,95,19.71,355,73.65,32,6.64,38034
38,35,223,45,20.18,163,73.09,15,6.73,38035
38,36,446,99,22.2,328,73.54,19,4.26,38036
38,37,504,109,21.63,357,70.83,38,7.54,38037
38,38,444,135,30.41,265,59.68,44,9.91,38038
38,39,539,119,22.08,385,71.43,35,6.49,38039
38,40,486,144,29.63,314,64.61,28,5.76,38040
39,1,498,168,33.73,307,61.65,23,4.62,39001
39,2,429,101,23.54,314,73.19,14,3.26,39002
39,3,545,102,18.72,416,76.33,27,4.95,39003
39,4,485,163,33.61,301,62.06,21,4.33,39004
39,5,529,117,22.12,382,72.21,30,5.67,39005
39,6,504,95,18.85,378,75.0,31,6.15,39006
39,7,446,66,14.8,356,79.82,24,5.38,39007
39,8,569,76,13.36,466,81.9,27,4.75,39008
39,9,517,108,20.89,380,73.5,29,5.61,39009
39,10,248,22,8.87,215,86.69,11,4.44,39010
39,11,466,91,19.53,350,75.11,25,5.36,39011
39,12,493,70,14.2,382,77.48,41,8.32,39012
39,13,472,103,21.82,333,70.55,36,7.63,39013
39,14,491,110,22.4,354,72.1,27,5.5,39014
39,15,590,219,37.12,348,58.98,23,3.9,39015
39,16,486,84,17.28,385,79.22,17,3.5,39016
39,17,528,115,21.78,378,71.59,35,6.63,39017
39,18,501,93,18.56,376,75.05,32,6.39,39018
39,19,499,105,21.04,351,70.34,43,8.62,39019
39,20,611,199,32.57,383,62.68,29,4.75,39020
39,21,487,180,36.96,288,59.14,19,3.9,39021
39,22,477,83,17.4,368,77.15,26,5.45,39022
39,23,514,161,31.32,321,62.45,32,6.23,39023
39,24,623,232,37.24,367,58.91,24,3.85,39024
39,25,452,65,14.38,356,78.76,31,6.86,39025
39,26,503,149,29.62,328,65.21,26,5.17,39026
39,27,93,26,27.96,66,70.97,1,1.08,39027
39,28,291,36,12.37,229,78.69,26,8.93,39028
39,29,289,27,9.34,246,85.12,16,5.54,39029
39,30,645,83,12.87,524,81.24,38,5.89,39030
39,32,453,134,29.58,300,66.23,19,4.19,39032
39,33,624,125,20.03,466,74.68,33,5.29,39033
39,34,571,103,18.04,426,74.61,42,7.36,39034
39,35,516,98,18.99,397,76.94,21,4.07,39035
39,36,156,25,16.03,118,75.64,13,8.33,39036
39,37,500,141,28.2,340,68.0,19,3.8,39037
39,38,291,73,25.09,210,72.16,8,2.75,39038
39,39,325,99,30.46,211,64.92,15,4.62,39039
39,40,459,123,26.8,318,69.28,18,3.92,39040
39,41,567,169,29.81,375,66.14,23,4.06,39041
39,42,548,218,39.78,315,57.48,15,2.74,39042
39,43,545,184,33.76,337,61.83,24,4.4,39043
39,44,410,152,37.07,244,59.51,14,3.41,39044
39,45,479,158,32.99,306,63.88,15,3.13,39045
40,1,531,90,16.95,407,76.65,34,6.4,40001
40,2,530,73,13.77,426,80.38,31,5.85,40002
40,3,708,72,10.17,590,83.33,46,6.5,40003
40,5,581,83,14.29,462,79.52,36,6.2,40005
40,6,688,76,11.05,553,80.38,59,8.58,40006
40,7,570,59,10.35,482,84.56,29,5.09,40007
40,8,705,64,9.08,604,85.67,37,5.25,40008
40,10,151,28,18.54,121,80.13,2,1.32,40010
40,11,586,69,11.77,475,81.06,42,7.17,40011
40,12,458,69,15.07,368,80.35,21,4.59,40012
40,13,855,60,7.02,748,87.49,47,5.5,40013
40,14,496,89,17.94,383,77.22,24,4.84,40014
40,15,512,84,16.41,393,76.76,35,6.84,40015
40,16,717,81,11.3,611,85.22,25,3.49,40016
40,17,493,86,17.44,373,75.66,34,6.9,40017
40,19,705,122,17.3,533,75.6,50,7.09,40019
40,20,562,74,13.17,454,80.78,34,6.05,40020
40,21,645,80,12.4,527,81.71,38,5.89,40021
40,23,640,67,10.47,532,83.13,41,6.41,40023
40,24,529,97,18.34,395,74.67,37,6.99,40024
40,25,580,46,7.93,497,85.69,37,6.38,40025
40,29,540,99,18.33,403,74.63,38,7.04,40029
40,30,495,111,22.42,365,73.74,19,3.84,40030
40,31,104,10,9.62,91,87.5,3,2.88,40031
40,32,627,70,11.16,526,83.89,31,4.94,40032
40,34,515,88,17.09,404,78.45,23,4.47,40034
40,38,713,97,13.6,580,81.35,36,5.05,40038
41,3,479,138,28.81,312,65.14,29,6.05,41003
41,6,597,221,37.02,357,59.8,19,3.18,41006
41,9,542,188,34.69,333,61.44,21,3.87,41009
41,11,170,49,28.82,116,68.24,5,2.94,41011
41,12,553,195,35.26,337,60.94,21,3.8,41012
41,14,608,207,34.05,371,61.02,30,4.93,41014
41,16,523,170,32.5,325,62.14,28,5.35,41016
41,17,447,158,35.35,266,59.51,23,5.15,41017
41,19,597,216,36.18,360,60.3,21,3.52,41019
41,21,503,151,30.02,331,65.81,21,4.17,41021
41,22,554,217,39.17,315,56.86,22,3.97,41022
41,23,271,117,43.17,144,53.14,10,3.69,41023
41,24,490,213,43.47,259,52.86,18,3.67,41024
41,26,500,173,34.6,312,62.4,15,3.0,41026
41,27,500,205,41.0,268,53.6,27,5.4,41027
41,30,539,182,33.77,322,59.74,35,6.49,41030
41,32,447,156,34.9,266,59.51,25,5.59,41032
41,33,434,168,38.71,248,57.14,18,4.15,41033
41,35,611,234,38.3,347,56.79,30,4.91,41035
41,38,498,173,34.74,310,62.25,15,3.01,41038
41,39,577,234,40.55,327,56.67,16,2.77,41039
41,45,221,68,30.77,144,65.16,9,4.07,41045
41,46,535,191,35.7,319,59.63,25,4.67,41046
41,47,534,181,33.9,331,61.99,22,4.12,41047
43,2,677,207,30.58,450,66.47,20,2.95,43002
43,3,658,203,30.85,435,66.11,20,3.04,43003
43,4,881,316,35.87,550,62.43,15,1.7,43004
43,5,480,154,32.08,320,66.67,6,1.25,43005
43,6,502,152,30.28,333,66.33,17,3.39,43006
43,7,429,121,28.21,296,69.0,12,2.8,43007
43,8,531,139,26.18,373,70.24,19,3.58,43008
43,9,585,166,28.38,395,67.52,24,4.1,43009
43,10,765,256,33.46,487,63.66,22,2.88,43010
43,11,647,246,38.02,376,58.11,25,3.86,43011
43,12,473,136,28.75,326,68.92,11,2.33,43012
43,13,645,152,23.57,470,72.87,23,3.57,43013
43,14,633,189,29.86,429,67.77,15,2.37,43014
43,15,734,225,30.65,471,64.17,38,5.18,43015
43,16,775,236,30.45,505,65.16,34,4.39,43016
43,17,558,194,34.77,350,62.72,14,2.51,43017
43,18,740,252,34.05,468,63.24,20,2.7,43018
43,19,708,209,29.52,480,67.8,19,2.68,43019
43,20,726,207,28.51,498,68.6,21,2.89,43020
43,21,698,220,31.52,453,64.9,25,3.58,43021
43,22,474,127,26.79,326,68.78,21,4.43,43022
43,23,479,127,26.51,338,70.56,14,2.92,43023
43,24,544,157,28.86,363,66.73,24,4.41,43024
43,25,519,115,22.16,385,74.18,19,3.66,43025
43,26,421,93,22.09,313,74.35,15,3.56,43026
43,27,638,176,27.59,434,68.03,28,4.39,43027
43,28,837,226,27.0,584,69.77,27,3.23,43028
43,29,667,189,28.34,455,68.22,23,3.45,43029
43,30,835,217,25.99,584,69.94,34,4.07,43030
43,31,638,167,26.18,448,70.22,23,3.61,43031
43,32,742,178,23.99,543,73.18,21,2.83,43032
43,34,472,134,28.39,329,69.7,9,1.91,43034
43,36,389,123,31.62,248,63.75,18,4.63,43036
43,37,781,165,21.13,578,74.01,38,4.87,43037
43,38,559,206,36.85,343,61.36,10,1.79,43038
43,39,731,211,28.86,494,67.58,26,3.56,43039
43,40,509,123,24.17,357,70.14,29,5.7,43040
43,41,860,222,25.81,608,70.7,30,3.49,43041
43,42,628,152,24.2,453,72.13,23,3.66,43042
43,43,691,247,35.75,430,62.23,14,2.03,43043
43,44,632,182,28.8,432,68.35,18,2.85,43044
43,46,395,117,29.62,263,66.58,15,3.8,43046
44,1,1088,180,16.54,864,79.41,44,4.04,44001
44,2,684,142,20.76,522,76.32,20,2.92,44002
44,5,759,122,16.07,611,80.5,26,3.43,44005
44,6,894,158,17.67,691,77.29,45,5.03,44006
44,8,898,179,19.93,673,74.94,46,5.12,44008
44,9,652,172,26.38,456,69.94,24,3.68,44009
44,10,704,183,25.99,504,71.59,17,2.41,44010
44,11,748,167,22.33,546,72.99,35,4.68,44011
44,12,745,137,18.39,588,78.93,20,2.68,44012
44,13,605,142,23.47,438,72.4,25,4.13,44013
44,14,643,125,19.44,503,78.23,15,2.33,44014
44,15,646,119,18.42,491,76.01,36,5.57,44015
44,16,760,183,24.08,553,72.76,24,3.16,44016
44,17,902,127,14.08,736,81.6,39,4.32,44017
44,18,713,171,23.98,521,73.07,21,2.95,44018
44,19,827,148,17.9,651,78.72,28,3.39,44019
44,20,731,122,16.69,583,79.75,26,3.56,44020
44,21,824,131,15.9,663,80.46,30,3.64,44021
44,22,726,143,19.7,570,78.51,13,1.79,44022
44,23,707,127,17.96,551,77.93,29,4.1,44023
44,25,699,165,23.61,504,72.1,30,4.29,44025
44,26,796,138,17.34,625,78.52,33,4.15,44026
44,27,782,160,20.46,598,76.47,24,3.07,44027
44,28,714,112,15.69,567,79.41,35,4.9,44028
44,29,802,189,23.57,588,73.32,25,3.12,44029
44,30,801,182,22.72,604,75.41,15,1.87,44030
44,31,639,137,21.44,481,75.27,21,3.29,44031
44,32,814,183,22.48,603,74.08,28,3.44,44032
44,33,710,93,13.1,593,83.52,24,3.38,44033
44,34,730,124,16.99,574,78.63,32,4.38,44034
44,36,732,159,21.72,557,76.09,16,2.19,44036
44,37,766,120,15.67,615,80.29,31,4.05,44037
44,38,718,177,24.65,508,70.75,33,4.6,44038
44,39,709,202,28.49,487,68.69,20,2.82,44039
44,40,690,226,32.75,438,63.48,26,3.77,44040
44,41,893,157,17.58,695,77.83,41,4.59,44041
45,3,472,76,16.1,375,79.45,21,4.45,45003
45,4,625,107,17.12,480,76.8,38,6.08,45004
45,5,519,89,17.15,398,76.69,32,6.17,45005
45,6,631,123,19.49,473,74.96,35,5.55,45006
45,7,732,162,22.13,533,72.81,37,5.05,45007
45,8,35,12,34.29,23,65.71,0,0.0,45008
45,11,410,63,15.37,326,79.51,21,5.12,45011
45,12,501,102,20.36,361,72.06,38,7.58,45012
45,13,448,83,18.53,344,76.79,21,4.69,45013
45,14,677,125,18.46,510,75.33,42,6.2,45014
45,15,625,98,15.68,481,76.96,46,7.36,45015
45,16,432,93,21.53,307,71.06,32,7.41,45016
45,17,580,150,25.86,389,67.07,41,7.07,45017
45,18,553,146,26.4,370,66.91,37,6.69,45018
45,19,293,66,22.53,199,67.92,28,9.56,45019
45,20,395,108,27.34,268,67.85,19,4.81,45020
45,21,464,129,27.8,314,67.67,21,4.53,45021
45,22,485,120,24.74,343,70.72,22,4.54,45022
45,23,492,141,28.66,333,67.68,18,3.66,45023
45,24,406,119,29.31,275,67.73,12,2.96,45024
45,25,323,94,29.1,205,63.47,24,7.43,45025
45,26,292,104,35.62,171,58.56,17,5.82,45026
45,27,480,147,30.63,309,64.38,24,5.0,45027
45,28,432,121,28.01,285,65.97,26,6.02,45028
45,29,340,88,25.88,234,68.82,18,5.29,45029
45,30,497,84,16.9,375,75.45,38,7.65,45030
45,31,414,90,21.74,301,72.71,23,5.56,45031
45,32,438,101,23.06,317,72.37,20,4.57,45032
45,33,348,80,22.99,252,72.41,16,4.6,45033
45,34,539,106,19.67,393,72.91,40,7.42,45034
45,35,515,138,26.8,361,70.1,16,3.11,45035
45,36,514,150,29.18,337,65.56,27,5.25,45036
45,37,486,126,25.93,336,69.14,24,4.94,45037
45,38,444,111,25.0,308,69.37,25,5.63,45038
45,39,506,141,27.87,338,66.8,27,5.34,45039
45,40,495,133,26.87,338,68.28,24,4.85,45040
45,41,483,141,29.19,315,65.22,27,5.59,45041
45,42,490,140,28.57,314,64.08,36,7.35,45042
45,43,525,189,36.0,314,59.81,22,4.19,45043
45,44,513,168,32.75,322,62.77,23,4.48,45044
45,45,342,128,37.43,199,58.19,15,4.39,45045
45,46,416,146,35.1,242,58.17,28,6.73,45046
45,47,389,140,35.99,238,61.18,11,2.83,45047
45,48,426,167,39.2,235,55.16,24,5.63,45048
46,3,765,120,15.69,605,79.08,40,5.23,46003
46,5,780,149,19.1,592,75.9,39,5.0,46005
46,10,1049,154,14.68,851,81.12,44,4.19,46010
46,12,64,4,6.25,56,87.5,4,6.25,46012
46,16,294,30,10.2,249,84.69,15,5.1,46016
46,19,439,65,14.81,356,81.09,18,4.1,46019
46,24,229,29,12.66,190,82.97,10,4.37,46024
46,28,625,98,15.68,511,81.76,16,2.56,46028
46,30,671,58,8.64,584,87.03,29,4.32,46030
46,31,687,80,11.64,571,83.11,36,5.24,46031
46,33,742,117,15.77,599,80.73,26,3.5,46033
46,36,605,110,18.18,466,77.02,29,4.79,46036
46,38,559,61,10.91,479,85.69,19,3.4,46038
46,39,621,107,17.23,488,78.58,26,4.19,46039
47,1,408,78,19.12,317,77.7,13,3.19,47001
47,2,639,118,18.47,487,76.21,34,5.32,47002
47,3,615,93,15.12,497,80.81,25,4.07,47003
47,4,658,129,19.6,511,77.66,18,2.74,47004
47,5,687,87,12.66,562,81.8,38,5.53,47005
47,6,738,137,18.56,572,77.51,29,3.93,47006
47,7,592,103,17.4,455,76.86,34,5.74,47007
47,8,648,115,17.75,497,76.7,36,5.56,47008
47,9,586,120,20.48,429,73.21,37,6.31,47009
47,10,807,84,10.41,681,84.39,42,5.2,47010
47,11,666,135,20.27,501,75.23,30,4.5,47011
47,12,681,99,14.54,539,79.15,43,6.31,47012
47,13,582,66,11.34,483,82.99,33,5.67,47013
47,14,583,99,16.98,467,80.1,17,2.92,47014
47,16,604,90,14.9,484,80.13,30,4.97,47016
47,17,609,122,20.03,450,73.89,37,6.08,47017
47,18,669,116,17.34,521,77.88,32,4.78,47018
47,20,597,87,14.57,473,79.23,37,6.2,47020
47,21,586,83,14.16,472,80.55,31,5.29,47021
47,22,709,97,13.68,578,81.52,34,4.8,47022
47,24,669,104,15.55,528,78.92,37,5.53,47024
47,25,745,135,18.12,575,77.18,35,4.7,47025
47,26,858,96,11.19,714,83.22,48,5.59,47026
47,27,579,107,18.48,447,77.2,25,4.32,47027
47,28,594,93,15.66,463,77.95,38,6.4,47028
47,29,675,123,18.22,520,77.04,32,4.74,47029
47,30,355,37,10.42,288,81.13,30,8.45,47030
47,31,625,72,11.52,518,82.88,35,5.6,47031
47,32,748,77,10.29,628,83.96,43,5.75,47032
47,33,651,149,22.89,478,73.43,24,3.69,47033
47,34,669,90,13.45,554,82.81,25,3.74,47034
47,35,650,110,16.92,503,77.38,37,5.69,47035
47,36,737,83,11.26,607,82.36,47,6.38,47036
47,37,693,90,12.99,568,81.96,35,5.05,47037
47,38,651,93,14.29,532,81.72,26,3.99,47038
47,39,644,91,14.13,517,80.28,36,5.59,47039
47,40,619,69,11.15,512,82.71,38,6.14,47040
47,41,736,90,12.23,604,82.07,42,5.71,47041
47,42,635,60,9.45,529,83.31,46,7.24,47042
47,43,637,137,21.51,468,73.47,32,5.02,47043
47,44,634,137,21.61,469,73.97,28,4.42,47044
47,45,612,87,14.22,483,78.92,42,6.86,47045
47,46,573,122,21.29,425,74.17,26,4.54,47046
47,47,781,143,18.31,601,76.95,37,4.74,47047
47,48,56,10,17.86,42,75.0,4,7.14,47048
50,24,410,187,45.61,208,50.73,15,3.66,50024
50,25,31,11,35.48,17,54.84,3,9.68,50025
