ward,precinct,total,Jesse Outlaw,Jesse Outlaw Percent,precinct_id
8,8,340,340,100.0,08008
8,9,250,250,100.0,08009
8,10,431,431,100.0,08010
8,11,317,317,100.0,08011
8,12,313,313,100.0,08012
8,13,390,390,100.0,08013
8,14,328,328,100.0,08014
8,15,341,341,100.0,08015
8,16,123,123,100.0,08016
8,17,297,297,100.0,08017
8,18,362,362,100.0,08018
8,19,399,399,100.0,08019
8,20,371,371,100.0,08020
8,21,464,464,100.0,08021
8,22,312,312,100.0,08022
8,23,328,328,100.0,08023
8,24,218,218,100.0,08024
8,25,360,360,100.0,08025
8,26,194,194,100.0,08026
8,27,360,360,100.0,08027
8,28,369,369,100.0,08028
8,29,421,421,100.0,08029
8,30,372,372,100.0,08030
8,31,278,278,100.0,08031
8,32,283,283,100.0,08032
8,33,307,307,100.0,08033
8,34,331,331,100.0,08034
8,35,359,359,100.0,08035
8,36,356,356,100.0,08036
8,37,290,290,100.0,08037
8,38,229,229,100.0,08038
8,39,364,364,100.0,08039
8,40,278,278,100.0,08040
8,41,369,369,100.0,08041
8,43,196,196,100.0,08043
8,44,256,256,100.0,08044
8,45,389,389,100.0,08045
8,46,287,287,100.0,08046
8,47,289,289,100.0,08047
8,48,351,351,100.0,08048
8,49,337,337,100.0,08049
8,50,352,352,100.0,08050
8,51,383,383,100.0,08051
8,52,465,465,100.0,08052
8,53,199,199,100.0,08053
8,54,333,333,100.0,08054
8,55,257,257,100.0,08055
8,56,370,370,100.0,08056
9,12,398,398,100.0,09012
9,13,350,350,100.0,09013
9,14,353,353,100.0,09014
9,23,382,382,100.0,09023
9,24,338,338,100.0,09024
9,25,353,353,100.0,09025
9,35,198,198,100.0,09035
9,36,301,301,100.0,09036
9,42,336,336,100.0,09042
9,47,386,386,100.0,09047
9,48,369,369,100.0,09048
9,49,347,347,100.0,09049
9,50,458,458,100.0,09050
9,51,340,340,100.0,09051
10,1,255,255,100.0,10001
10,2,251,251,100.0,10002
10,3,270,270,100.0,10003
10,4,291,291,100.0,10004
10,5,221,221,100.0,10005
10,6,251,251,100.0,10006
10,7,226,226,100.0,10007
10,8,259,259,100.0,10008
10,9,236,236,100.0,10009
10,10,292,292,100.0,10010
10,11,390,390,100.0,10011
10,12,220,220,100.0,10012
10,13,356,356,100.0,10013
10,14,378,378,100.0,10014
10,15,669,669,100.0,10015
10,16,223,223,100.0,10016
10,17,338,338,100.0,10017
10,18,226,226,100.0,10018
10,19,303,303,100.0,10019
10,20,312,312,100.0,10020
10,21,315,315,100.0,10021
10,22,212,212,100.0,10022
10,23,294,294,100.0,10023
10,24,270,270,100.0,10024
10,25,108,108,100.0,10025
10,26,256,256,100.0,10026
10,27,364,364,100.0,10027
10,28,360,360,100.0,10028
10,29,297,297,100.0,10029
10,30,311,311,100.0,10030
10,31,259,259,100.0,10031
10,32,296,296,100.0,10032
10,33,240,240,100.0,10033
10,34,222,222,100.0,10034
10,35,278,278,100.0,10035
10,36,63,63,100.0,10036
17,2,290,290,100.0,17002
17,4,400,400,100.0,17004
17,5,258,258,100.0,17005
17,9,271,271,100.0,17009
17,10,416,416,100.0,17010
17,15,355,355,100.0,17015
17,18,352,352,100.0,17018
17,20,436,436,100.0,17020
17,21,356,356,100.0,17021
17,22,292,292,100.0,17022
17,23,214,214,100.0,17023
17,24,332,332,100.0,17024
17,26,379,379,100.0,17026
17,27,313,313,100.0,17027
17,28,244,244,100.0,17028
17,29,305,305,100.0,17029
17,35,208,208,100.0,17035
17,38,330,330,100.0,17038
17,39,298,298,100.0,17039
17,40,341,341,100.0,17040
17,41,384,384,100.0,17041
18,20,275,275,100.0,18020
18,38,297,297,100.0,18038
21,2,181,181,100.0,21002
21,4,334,334,100.0,21004
21,13,145,145,100.0,21013
21,15,338,338,100.0,21015
21,17,164,164,100.0,21017
21,20,263,263,100.0,21020
21,26,362,362,100.0,21026
21,28,423,423,100.0,21028
21,30,268,268,100.0,21030
21,31,248,248,100.0,21031
21,33,146,146,100.0,21033
21,34,94,94,100.0,21034
21,43,351,351,100.0,21043
21,44,161,161,100.0,21044
21,47,340,340,100.0,21047
21,48,189,189,100.0,21048
21,51,348,348,100.0,21051
21,52,319,319,100.0,21052
21,53,274,274,100.0,21053
21,54,274,274,100.0,21054
