ward,precinct,total,Rhonda Crawford,Rhonda Crawford Percent,precinct_id
10,35,254,254,100.0,10035
10,36,61,61,100.0,10036
17,2,288,288,100.0,17002
17,4,412,412,100.0,17004
17,5,245,245,100.0,17005
17,9,284,284,100.0,17009
17,10,441,441,100.0,17010
17,15,361,361,100.0,17015
17,18,353,353,100.0,17018
17,20,423,423,100.0,17020
17,21,336,336,100.0,17021
17,22,296,296,100.0,17022
17,23,229,229,100.0,17023
17,24,356,356,100.0,17024
17,26,384,384,100.0,17026
17,27,309,309,100.0,17027
17,28,257,257,100.0,17028
17,29,313,313,100.0,17029
17,35,219,219,100.0,17035
17,38,341,341,100.0,17038
17,39,304,304,100.0,17039
17,40,346,346,100.0,17040
17,41,393,393,100.0,17041
18,20,283,283,100.0,18020
18,38,297,297,100.0,18038
21,2,179,179,100.0,21002
21,4,352,352,100.0,21004
21,13,142,142,100.0,21013
21,15,335,335,100.0,21015
21,17,159,159,100.0,21017
21,20,276,276,100.0,21020
21,26,373,373,100.0,21026
21,28,437,437,100.0,21028
21,30,285,285,100.0,21030
21,31,249,249,100.0,21031
21,33,139,139,100.0,21033
21,34,89,89,100.0,21034
21,43,348,348,100.0,21043
21,44,150,150,100.0,21044
21,47,348,348,100.0,21047
21,48,201,201,100.0,21048
21,51,348,348,100.0,21051
21,52,308,308,100.0,21052
21,53,262,262,100.0,21053
21,54,288,288,100.0,21054
