ward,precinct,total,WILLIAM J. WALSH,WILLIAM J. WALSH Percent,precinct_id
19,32,29,29,100.0,19032
19,33,19,19,100.0,19033
19,34,15,15,100.0,19034
19,35,10,10,100.0,19035
19,36,14,14,100.0,19036
19,37,11,11,100.0,19037
19,38,17,17,100.0,19038
19,39,6,6,100.0,19039
19,40,22,22,100.0,19040
19,41,21,21,100.0,19041
19,42,20,20,100.0,19042
19,44,8,8,100.0,19044
19,45,27,27,100.0,19045
19,46,18,18,100.0,19046
19,47,7,7,100.0,19047
19,49,18,18,100.0,19049
19,51,21,21,100.0,19051
19,52,27,27,100.0,19052
19,53,12,12,100.0,19053
19,54,32,32,100.0,19054
19,55,23,23,100.0,19055
19,56,23,23,100.0,19056
19,57,21,21,100.0,19057
19,58,19,19,100.0,19058
19,59,31,31,100.0,19059
19,60,4,4,100.0,19060
19,61,15,15,100.0,19061
19,62,15,15,100.0,19062
19,63,7,7,100.0,19063
19,64,15,15,100.0,19064
19,65,19,19,100.0,19065
22,1,0,0,0.0,22001
22,15,1,1,100.0,22015
22,22,0,0,0.0,22022
23,1,12,12,100.0,23001
23,2,5,5,100.0,23002
23,3,22,22,100.0,23003
23,4,13,13,100.0,23004
23,5,11,11,100.0,23005
23,6,5,5,100.0,23006
23,8,20,20,100.0,23008
23,10,16,16,100.0,23010
23,11,15,15,100.0,23011
23,12,20,20,100.0,23012
23,13,20,20,100.0,23013
23,14,10,10,100.0,23014
23,15,15,15,100.0,23015
23,16,27,27,100.0,23016
23,17,11,11,100.0,23017
23,18,16,16,100.0,23018
23,19,10,10,100.0,23019
23,20,15,15,100.0,23020
23,21,15,15,100.0,23021
23,23,31,31,100.0,23023
23,26,25,25,100.0,23026
23,27,31,31,100.0,23027
23,28,15,15,100.0,23028
23,30,10,10,100.0,23030
23,31,20,20,100.0,23031
23,32,12,12,100.0,23032
23,33,21,21,100.0,23033
23,34,16,16,100.0,23034
23,35,0,0,0.0,23035
23,36,18,18,100.0,23036
23,37,4,4,100.0,23037
23,38,4,4,100.0,23038
23,39,17,17,100.0,23039
23,40,21,21,100.0,23040
23,41,10,10,100.0,23041
23,42,5,5,100.0,23042
23,43,13,13,100.0,23043
23,44,8,8,100.0,23044
23,45,15,15,100.0,23045
23,46,8,8,100.0,23046
23,47,20,20,100.0,23047
23,48,16,16,100.0,23048
23,49,6,6,100.0,23049
23,50,6,6,100.0,23050
23,51,13,13,100.0,23051
23,52,20,20,100.0,23052
23,53,6,6,100.0,23053
23,54,10,10,100.0,23054
23,55,14,14,100.0,23055
23,56,32,32,100.0,23056
23,57,17,17,100.0,23057
23,58,19,19,100.0,23058
23,59,13,13,100.0,23059
23,60,15,15,100.0,23060
23,61,11,11,100.0,23061
23,62,15,15,100.0,23062
