ward,precinct,total,Julian Aguilar (Donald J Trump),Julian Aguilar (Donald J Trump) Percent,Dorothy Hathaway (Donald J Trump),Dorothy Hathaway (Donald J Trump) Percent,Anayanzi Mendez (Donald J Trump),Anayanzi Mendez (Donald J Trump) Percent,precinct_id
26,27,6,2,33.33,2,33.33,2,33.33,26027
26,29,8,2,25.0,3,37.5,3,37.5,26029
26,30,3,1,33.33,1,33.33,1,33.33,26030
26,31,14,6,42.86,5,35.71,3,21.43,26031
26,33,3,1,33.33,1,33.33,1,33.33,26033
26,34,2,2,100.0,0,0.0,0,0.0,26034
26,35,8,3,37.5,3,37.5,2,25.0,26035
26,36,0,0,0.0,0,0.0,0,0.0,26036
26,37,9,4,44.44,2,22.22,3,33.33,26037
26,38,5,2,40.0,3,60.0,0,0.0,26038
26,39,5,2,40.0,2,40.0,1,20.0,26039
26,40,2,0,0.0,2,100.0,0,0.0,26040
26,41,3,2,66.67,0,0.0,1,33.33,26041
26,42,0,0,0.0,0,0.0,0,0.0,26042
26,43,5,3,60.0,1,20.0,1,20.0,26043
26,44,4,2,50.0,1,25.0,1,25.0,26044
26,45,1,0,0.0,1,100.0,0,0.0,26045
26,47,4,2,50.0,2,50.0,0,0.0,26047
26,48,9,3,33.33,3,33.33,3,33.33,26048
26,49,7,2,28.57,3,42.86,2,28.57,26049
28,19,0,0,0.0,0,0.0,0,0.0,28019
29,1,0,0,0.0,0,0.0,0,0.0,29001
29,9,29,10,34.48,10,34.48,9,31.03,29009
29,23,18,7,38.89,7,38.89,4,22.22,29023
29,30,24,9,37.5,7,29.17,8,33.33,29030
29,38,51,17,33.33,22,43.14,12,23.53,29038
29,39,18,5,27.78,7,38.89,6,33.33,29039
29,43,9,3,33.33,3,33.33,3,33.33,29043
30,1,24,8,33.33,9,37.5,7,29.17,30001
30,2,28,10,35.71,9,32.14,9,32.14,30002
30,3,21,7,33.33,10,47.62,4,19.05,30003
30,4,33,11,33.33,13,39.39,9,27.27,30004
30,5,4,2,50.0,1,25.0,1,25.0,30005
30,6,24,10,41.67,9,37.5,5,20.83,30006
30,7,42,13,30.95,19,45.24,10,23.81,30007
30,8,35,9,25.71,14,40.0,12,34.29,30008
30,9,22,7,31.82,9,40.91,6,27.27,30009
30,10,27,12,44.44,8,29.63,7,25.93,30010
30,11,29,10,34.48,12,41.38,7,24.14,30011
30,12,16,7,43.75,5,31.25,4,25.0,30012
30,13,29,13,44.83,9,31.03,7,24.14,30013
30,14,9,3,33.33,4,44.44,2,22.22,30014
30,15,11,4,36.36,4,36.36,3,27.27,30015
30,16,23,8,34.78,8,34.78,7,30.43,30016
30,17,3,2,66.67,0,0.0,1,33.33,30017
30,18,8,2,25.0,4,50.0,2,25.0,30018
30,19,37,13,35.14,11,29.73,13,35.14,30019
30,20,21,7,33.33,8,38.1,6,28.57,30020
30,22,27,8,29.63,11,40.74,8,29.63,30022
30,23,13,3,23.08,8,61.54,2,15.38,30023
30,24,20,5,25.0,10,50.0,5,25.0,30024
30,25,32,12,37.5,14,43.75,6,18.75,30025
30,26,18,6,33.33,6,33.33,6,33.33,30026
30,27,12,5,41.67,3,25.0,4,33.33,30027
30,28,22,8,36.36,8,36.36,6,27.27,30028
30,29,18,8,44.44,5,27.78,5,27.78,30029
30,30,6,2,33.33,2,33.33,2,33.33,30030
30,31,12,4,33.33,4,33.33,4,33.33,30031
30,32,8,3,37.5,4,50.0,1,12.5,30032
31,1,8,3,37.5,3,37.5,2,25.0,31001
31,2,4,1,25.0,2,50.0,1,25.0,31002
31,3,26,11,42.31,8,30.77,7,26.92,31003
31,4,10,4,40.0,3,30.0,3,30.0,31004
31,5,19,7,36.84,6,31.58,6,31.58,31005
31,6,9,5,55.56,3,33.33,1,11.11,31006
31,7,1,0,0.0,0,0.0,1,100.0,31007
31,8,2,1,50.0,1,50.0,0,0.0,31008
31,9,14,4,28.57,5,35.71,5,35.71,31009
31,10,5,3,60.0,2,40.0,0,0.0,31010
31,11,22,10,45.45,7,31.82,5,22.73,31011
31,12,8,3,37.5,3,37.5,2,25.0,31012
31,13,15,6,40.0,6,40.0,3,20.0,31013
31,14,16,4,25.0,8,50.0,4,25.0,31014
31,15,15,7,46.67,4,26.67,4,26.67,31015
31,16,7,2,28.57,2,28.57,3,42.86,31016
31,17,22,7,31.82,10,45.45,5,22.73,31017
31,18,11,4,36.36,4,36.36,3,27.27,31018
31,19,9,3,33.33,3,33.33,3,33.33,31019
31,20,5,3,60.0,1,20.0,1,20.0,31020
31,21,15,6,40.0,5,33.33,4,26.67,31021
31,22,12,4,33.33,4,33.33,4,33.33,31022
31,23,10,4,40.0,3,30.0,3,30.0,31023
31,24,23,10,43.48,6,26.09,7,30.43,31024
31,25,25,8,32.0,8,32.0,9,36.0,31025
31,26,12,5,41.67,4,33.33,3,25.0,31026
31,27,18,7,38.89,5,27.78,6,33.33,31027
31,28,23,11,47.83,6,26.09,6,26.09,31028
31,29,11,3,27.27,5,45.45,3,27.27,31029
31,30,5,3,60.0,1,20.0,1,20.0,31030
31,31,8,3,37.5,3,37.5,2,25.0,31031
31,32,18,7,38.89,6,33.33,5,27.78,31032
