ward,precinct,total,Vince Kolber (Donald J Trump),Vince Kolber (Donald J Trump) Percent,Anthony Beckman (Donald J Trump),Anthony Beckman (Donald J Trump) Percent,precinct_id
39,42,30,11,36.67,8,26.67,39042
39,43,39,14,35.9,13,33.33,39043
39,44,39,14,35.9,14,35.9,39044
39,45,30,10,33.33,10,33.33,39045
40,1,29,12,41.38,8,27.59,40001
40,2,32,10,31.25,11,34.38,40002
40,3,13,5,38.46,5,38.46,40003
40,5,22,7,31.82,7,31.82,40005
40,6,23,8,34.78,8,34.78,40006
40,7,4,1,25.0,2,50.0,40007
40,8,27,11,40.74,7,25.93,40008
40,10,16,5,31.25,5,31.25,40010
40,11,25,9,36.0,8,32.0,40011
40,12,19,7,36.84,6,31.58,40012
40,13,12,5,41.67,4,33.33,40013
40,14,17,6,35.29,5,29.41,40014
40,15,11,3,27.27,4,36.36,40015
40,16,32,9,28.13,13,40.63,40016
40,17,42,16,38.1,13,30.95,40017
40,19,49,19,38.78,13,26.53,40019
40,20,12,4,33.33,4,33.33,40020
40,21,25,8,32.0,9,36.0,40021
40,23,31,10,32.26,10,32.26,40023
40,24,34,12,35.29,10,29.41,40024
40,25,13,6,46.15,4,30.77,40025
40,29,43,15,34.88,14,32.56,40029
40,30,22,10,45.45,6,27.27,40030
40,31,4,1,25.0,1,25.0,40031
40,32,17,5,29.41,6,35.29,40032
40,34,16,5,31.25,5,31.25,40034
40,38,3,1,33.33,1,33.33,40038
41,3,102,31,30.39,35,34.31,41003
41,6,93,29,31.18,35,37.63,41006
41,9,62,22,35.48,20,32.26,41009
41,11,34,10,29.41,14,41.18,41011
41,12,102,34,33.33,38,37.25,41012
41,14,67,23,34.33,24,35.82,41014
41,16,93,32,34.41,30,32.26,41016
41,17,118,39,33.05,41,34.75,41017
41,19,68,22,32.35,25,36.76,41019
41,21,87,30,34.48,30,34.48,41021
41,22,124,40,32.26,44,35.48,41022
41,23,30,8,26.67,10,33.33,41023
41,24,119,43,36.13,38,31.93,41024
41,26,109,40,36.7,35,32.11,41026
41,27,89,31,34.83,31,34.83,41027
41,30,77,25,32.47,28,36.36,41030
41,32,75,24,32.0,26,34.67,41032
41,33,72,25,34.72,23,31.94,41033
41,35,105,41,39.05,35,33.33,41035
41,38,84,28,33.33,30,35.71,41038
41,39,45,14,31.11,14,31.11,41039
41,45,21,7,33.33,9,42.86,41045
41,46,82,30,36.59,28,34.15,41046
41,47,66,23,34.85,21,31.82,41047
43,2,37,12,32.43,14,37.84,43002
43,3,16,6,37.5,5,31.25,43003
43,4,20,7,35.0,6,30.0,43004
43,5,16,7,43.75,6,37.5,43005
43,6,25,9,36.0,8,32.0,43006
43,7,19,7,36.84,7,36.84,43007
43,8,17,7,41.18,5,29.41,43008
43,9,20,7,35.0,7,35.0,43009
43,10,38,13,34.21,14,36.84,43010
43,11,30,11,36.67,10,33.33,43011
43,12,14,4,28.57,5,35.71,43012
43,13,24,9,37.5,7,29.17,43013
43,14,34,11,32.35,11,32.35,43014
43,15,20,7,35.0,7,35.0,43015
43,16,25,8,32.0,8,32.0,43016
43,17,23,9,39.13,5,21.74,43017
43,18,49,18,36.73,16,32.65,43018
43,19,37,14,37.84,12,32.43,43019
43,20,4,1,25.0,1,25.0,43020
43,21,28,9,32.14,8,28.57,43021
43,22,11,5,45.45,4,36.36,43022
43,23,23,8,34.78,8,34.78,43023
43,24,39,15,38.46,13,33.33,43024
43,25,30,11,36.67,10,33.33,43025
43,26,26,10,38.46,8,30.77,43026
43,27,24,7,29.17,9,37.5,43027
43,28,55,18,32.73,20,36.36,43028
43,29,40,13,32.5,14,35.0,43029
43,30,20,6,30.0,7,35.0,43030
43,31,29,10,34.48,11,37.93,43031
43,32,13,6,46.15,3,23.08,43032
43,34,27,10,37.04,9,33.33,43034
43,36,28,10,35.71,9,32.14,43036
43,37,25,8,32.0,9,36.0,43037
43,38,19,7,36.84,6,31.58,43038
43,39,30,13,43.33,8,26.67,43039
43,40,18,7,38.89,5,27.78,43040
43,41,34,15,44.12,9,26.47,43041
43,42,11,5,45.45,3,27.27,43042
43,43,50,16,32.0,17,34.0,43043
43,44,16,6,37.5,4,25.0,43044
43,46,9,2,22.22,4,44.44,43046
44,1,4,2,50.0,1,25.0,44001
44,2,28,8,28.57,10,35.71,44002
44,5,16,5,31.25,6,37.5,44005
44,6,28,9,32.14,10,35.71,44006
44,8,20,7,35.0,7,35.0,44008
44,9,18,6,33.33,6,33.33,44009
44,10,11,4,36.36,3,27.27,44010
44,11,42,13,30.95,17,40.48,44011
44,12,35,12,34.29,13,37.14,44012
44,13,28,11,39.29,8,28.57,44013
44,14,21,6,28.57,9,42.86,44014
44,15,24,8,33.33,9,37.5,44015
44,16,12,3,25.0,4,33.33,44016
44,17,23,9,39.13,7,30.43,44017
44,18,46,16,34.78,17,36.96,44018
44,19,31,12,38.71,11,35.48,44019
44,20,16,5,31.25,5,31.25,44020
44,21,19,6,31.58,6,31.58,44021
44,22,24,9,37.5,10,41.67,44022
44,23,29,11,37.93,8,27.59,44023
44,25,16,6,37.5,6,37.5,44025
44,26,15,5,33.33,5,33.33,44026
44,27,29,9,31.03,10,34.48,44027
44,28,7,2,28.57,3,42.86,44028
44,29,19,7,36.84,6,31.58,44029
44,30,21,9,42.86,6,28.57,44030
44,31,10,3,30.0,2,20.0,44031
44,32,10,4,40.0,3,30.0,44032
44,33,9,3,33.33,3,33.33,44033
44,34,16,5,31.25,5,31.25,44034
44,36,13,5,38.46,4,30.77,44036
44,37,3,1,33.33,1,33.33,44037
44,38,15,5,33.33,5,33.33,44038
44,39,28,7,25.0,12,42.86,44039
44,40,25,7,28.0,10,40.0,44040
44,41,26,9,34.62,10,38.46,44041
45,3,20,9,45.0,5,25.0,45003
45,4,32,10,31.25,12,37.5,45004
45,5,30,10,33.33,11,36.67,45005
45,6,24,7,29.17,8,33.33,45006
45,7,36,16,44.44,9,25.0,45007
45,8,4,1,25.0,1,25.0,45008
45,11,23,8,34.78,7,30.43,45011
45,12,38,13,34.21,14,36.84,45012
45,13,36,14,38.89,12,33.33,45013
45,14,28,9,32.14,9,32.14,45014
45,15,27,7,25.93,10,37.04,45015
45,16,42,16,38.1,12,28.57,45016
45,17,34,15,44.12,9,26.47,45017
45,18,41,12,29.27,16,39.02,45018
45,19,26,9,34.62,9,34.62,45019
45,20,32,10,31.25,12,37.5,45020
45,21,52,18,34.62,18,34.62,45021
45,22,23,8,34.78,8,34.78,45022
45,23,21,7,33.33,8,38.1,45023
45,24,31,12,38.71,11,35.48,45024
45,25,41,14,34.15,12,29.27,45025
45,26,37,13,35.14,11,29.73,45026
45,27,49,19,38.78,13,26.53,45027
45,28,39,15,38.46,12,30.77,45028
45,29,26,10,38.46,8,30.77,45029
45,30,27,9,33.33,11,40.74,45030
45,31,25,8,32.0,10,40.0,45031
45,32,31,14,45.16,8,25.81,45032
45,33,43,14,32.56,16,37.21,45033
45,34,62,22,35.48,20,32.26,45034
45,35,68,24,35.29,22,32.35,45035
45,36,66,23,34.85,23,34.85,45036
45,37,70,23,32.86,25,35.71,45037
45,38,33,12,36.36,12,36.36,45038
45,39,82,27,32.93,29,35.37,45039
45,40,58,22,37.93,21,36.21,45040
45,41,29,11,37.93,8,27.59,45041
45,42,35,11,31.43,13,37.14,45042
45,43,80,25,31.25,27,33.75,45043
45,44,36,13,36.11,12,33.33,45044
45,45,52,18,34.62,19,36.54,45045
45,46,54,18,33.33,19,35.19,45046
45,47,47,18,38.3,13,27.66,45047
45,48,65,26,40.0,20,30.77,45048
46,3,21,8,38.1,6,28.57,46003
46,5,22,9,40.91,6,27.27,46005
46,10,17,7,41.18,6,35.29,46010
46,12,16,4,25.0,6,37.5,46012
46,16,7,2,28.57,2,28.57,46016
46,19,36,13,36.11,11,30.56,46019
46,24,6,2,33.33,2,33.33,46024
46,28,32,11,34.38,11,34.38,46028
46,30,12,5,41.67,3,25.0,46030
46,31,7,2,28.57,3,42.86,46031
46,33,13,4,30.77,6,46.15,46033
46,36,46,17,36.96,14,30.43,46036
46,38,6,4,66.67,1,16.67,46038
46,39,21,8,38.1,7,33.33,46039
47,1,18,6,33.33,7,38.89,47001
47,2,25,9,36.0,8,32.0,47002
47,3,30,13,43.33,9,30.0,47003
47,4,11,4,36.36,3,27.27,47004
47,5,27,8,29.63,9,33.33,47005
47,6,18,7,38.89,6,33.33,47006
47,7,17,6,35.29,5,29.41,47007
47,8,15,6,40.0,3,20.0,47008
47,9,26,9,34.62,8,30.77,47009
47,10,19,7,36.84,6,31.58,47010
47,11,27,10,37.04,8,29.63,47011
47,12,6,4,66.67,1,16.67,47012
47,13,29,11,37.93,9,31.03,47013
47,14,16,6,37.5,5,31.25,47014
47,16,22,8,36.36,7,31.82,47016
47,17,28,10,35.71,7,25.0,47017
47,18,16,6,37.5,6,37.5,47018
47,20,23,8,34.78,7,30.43,47020
47,21,21,8,38.1,6,28.57,47021
47,22,18,8,44.44,5,27.78,47022
47,24,23,7,30.43,7,30.43,47024
47,25,43,15,34.88,14,32.56,47025
47,26,24,7,29.17,8,33.33,47026
47,27,19,7,36.84,6,31.58,47027
47,28,18,6,33.33,6,33.33,47028
47,29,19,6,31.58,6,31.58,47029
47,30,19,7,36.84,6,31.58,47030
47,31,9,3,33.33,3,33.33,47031
47,32,11,4,36.36,4,36.36,47032
47,33,16,7,43.75,5,31.25,47033
47,34,7,2,28.57,2,28.57,47034
47,35,36,14,38.89,11,30.56,47035
47,36,15,5,33.33,5,33.33,47036
47,37,18,6,33.33,6,33.33,47037
47,38,27,9,33.33,9,33.33,47038
47,39,16,7,43.75,4,25.0,47039
47,40,10,3,30.0,3,30.0,47040
47,41,19,8,42.11,6,31.58,47041
47,42,16,6,37.5,5,31.25,47042
47,43,25,9,36.0,8,32.0,47043
47,44,36,13,36.11,11,30.56,47044
47,45,22,8,36.36,7,31.82,47045
47,46,34,12,35.29,11,32.35,47046
47,47,40,14,35.0,14,35.0,47047
47,48,9,3,33.33,3,33.33,47048
50,24,27,12,44.44,8,29.63,50024
50,25,10,4,40.0,3,30.0,50025
