ward,precinct,total,Stephen Balich (Donald J Trump),Stephen Balich (Donald J Trump) Percent,Michael Shackel (Donald J Trump),Michael Shackel (Donald J Trump) Percent,Madelyn D Flaherty (Donald J Trump),Madelyn D Flaherty (Donald J Trump) Percent,precinct_id
23,1,51,17,33.33,14,27.45,20,39.22,23001
23,2,31,12,38.71,9,29.03,10,32.26,23002
23,3,60,22,36.67,20,33.33,18,30.0,23003
23,4,56,22,39.29,18,32.14,16,28.57,23004
23,5,13,5,38.46,4,30.77,4,30.77,23005
23,6,8,3,37.5,4,50.0,1,12.5,23006
23,7,15,3,20.0,5,33.33,7,46.67,23007
23,8,23,11,47.83,7,30.43,5,21.74,23008
23,9,4,1,25.0,1,25.0,2,50.0,23009
23,10,31,7,22.58,13,41.94,11,35.48,23010
23,11,20,6,30.0,7,35.0,7,35.0,23011
23,12,32,14,43.75,8,25.0,10,31.25,23012
23,14,27,8,29.63,9,33.33,10,37.04,23014
23,15,7,3,42.86,2,28.57,2,28.57,23015
23,16,33,13,39.39,8,24.24,12,36.36,23016
23,17,1,1,100.0,0,0.0,0,0.0,23017
23,18,62,21,33.87,17,27.42,24,38.71,23018
23,19,5,2,40.0,1,20.0,2,40.0,23019
23,20,30,11,36.67,10,33.33,9,30.0,23020
23,21,43,14,32.56,13,30.23,16,37.21,23021
23,22,31,11,35.48,10,32.26,10,32.26,23022
23,23,57,20,35.09,18,31.58,19,33.33,23023
23,25,16,6,37.5,5,31.25,5,31.25,23025
23,26,10,4,40.0,3,30.0,3,30.0,23026
23,27,12,3,25.0,4,33.33,5,41.67,23027
23,28,56,21,37.5,17,30.36,18,32.14,23028
23,29,25,12,48.0,7,28.0,6,24.0,23029
23,30,4,1,25.0,0,0.0,3,75.0,23030
23,31,6,1,16.67,3,50.0,2,33.33,23031
23,32,34,11,32.35,11,32.35,12,35.29,23032
23,33,16,7,43.75,5,31.25,4,25.0,23033
23,34,10,3,30.0,4,40.0,3,30.0,23034
23,35,58,19,32.76,19,32.76,20,34.48,23035
23,36,49,15,30.61,17,34.69,17,34.69,23036
23,37,50,18,36.0,14,28.0,18,36.0,23037
23,38,49,18,36.73,16,32.65,15,30.61,23038
23,39,4,1,25.0,2,50.0,1,25.0,23039
