ward,precinct,total,Tommy Hanson,Tommy Hanson Percent,Kimball Ladien,Kimball Ladien Percent,precinct_id
46,39,7,5,71.43,2,28.57,46039
47,1,9,6,66.67,3,33.33,47001
47,2,8,6,75.0,2,25.0,47002
47,3,12,10,83.33,2,16.67,47003
47,4,6,6,100.0,0,0.0,47004
47,5,10,8,80.0,2,20.0,47005
47,6,12,10,83.33,2,16.67,47006
47,7,11,10,90.91,1,9.09,47007
47,8,7,4,57.14,3,42.86,47008
47,9,12,12,100.0,0,0.0,47009
47,10,8,7,87.5,1,12.5,47010
47,11,15,14,93.33,1,6.67,47011
47,12,5,4,80.0,1,20.0,47012
47,13,11,11,100.0,0,0.0,47013
47,14,6,5,83.33,1,16.67,47014
47,16,7,5,71.43,2,28.57,47016
47,17,14,13,92.86,1,7.14,47017
47,18,11,6,54.55,5,45.45,47018
47,20,9,9,100.0,0,0.0,47020
47,21,9,6,66.67,3,33.33,47021
47,22,6,5,83.33,1,16.67,47022
47,24,9,6,66.67,3,33.33,47024
47,25,17,12,70.59,5,29.41,47025
47,26,12,11,91.67,1,8.33,47026
47,27,7,6,85.71,1,14.29,47027
47,28,8,7,87.5,1,12.5,47028
47,29,7,6,85.71,1,14.29,47029
47,30,10,8,80.0,2,20.0,47030
47,31,3,2,66.67,1,33.33,47031
47,32,3,3,100.0,0,0.0,47032
47,33,9,6,66.67,3,33.33,47033
47,34,6,3,50.0,3,50.0,47034
47,35,12,11,91.67,1,8.33,47035
47,36,7,6,85.71,1,14.29,47036
47,37,8,5,62.5,3,37.5,47037
47,38,11,8,72.73,3,27.27,47038
47,39,9,6,66.67,3,33.33,47039
47,40,3,3,100.0,0,0.0,47040
47,41,9,8,88.89,1,11.11,47041
47,42,8,6,75.0,2,25.0,47042
47,43,9,8,88.89,1,11.11,47043
47,44,17,13,76.47,4,23.53,47044
47,45,8,6,75.0,2,25.0,47045
47,46,8,8,100.0,0,0.0,47046
47,47,20,17,85.0,3,15.0,47047
47,48,6,5,83.33,1,16.67,47048
50,24,14,11,78.57,3,21.43,50024
50,25,2,2,100.0,0,0.0,50025
