ward,precinct,total,Sargis Sangari,Sargis Sangari Percent,precinct_id
48,31,18,18,100.0,48031
48,32,4,4,100.0,48032
48,33,12,12,100.0,48033
48,34,2,2,100.0,48034
48,35,14,14,100.0,48035
48,36,4,4,100.0,48036
48,37,3,3,100.0,48037
48,38,6,6,100.0,48038
48,39,5,5,100.0,48039
48,40,6,6,100.0,48040
48,41,10,10,100.0,48041
48,42,5,5,100.0,48042
48,43,12,12,100.0,48043
48,44,8,8,100.0,48044
48,45,4,4,100.0,48045
48,46,4,4,100.0,48046
49,1,1,1,100.0,49001
49,2,1,1,100.0,49002
49,3,1,1,100.0,49003
49,4,7,7,100.0,49004
49,5,4,4,100.0,49005
49,6,7,7,100.0,49006
49,7,9,9,100.0,49007
49,8,4,4,100.0,49008
49,9,6,6,100.0,49009
49,10,16,16,100.0,49010
49,11,4,4,100.0,49011
49,12,6,6,100.0,49012
49,13,12,12,100.0,49013
49,14,8,8,100.0,49014
49,15,4,4,100.0,49015
49,16,14,14,100.0,49016
49,17,16,16,100.0,49017
49,18,5,5,100.0,49018
49,19,3,3,100.0,49019
49,20,8,8,100.0,49020
49,21,4,4,100.0,49021
49,22,7,7,100.0,49022
49,23,7,7,100.0,49023
49,24,1,1,100.0,49024
49,25,10,10,100.0,49025
49,26,14,14,100.0,49026
49,27,4,4,100.0,49027
49,28,5,5,100.0,49028
49,29,13,13,100.0,49029
49,30,14,14,100.0,49030
49,31,3,3,100.0,49031
49,32,3,3,100.0,49032
49,33,7,7,100.0,49033
50,1,10,10,100.0,50001
50,2,10,10,100.0,50002
50,3,12,12,100.0,50003
50,4,8,8,100.0,50004
50,5,9,9,100.0,50005
50,6,10,10,100.0,50006
50,7,10,10,100.0,50007
50,8,4,4,100.0,50008
50,9,8,8,100.0,50009
50,10,10,10,100.0,50010
50,11,6,6,100.0,50011
50,12,5,5,100.0,50012
50,13,8,8,100.0,50013
50,14,8,8,100.0,50014
50,15,6,6,100.0,50015
50,16,4,4,100.0,50016
50,17,17,17,100.0,50017
50,18,2,2,100.0,50018
50,19,3,3,100.0,50019
50,20,10,10,100.0,50020
50,21,6,6,100.0,50021
50,22,11,11,100.0,50022
50,23,12,12,100.0,50023
50,25,11,11,100.0,50025
50,26,7,7,100.0,50026
50,27,11,11,100.0,50027
50,28,12,12,100.0,50028
50,29,11,11,100.0,50029
50,30,6,6,100.0,50030
50,31,11,11,100.0,50031
50,32,7,7,100.0,50032
50,33,9,9,100.0,50033
50,34,12,12,100.0,50034
50,35,3,3,100.0,50035
50,36,12,12,100.0,50036
50,37,16,16,100.0,50037
50,38,2,2,100.0,50038
50,39,6,6,100.0,50039
50,40,7,7,100.0,50040
