ward,precinct,total,Mike Fricilone,Mike Fricilone Percent,Arthur J. Jones,Arthur J. Jones Percent,Catherine A. O'Shea,Catherine A. O'Shea Percent,precinct_id
19,54,33,9,27.27,0,0.0,24,72.73,19054
19,55,20,12,60.0,0,0.0,8,40.0,19055
19,56,16,7,43.75,2,12.5,7,43.75,19056
19,57,7,4,57.14,1,14.29,2,28.57,19057
20,4,2,1,50.0,1,50.0,0,0.0,20004
20,15,5,2,40.0,2,40.0,1,20.0,20015
20,20,2,2,100.0,0,0.0,0,0.0,20020
22,1,4,0,0.0,1,25.0,3,75.0,22001
22,2,22,14,63.64,4,18.18,4,18.18,22002
22,8,13,7,53.85,1,7.69,5,38.46,22008
22,12,10,6,60.0,0,0.0,4,40.0,22012
22,23,0,0,0.0,0,0.0,0,0.0,22023
23,1,25,13,52.0,3,12.0,9,36.0,23001
23,2,12,5,41.67,0,0.0,7,58.33,23002
23,3,30,19,63.33,1,3.33,10,33.33,23003
23,4,26,8,30.77,7,26.92,11,42.31,23004
23,5,10,4,40.0,3,30.0,3,30.0,23005
23,6,4,0,0.0,2,50.0,2,50.0,23006
23,7,12,7,58.33,3,25.0,2,16.67,23007
23,8,10,6,60.0,2,20.0,2,20.0,23008
23,9,2,1,50.0,0,0.0,1,50.0,23009
23,10,17,7,41.18,5,29.41,5,29.41,23010
23,11,9,3,33.33,3,33.33,3,33.33,23011
23,12,17,7,41.18,2,11.76,8,47.06,23012
23,14,17,4,23.53,0,0.0,13,76.47,23014
23,15,3,0,0.0,0,0.0,3,100.0,23015
23,16,18,6,33.33,3,16.67,9,50.0,23016
23,17,4,2,50.0,1,25.0,1,25.0,23017
23,18,26,10,38.46,3,11.54,13,50.0,23018
23,19,3,2,66.67,1,33.33,0,0.0,23019
23,20,13,7,53.85,4,30.77,2,15.38,23020
23,21,18,8,44.44,0,0.0,10,55.56,23021
23,22,15,6,40.0,4,26.67,5,33.33,23022
23,23,23,9,39.13,2,8.7,12,52.17,23023
23,25,8,1,12.5,1,12.5,6,75.0,23025
23,26,5,2,40.0,0,0.0,3,60.0,23026
23,27,5,1,20.0,0,0.0,4,80.0,23027
23,28,29,12,41.38,2,6.9,15,51.72,23028
23,29,13,5,38.46,2,15.38,6,46.15,23029
23,30,4,1,25.0,2,50.0,1,25.0,23030
23,31,5,2,40.0,0,0.0,3,60.0,23031
23,32,12,9,75.0,2,16.67,1,8.33,23032
23,33,7,0,0.0,1,14.29,6,85.71,23033
23,34,5,3,60.0,0,0.0,2,40.0,23034
23,35,25,13,52.0,0,0.0,12,48.0,23035
23,36,18,13,72.22,0,0.0,5,27.78,23036
23,37,25,12,48.0,0,0.0,13,52.0,23037
23,38,21,7,33.33,4,19.05,10,47.62,23038
23,39,2,2,100.0,0,0.0,0,0.0,23039
