ward,precinct,total,Jonathon Luers (Donald J Trump),Jonathon Luers (Donald J Trump) Percent,Alan Spitz (Donald J Trump),Alan Spitz (Donald J Trump) Percent,Graeme Jack (Donald J Trump),Graeme Jack (Donald J Trump) Percent,precinct_id
32,16,13,4,30.77,4,30.77,5,38.46,32016
32,18,20,7,35.0,6,30.0,7,35.0,32018
32,19,14,5,35.71,5,35.71,4,28.57,32019
32,21,24,7,29.17,9,37.5,8,33.33,32021
32,23,18,6,33.33,5,27.78,7,38.89,32023
32,24,28,10,35.71,9,32.14,9,32.14,32024
32,25,7,4,57.14,2,28.57,1,14.29,32025
32,27,33,9,27.27,14,42.42,10,30.3,32027
32,29,19,6,31.58,7,36.84,6,31.58,32029
32,30,29,13,44.83,9,31.03,7,24.14,32030
32,31,34,11,32.35,13,38.24,10,29.41,32031
32,32,20,6,30.0,8,40.0,6,30.0,32032
32,33,3,1,33.33,1,33.33,1,33.33,32033
32,34,9,3,33.33,4,44.44,2,22.22,32034
32,35,20,8,40.0,6,30.0,6,30.0,32035
32,36,21,9,42.86,6,28.57,6,28.57,32036
32,37,29,12,41.38,9,31.03,8,27.59,32037
32,38,24,7,29.17,9,37.5,8,33.33,32038
32,39,27,7,25.93,9,33.33,11,40.74,32039
32,40,24,9,37.5,9,37.5,6,25.0,32040
32,41,27,8,29.63,10,37.04,9,33.33,32041
32,42,26,8,30.77,7,26.92,11,42.31,32042
33,2,33,13,39.39,9,27.27,11,33.33,33002
33,3,4,1,25.0,1,25.0,2,50.0,33003
33,5,9,3,33.33,3,33.33,3,33.33,33005
33,7,4,1,25.0,2,50.0,1,25.0,33007
33,8,16,5,31.25,6,37.5,5,31.25,33008
33,10,5,2,40.0,2,40.0,1,20.0,33010
33,18,19,7,36.84,6,31.58,6,31.58,33018
33,19,10,3,30.0,5,50.0,2,20.0,33019
33,23,0,0,0.0,0,0.0,0,0.0,33023
33,24,31,10,32.26,11,35.48,10,32.26,33024
33,27,5,2,40.0,2,40.0,1,20.0,33027
36,7,49,18,36.73,18,36.73,13,26.53,36007
36,14,39,15,38.46,13,33.33,11,28.21,36014
36,15,52,17,32.69,18,34.62,17,32.69,36015
36,16,32,10,31.25,10,31.25,12,37.5,36016
36,17,32,10,31.25,12,37.5,10,31.25,36017
36,18,35,13,37.14,12,34.29,10,28.57,36018
36,20,11,5,45.45,4,36.36,2,18.18,36020
36,24,33,12,36.36,11,33.33,10,30.3,36024
36,26,64,21,32.81,23,35.94,20,31.25,36026
36,28,72,31,43.06,21,29.17,20,27.78,36028
36,29,25,9,36.0,9,36.0,7,28.0,36029
36,30,17,7,41.18,5,29.41,5,29.41,36030
38,2,100,34,34.0,35,35.0,31,31.0,38002
38,3,42,18,42.86,14,33.33,10,23.81,38003
38,4,47,18,38.3,14,29.79,15,31.91,38004
38,5,42,17,40.48,15,35.71,10,23.81,38005
38,6,59,22,37.29,20,33.9,17,28.81,38006
38,7,72,26,36.11,23,31.94,23,31.94,38007
38,8,76,23,30.26,28,36.84,25,32.89,38008
38,9,67,22,32.84,27,40.3,18,26.87,38009
38,10,52,18,34.62,19,36.54,15,28.85,38010
38,11,24,7,29.17,11,45.83,6,25.0,38011
38,12,66,22,33.33,26,39.39,18,27.27,38012
38,13,81,34,41.98,25,30.86,22,27.16,38013
38,14,46,21,45.65,15,32.61,10,21.74,38014
38,15,33,12,36.36,12,36.36,9,27.27,38015
38,16,83,26,31.33,31,37.35,26,31.33,38016
38,17,88,33,37.5,33,37.5,22,25.0,38017
38,18,53,18,33.96,19,35.85,16,30.19,38018
38,19,64,22,34.38,24,37.5,18,28.13,38019
38,20,83,27,32.53,30,36.14,26,31.33,38020
38,21,29,9,31.03,13,44.83,7,24.14,38021
38,22,26,7,26.92,9,34.62,10,38.46,38022
38,23,42,13,30.95,14,33.33,15,35.71,38023
38,24,83,27,32.53,29,34.94,27,32.53,38024
38,25,40,15,37.5,11,27.5,14,35.0,38025
38,26,70,19,27.14,30,42.86,21,30.0,38026
38,27,43,18,41.86,12,27.91,13,30.23,38027
38,28,88,37,42.05,25,28.41,26,29.55,38028
38,29,47,14,29.79,19,40.43,14,29.79,38029
38,30,66,20,30.3,24,36.36,22,33.33,38030
38,31,25,9,36.0,10,40.0,6,24.0,38031
38,32,43,14,32.56,15,34.88,14,32.56,38032
38,33,36,18,50.0,10,27.78,8,22.22,38033
38,34,42,12,28.57,18,42.86,12,28.57,38034
38,35,31,11,35.48,11,35.48,9,29.03,38035
38,36,36,10,27.78,11,30.56,15,41.67,38036
38,37,25,6,24.0,13,52.0,6,24.0,38037
38,38,39,11,28.21,16,41.03,12,30.77,38038
38,39,59,20,33.9,23,38.98,16,27.12,38039
38,40,25,10,40.0,7,28.0,8,32.0,38040
39,1,33,11,33.33,10,30.3,12,36.36,39001
39,2,62,29,46.77,18,29.03,15,24.19,39002
39,3,36,12,33.33,12,33.33,12,33.33,39003
39,4,58,21,36.21,18,31.03,19,32.76,39004
39,5,57,22,38.6,19,33.33,16,28.07,39005
39,6,6,2,33.33,3,50.0,1,16.67,39006
39,7,34,12,35.29,13,38.24,9,26.47,39007
39,8,17,7,41.18,5,29.41,5,29.41,39008
39,9,36,12,33.33,11,30.56,13,36.11,39009
39,10,2,0,0.0,1,50.0,1,50.0,39010
39,11,27,9,33.33,9,33.33,9,33.33,39011
39,12,15,5,33.33,5,33.33,5,33.33,39012
39,13,39,15,38.46,13,33.33,11,28.21,39013
39,14,57,21,36.84,16,28.07,20,35.09,39014
39,15,53,21,39.62,16,30.19,16,30.19,39015
39,16,31,10,32.26,12,38.71,9,29.03,39016
39,17,35,13,37.14,12,34.29,10,28.57,39017
39,18,33,11,33.33,12,36.36,10,30.3,39018
39,19,52,18,34.62,17,32.69,17,32.69,39019
39,20,90,30,33.33,33,36.67,27,30.0,39020
39,21,67,24,35.82,22,32.84,21,31.34,39021
39,22,40,16,40.0,11,27.5,13,32.5,39022
39,23,47,18,38.3,14,29.79,15,31.91,39023
39,24,67,28,41.79,21,31.34,18,26.87,39024
39,25,21,7,33.33,8,38.1,6,28.57,39025
39,26,46,16,34.78,16,34.78,14,30.43,39026
39,27,0,0,0.0,0,0.0,0,0.0,39027
39,28,30,9,30.0,10,33.33,11,36.67,39028
39,29,9,3,33.33,3,33.33,3,33.33,39029
39,30,15,6,40.0,5,33.33,4,26.67,39030
39,32,24,8,33.33,11,45.83,5,20.83,39032
39,33,22,8,36.36,8,36.36,6,27.27,39033
39,34,41,15,36.59,15,36.59,11,26.83,39034
39,35,40,16,40.0,13,32.5,11,27.5,39035
39,36,20,7,35.0,7,35.0,6,30.0,39036
39,37,45,18,40.0,13,28.89,14,31.11,39037
39,38,61,21,34.43,19,31.15,21,34.43,39038
39,39,33,12,36.36,11,33.33,10,30.3,39039
39,40,49,18,36.73,16,32.65,15,30.61,39040
39,41,40,14,35.0,14,35.0,12,30.0,39041
39,42,30,11,36.67,11,36.67,8,26.67,39042
39,43,39,15,38.46,12,30.77,12,30.77,39043
39,44,39,15,38.46,13,33.33,11,28.21,39044
39,45,30,11,36.67,10,33.33,9,30.0,39045
40,1,28,10,35.71,12,42.86,6,21.43,40001
40,2,32,10,31.25,13,40.63,9,28.13,40002
40,3,14,7,50.0,3,21.43,4,28.57,40003
40,5,19,5,26.32,8,42.11,6,31.58,40005
40,6,20,7,35.0,6,30.0,7,35.0,40006
40,7,4,1,25.0,2,50.0,1,25.0,40007
40,8,26,7,26.92,12,46.15,7,26.92,40008
40,10,12,4,33.33,5,41.67,3,25.0,40010
40,11,21,11,52.38,6,28.57,4,19.05,40011
40,12,19,7,36.84,6,31.58,6,31.58,40012
40,13,12,5,41.67,3,25.0,4,33.33,40013
40,14,18,7,38.89,6,33.33,5,27.78,40014
40,15,11,3,27.27,6,54.55,2,18.18,40015
40,16,26,10,38.46,9,34.62,7,26.92,40016
40,17,42,15,35.71,15,35.71,12,28.57,40017
40,19,49,19,38.78,15,30.61,15,30.61,40019
40,20,12,4,33.33,3,25.0,5,41.67,40020
40,21,23,7,30.43,8,34.78,8,34.78,40021
40,23,25,8,32.0,10,40.0,7,28.0,40023
40,24,38,12,31.58,14,36.84,12,31.58,40024
40,25,11,6,54.55,2,18.18,3,27.27,40025
40,29,44,17,38.64,14,31.82,13,29.55,40029
40,30,18,9,50.0,5,27.78,4,22.22,40030
40,31,4,2,50.0,1,25.0,1,25.0,40031
40,32,16,6,37.5,5,31.25,5,31.25,40032
40,34,16,7,43.75,5,31.25,4,25.0,40034
40,38,3,1,33.33,1,33.33,1,33.33,40038
41,3,100,34,34.0,37,37.0,29,29.0,41003
41,6,95,32,33.68,36,37.89,27,28.42,41006
41,9,60,19,31.67,22,36.67,19,31.67,41009
41,11,35,16,45.71,11,31.43,8,22.86,41011
41,12,104,37,35.58,35,33.65,32,30.77,41012
41,14,64,25,39.06,20,31.25,19,29.69,41014
41,16,89,32,35.96,30,33.71,27,30.34,41016
41,17,112,37,33.04,38,33.93,37,33.04,41017
41,19,69,22,31.88,24,34.78,23,33.33,41019
41,21,83,30,36.14,30,36.14,23,27.71,41021
41,22,122,46,37.7,40,32.79,36,29.51,41022
41,23,29,9,31.03,11,37.93,9,31.03,41023
41,24,115,38,33.04,41,35.65,36,31.3,41024
41,26,106,40,37.74,33,31.13,33,31.13,41026
41,27,87,29,33.33,30,34.48,28,32.18,41027
41,30,76,27,35.53,28,36.84,21,27.63,41030
41,32,74,25,33.78,24,32.43,25,33.78,41032
41,33,72,26,36.11,25,34.72,21,29.17,41033
41,35,100,38,38.0,34,34.0,28,28.0,41035
41,38,79,32,40.51,25,31.65,22,27.85,41038
41,39,44,15,34.09,16,36.36,13,29.55,41039
41,45,21,8,38.1,8,38.1,5,23.81,41045
41,46,84,27,32.14,30,35.71,27,32.14,41046
41,47,65,25,38.46,21,32.31,19,29.23,41047
43,2,36,14,38.89,11,30.56,11,30.56,43002
43,3,16,6,37.5,6,37.5,4,25.0,43003
43,4,17,4,23.53,6,35.29,7,41.18,43004
43,5,15,5,33.33,5,33.33,5,33.33,43005
43,6,25,9,36.0,8,32.0,8,32.0,43006
43,7,19,6,31.58,6,31.58,7,36.84,43007
43,8,16,5,31.25,6,37.5,5,31.25,43008
43,9,20,6,30.0,6,30.0,8,40.0,43009
43,10,37,14,37.84,12,32.43,11,29.73,43010
43,11,29,8,27.59,10,34.48,11,37.93,43011
43,12,14,5,35.71,5,35.71,4,28.57,43012
43,13,24,8,33.33,8,33.33,8,33.33,43013
43,14,32,11,34.38,11,34.38,10,31.25,43014
43,15,20,5,25.0,6,30.0,9,45.0,43015
43,16,25,9,36.0,7,28.0,9,36.0,43016
43,17,22,9,40.91,7,31.82,6,27.27,43017
43,18,48,17,35.42,15,31.25,16,33.33,43018
43,19,34,13,38.24,11,32.35,10,29.41,43019
43,20,4,1,25.0,2,50.0,1,25.0,43020
43,21,25,10,40.0,8,32.0,7,28.0,43021
43,22,13,6,46.15,4,30.77,3,23.08,43022
43,23,23,7,30.43,9,39.13,7,30.43,43023
43,24,39,15,38.46,12,30.77,12,30.77,43024
43,25,28,8,28.57,12,42.86,8,28.57,43025
43,26,24,8,33.33,8,33.33,8,33.33,43026
43,27,23,7,30.43,9,39.13,7,30.43,43027
43,28,48,15,31.25,17,35.42,16,33.33,43028
43,29,36,12,33.33,15,41.67,9,25.0,43029
43,30,20,7,35.0,6,30.0,7,35.0,43030
43,31,22,7,31.82,8,36.36,7,31.82,43031
43,32,14,7,50.0,4,28.57,3,21.43,43032
43,34,26,8,30.77,9,34.62,9,34.62,43034
43,36,25,9,36.0,9,36.0,7,28.0,43036
43,37,25,7,28.0,9,36.0,9,36.0,43037
43,38,19,7,36.84,6,31.58,6,31.58,43038
43,39,30,12,40.0,9,30.0,9,30.0,43039
43,40,18,6,33.33,6,33.33,6,33.33,43040
43,41,31,11,35.48,10,32.26,10,32.26,43041
43,42,10,3,30.0,3,30.0,4,40.0,43042
43,43,46,16,34.78,15,32.61,15,32.61,43043
43,44,16,5,31.25,6,37.5,5,31.25,43044
43,46,9,3,33.33,3,33.33,3,33.33,43046
44,1,4,2,50.0,1,25.0,1,25.0,44001
44,2,28,8,28.57,11,39.29,9,32.14,44002
44,5,15,6,40.0,4,26.67,5,33.33,44005
44,6,28,10,35.71,9,32.14,9,32.14,44006
44,8,20,7,35.0,6,30.0,7,35.0,44008
44,9,16,6,37.5,5,31.25,5,31.25,44009
44,10,11,5,45.45,3,27.27,3,27.27,44010
44,11,42,15,35.71,12,28.57,15,35.71,44011
44,12,34,11,32.35,13,38.24,10,29.41,44012
44,13,29,11,37.93,10,34.48,8,27.59,44013
44,14,21,6,28.57,8,38.1,7,33.33,44014
44,15,22,8,36.36,8,36.36,6,27.27,44015
44,16,12,3,25.0,5,41.67,4,33.33,44016
44,17,23,8,34.78,7,30.43,8,34.78,44017
44,18,44,14,31.82,16,36.36,14,31.82,44018
44,19,31,11,35.48,11,35.48,9,29.03,44019
44,20,13,4,30.77,4,30.77,5,38.46,44020
44,21,18,7,38.89,6,33.33,5,27.78,44021
44,22,23,9,39.13,7,30.43,7,30.43,44022
44,23,28,9,32.14,10,35.71,9,32.14,44023
44,25,16,6,37.5,5,31.25,5,31.25,44025
44,26,15,5,33.33,5,33.33,5,33.33,44026
44,27,29,9,31.03,11,37.93,9,31.03,44027
44,28,10,3,30.0,4,40.0,3,30.0,44028
44,29,19,7,36.84,6,31.58,6,31.58,44029
44,30,21,9,42.86,6,28.57,6,28.57,44030
44,31,9,4,44.44,2,22.22,3,33.33,44031
44,32,10,4,40.0,3,30.0,3,30.0,44032
44,33,9,3,33.33,3,33.33,3,33.33,44033
44,34,17,6,35.29,5,29.41,6,35.29,44034
44,36,13,6,46.15,3,23.08,4,30.77,44036
44,37,1,0,0.0,1,100.0,0,0.0,44037
44,38,15,5,33.33,7,46.67,3,20.0,44038
44,39,28,8,28.57,9,32.14,11,39.29,44039
44,40,23,5,21.74,10,43.48,8,34.78,44040
44,41,26,10,38.46,9,34.62,7,26.92,44041
45,3,19,7,36.84,5,26.32,7,36.84,45003
45,4,32,11,34.38,10,31.25,11,34.38,45004
45,5,24,10,41.67,8,33.33,6,25.0,45005
45,6,24,10,41.67,7,29.17,7,29.17,45006
45,7,37,14,37.84,13,35.14,10,27.03,45007
45,8,4,2,50.0,1,25.0,1,25.0,45008
45,11,22,8,36.36,8,36.36,6,27.27,45011
45,12,38,16,42.11,12,31.58,10,26.32,45012
45,13,36,12,33.33,12,33.33,12,33.33,45013
45,14,27,9,33.33,8,29.63,10,37.04,45014
45,15,29,10,34.48,10,34.48,9,31.03,45015
45,16,42,16,38.1,13,30.95,13,30.95,45016
45,17,31,11,35.48,12,38.71,8,25.81,45017
45,18,41,13,31.71,13,31.71,15,36.59,45018
45,19,26,9,34.62,10,38.46,7,26.92,45019
45,20,30,10,33.33,9,30.0,11,36.67,45020
45,21,54,20,37.04,18,33.33,16,29.63,45021
45,22,22,7,31.82,6,27.27,9,40.91,45022
45,23,20,7,35.0,7,35.0,6,30.0,45023
45,24,31,14,45.16,9,29.03,8,25.81,45024
45,25,42,15,35.71,16,38.1,11,26.19,45025
45,26,41,14,34.15,13,31.71,14,34.15,45026
45,27,48,18,37.5,16,33.33,14,29.17,45027
45,28,38,14,36.84,12,31.58,12,31.58,45028
45,29,25,8,32.0,10,40.0,7,28.0,45029
45,30,27,8,29.63,10,37.04,9,33.33,45030
45,31,25,9,36.0,8,32.0,8,32.0,45031
45,32,30,11,36.67,11,36.67,8,26.67,45032
45,33,41,13,31.71,16,39.02,12,29.27,45033
45,34,55,19,34.55,19,34.55,17,30.91,45034
45,35,65,23,35.38,22,33.85,20,30.77,45035
45,36,66,24,36.36,22,33.33,20,30.3,45036
45,37,67,23,34.33,24,35.82,20,29.85,45037
45,38,33,12,36.36,11,33.33,10,30.3,45038
45,39,74,26,35.14,26,35.14,22,29.73,45039
45,40,52,19,36.54,19,36.54,14,26.92,45040
45,41,28,10,35.71,9,32.14,9,32.14,45041
45,42,33,9,27.27,12,36.36,12,36.36,45042
45,43,80,31,38.75,26,32.5,23,28.75,45043
45,44,34,11,32.35,14,41.18,9,26.47,45044
45,45,48,17,35.42,17,35.42,14,29.17,45045
45,46,53,17,32.08,18,33.96,18,33.96,45046
45,47,45,16,35.56,16,35.56,13,28.89,45047
45,48,66,22,33.33,24,36.36,20,30.3,45048
46,3,16,5,31.25,5,31.25,6,37.5,46003
46,5,22,9,40.91,7,31.82,6,27.27,46005
46,10,17,5,29.41,7,41.18,5,29.41,46010
46,12,15,4,26.67,5,33.33,6,40.0,46012
46,16,7,2,28.57,3,42.86,2,28.57,46016
46,19,36,13,36.11,12,33.33,11,30.56,46019
46,24,6,2,33.33,2,33.33,2,33.33,46024
46,28,32,11,34.38,11,34.38,10,31.25,46028
46,30,12,4,33.33,4,33.33,4,33.33,46030
46,31,4,2,50.0,1,25.0,1,25.0,46031
46,33,13,4,30.77,4,30.77,5,38.46,46033
46,36,46,18,39.13,14,30.43,14,30.43,46036
46,38,6,2,33.33,3,50.0,1,16.67,46038
46,39,20,7,35.0,6,30.0,7,35.0,46039
47,1,18,5,27.78,7,38.89,6,33.33,47001
47,2,22,8,36.36,7,31.82,7,31.82,47002
47,3,29,12,41.38,9,31.03,8,27.59,47003
47,4,8,4,50.0,3,37.5,1,12.5,47004
47,5,27,8,29.63,11,40.74,8,29.63,47005
47,6,17,7,41.18,6,35.29,4,23.53,47006
47,7,17,6,35.29,7,41.18,4,23.53,47007
47,8,14,4,28.57,5,35.71,5,35.71,47008
47,9,24,9,37.5,8,33.33,7,29.17,47009
47,10,19,7,36.84,6,31.58,6,31.58,47010
47,11,22,8,36.36,7,31.82,7,31.82,47011
47,12,6,2,33.33,2,33.33,2,33.33,47012
47,13,29,11,37.93,9,31.03,9,31.03,47013
47,14,16,6,37.5,5,31.25,5,31.25,47014
47,16,20,7,35.0,6,30.0,7,35.0,47016
47,17,28,9,32.14,12,42.86,7,25.0,47017
47,18,16,5,31.25,8,50.0,3,18.75,47018
47,20,23,8,34.78,7,30.43,8,34.78,47020
47,21,18,7,38.89,6,33.33,5,27.78,47021
47,22,18,6,33.33,7,38.89,5,27.78,47022
47,24,22,8,36.36,7,31.82,7,31.82,47024
47,25,40,14,35.0,13,32.5,13,32.5,47025
47,26,24,8,33.33,8,33.33,8,33.33,47026
47,27,19,7,36.84,6,31.58,6,31.58,47027
47,28,15,4,26.67,6,40.0,5,33.33,47028
47,29,17,7,41.18,5,29.41,5,29.41,47029
47,30,19,7,36.84,6,31.58,6,31.58,47030
47,31,7,3,42.86,2,28.57,2,28.57,47031
47,32,11,4,36.36,4,36.36,3,27.27,47032
47,33,15,4,26.67,5,33.33,6,40.0,47033
47,34,7,3,42.86,2,28.57,2,28.57,47034
47,35,35,12,34.29,12,34.29,11,31.43,47035
47,36,15,4,26.67,6,40.0,5,33.33,47036
47,37,17,5,29.41,6,35.29,6,35.29,47037
47,38,27,10,37.04,9,33.33,8,29.63,47038
47,39,15,6,40.0,4,26.67,5,33.33,47039
47,40,10,3,30.0,4,40.0,3,30.0,47040
47,41,19,6,31.58,7,36.84,6,31.58,47041
47,42,16,6,37.5,6,37.5,4,25.0,47042
47,43,25,9,36.0,8,32.0,8,32.0,47043
47,44,36,15,41.67,11,30.56,10,27.78,47044
47,45,22,7,31.82,8,36.36,7,31.82,47045
47,46,32,11,34.38,11,34.38,10,31.25,47046
47,47,40,14,35.0,14,35.0,12,30.0,47047
47,48,7,3,42.86,2,28.57,2,28.57,47048
50,24,24,8,33.33,9,37.5,7,29.17,50024
50,25,5,2,40.0,2,40.0,1,20.0,50025
