ward,precinct,total,Timothy Heilenbach (Donald J Trump),Timothy Heilenbach (Donald J Trump) Percent,Nicholas Grigoletti (Donald J Trump),Nicholas Grigoletti (Donald J Trump) Percent,Brian Hathaway (Donald J Trump),Brian Hathaway (Donald J Trump) Percent,precinct_id
12,14,3,0,0.0,1,33.33,2,66.67,12014
12,15,1,0,0.0,1,100.0,0,0.0,12015
12,16,3,0,0.0,2,66.67,1,33.33,12016
12,17,22,8,36.36,7,31.82,7,31.82,12017
12,18,4,1,25.0,2,50.0,1,25.0,12018
12,19,0,0,0.0,0,0.0,0,0.0,12019
12,20,12,7,58.33,2,16.67,3,25.0,12020
12,21,29,8,27.59,11,37.93,10,34.48,12021
12,22,3,0,0.0,1,33.33,2,66.67,12022
14,2,23,8,34.78,8,34.78,7,30.43,14002
14,3,9,3,33.33,3,33.33,3,33.33,14003
14,5,9,2,22.22,3,33.33,4,44.44,14005
14,6,13,5,38.46,3,23.08,5,38.46,14006
14,10,27,8,29.63,11,40.74,8,29.63,14010
14,11,5,3,60.0,1,20.0,1,20.0,14011
14,13,20,8,40.0,5,25.0,7,35.0,14013
14,14,7,3,42.86,2,28.57,2,28.57,14014
14,15,8,3,37.5,2,25.0,3,37.5,14015
14,16,12,4,33.33,3,25.0,5,41.67,14016
14,17,26,7,26.92,10,38.46,9,34.62,14017
14,19,17,7,41.18,6,35.29,4,23.53,14019
14,20,9,2,22.22,5,55.56,2,22.22,14020
14,25,6,2,33.33,1,16.67,3,50.0,14025
14,27,26,10,38.46,10,38.46,6,23.08,14027
14,28,25,8,32.0,7,28.0,10,40.0,14028
14,30,6,2,33.33,2,33.33,2,33.33,14030
14,31,7,2,28.57,3,42.86,2,28.57,14031
15,1,0,0,0.0,0,0.0,0,0.0,15001
15,4,14,6,42.86,4,28.57,4,28.57,15004
15,5,4,1,25.0,2,50.0,1,25.0,15005
15,6,35,12,34.29,11,31.43,12,34.29,15006
15,8,6,3,50.0,2,33.33,1,16.67,15008
15,9,20,7,35.0,6,30.0,7,35.0,15009
15,10,17,7,41.18,5,29.41,5,29.41,15010
15,11,16,6,37.5,4,25.0,6,37.5,15011
15,12,16,4,25.0,4,25.0,8,50.0,15012
15,15,0,0,0.0,0,0.0,0,0.0,15015
16,1,2,1,50.0,0,0.0,1,50.0,16001
22,3,17,7,41.18,4,23.53,6,35.29,22003
22,4,0,0,0.0,0,0.0,0,0.0,22004
22,5,12,5,41.67,4,33.33,3,25.0,22005
22,6,13,3,23.08,2,15.38,8,61.54,22006
22,7,2,0,0.0,1,50.0,1,50.0,22007
22,9,10,5,50.0,2,20.0,3,30.0,22009
22,10,3,0,0.0,1,33.33,2,66.67,22010
22,11,9,3,33.33,3,33.33,3,33.33,22011
22,13,9,3,33.33,3,33.33,3,33.33,22013
22,14,3,1,33.33,1,33.33,1,33.33,22014
22,15,3,1,33.33,1,33.33,1,33.33,22015
22,16,2,1,50.0,1,50.0,0,0.0,22016
22,17,16,5,31.25,5,31.25,6,37.5,22017
22,18,3,1,33.33,1,33.33,1,33.33,22018
22,19,0,0,0.0,0,0.0,0,0.0,22019
22,20,12,4,33.33,4,33.33,4,33.33,22020
22,22,13,4,30.77,5,38.46,4,30.77,22022
22,24,24,8,33.33,7,29.17,9,37.5,22024
22,25,16,5,31.25,5,31.25,6,37.5,22025
23,9,3,1,33.33,1,33.33,1,33.33,23009
23,13,8,3,37.5,2,25.0,3,37.5,23013
23,15,3,1,33.33,1,33.33,1,33.33,23015
23,24,13,5,38.46,5,38.46,3,23.08,23024
23,26,9,3,33.33,3,33.33,3,33.33,23026
23,34,3,1,33.33,1,33.33,1,33.33,23034
23,39,11,4,36.36,3,27.27,4,36.36,23039
24,16,3,1,33.33,1,33.33,1,33.33,24016
25,1,11,4,36.36,4,36.36,3,27.27,25001
25,2,12,5,41.67,4,33.33,3,25.0,25002
25,5,13,4,30.77,5,38.46,4,30.77,25005
25,7,4,1,25.0,1,25.0,2,50.0,25007
25,8,7,3,42.86,2,28.57,2,28.57,25008
25,9,5,3,60.0,1,20.0,1,20.0,25009
25,11,12,6,50.0,2,16.67,4,33.33,25011
25,12,14,4,28.57,5,35.71,5,35.71,25012
25,13,11,2,18.18,6,54.55,3,27.27,25013
25,14,0,0,0.0,0,0.0,0,0.0,25014
25,15,14,3,21.43,5,35.71,6,42.86,25015
25,17,18,6,33.33,6,33.33,6,33.33,25017
25,19,6,2,33.33,3,50.0,1,16.67,25019
25,22,2,1,50.0,0,0.0,1,50.0,25022
25,23,10,4,40.0,4,40.0,2,20.0,25023
25,24,5,2,40.0,1,20.0,2,40.0,25024
25,26,20,7,35.0,7,35.0,6,30.0,25026
25,27,0,0,0.0,0,0.0,0,0.0,25027
25,28,4,2,50.0,1,25.0,1,25.0,25028
25,30,13,4,30.77,5,38.46,4,30.77,25030
25,32,34,10,29.41,13,38.24,11,32.35,25032
26,1,0,0,0.0,0,0.0,0,0.0,26001
26,2,9,5,55.56,2,22.22,2,22.22,26002
26,5,13,4,30.77,6,46.15,3,23.08,26005
26,6,15,4,26.67,6,40.0,5,33.33,26006
26,7,7,2,28.57,2,28.57,3,42.86,26007
26,8,8,1,12.5,6,75.0,1,12.5,26008
26,9,18,8,44.44,5,27.78,5,27.78,26009
26,10,4,1,25.0,1,25.0,2,50.0,26010
26,11,7,3,42.86,0,0.0,4,57.14,26011
26,12,13,4,30.77,4,30.77,5,38.46,26012
26,13,10,4,40.0,4,40.0,2,20.0,26013
26,14,1,1,100.0,0,0.0,0,0.0,26014
26,15,6,1,16.67,4,66.67,1,16.67,26015
26,16,9,3,33.33,4,44.44,2,22.22,26016
26,18,14,5,35.71,5,35.71,4,28.57,26018
26,20,7,3,42.86,2,28.57,2,28.57,26020
26,22,1,0,0.0,1,100.0,0,0.0,26022
26,23,6,2,33.33,1,16.67,3,50.0,26023
26,24,3,1,33.33,1,33.33,1,33.33,26024
26,25,1,0,0.0,1,100.0,0,0.0,26025
26,26,4,1,25.0,1,25.0,2,50.0,26026
26,27,5,1,20.0,1,20.0,3,60.0,26027
26,29,8,3,37.5,3,37.5,2,25.0,26029
26,30,3,1,33.33,1,33.33,1,33.33,26030
26,31,13,3,23.08,5,38.46,5,38.46,26031
26,33,3,1,33.33,1,33.33,1,33.33,26033
26,34,2,1,50.0,1,50.0,0,0.0,26034
26,35,8,3,37.5,3,37.5,2,25.0,26035
26,36,0,0,0.0,0,0.0,0,0.0,26036
26,37,9,4,44.44,2,22.22,3,33.33,26037
26,38,6,2,33.33,2,33.33,2,33.33,26038
26,39,5,1,20.0,2,40.0,2,40.0,26039
26,40,2,0,0.0,1,50.0,1,50.0,26040
26,41,5,1,20.0,2,40.0,2,40.0,26041
26,42,0,0,0.0,0,0.0,0,0.0,26042
26,43,5,2,40.0,2,40.0,1,20.0,26043
26,44,4,1,25.0,2,50.0,1,25.0,26044
26,45,1,0,0.0,1,100.0,0,0.0,26045
26,47,4,2,50.0,1,25.0,1,25.0,26047
26,48,9,3,33.33,3,33.33,3,33.33,26048
26,49,7,2,28.57,2,28.57,3,42.86,26049
28,19,0,0,0.0,0,0.0,0,0.0,28019
29,1,0,0,0.0,0,0.0,0,0.0,29001
29,9,27,8,29.63,10,37.04,9,33.33,29009
29,23,18,7,38.89,4,22.22,7,38.89,29023
29,30,24,8,33.33,9,37.5,7,29.17,29030
29,38,50,19,38.0,14,28.0,17,34.0,29038
29,39,18,7,38.89,5,27.78,6,33.33,29039
29,43,7,2,28.57,3,42.86,2,28.57,29043
30,1,23,7,30.43,9,39.13,7,30.43,30001
30,2,28,9,32.14,9,32.14,10,35.71,30002
30,3,21,8,38.1,5,23.81,8,38.1,30003
30,4,28,8,28.57,11,39.29,9,32.14,30004
30,5,4,1,25.0,2,50.0,1,25.0,30005
30,6,23,9,39.13,8,34.78,6,26.09,30006
30,7,44,16,36.36,14,31.82,14,31.82,30007
30,8,32,8,25.0,12,37.5,12,37.5,30008
30,9,20,7,35.0,7,35.0,6,30.0,30009
30,10,26,8,30.77,7,26.92,11,42.31,30010
30,11,30,9,30.0,9,30.0,12,40.0,30011
30,12,15,6,40.0,5,33.33,4,26.67,30012
30,13,31,11,35.48,10,32.26,10,32.26,30013
30,14,9,1,11.11,3,33.33,5,55.56,30014
30,15,11,4,36.36,3,27.27,4,36.36,30015
30,16,22,6,27.27,8,36.36,8,36.36,30016
30,17,1,1,100.0,0,0.0,0,0.0,30017
30,18,8,3,37.5,2,25.0,3,37.5,30018
30,19,34,11,32.35,9,26.47,14,41.18,30019
30,20,21,6,28.57,6,28.57,9,42.86,30020
30,22,24,9,37.5,9,37.5,6,25.0,30022
30,23,11,6,54.55,1,9.09,4,36.36,30023
30,24,19,8,42.11,6,31.58,5,26.32,30024
30,25,29,10,34.48,10,34.48,9,31.03,30025
30,26,19,6,31.58,7,36.84,6,31.58,30026
30,27,12,4,33.33,4,33.33,4,33.33,30027
30,28,22,7,31.82,8,36.36,7,31.82,30028
30,29,18,7,38.89,6,33.33,5,27.78,30029
30,30,6,2,33.33,2,33.33,2,33.33,30030
30,31,12,4,33.33,4,33.33,4,33.33,30031
30,32,8,4,50.0,3,37.5,1,12.5,30032
31,1,8,2,25.0,2,25.0,4,50.0,31001
31,2,4,2,50.0,1,25.0,1,25.0,31002
31,3,26,8,30.77,7,26.92,11,42.31,31003
31,4,10,3,30.0,4,40.0,3,30.0,31004
31,5,18,7,38.89,5,27.78,6,33.33,31005
31,6,8,2,25.0,3,37.5,3,37.5,31006
31,7,1,1,100.0,0,0.0,0,0.0,31007
31,8,2,1,50.0,1,50.0,0,0.0,31008
31,9,14,4,28.57,5,35.71,5,35.71,31009
31,10,5,0,0.0,3,60.0,2,40.0,31010
31,11,20,8,40.0,5,25.0,7,35.0,31011
31,12,8,4,50.0,2,25.0,2,25.0,31012
31,13,13,5,38.46,4,30.77,4,30.77,31013
31,14,16,4,25.0,5,31.25,7,43.75,31014
31,15,13,6,46.15,3,23.08,4,30.77,31015
31,16,7,3,42.86,2,28.57,2,28.57,31016
31,17,22,7,31.82,7,31.82,8,36.36,31017
31,18,11,3,27.27,4,36.36,4,36.36,31018
31,19,9,3,33.33,1,11.11,5,55.56,31019
31,20,5,2,40.0,2,40.0,1,20.0,31020
31,21,14,5,35.71,5,35.71,4,28.57,31021
31,22,12,4,33.33,4,33.33,4,33.33,31022
31,23,10,4,40.0,3,30.0,3,30.0,31023
31,24,18,8,44.44,5,27.78,5,27.78,31024
31,25,25,9,36.0,8,32.0,8,32.0,31025
31,26,13,5,38.46,6,46.15,2,15.38,31026
31,27,17,5,29.41,6,35.29,6,35.29,31027
31,28,22,7,31.82,8,36.36,7,31.82,31028
31,29,11,4,36.36,4,36.36,3,27.27,31029
31,30,5,3,60.0,1,20.0,1,20.0,31030
31,31,7,3,42.86,2,28.57,2,28.57,31031
31,32,18,6,33.33,7,38.89,5,27.78,31032
31,33,17,7,41.18,6,35.29,4,23.53,31033
31,34,10,4,40.0,3,30.0,3,30.0,31034
31,35,8,2,25.0,4,50.0,2,25.0,31035
31,36,13,5,38.46,3,23.08,5,38.46,31036
31,37,14,5,35.71,5,35.71,4,28.57,31037
31,38,4,2,50.0,1,25.0,1,25.0,31038
31,39,5,3,60.0,0,0.0,2,40.0,31039
31,40,5,3,60.0,1,20.0,1,20.0,31040
31,41,19,6,31.58,6,31.58,7,36.84,31041
32,1,0,0,0.0,0,0.0,0,0.0,32001
32,3,14,3,21.43,6,42.86,5,35.71,32003
32,11,11,5,45.45,3,27.27,3,27.27,32011
32,12,5,1,20.0,2,40.0,2,40.0,32012
32,14,15,5,33.33,4,26.67,6,40.0,32014
32,16,0,0,0.0,0,0.0,0,0.0,32016
32,17,18,5,27.78,7,38.89,6,33.33,32017
32,20,4,2,50.0,1,25.0,1,25.0,32020
32,22,7,3,42.86,2,28.57,2,28.57,32022
32,26,7,3,42.86,2,28.57,2,28.57,32026
32,28,8,3,37.5,2,25.0,3,37.5,32028
32,43,13,4,30.77,4,30.77,5,38.46,32043
33,1,14,3,21.43,6,42.86,5,35.71,33001
33,3,28,10,35.71,10,35.71,8,28.57,33003
33,4,26,9,34.62,9,34.62,8,30.77,33004
33,6,12,4,33.33,5,41.67,3,25.0,33006
33,7,13,2,15.38,7,53.85,4,30.77,33007
33,8,7,4,57.14,1,14.29,2,28.57,33008
33,9,29,11,37.93,9,31.03,9,31.03,33009
33,10,15,6,40.0,5,33.33,4,26.67,33010
33,11,17,9,52.94,5,29.41,3,17.65,33011
33,12,34,12,35.29,13,38.24,9,26.47,33012
33,13,5,1,20.0,3,60.0,1,20.0,33013
33,14,31,12,38.71,9,29.03,10,32.26,33014
33,15,22,8,36.36,8,36.36,6,27.27,33015
33,16,25,10,40.0,6,24.0,9,36.0,33016
33,17,30,10,33.33,10,33.33,10,33.33,33017
33,19,12,4,33.33,3,25.0,5,41.67,33019
33,20,18,5,27.78,8,44.44,5,27.78,33020
33,21,12,4,33.33,4,33.33,4,33.33,33021
33,22,26,8,30.77,8,30.77,10,38.46,33022
33,23,22,9,40.91,6,27.27,7,31.82,33023
33,25,20,4,20.0,8,40.0,8,40.0,33025
33,26,19,6,31.58,7,36.84,6,31.58,33026
33,27,22,7,31.82,9,40.91,6,27.27,33027
33,28,20,4,20.0,8,40.0,8,40.0,33028
35,1,17,7,41.18,5,29.41,5,29.41,35001
35,2,18,6,33.33,7,38.89,5,27.78,35002
35,3,7,2,28.57,2,28.57,3,42.86,35003
35,4,17,7,41.18,6,35.29,4,23.53,35004
35,5,6,3,50.0,1,16.67,2,33.33,35005
35,6,6,2,33.33,2,33.33,2,33.33,35006
35,7,14,6,42.86,4,28.57,4,28.57,35007
35,8,10,3,30.0,2,20.0,5,50.0,35008
35,9,13,5,38.46,3,23.08,5,38.46,35009
35,10,7,3,42.86,1,14.29,3,42.86,35010
35,11,8,3,37.5,3,37.5,2,25.0,35011
35,12,5,2,40.0,3,60.0,0,0.0,35012
35,13,5,1,20.0,2,40.0,2,40.0,35013
35,14,3,0,0.0,1,33.33,2,66.67,35014
35,15,28,10,35.71,9,32.14,9,32.14,35015
35,16,4,1,25.0,1,25.0,2,50.0,35016
35,17,2,0,0.0,1,50.0,1,50.0,35017
35,18,9,2,22.22,4,44.44,3,33.33,35018
35,19,7,2,28.57,4,57.14,1,14.29,35019
35,20,18,5,27.78,6,33.33,7,38.89,35020
35,21,12,4,33.33,3,25.0,5,41.67,35021
35,22,18,7,38.89,7,38.89,4,22.22,35022
35,23,14,6,42.86,3,21.43,5,35.71,35023
35,24,11,3,27.27,5,45.45,3,27.27,35024
35,25,4,2,50.0,1,25.0,1,25.0,35025
35,26,16,5,31.25,4,25.0,7,43.75,35026
35,27,27,10,37.04,8,29.63,9,33.33,35027
35,28,26,9,34.62,8,30.77,9,34.62,35028
35,29,38,13,34.21,11,28.95,14,36.84,35029
35,30,4,0,0.0,1,25.0,3,75.0,35030
35,31,18,8,44.44,5,27.78,5,27.78,35031
36,1,27,11,40.74,10,37.04,6,22.22,36001
36,2,27,10,37.04,9,33.33,8,29.63,36002
36,3,31,11,35.48,10,32.26,10,32.26,36003
36,4,11,3,27.27,3,27.27,5,45.45,36004
36,6,33,9,27.27,15,45.45,9,27.27,36006
36,8,10,4,40.0,3,30.0,3,30.0,36008
36,9,28,9,32.14,8,28.57,11,39.29,36009
36,10,47,17,36.17,15,31.91,15,31.91,36010
36,11,12,6,50.0,2,16.67,4,33.33,36011
36,12,13,4,30.77,5,38.46,4,30.77,36012
36,13,9,5,55.56,2,22.22,2,22.22,36013
36,16,9,3,33.33,3,33.33,3,33.33,36016
36,19,31,9,29.03,12,38.71,10,32.26,36019
36,20,14,5,35.71,6,42.86,3,21.43,36020
36,21,9,3,33.33,2,22.22,4,44.44,36021
36,22,6,2,33.33,2,33.33,2,33.33,36022
36,23,31,10,32.26,10,32.26,11,35.48,36023
36,24,5,1,20.0,2,40.0,2,40.0,36024
36,25,11,4,36.36,3,27.27,4,36.36,36025
36,27,18,5,27.78,7,38.89,6,33.33,36027
36,29,16,4,25.0,6,37.5,6,37.5,36029
37,26,9,3,33.33,2,22.22,4,44.44,37026
38,1,22,8,36.36,7,31.82,7,31.82,38001
38,35,0,0,0.0,0,0.0,0,0.0,38035
38,41,21,6,28.57,8,38.1,7,33.33,38041
39,6,6,2,33.33,2,33.33,2,33.33,39006
39,12,20,6,30.0,8,40.0,6,30.0,39012
39,25,0,0,0.0,0,0.0,0,0.0,39025
39,28,6,1,16.67,2,33.33,3,50.0,39028
39,31,12,2,16.67,3,25.0,7,58.33,39031
45,1,17,6,35.29,6,35.29,5,29.41,45001
45,2,3,2,66.67,0,0.0,1,33.33,45002
45,8,21,7,33.33,6,28.57,8,38.1,45008
45,9,41,15,36.59,13,31.71,13,31.71,45009
45,10,55,23,41.82,17,30.91,15,27.27,45010
