ward,precinct,total,Pete Best (Donald J Trump),Pete Best (Donald J Trump) Percent,Bethany Feeley (Donald J Trump),Bethany Feeley (Donald J Trump) Percent,Jasmine Hauser (Donald J Trump),Jasmine Hauser (Donald J Trump) Percent,precinct_id
50,19,7,3,42.86,2,28.57,2,28.57,50019
50,20,46,17,36.96,15,32.61,14,30.43,50020
50,21,27,10,37.04,9,33.33,8,29.63,50021
50,22,29,11,37.93,10,34.48,8,27.59,50022
50,23,28,11,39.29,8,28.57,9,32.14,50023
50,25,26,13,50.0,6,23.08,7,26.92,50025
50,26,29,10,34.48,10,34.48,9,31.03,50026
50,27,32,12,37.5,10,31.25,10,31.25,50027
50,28,31,15,48.39,9,29.03,7,22.58,50028
50,29,26,9,34.62,8,30.77,9,34.62,50029
50,30,22,8,36.36,8,36.36,6,27.27,50030
50,31,32,12,37.5,10,31.25,10,31.25,50031
50,32,21,7,33.33,7,33.33,7,33.33,50032
50,33,33,11,33.33,11,33.33,11,33.33,50033
50,34,36,13,36.11,11,30.56,12,33.33,50034
50,35,11,4,36.36,3,27.27,4,36.36,50035
50,36,29,13,44.83,9,31.03,7,24.14,50036
50,37,35,13,37.14,11,31.43,11,31.43,50037
50,38,8,3,37.5,3,37.5,2,25.0,50038
50,39,27,9,33.33,9,33.33,9,33.33,50039
50,40,20,6,30.0,8,40.0,6,30.0,50040
