ward,precinct,total,Keith Pekau (Donald J Trump),Keith Pekau (Donald J Trump) Percent,Jesus Solorio (Donald J Trump),Jesus Solorio (Donald J Trump) Percent,Cynthia Nelson Katsenes (Donald J Trum,Cynthia Nelson Katsenes (Donald J Trum Percent,precinct_id
13,18,40,16,40.0,13,32.5,11,27.5,13018
13,20,32,10,31.25,12,37.5,10,31.25,13020
13,21,27,13,48.15,7,25.93,7,25.93,13021
13,22,25,9,36.0,8,32.0,8,32.0,13022
13,23,7,3,42.86,2,28.57,2,28.57,13023
13,24,46,14,30.43,18,39.13,14,30.43,13024
13,25,30,10,33.33,11,36.67,9,30.0,13025
13,26,28,13,46.43,7,25.0,8,28.57,13026
13,27,19,7,36.84,7,36.84,5,26.32,13027
13,28,12,5,41.67,3,25.0,4,33.33,13028
13,29,13,5,38.46,6,46.15,2,15.38,13029
13,30,1,1,100.0,0,0.0,0,0.0,13030
13,31,54,25,46.3,14,25.93,15,27.78,13031
13,32,22,7,31.82,9,40.91,6,27.27,13032
13,33,56,19,33.93,19,33.93,18,32.14,13033
13,34,7,3,42.86,2,28.57,2,28.57,13034
13,35,10,3,30.0,4,40.0,3,30.0,13035
13,36,3,1,33.33,1,33.33,1,33.33,13036
13,37,6,2,33.33,1,16.67,3,50.0,13037
13,38,18,6,33.33,5,27.78,7,38.89,13038
13,39,7,2,28.57,2,28.57,3,42.86,13039
13,40,17,8,47.06,4,23.53,5,29.41,13040
13,41,5,1,20.0,2,40.0,2,40.0,13041
13,42,26,10,38.46,7,26.92,9,34.62,13042
13,43,19,6,31.58,6,31.58,7,36.84,13043
13,44,12,6,50.0,3,25.0,3,25.0,13044
13,45,47,17,36.17,15,31.91,15,31.91,13045
13,46,13,4,30.77,6,46.15,3,23.08,13046
13,47,11,4,36.36,4,36.36,3,27.27,13047
13,48,20,9,45.0,5,25.0,6,30.0,13048
14,1,64,26,40.63,18,28.13,20,31.25,14001
14,4,41,13,31.71,13,31.71,15,36.59,14004
14,5,5,1,20.0,2,40.0,2,40.0,14005
14,7,22,8,36.36,6,27.27,8,36.36,14007
14,8,36,13,36.11,13,36.11,10,27.78,14008
14,9,42,14,33.33,14,33.33,14,33.33,14009
14,12,23,8,34.78,7,30.43,8,34.78,14012
14,18,17,6,35.29,5,29.41,6,35.29,14018
14,21,11,3,27.27,5,45.45,3,27.27,14021
14,22,52,18,34.62,19,36.54,15,28.85,14022
14,23,19,9,47.37,5,26.32,5,26.32,14023
14,24,26,9,34.62,9,34.62,8,30.77,14024
14,25,0,0,0.0,0,0.0,0,0.0,14025
14,26,4,1,25.0,2,50.0,1,25.0,14026
14,29,12,3,25.0,7,58.33,2,16.67,14029
15,1,7,3,42.86,2,28.57,2,28.57,15001
15,5,0,0,0.0,0,0.0,0,0.0,15005
15,8,9,3,33.33,3,33.33,3,33.33,15008
15,13,10,3,30.0,4,40.0,3,30.0,15013
15,14,9,3,33.33,2,22.22,4,44.44,15014
15,15,12,3,25.0,6,50.0,3,25.0,15015
15,16,12,4,33.33,6,50.0,2,16.67,15016
15,19,13,4,30.77,4,30.77,5,38.46,15019
16,1,3,1,33.33,1,33.33,1,33.33,16001
16,7,0,0,0.0,0,0.0,0,0.0,16007
16,23,9,2,22.22,4,44.44,3,33.33,16023
16,32,11,4,36.36,5,45.45,2,18.18,16032
16,35,0,0,0.0,0,0.0,0,0.0,16035
18,15,15,8,53.33,4,26.67,3,20.0,18015
18,24,31,12,38.71,9,29.03,10,32.26,18024
18,25,17,7,41.18,5,29.41,5,29.41,18025
