ward,precinct,total,Felicia H. Simmons-Stovall,Felicia H. Simmons-Stovall Percent,Janice Jeffries,Janice Jeffries Percent,Toni L. Foulkes,Toni L. Foulkes Percent,"Tommie Grayer, Sr.","Tommie Grayer, Sr. Percent",Sandra L. Mallory,Sandra L. Mallory Percent,Richard L. Anderson,Richard L. Anderson Percent,Brian E. Dunn,Brian E. Dunn Percent,Vesta Lewis Dixon,Vesta Lewis Dixon Percent,Denise Dixon,Denise Dixon Percent,William Burch,William Burch Percent,"Shawn D. Monroe, Sr.","Shawn D. Monroe, Sr. Percent",precinct_id
15,25,96,30,31.25,4,4.17,31,32.29,3,3.13,2,2.08,2,2.08,2,2.08,0,0.0,4,4.17,7,7.29,11,11.46,15025
15,26,121,30,24.79,9,7.44,58,47.93,2,1.65,6,4.96,0,0.0,1,0.83,5,4.13,1,0.83,5,4.13,4,3.31,15026
15,27,108,13,12.04,26,24.07,32,29.63,1,0.93,0,0.0,3,2.78,2,1.85,4,3.7,2,1.85,7,6.48,18,16.67,15027
15,28,147,60,40.82,5,3.4,55,37.41,3,2.04,7,4.76,1,0.68,2,1.36,0,0.0,3,2.04,1,0.68,10,6.8,15028
15,29,58,15,25.86,4,6.9,13,22.41,5,8.62,1,1.72,2,3.45,1,1.72,4,6.9,2,3.45,9,15.52,2,3.45,15029
15,30,117,27,23.08,5,4.27,41,35.04,3,2.56,0,0.0,6,5.13,1,0.85,1,0.85,9,7.69,16,13.68,8,6.84,15030
15,31,99,28,28.28,0,0.0,29,29.29,16,16.16,2,2.02,4,4.04,0,0.0,1,1.01,18,18.18,1,1.01,0,0.0,15031
15,32,111,46,41.44,4,3.6,47,42.34,3,2.7,2,1.8,3,2.7,1,0.9,1,0.9,2,1.8,0,0.0,2,1.8,15032
15,33,84,23,27.38,8,9.52,25,29.76,3,3.57,2,2.38,0,0.0,3,3.57,1,1.19,6,7.14,4,4.76,9,10.71,15033
15,34,137,15,10.95,0,0.0,86,62.77,0,0.0,19,13.87,0,0.0,1,0.73,1,0.73,13,9.49,0,0.0,2,1.46,15034
15,35,162,41,25.31,1,0.62,40,24.69,2,1.23,4,2.47,0,0.0,9,5.56,45,27.78,12,7.41,1,0.62,7,4.32,15035
15,36,114,44,38.6,5,4.39,15,13.16,2,1.75,0,0.0,1,0.88,1,0.88,23,20.18,8,7.02,11,9.65,4,3.51,15036
15,37,103,22,21.36,5,4.85,45,43.69,0,0.0,1,0.97,0,0.0,0,0.0,5,4.85,7,6.8,2,1.94,16,15.53,15037
15,38,118,24,20.34,9,7.63,42,35.59,1,0.85,1,0.85,26,22.03,2,1.69,1,0.85,6,5.08,0,0.0,6,5.08,15038
15,39,156,38,24.36,3,1.92,54,34.62,11,7.05,3,1.92,19,12.18,1,0.64,1,0.64,13,8.33,7,4.49,6,3.85,15039
15,40,160,19,11.88,4,2.5,45,28.13,46,28.75,12,7.5,4,2.5,2,1.25,3,1.88,18,11.25,7,4.38,0,0.0,15040
15,41,167,33,19.76,9,5.39,79,47.31,2,1.2,1,0.6,5,2.99,12,7.19,1,0.6,12,7.19,7,4.19,6,3.59,15041
15,42,63,16,25.4,2,3.17,22,34.92,9,14.29,0,0.0,0,0.0,0,0.0,2,3.17,4,6.35,6,9.52,2,3.17,15042
15,43,121,63,52.07,7,5.79,24,19.83,0,0.0,2,1.65,1,0.83,7,5.79,7,5.79,6,4.96,3,2.48,1,0.83,15043
15,44,127,43,33.86,14,11.02,39,30.71,2,1.57,4,3.15,6,4.72,0,0.0,0,0.0,2,1.57,7,5.51,10,7.87,15044
15,45,71,20,28.17,6,8.45,23,32.39,1,1.41,2,2.82,0,0.0,1,1.41,0,0.0,3,4.23,2,2.82,13,18.31,15045
15,46,78,2,2.56,7,8.97,38,48.72,0,0.0,3,3.85,0,0.0,2,2.56,3,3.85,16,20.51,6,7.69,1,1.28,15046
15,47,163,50,30.67,4,2.45,51,31.29,1,0.61,4,2.45,2,1.23,1,0.61,9,5.52,14,8.59,13,7.98,14,8.59,15047
15,48,89,22,24.72,10,11.24,30,33.71,5,5.62,1,1.12,4,4.49,0,0.0,0,0.0,5,5.62,5,5.62,7,7.87,15048
15,49,93,28,30.11,8,8.6,24,25.81,6,6.45,4,4.3,7,7.53,1,1.08,0,0.0,12,12.9,3,3.23,0,0.0,15049
15,50,114,36,31.58,7,6.14,33,28.95,1,0.88,4,3.51,0,0.0,1,0.88,0,0.0,14,12.28,14,12.28,4,3.51,15050
15,51,98,12,12.24,2,2.04,47,47.96,1,1.02,8,8.16,1,1.02,0,0.0,0,0.0,21,21.43,1,1.02,5,5.1,15051
15,52,96,12,12.5,8,8.33,28,29.17,1,1.04,2,2.08,4,4.17,4,4.17,2,2.08,6,6.25,29,30.21,0,0.0,15052
