ward,precinct,total,Thomas Worthy,Thomas Worthy Percent,Michael D. Chandler,Michael D. Chandler Percent,Julius Anderson,Julius Anderson Percent,Donald Patterson,Donald Patterson Percent,Sharon Denise Dixon,Sharon Denise Dixon Percent,Willie G. Brooks,Willie G. Brooks Percent,Martavius ''Mark'' Carter,Martavius ''Mark'' Carter Percent,precinct_id
24,41,118,11,9.32,64,54.24,3,2.54,7,5.93,32,27.12,0,0.0,1,0.85,24041
24,42,137,2,1.46,81,59.12,9,6.57,13,9.49,16,11.68,12,8.76,4,2.92,24042
24,43,202,9,4.46,102,50.5,14,6.93,13,6.44,47,23.27,2,0.99,15,7.43,24043
24,44,71,6,8.45,23,32.39,3,4.23,12,16.9,10,14.08,2,2.82,15,21.13,24044
24,45,113,13,11.5,46,40.71,4,3.54,19,16.81,17,15.04,4,3.54,10,8.85,24045
24,46,61,9,14.75,17,27.87,5,8.2,4,6.56,25,40.98,1,1.64,0,0.0,24046
24,47,141,17,12.06,48,34.04,19,13.48,16,11.35,17,12.06,5,3.55,19,13.48,24047
24,48,80,4,5.0,34,42.5,4,5.0,13,16.25,18,22.5,4,5.0,3,3.75,24048
24,49,220,33,15.0,65,29.55,11,5.0,27,12.27,59,26.82,5,2.27,20,9.09,24049
24,50,232,13,5.6,84,36.21,6,2.59,16,6.9,102,43.97,3,1.29,8,3.45,24050
24,51,257,9,3.5,91,35.41,47,18.29,12,4.67,78,30.35,7,2.72,13,5.06,24051
24,52,134,9,6.72,57,42.54,8,5.97,23,17.16,18,13.43,6,4.48,13,9.7,24052
24,53,170,22,12.94,86,50.59,14,8.24,7,4.12,35,20.59,3,1.76,3,1.76,24053
24,54,106,12,11.32,31,29.25,23,21.7,20,18.87,16,15.09,4,3.77,0,0.0,24054
24,55,66,4,6.06,37,56.06,2,3.03,11,16.67,6,9.09,5,7.58,1,1.52,24055
24,56,166,29,17.47,48,28.92,33,19.88,22,13.25,24,14.46,3,1.81,7,4.22,24056
24,57,128,20,15.63,58,45.31,12,9.38,8,6.25,25,19.53,1,0.78,4,3.13,24057
24,58,173,17,9.83,71,41.04,20,11.56,29,16.76,25,14.45,8,4.62,3,1.73,24058
24,59,55,6,10.91,23,41.82,6,10.91,4,7.27,14,25.45,0,0.0,2,3.64,24059
