ward,precinct,total,Faheem Shabazz,Faheem Shabazz Percent,Derrick T. Prince,Derrick T. Prince Percent,Joseph McAfee,Joseph McAfee Percent,Michelle A. Harris,Michelle A. Harris Percent,Cliff Underwood,Cliff Underwood Percent,Dennis Allen,Dennis Allen Percent,Sharon Ann Adams,Sharon Ann Adams Percent,Van B. Newell Jr.,Van B. Newell Jr. Percent,precinct_id
8,36,188,28,14.89,9,4.79,8,4.26,113,60.11,18,9.57,5,2.66,2,1.06,5,2.66,08036
8,37,197,19,9.64,8,4.06,31,15.74,108,54.82,14,7.11,4,2.03,10,5.08,3,1.52,08037
8,38,191,16,8.38,6,3.14,21,10.99,111,58.12,12,6.28,4,2.09,17,8.9,4,2.09,08038
8,39,222,16,7.21,35,15.77,8,3.6,104,46.85,19,8.56,6,2.7,5,2.25,29,13.06,08039
8,40,180,9,5.0,3,1.67,54,30.0,102,56.67,4,2.22,3,1.67,2,1.11,3,1.67,08040
8,41,160,4,2.5,3,1.88,69,43.13,71,44.38,6,3.75,0,0.0,4,2.5,3,1.88,08041
8,42,212,29,13.68,7,3.3,14,6.6,136,64.15,16,7.55,1,0.47,2,0.94,7,3.3,08042
8,43,143,8,5.59,3,2.1,34,23.78,74,51.75,7,4.9,11,7.69,4,2.8,2,1.4,08043
8,44,143,27,18.88,8,5.59,2,1.4,81,56.64,18,12.59,0,0.0,2,1.4,5,3.5,08044
8,45,138,7,5.07,3,2.17,31,22.46,71,51.45,6,4.35,9,6.52,8,5.8,3,2.17,08045
8,46,188,61,32.45,8,4.26,2,1.06,89,47.34,13,6.91,2,1.06,2,1.06,11,5.85,08046
8,47,221,13,5.88,12,5.43,32,14.48,146,66.06,4,1.81,6,2.71,0,0.0,8,3.62,08047
8,48,164,9,5.49,6,3.66,13,7.93,114,69.51,11,6.71,2,1.22,2,1.22,7,4.27,08048
8,49,251,13,5.18,9,3.59,21,8.37,159,63.35,36,14.34,2,0.8,3,1.2,8,3.19,08049
8,50,211,14,6.64,15,7.11,13,6.16,133,63.03,17,8.06,4,1.9,2,0.95,13,6.16,08050
8,51,247,22,8.91,16,6.48,8,3.24,140,56.68,33,13.36,9,3.64,5,2.02,14,5.67,08051
8,52,225,2,0.89,12,5.33,19,8.44,133,59.11,23,10.22,11,4.89,3,1.33,22,9.78,08052
8,53,251,22,8.76,21,8.37,23,9.16,137,54.58,21,8.37,10,3.98,1,0.4,16,6.37,08053
8,54,222,14,6.31,8,3.6,31,13.96,143,64.41,13,5.86,3,1.35,4,1.8,6,2.7,08054
8,55,155,10,6.45,3,1.94,62,40.0,61,39.35,4,2.58,5,3.23,6,3.87,4,2.58,08055
8,56,227,8,3.52,4,1.76,25,11.01,144,63.44,25,11.01,7,3.08,5,2.2,9,3.96,08056
8,57,175,18,10.29,3,1.71,7,4.0,119,68.0,16,9.14,4,2.29,2,1.14,6,3.43,08057
8,58,214,13,6.07,13,6.07,11,5.14,132,61.68,13,6.07,3,1.4,2,0.93,27,12.62,08058
8,59,137,13,9.49,5,3.65,14,10.22,83,60.58,7,5.11,5,3.65,8,5.84,2,1.46,08059
8,60,172,43,25.0,12,6.98,11,6.4,87,50.58,7,4.07,3,1.74,5,2.91,4,2.33,08060
8,61,198,7,3.54,7,3.54,77,38.89,87,43.94,3,1.52,9,4.55,7,3.54,1,0.51,08061
8,62,189,24,12.7,12,6.35,7,3.7,103,54.5,34,17.99,2,1.06,3,1.59,4,2.12,08062
8,63,232,38,16.38,13,5.6,15,6.47,152,65.52,7,3.02,0,0.0,5,2.16,2,0.86,08063
8,64,166,9,5.42,6,3.61,10,6.02,119,71.69,7,4.22,0,0.0,11,6.63,4,2.41,08064
8,65,141,11,7.8,18,12.77,7,4.96,91,64.54,6,4.26,3,2.13,2,1.42,3,2.13,08065
8,66,282,33,11.7,19,6.74,43,15.25,151,53.55,10,3.55,5,1.77,14,4.96,7,2.48,08066
8,67,102,6,5.88,1,0.98,6,5.88,74,72.55,8,7.84,2,1.96,3,2.94,2,1.96,08067
8,68,102,15,14.71,2,1.96,22,21.57,43,42.16,8,7.84,6,5.88,3,2.94,3,2.94,08068
8,69,136,7,5.15,4,2.94,19,13.97,85,62.5,12,8.82,5,3.68,3,2.21,1,0.74,08069
8,70,235,24,10.21,12,5.11,13,5.53,155,65.96,19,8.09,4,1.7,6,2.55,2,0.85,08070
