ward,precinct,total,Raymond W. Mitchell,Raymond W. Mitchell Percent,Devlin Joseph Schoop,Devlin Joseph Schoop Percent,John H. Ehrlich,John H. Ehrlich Percent,precinct_id
2,43,145,66,45.52,22,15.17,57,39.31,02043
2,44,149,76,51.01,16,10.74,57,38.26,02044
2,45,90,38,42.22,16,17.78,36,40.0,02045
2,46,86,39,45.35,21,24.42,26,30.23,02046
3,1,188,110,58.51,42,22.34,36,19.15,03001
3,2,245,123,50.2,46,18.78,76,31.02,03002
3,3,103,53,51.46,22,21.36,28,27.18,03003
3,4,215,113,52.56,41,19.07,61,28.37,03004
3,5,81,48,59.26,20,24.69,13,16.05,03005
3,6,222,96,43.24,43,19.37,83,37.39,03006
3,7,145,94,64.83,23,15.86,28,19.31,03007
3,8,98,62,63.27,19,19.39,17,17.35,03008
3,9,182,95,52.2,39,21.43,48,26.37,03009
3,10,67,40,59.7,7,10.45,20,29.85,03010
3,11,154,80,51.95,28,18.18,46,29.87,03011
3,12,227,126,55.51,49,21.59,52,22.91,03012
3,13,200,76,38.0,42,21.0,82,41.0,03013
3,14,178,74,41.57,40,22.47,64,35.96,03014
3,15,122,68,55.74,26,21.31,28,22.95,03015
3,16,136,79,58.09,32,23.53,25,18.38,03016
3,17,176,79,44.89,39,22.16,58,32.95,03017
3,18,209,107,51.2,52,24.88,50,23.92,03018
3,19,203,88,43.35,33,16.26,82,40.39,03019
3,20,178,100,56.18,43,24.16,35,19.66,03020
3,21,218,119,54.59,35,16.06,64,29.36,03021
3,22,209,76,36.36,61,29.19,72,34.45,03022
3,23,98,61,62.24,13,13.27,24,24.49,03023
3,24,123,63,51.22,23,18.7,37,30.08,03024
3,25,309,135,43.69,54,17.48,120,38.83,03025
3,26,229,116,50.66,36,15.72,77,33.62,03026
3,27,193,81,41.97,33,17.1,79,40.93,03027
3,28,128,75,58.59,26,20.31,27,21.09,03028
3,29,122,68,55.74,24,19.67,30,24.59,03029
3,30,164,79,48.17,31,18.9,54,32.93,03030
3,31,156,81,51.92,32,20.51,43,27.56,03031
3,32,210,78,37.14,45,21.43,87,41.43,03032
3,33,192,88,45.83,33,17.19,71,36.98,03033
3,34,230,102,44.35,49,21.3,79,34.35,03034
3,35,78,43,55.13,18,23.08,17,21.79,03035
3,36,60,33,55.0,8,13.33,19,31.67,03036
3,37,115,72,62.61,14,12.17,29,25.22,03037
3,38,161,96,59.63,29,18.01,36,22.36,03038
3,39,292,106,36.3,79,27.05,107,36.64,03039
3,40,141,71,50.35,22,15.6,48,34.04,03040
3,41,143,94,65.73,18,12.59,31,21.68,03041
4,1,252,111,44.05,67,26.59,74,29.37,04001
4,2,245,103,42.04,52,21.22,90,36.73,04002
4,3,109,70,64.22,24,22.02,15,13.76,04003
4,4,212,127,59.91,48,22.64,37,17.45,04004
4,5,208,95,45.67,64,30.77,49,23.56,04005
4,6,286,163,56.99,44,15.38,79,27.62,04006
4,7,234,132,56.41,49,20.94,53,22.65,04007
4,8,224,105,46.88,47,20.98,72,32.14,04008
4,9,309,140,45.31,59,19.09,110,35.6,04009
4,10,293,152,51.88,56,19.11,85,29.01,04010
4,11,96,56,58.33,15,15.63,25,26.04,04011
4,12,206,103,50.0,46,22.33,57,27.67,04012
4,13,123,35,28.46,32,26.02,56,45.53,04013
4,14,208,108,51.92,41,19.71,59,28.37,04014
4,15,212,119,56.13,47,22.17,46,21.7,04015
4,16,283,115,40.64,67,23.67,101,35.69,04016
4,17,217,68,31.34,66,30.41,83,38.25,04017
4,18,211,124,58.77,57,27.01,30,14.22,04018
4,19,89,55,61.8,10,11.24,24,26.97,04019
4,20,182,77,42.31,41,22.53,64,35.16,04020
4,21,165,72,43.64,48,29.09,45,27.27,04021
4,22,197,95,48.22,41,20.81,61,30.96,04022
4,23,261,104,39.85,60,22.99,97,37.16,04023
4,24,161,68,42.24,34,21.12,59,36.65,04024
4,25,247,99,40.08,48,19.43,100,40.49,04025
4,26,148,82,55.41,28,18.92,38,25.68,04026
4,27,245,109,44.49,63,25.71,73,29.8,04027
4,28,141,85,60.28,21,14.89,35,24.82,04028
4,29,184,98,53.26,48,26.09,38,20.65,04029
4,30,177,102,57.63,29,16.38,46,25.99,04030
4,31,281,148,52.67,56,19.93,77,27.4,04031
4,32,215,112,52.09,55,25.58,48,22.33,04032
4,33,161,76,47.2,39,24.22,46,28.57,04033
4,34,160,77,48.13,38,23.75,45,28.13,04034
4,35,241,140,58.09,32,13.28,69,28.63,04035
4,36,254,127,50.0,58,22.83,69,27.17,04036
4,37,313,124,39.62,74,23.64,115,36.74,04037
4,38,243,128,52.67,42,17.28,73,30.04,04038
5,1,110,70,63.64,21,19.09,19,17.27,05001
5,2,94,60,63.83,20,21.28,14,14.89,05002
5,3,175,57,32.57,62,35.43,56,32.0,05003
5,4,224,91,40.63,74,33.04,59,26.34,05004
5,5,131,81,61.83,32,24.43,18,13.74,05005
5,6,122,79,64.75,29,23.77,14,11.48,05006
5,7,177,90,50.85,43,24.29,44,24.86,05007
5,8,210,78,37.14,41,19.52,91,43.33,05008
5,9,244,112,45.9,55,22.54,77,31.56,05009
5,10,96,52,54.17,23,23.96,21,21.88,05010
5,11,202,83,41.09,51,25.25,68,33.66,05011
5,12,77,54,70.13,9,11.69,14,18.18,05012
5,13,120,67,55.83,27,22.5,26,21.67,05013
5,14,198,101,51.01,55,27.78,42,21.21,05014
5,15,155,65,41.94,45,29.03,45,29.03,05015
5,16,146,88,60.27,27,18.49,31,21.23,05016
5,17,102,60,58.82,18,17.65,24,23.53,05017
5,18,169,78,46.15,43,25.44,48,28.4,05018
5,19,202,85,42.08,48,23.76,69,34.16,05019
5,20,284,139,48.94,50,17.61,95,33.45,05020
5,21,174,85,48.85,45,25.86,44,25.29,05021
5,22,311,147,47.27,61,19.61,103,33.12,05022
5,23,326,130,39.88,90,27.61,106,32.52,05023
5,24,215,90,41.86,72,33.49,53,24.65,05024
5,25,174,82,47.13,36,20.69,56,32.18,05025
5,26,152,86,56.58,40,26.32,26,17.11,05026
5,27,159,64,40.25,49,30.82,46,28.93,05027
5,28,184,109,59.24,33,17.93,42,22.83,05028
5,29,169,96,56.8,33,19.53,40,23.67,05029
5,30,87,54,62.07,13,14.94,20,22.99,05030
5,31,97,53,54.64,22,22.68,22,22.68,05031
5,32,202,123,60.89,28,13.86,51,25.25,05032
5,33,180,99,55.0,38,21.11,43,23.89,05033
5,34,218,85,38.99,41,18.81,92,42.2,05034
5,35,262,124,47.33,51,19.47,87,33.21,05035
5,36,59,35,59.32,14,23.73,10,16.95,05036
5,37,246,103,41.87,48,19.51,95,38.62,05037
5,38,133,88,66.17,22,16.54,23,17.29,05038
5,39,185,95,51.35,34,18.38,56,30.27,05039
5,40,125,79,63.2,22,17.6,24,19.2,05040
5,41,158,80,50.63,20,12.66,58,36.71,05041
6,1,160,95,59.38,36,22.5,29,18.13,06001
6,2,187,104,55.61,38,20.32,45,24.06,06002
6,3,134,79,58.96,16,11.94,39,29.1,06003
6,4,75,45,60.0,11,14.67,19,25.33,06004
6,5,72,43,59.72,11,15.28,18,25.0,06005
6,6,149,75,50.34,42,28.19,32,21.48,06006
6,7,89,57,64.04,12,13.48,20,22.47,06007
6,8,173,107,61.85,37,21.39,29,16.76,06008
6,9,90,53,58.89,15,16.67,22,24.44,06009
6,10,59,36,61.02,15,25.42,8,13.56,06010
6,11,98,60,61.22,20,20.41,18,18.37,06011
6,12,58,31,53.45,14,24.14,13,22.41,06012
6,13,124,73,58.87,23,18.55,28,22.58,06013
6,14,132,86,65.15,22,16.67,24,18.18,06014
6,15,70,52,74.29,6,8.57,12,17.14,06015
6,16,152,97,63.82,17,11.18,38,25.0,06016
6,17,65,42,64.62,16,24.62,7,10.77,06017
6,18,82,52,63.41,16,19.51,14,17.07,06018
6,19,74,48,64.86,18,24.32,8,10.81,06019
6,20,73,39,53.42,17,23.29,17,23.29,06020
6,21,46,29,63.04,11,23.91,6,13.04,06021
6,22,55,40,72.73,7,12.73,8,14.55,06022
6,23,47,34,72.34,6,12.77,7,14.89,06023
6,24,54,36,66.67,12,22.22,6,11.11,06024
6,25,59,34,57.63,17,28.81,8,13.56,06025
6,26,58,30,51.72,13,22.41,15,25.86,06026
6,27,59,44,74.58,6,10.17,9,15.25,06027
6,28,42,26,61.9,8,19.05,8,19.05,06028
6,29,171,100,58.48,28,16.37,43,25.15,06029
6,30,76,46,60.53,12,15.79,18,23.68,06030
6,31,167,92,55.09,28,16.77,47,28.14,06031
6,32,126,81,64.29,28,22.22,17,13.49,06032
6,33,139,77,55.4,27,19.42,35,25.18,06033
6,34,126,74,58.73,26,20.63,26,20.63,06034
6,35,152,101,66.45,22,14.47,29,19.08,06035
6,36,180,102,56.67,29,16.11,49,27.22,06036
6,37,209,115,55.02,45,21.53,49,23.44,06037
6,38,164,87,53.05,32,19.51,45,27.44,06038
6,39,108,62,57.41,22,20.37,24,22.22,06039
6,40,106,63,59.43,16,15.09,27,25.47,06040
6,41,149,96,64.43,19,12.75,34,22.82,06041
6,42,117,76,64.96,20,17.09,21,17.95,06042
6,43,113,59,52.21,21,18.58,33,29.2,06043
6,44,123,71,57.72,27,21.95,25,20.33,06044
6,45,148,65,43.92,27,18.24,56,37.84,06045
6,46,99,56,56.57,22,22.22,21,21.21,06046
6,47,101,69,68.32,17,16.83,15,14.85,06047
6,48,103,58,56.31,28,27.18,17,16.5,06048
7,1,88,46,52.27,22,25.0,20,22.73,07001
7,2,90,62,68.89,14,15.56,14,15.56,07002
7,3,122,61,50.0,29,23.77,32,26.23,07003
7,4,110,53,48.18,19,17.27,38,34.55,07004
7,5,86,49,56.98,19,22.09,18,20.93,07005
7,6,172,99,57.56,31,18.02,42,24.42,07006
7,7,90,49,54.44,19,21.11,22,24.44,07007
7,8,104,58,55.77,24,23.08,22,21.15,07008
7,9,232,134,57.76,39,16.81,59,25.43,07009
7,10,168,96,57.14,36,21.43,36,21.43,07010
7,11,98,53,54.08,23,23.47,22,22.45,07011
7,12,75,46,61.33,21,28.0,8,10.67,07012
7,13,102,56,54.9,25,24.51,21,20.59,07013
7,14,107,70,65.42,26,24.3,11,10.28,07014
7,15,131,76,58.02,22,16.79,33,25.19,07015
7,16,82,53,64.63,16,19.51,13,15.85,07016
7,17,93,50,53.76,23,24.73,20,21.51,07017
7,18,101,51,50.5,24,23.76,26,25.74,07018
7,19,102,65,63.73,16,15.69,21,20.59,07019
7,20,65,38,58.46,10,15.38,17,26.15,07020
7,21,70,48,68.57,5,7.14,17,24.29,07021
7,22,96,65,67.71,14,14.58,17,17.71,07022
7,23,134,75,55.97,14,10.45,45,33.58,07023
7,24,80,51,63.75,11,13.75,18,22.5,07024
7,25,47,32,68.09,8,17.02,7,14.89,07025
7,26,112,73,65.18,13,11.61,26,23.21,07026
7,27,95,60,63.16,12,12.63,23,24.21,07027
7,28,66,36,54.55,15,22.73,15,22.73,07028
7,29,107,61,57.01,19,17.76,27,25.23,07029
7,30,72,48,66.67,9,12.5,15,20.83,07030
7,31,62,35,56.45,14,22.58,13,20.97,07031
7,32,214,136,63.55,34,15.89,44,20.56,07032
7,33,208,135,64.9,27,12.98,46,22.12,07033
7,34,166,120,72.29,22,13.25,24,14.46,07034
7,35,104,57,54.81,28,26.92,19,18.27,07035
7,36,163,94,57.67,27,16.56,42,25.77,07036
7,37,132,82,62.12,21,15.91,29,21.97,07037
7,38,102,67,65.69,11,10.78,24,23.53,07038
7,39,109,78,71.56,13,11.93,18,16.51,07039
7,40,110,69,62.73,15,13.64,26,23.64,07040
7,41,89,60,67.42,17,19.1,12,13.48,07041
7,42,114,73,64.04,19,16.67,22,19.3,07042
7,43,108,71,65.74,18,16.67,19,17.59,07043
7,44,97,52,53.61,17,17.53,28,28.87,07044
7,45,65,48,73.85,8,12.31,9,13.85,07045
7,46,57,37,64.91,8,14.04,12,21.05,07046
8,1,94,52,55.32,18,19.15,24,25.53,08001
8,2,95,50,52.63,18,18.95,27,28.42,08002
8,3,197,109,55.33,31,15.74,57,28.93,08003
8,4,178,104,58.43,35,19.66,39,21.91,08004
8,5,186,106,56.99,31,16.67,49,26.34,08005
8,6,165,95,57.58,23,13.94,47,28.48,08006
8,7,176,96,54.55,23,13.07,57,32.39,08007
8,8,194,121,62.37,24,12.37,49,25.26,08008
8,9,78,49,62.82,10,12.82,19,24.36,08009
8,10,244,140,57.38,35,14.34,69,28.28,08010
8,11,86,52,60.47,11,12.79,23,26.74,08011
8,12,111,69,62.16,11,9.91,31,27.93,08012
8,13,130,65,50.0,21,16.15,44,33.85,08013
8,14,58,37,63.79,6,10.34,15,25.86,08014
8,15,106,62,58.49,20,18.87,24,22.64,08015
8,16,26,17,65.38,7,26.92,2,7.69,08016
8,17,133,78,58.65,15,11.28,40,30.08,08017
8,18,64,42,65.63,8,12.5,14,21.88,08018
8,19,198,112,56.57,35,17.68,51,25.76,08019
8,20,179,106,59.22,41,22.91,32,17.88,08020
8,21,154,76,49.35,26,16.88,52,33.77,08021
8,22,131,70,53.44,19,14.5,42,32.06,08022
8,23,80,50,62.5,10,12.5,20,25.0,08023
8,24,93,55,59.14,13,13.98,25,26.88,08024
8,25,114,65,57.02,26,22.81,23,20.18,08025
8,26,90,57,63.33,15,16.67,18,20.0,08026
8,27,220,139,63.18,30,13.64,51,23.18,08027
8,28,141,74,52.48,28,19.86,39,27.66,08028
8,29,176,101,57.39,25,14.2,50,28.41,08029
8,30,154,76,49.35,30,19.48,48,31.17,08030
8,31,100,64,64.0,17,17.0,19,19.0,08031
8,32,109,63,57.8,13,11.93,33,30.28,08032
8,33,104,70,67.31,13,12.5,21,20.19,08033
8,34,142,85,59.86,21,14.79,36,25.35,08034
8,35,165,85,51.52,31,18.79,49,29.7,08035
8,36,142,76,53.52,19,13.38,47,33.1,08036
8,37,126,65,51.59,16,12.7,45,35.71,08037
8,38,96,54,56.25,19,19.79,23,23.96,08038
8,39,126,65,51.59,14,11.11,47,37.3,08039
8,40,95,57,60.0,14,14.74,24,25.26,08040
8,41,124,72,58.06,22,17.74,30,24.19,08041
8,42,166,93,56.02,24,14.46,49,29.52,08042
8,43,49,29,59.18,10,20.41,10,20.41,08043
8,44,88,47,53.41,19,21.59,22,25.0,08044
8,45,55,37,67.27,5,9.09,13,23.64,08045
8,46,101,54,53.47,18,17.82,29,28.71,08046
8,47,119,60,50.42,32,26.89,27,22.69,08047
8,48,122,69,56.56,20,16.39,33,27.05,08048
8,49,140,75,53.57,28,20.0,37,26.43,08049
8,50,150,85,56.67,20,13.33,45,30.0,08050
8,51,166,94,56.63,28,16.87,44,26.51,08051
8,52,221,134,60.63,34,15.38,53,23.98,08052
8,53,73,41,56.16,17,23.29,15,20.55,08053
8,54,65,33,50.77,16,24.62,16,24.62,08054
8,55,134,80,59.7,22,16.42,32,23.88,08055
8,56,166,84,50.6,21,12.65,61,36.75,08056
9,1,114,79,69.3,14,12.28,21,18.42,09001
9,2,93,55,59.14,25,26.88,13,13.98,09002
9,3,48,29,60.42,10,20.83,9,18.75,09003
9,4,90,50,55.56,23,25.56,17,18.89,09004
9,5,141,84,59.57,28,19.86,29,20.57,09005
9,6,101,52,51.49,23,22.77,26,25.74,09006
9,7,62,36,58.06,18,29.03,8,12.9,09007
9,8,82,52,63.41,21,25.61,9,10.98,09008
9,9,158,108,68.35,29,18.35,21,13.29,09009
9,10,80,51,63.75,21,26.25,8,10.0,09010
9,11,88,54,61.36,15,17.05,19,21.59,09011
9,12,165,98,59.39,33,20.0,34,20.61,09012
9,13,160,85,53.13,27,16.88,48,30.0,09013
9,14,165,92,55.76,30,18.18,43,26.06,09014
9,15,47,27,57.45,8,17.02,12,25.53,09015
9,16,118,69,58.47,23,19.49,26,22.03,09016
9,17,58,42,72.41,13,22.41,3,5.17,09017
9,18,98,58,59.18,14,14.29,26,26.53,09018
9,19,102,55,53.92,21,20.59,26,25.49,09019
9,20,114,79,69.3,20,17.54,15,13.16,09020
9,21,98,46,46.94,28,28.57,24,24.49,09021
9,22,136,85,62.5,19,13.97,32,23.53,09022
9,23,152,83,54.61,32,21.05,37,24.34,09023
9,24,159,86,54.09,31,19.5,42,26.42,09024
9,25,112,54,48.21,35,31.25,23,20.54,09025
9,26,64,40,62.5,15,23.44,9,14.06,09026
9,27,111,63,56.76,13,11.71,35,31.53,09027
9,28,45,29,64.44,10,22.22,6,13.33,09028
9,29,59,31,52.54,17,28.81,11,18.64,09029
9,30,79,40,50.63,22,27.85,17,21.52,09030
9,31,75,41,54.67,19,25.33,15,20.0,09031
9,32,126,65,51.59,25,19.84,36,28.57,09032
9,33,81,41,50.62,16,19.75,24,29.63,09033
9,34,82,49,59.76,16,19.51,17,20.73,09034
9,35,140,79,56.43,25,17.86,36,25.71,09035
9,36,85,61,71.76,15,17.65,9,10.59,09036
9,37,185,83,44.86,39,21.08,63,34.05,09037
9,38,97,62,63.92,13,13.4,22,22.68,09038
9,39,146,84,57.53,38,26.03,24,16.44,09039
9,40,167,93,55.69,35,20.96,39,23.35,09040
9,41,97,55,56.7,24,24.74,18,18.56,09041
9,42,164,100,60.98,36,21.95,28,17.07,09042
9,43,87,60,68.97,11,12.64,16,18.39,09043
9,44,118,72,61.02,19,16.1,27,22.88,09044
9,45,85,44,51.76,20,23.53,21,24.71,09045
9,46,122,73,59.84,14,11.48,35,28.69,09046
9,47,166,100,60.24,21,12.65,45,27.11,09047
9,48,151,92,60.93,29,19.21,30,19.87,09048
9,49,156,89,57.05,27,17.31,40,25.64,09049
9,50,194,106,54.64,35,18.04,53,27.32,09050
9,51,156,90,57.69,30,19.23,36,23.08,09051
10,1,111,65,58.56,21,18.92,25,22.52,10001
10,2,71,37,52.11,13,18.31,21,29.58,10002
10,3,85,32,37.65,22,25.88,31,36.47,10003
10,4,49,23,46.94,18,36.73,8,16.33,10004
10,5,60,28,46.67,9,15.0,23,38.33,10005
10,6,73,41,56.16,14,19.18,18,24.66,10006
10,7,42,17,40.48,12,28.57,13,30.95,10007
10,8,29,15,51.72,7,24.14,7,24.14,10008
10,9,63,25,39.68,14,22.22,24,38.1,10009
10,10,83,30,36.14,23,27.71,30,36.14,10010
10,11,77,43,55.84,15,19.48,19,24.68,10011
10,12,49,29,59.18,9,18.37,11,22.45,10012
10,13,79,42,53.16,19,24.05,18,22.78,10013
10,14,87,38,43.68,16,18.39,33,37.93,10014
10,15,200,118,59.0,31,15.5,51,25.5,10015
10,16,52,20,38.46,7,13.46,25,48.08,10016
10,17,111,40,36.04,25,22.52,46,41.44,10017
10,18,37,21,56.76,11,29.73,5,13.51,10018
10,19,57,22,38.6,13,22.81,22,38.6,10019
10,20,73,37,50.68,8,10.96,28,38.36,10020
10,21,74,36,48.65,8,10.81,30,40.54,10021
10,22,25,15,60.0,4,16.0,6,24.0,10022
10,23,66,24,36.36,19,28.79,23,34.85,10023
10,24,65,24,36.92,18,27.69,23,35.38,10024
10,25,31,23,74.19,4,12.9,4,12.9,10025
10,26,56,22,39.29,17,30.36,17,30.36,10026
10,27,57,29,50.88,12,21.05,16,28.07,10027
10,28,78,33,42.31,23,29.49,22,28.21,10028
10,29,64,31,48.44,8,12.5,25,39.06,10029
10,30,51,20,39.22,13,25.49,18,35.29,10030
10,31,53,20,37.74,11,20.75,22,41.51,10031
10,32,67,28,41.79,19,28.36,20,29.85,10032
10,33,55,23,41.82,16,29.09,16,29.09,10033
10,34,37,24,64.86,4,10.81,9,24.32,10034
10,35,99,32,32.32,25,25.25,42,42.42,10035
10,36,32,21,65.63,6,18.75,5,15.63,10036
11,1,142,59,41.55,30,21.13,53,37.32,11001
11,2,5,3,60.0,0,0.0,2,40.0,11002
11,3,158,42,26.58,69,43.67,47,29.75,11003
11,4,106,47,44.34,30,28.3,29,27.36,11004
11,5,149,48,32.21,60,40.27,41,27.52,11005
11,6,192,85,44.27,51,26.56,56,29.17,11006
11,7,85,41,48.24,12,14.12,32,37.65,11007
11,8,119,40,33.61,45,37.82,34,28.57,11008
11,9,94,30,31.91,29,30.85,35,37.23,11009
11,10,91,39,42.86,27,29.67,25,27.47,11010
11,11,114,40,35.09,32,28.07,42,36.84,11011
11,12,129,53,41.09,20,15.5,56,43.41,11012
11,13,110,42,38.18,19,17.27,49,44.55,11013
11,14,42,24,57.14,7,16.67,11,26.19,11014
11,15,49,30,61.22,9,18.37,10,20.41,11015
11,16,73,22,30.14,21,28.77,30,41.1,11016
11,17,187,74,39.57,58,31.02,55,29.41,11017
11,18,89,28,31.46,27,30.34,34,38.2,11018
11,19,197,62,31.47,82,41.62,53,26.9,11019
11,20,86,34,39.53,17,19.77,35,40.7,11020
11,21,184,69,37.5,33,17.93,82,44.57,11021
11,22,145,50,34.48,38,26.21,57,39.31,11022
11,23,79,29,36.71,19,24.05,31,39.24,11023
11,24,190,55,28.95,31,16.32,104,54.74,11024
11,25,164,61,37.2,34,20.73,69,42.07,11025
11,26,156,50,32.05,42,26.92,64,41.03,11026
11,27,38,16,42.11,13,34.21,9,23.68,11027
11,28,53,28,52.83,5,9.43,20,37.74,11028
11,29,143,62,43.36,26,18.18,55,38.46,11029
11,30,67,26,38.81,15,22.39,26,38.81,11030
11,31,105,45,42.86,22,20.95,38,36.19,11031
11,32,56,20,35.71,13,23.21,23,41.07,11032
11,33,138,62,44.93,31,22.46,45,32.61,11033
11,34,52,28,53.85,12,23.08,12,23.08,11034
11,35,36,29,80.56,4,11.11,3,8.33,11035
11,36,43,13,30.23,15,34.88,15,34.88,11036
11,37,33,12,36.36,8,24.24,13,39.39,11037
11,38,68,22,32.35,27,39.71,19,27.94,11038
12,1,114,47,41.23,40,35.09,27,23.68,12001
12,2,67,32,47.76,14,20.9,21,31.34,12002
12,3,166,56,33.73,53,31.93,57,34.34,12003
12,4,121,46,38.02,47,38.84,28,23.14,12004
12,5,108,37,34.26,28,25.93,43,39.81,12005
12,6,113,48,42.48,30,26.55,35,30.97,12006
12,7,68,27,39.71,25,36.76,16,23.53,12007
12,8,116,64,55.17,24,20.69,28,24.14,12008
12,9,79,37,46.84,21,26.58,21,26.58,12009
12,10,102,46,45.1,35,34.31,21,20.59,12010
12,11,64,30,46.88,20,31.25,14,21.88,12011
12,12,71,31,43.66,17,23.94,23,32.39,12012
12,13,80,36,45.0,25,31.25,19,23.75,12013
12,14,69,31,44.93,23,33.33,15,21.74,12014
12,15,67,27,40.3,20,29.85,20,29.85,12015
12,16,36,19,52.78,5,13.89,12,33.33,12016
12,17,72,32,44.44,19,26.39,21,29.17,12017
12,18,47,22,46.81,14,29.79,11,23.4,12018
12,19,84,33,39.29,20,23.81,31,36.9,12019
12,20,77,33,42.86,21,27.27,23,29.87,12020
12,21,99,42,42.42,28,28.28,29,29.29,12021
12,22,65,30,46.15,20,30.77,15,23.08,12022
12,23,125,55,44.0,32,25.6,38,30.4,12023
13,1,84,35,41.67,14,16.67,35,41.67,13001
13,2,72,22,30.56,21,29.17,29,40.28,13002
13,3,38,18,47.37,7,18.42,13,34.21,13003
