ward,precinct,total,"Elizabeth """"Lisa"""" Hernandez","Elizabeth """"Lisa"""" Hernandez Percent",precinct_id
16,13,23,23,100.0,16013
16,17,50,50,100.0,16017
16,23,39,39,100.0,16023
16,32,56,56,100.0,16032
16,35,52,52,100.0,16035
17,1,53,53,100.0,17001
17,14,20,20,100.0,17014
17,30,32,32,100.0,17030
18,3,71,71,100.0,18003
18,6,78,78,100.0,18006
18,15,94,94,100.0,18015
18,24,51,51,100.0,18024
18,25,86,86,100.0,18025
18,28,69,69,100.0,18028
18,30,76,76,100.0,18030
18,40,105,105,100.0,18040
18,43,48,48,100.0,18043
18,44,62,62,100.0,18044
18,46,81,81,100.0,18046
20,2,6,6,100.0,20002
20,4,7,7,100.0,20004
20,15,57,57,100.0,20015
20,17,14,14,100.0,20017
20,20,28,28,100.0,20020
22,1,43,43,100.0,22001
22,2,89,89,100.0,22002
22,3,99,99,100.0,22003
22,4,44,44,100.0,22004
22,5,59,59,100.0,22005
22,6,63,63,100.0,22006
22,7,67,67,100.0,22007
22,8,96,96,100.0,22008
22,9,52,52,100.0,22009
22,10,98,98,100.0,22010
22,11,45,45,100.0,22011
22,12,63,63,100.0,22012
22,13,55,55,100.0,22013
22,14,69,69,100.0,22014
22,15,48,48,100.0,22015
22,16,47,47,100.0,22016
22,17,80,80,100.0,22017
22,18,46,46,100.0,22018
22,19,12,12,100.0,22019
22,20,63,63,100.0,22020
22,22,41,41,100.0,22022
22,23,116,116,100.0,22023
22,24,85,85,100.0,22024
22,25,54,54,100.0,22025
23,4,64,64,100.0,23004
23,5,56,56,100.0,23005
23,6,64,64,100.0,23006
23,7,39,39,100.0,23007
23,8,84,84,100.0,23008
23,9,38,38,100.0,23009
23,10,79,79,100.0,23010
23,11,62,62,100.0,23011
23,13,51,51,100.0,23013
23,15,44,44,100.0,23015
23,17,34,34,100.0,23017
23,19,22,22,100.0,23019
23,20,36,36,100.0,23020
23,22,3,3,100.0,23022
23,24,56,56,100.0,23024
23,25,52,52,100.0,23025
23,26,73,73,100.0,23026
23,29,61,61,100.0,23029
23,30,73,73,100.0,23030
23,31,14,14,100.0,23031
23,32,62,62,100.0,23032
23,33,57,57,100.0,23033
23,34,56,56,100.0,23034
23,38,68,68,100.0,23038
23,39,80,80,100.0,23039
24,16,378,378,100.0,24016
24,39,32,32,100.0,24039
25,1,89,89,100.0,25001
25,2,143,143,100.0,25002
25,5,106,106,100.0,25005
25,7,113,113,100.0,25007
25,8,119,119,100.0,25008
25,9,90,90,100.0,25009
25,11,126,126,100.0,25011
25,12,130,130,100.0,25012
25,13,156,156,100.0,25013
25,15,89,89,100.0,25015
25,17,140,140,100.0,25017
25,19,107,107,100.0,25019
25,22,106,106,100.0,25022
25,23,160,160,100.0,25023
25,24,92,92,100.0,25024
25,26,102,102,100.0,25026
25,28,106,106,100.0,25028
25,30,88,88,100.0,25030
25,32,80,80,100.0,25032
28,19,2,2,100.0,28019
