ward,precinct,total,Thomas E. Nowinski,Thomas E. Nowinski Percent,Carmen Migdalia Quinones,Carmen Migdalia Quinones Percent,precinct_id
4,37,306,203,66.34,103,33.66,04037
4,38,238,128,53.78,110,46.22,04038
5,1,102,51,50.0,51,50.0,05001
5,2,92,31,33.7,61,66.3,05002
5,3,169,86,50.89,83,49.11,05003
5,4,231,114,49.35,117,50.65,05004
5,5,122,58,47.54,64,52.46,05005
5,6,122,55,45.08,67,54.92,05006
5,7,174,92,52.87,82,47.13,05007
5,8,210,155,73.81,55,26.19,05008
5,9,241,125,51.87,116,48.13,05009
5,10,94,39,41.49,55,58.51,05010
5,11,201,115,57.21,86,42.79,05011
5,12,73,35,47.95,38,52.05,05012
5,13,120,58,48.33,62,51.67,05013
5,14,188,88,46.81,100,53.19,05014
5,15,147,91,61.9,56,38.1,05015
5,16,144,58,40.28,86,59.72,05016
5,17,100,50,50.0,50,50.0,05017
5,18,160,93,58.13,67,41.88,05018
5,19,196,135,68.88,61,31.12,05019
5,20,259,138,53.28,121,46.72,05020
5,21,175,104,59.43,71,40.57,05021
5,22,296,180,60.81,116,39.19,05022
5,23,299,181,60.54,118,39.46,05023
5,24,207,117,56.52,90,43.48,05024
5,25,167,91,54.49,76,45.51,05025
5,26,140,56,40.0,84,60.0,05026
5,27,153,103,67.32,50,32.68,05027
5,28,177,88,49.72,89,50.28,05028
5,29,155,74,47.74,81,52.26,05029
5,30,87,38,43.68,49,56.32,05030
5,31,96,39,40.63,57,59.38,05031
5,32,207,109,52.66,98,47.34,05032
5,33,179,89,49.72,90,50.28,05033
5,34,205,154,75.12,51,24.88,05034
5,35,256,164,64.06,92,35.94,05035
5,36,56,25,44.64,31,55.36,05036
5,37,225,145,64.44,80,35.56,05037
5,38,124,47,37.9,77,62.1,05038
5,39,174,114,65.52,60,34.48,05039
5,40,118,51,43.22,67,56.78,05040
5,41,141,82,58.16,59,41.84,05041
6,1,157,69,43.95,88,56.05,06001
6,2,183,92,50.27,91,49.73,06002
6,3,132,75,56.82,57,43.18,06003
6,4,74,28,37.84,46,62.16,06004
6,5,74,36,48.65,38,51.35,06005
6,6,141,80,56.74,61,43.26,06006
6,7,90,47,52.22,43,47.78,06007
6,8,170,79,46.47,91,53.53,06008
6,9,91,42,46.15,49,53.85,06009
6,10,60,31,51.67,29,48.33,06010
6,11,95,51,53.68,44,46.32,06011
6,12,57,24,42.11,33,57.89,06012
6,13,120,53,44.17,67,55.83,06013
6,14,128,52,40.63,76,59.38,06014
6,15,66,34,51.52,32,48.48,06015
6,16,147,71,48.3,76,51.7,06016
6,17,62,25,40.32,37,59.68,06017
6,18,82,40,48.78,42,51.22,06018
6,19,78,32,41.03,46,58.97,06019
6,20,73,39,53.42,34,46.58,06020
6,21,46,27,58.7,19,41.3,06021
6,22,51,28,54.9,23,45.1,06022
6,23,41,24,58.54,17,41.46,06023
6,24,52,21,40.38,31,59.62,06024
6,25,58,32,55.17,26,44.83,06025
6,26,57,24,42.11,33,57.89,06026
6,27,59,30,50.85,29,49.15,06027
6,28,40,20,50.0,20,50.0,06028
6,29,173,92,53.18,81,46.82,06029
6,30,76,38,50.0,38,50.0,06030
6,31,170,95,55.88,75,44.12,06031
6,32,120,57,47.5,63,52.5,06032
6,33,133,64,48.12,69,51.88,06033
6,34,129,55,42.64,74,57.36,06034
6,35,141,60,42.55,81,57.45,06035
6,36,181,91,50.28,90,49.72,06036
6,37,198,109,55.05,89,44.95,06037
6,38,164,94,57.32,70,42.68,06038
6,39,107,52,48.6,55,51.4,06039
6,40,101,52,51.49,49,48.51,06040
6,41,143,58,40.56,85,59.44,06041
6,42,111,51,45.95,60,54.05,06042
6,43,111,53,47.75,58,52.25,06043
6,44,121,59,48.76,62,51.24,06044
6,45,151,86,56.95,65,43.05,06045
6,46,92,43,46.74,49,53.26,06046
6,47,100,53,53.0,47,47.0,06047
6,48,110,50,45.45,60,54.55,06048
7,1,85,47,55.29,38,44.71,07001
7,2,91,34,37.36,57,62.64,07002
7,3,115,53,46.09,62,53.91,07003
7,4,107,52,48.6,55,51.4,07004
7,5,78,37,47.44,41,52.56,07005
7,6,162,70,43.21,92,56.79,07006
7,7,93,46,49.46,47,50.54,07007
7,8,88,40,45.45,48,54.55,07008
7,9,222,103,46.4,119,53.6,07009
7,10,166,70,42.17,96,57.83,07010
7,11,93,44,47.31,49,52.69,07011
7,12,70,29,41.43,41,58.57,07012
7,13,100,51,51.0,49,49.0,07013
7,14,104,52,50.0,52,50.0,07014
7,15,125,48,38.4,77,61.6,07015
7,16,78,29,37.18,49,62.82,07016
7,17,92,48,52.17,44,47.83,07017
7,18,96,44,45.83,52,54.17,07018
7,19,96,46,47.92,50,52.08,07019
7,20,65,27,41.54,38,58.46,07020
7,21,65,28,43.08,37,56.92,07021
7,22,91,44,48.35,47,51.65,07022
7,23,134,86,64.18,48,35.82,07023
7,24,80,34,42.5,46,57.5,07024
7,25,47,22,46.81,25,53.19,07025
7,26,109,46,42.2,63,57.8,07026
7,27,95,55,57.89,40,42.11,07027
7,28,64,29,45.31,35,54.69,07028
7,29,105,52,49.52,53,50.48,07029
7,30,72,31,43.06,41,56.94,07030
7,31,61,30,49.18,31,50.82,07031
7,32,211,109,51.66,102,48.34,07032
7,33,209,107,51.2,102,48.8,07033
7,34,161,67,41.61,94,58.39,07034
7,35,101,52,51.49,49,48.51,07035
7,36,157,78,49.68,79,50.32,07036
7,37,132,65,49.24,67,50.76,07037
7,38,104,52,50.0,52,50.0,07038
7,39,105,46,43.81,59,56.19,07039
7,40,104,59,56.73,45,43.27,07040
7,41,85,48,56.47,37,43.53,07041
7,42,113,59,52.21,54,47.79,07042
7,43,109,55,50.46,54,49.54,07043
7,44,96,53,55.21,43,44.79,07044
7,45,62,30,48.39,32,51.61,07045
7,46,55,22,40.0,33,60.0,07046
8,1,88,46,52.27,42,47.73,08001
8,2,89,44,49.44,45,50.56,08002
8,3,193,96,49.74,97,50.26,08003
8,4,170,76,44.71,94,55.29,08004
8,5,178,104,58.43,74,41.57,08005
8,6,158,91,57.59,67,42.41,08006
8,7,177,95,53.67,82,46.33,08007
8,8,184,101,54.89,83,45.11,08008
8,9,79,35,44.3,44,55.7,08009
8,10,238,125,52.52,113,47.48,08010
8,11,87,47,54.02,40,45.98,08011
8,12,105,55,52.38,50,47.62,08012
8,13,129,70,54.26,59,45.74,08013
8,14,49,21,42.86,28,57.14,08014
8,15,103,51,49.51,52,50.49,08015
8,16,27,11,40.74,16,59.26,08016
8,17,134,72,53.73,62,46.27,08017
8,18,61,24,39.34,37,60.66,08018
8,19,196,93,47.45,103,52.55,08019
8,20,175,94,53.71,81,46.29,08020
8,21,154,79,51.3,75,48.7,08021
8,22,130,68,52.31,62,47.69,08022
8,23,77,30,38.96,47,61.04,08023
8,24,94,32,34.04,62,65.96,08024
8,25,116,60,51.72,56,48.28,08025
8,26,87,36,41.38,51,58.62,08026
8,27,212,99,46.7,113,53.3,08027
8,28,140,59,42.14,81,57.86,08028
8,29,173,80,46.24,93,53.76,08029
8,30,143,67,46.85,76,53.15,08030
8,31,100,39,39.0,61,61.0,08031
8,32,102,56,54.9,46,45.1,08032
8,33,97,47,48.45,50,51.55,08033
8,34,143,80,55.94,63,44.06,08034
8,35,159,92,57.86,67,42.14,08035
8,36,139,84,60.43,55,39.57,08036
8,37,123,72,58.54,51,41.46,08037
8,38,93,42,45.16,51,54.84,08038
8,39,130,63,48.46,67,51.54,08039
8,40,93,37,39.78,56,60.22,08040
8,41,123,65,52.85,58,47.15,08041
8,42,166,78,46.99,88,53.01,08042
8,43,47,18,38.3,29,61.7,08043
8,44,86,38,44.19,48,55.81,08044
8,45,55,26,47.27,29,52.73,08045
8,46,96,49,51.04,47,48.96,08046
8,47,118,59,50.0,59,50.0,08047
8,48,127,55,43.31,72,56.69,08048
8,49,133,68,51.13,65,48.87,08049
8,50,156,88,56.41,68,43.59,08050
8,51,166,85,51.2,81,48.8,08051
8,52,217,100,46.08,117,53.92,08052
8,53,67,28,41.79,39,58.21,08053
8,54,58,32,55.17,26,44.83,08054
8,55,129,59,45.74,70,54.26,08055
8,56,160,90,56.25,70,43.75,08056
9,1,105,40,38.1,65,61.9,09001
9,2,92,41,44.57,51,55.43,09002
9,3,45,25,55.56,20,44.44,09003
9,4,86,42,48.84,44,51.16,09004
9,5,141,78,55.32,63,44.68,09005
9,6,99,49,49.49,50,50.51,09006
9,7,59,25,42.37,34,57.63,09007
9,8,74,28,37.84,46,62.16,09008
9,9,150,73,48.67,77,51.33,09009
9,10,79,37,46.84,42,53.16,09010
9,11,85,48,56.47,37,43.53,09011
9,12,156,68,43.59,88,56.41,09012
9,13,145,70,48.28,75,51.72,09013
9,14,155,89,57.42,66,42.58,09014
9,15,42,17,40.48,25,59.52,09015
9,16,116,62,53.45,54,46.55,09016
9,17,57,25,43.86,32,56.14,09017
9,18,96,49,51.04,47,48.96,09018
9,19,101,53,52.48,48,47.52,09019
9,20,107,53,49.53,54,50.47,09020
9,21,94,59,62.77,35,37.23,09021
9,22,121,61,50.41,60,49.59,09022
9,23,148,72,48.65,76,51.35,09023
9,24,155,80,51.61,75,48.39,09024
9,25,107,46,42.99,61,57.01,09025
9,26,62,26,41.94,36,58.06,09026
9,27,108,56,51.85,52,48.15,09027
9,28,41,15,36.59,26,63.41,09028
9,29,56,29,51.79,27,48.21,09029
9,30,80,43,53.75,37,46.25,09030
9,31,69,32,46.38,37,53.62,09031
9,32,115,63,54.78,52,45.22,09032
9,33,72,39,54.17,33,45.83,09033
9,34,83,44,53.01,39,46.99,09034
9,35,139,72,51.8,67,48.2,09035
9,36,80,46,57.5,34,42.5,09036
9,37,178,96,53.93,82,46.07,09037
9,38,94,45,47.87,49,52.13,09038
9,39,139,69,49.64,70,50.36,09039
9,40,161,93,57.76,68,42.24,09040
9,41,93,49,52.69,44,47.31,09041
9,42,162,76,46.91,86,53.09,09042
9,43,86,39,45.35,47,54.65,09043
9,44,117,56,47.86,61,52.14,09044
9,45,84,44,52.38,40,47.62,09045
9,46,118,57,48.31,61,51.69,09046
9,47,155,82,52.9,73,47.1,09047
9,48,151,43,28.48,108,71.52,09048
9,49,154,76,49.35,78,50.65,09049
9,50,192,100,52.08,92,47.92,09050
9,51,150,69,46.0,81,54.0,09051
10,1,102,42,41.18,60,58.82,10001
10,2,78,34,43.59,44,56.41,10002
10,3,86,43,50.0,43,50.0,10003
10,4,50,17,34.0,33,66.0,10004
10,5,64,34,53.13,30,46.88,10005
10,6,76,24,31.58,52,68.42,10006
10,7,41,13,31.71,28,68.29,10007
10,8,28,11,39.29,17,60.71,10008
10,9,61,37,60.66,24,39.34,10009
10,10,88,32,36.36,56,63.64,10010
10,11,81,25,30.86,56,69.14,10011
10,12,48,16,33.33,32,66.67,10012
10,13,85,31,36.47,54,63.53,10013
10,14,92,33,35.87,59,64.13,10014
10,15,198,105,53.03,93,46.97,10015
10,16,50,35,70.0,15,30.0,10016
10,17,113,72,63.72,41,36.28,10017
10,18,35,10,28.57,25,71.43,10018
10,19,60,27,45.0,33,55.0,10019
10,20,74,35,47.3,39,52.7,10020
10,21,72,26,36.11,46,63.89,10021
10,22,26,5,19.23,21,80.77,10022
10,23,63,18,28.57,45,71.43,10023
10,24,72,32,44.44,40,55.56,10024
10,25,28,5,17.86,23,82.14,10025
10,26,57,16,28.07,41,71.93,10026
10,27,55,28,50.91,27,49.09,10027
10,28,77,26,33.77,51,66.23,10028
10,29,65,16,24.62,49,75.38,10029
10,30,55,16,29.09,39,70.91,10030
10,31,51,20,39.22,31,60.78,10031
10,32,71,26,36.62,45,63.38,10032
10,33,58,20,34.48,38,65.52,10033
10,34,36,14,38.89,22,61.11,10034
10,35,96,40,41.67,56,58.33,10035
10,36,30,11,36.67,19,63.33,10036
11,1,136,90,66.18,46,33.82,11001
11,2,5,3,60.0,2,40.0,11002
11,3,147,67,45.58,80,54.42,11003
11,4,108,60,55.56,48,44.44,11004
11,5,149,75,50.34,74,49.66,11005
11,6,188,103,54.79,85,45.21,11006
11,7,86,50,58.14,36,41.86,11007
11,8,115,61,53.04,54,46.96,11008
11,9,90,58,64.44,32,35.56,11009
11,10,87,55,63.22,32,36.78,11010
11,11,110,65,59.09,45,40.91,11011
11,12,133,91,68.42,42,31.58,11012
11,13,115,71,61.74,44,38.26,11013
11,14,40,28,70.0,12,30.0,11014
11,15,47,33,70.21,14,29.79,11015
11,16,66,48,72.73,18,27.27,11016
11,17,183,109,59.56,74,40.44,11017
11,18,95,64,67.37,31,32.63,11018
11,19,187,90,48.13,97,51.87,11019
11,20,83,61,73.49,22,26.51,11020
11,21,184,127,69.02,57,30.98,11021
11,22,144,91,63.19,53,36.81,11022
11,23,75,55,73.33,20,26.67,11023
11,24,211,167,79.15,44,20.85,11024
11,25,160,97,60.63,63,39.38,11025
11,26,152,96,63.16,56,36.84,11026
11,27,35,20,57.14,15,42.86,11027
11,28,48,32,66.67,16,33.33,11028
11,29,150,110,73.33,40,26.67,11029
11,30,66,44,66.67,22,33.33,11030
11,31,104,54,51.92,50,48.08,11031
11,32,49,33,67.35,16,32.65,11032
11,33,141,77,54.61,64,45.39,11033
11,34,42,27,64.29,15,35.71,11034
11,35,32,23,71.88,9,28.13,11035
11,36,44,24,54.55,20,45.45,11036
11,37,31,20,64.52,11,35.48,11037
11,38,66,31,46.97,35,53.03,11038
12,1,108,52,48.15,56,51.85,12001
12,2,68,36,52.94,32,47.06,12002
12,3,163,76,46.63,87,53.37,12003
12,4,125,56,44.8,69,55.2,12004
12,5,111,56,50.45,55,49.55,12005
12,6,111,45,40.54,66,59.46,12006
12,7,67,25,37.31,42,62.69,12007
12,8,112,58,51.79,54,48.21,12008
12,9,82,38,46.34,44,53.66,12009
12,10,94,23,24.47,71,75.53,12010
12,11,61,19,31.15,42,68.85,12011
12,12,74,36,48.65,38,51.35,12012
12,13,82,33,40.24,49,59.76,12013
12,14,70,15,21.43,55,78.57,12014
12,15,67,24,35.82,43,64.18,12015
12,16,42,14,33.33,28,66.67,12016
12,17,75,38,50.67,37,49.33,12017
12,18,45,14,31.11,31,68.89,12018
12,19,83,41,49.4,42,50.6,12019
12,20,77,28,36.36,49,63.64,12020
12,21,98,43,43.88,55,56.12,12021
12,22,66,14,21.21,52,78.79,12022
12,23,128,69,53.91,59,46.09,12023
13,1,84,47,55.95,37,44.05,13001
13,2,73,50,68.49,23,31.51,13002
13,3,37,18,48.65,19,51.35,13003
13,4,83,50,60.24,33,39.76,13004
13,5,59,30,50.85,29,49.15,13005
13,6,93,56,60.22,37,39.78,13006
13,7,45,25,55.56,20,44.44,13007
13,8,58,32,55.17,26,44.83,13008
13,9,63,28,44.44,35,55.56,13009
13,10,83,44,53.01,39,46.99,13010
13,11,90,56,62.22,34,37.78,13011
13,12,65,28,43.08,37,56.92,13012
13,13,75,34,45.33,41,54.67,13013
13,14,78,42,53.85,36,46.15,13014
13,15,86,43,50.0,43,50.0,13015
13,16,40,17,42.5,23,57.5,13016
13,17,82,46,56.1,36,43.9,13017
13,18,64,36,56.25,28,43.75,13018
13,19,61,22,36.07,39,63.93,13019
13,20,43,29,67.44,14,32.56,13020
13,21,105,72,68.57,33,31.43,13021
13,22,88,55,62.5,33,37.5,13022
13,23,56,33,58.93,23,41.07,13023
13,24,70,39,55.71,31,44.29,13024
13,25,55,25,45.45,30,54.55,13025
13,26,84,35,41.67,49,58.33,13026
13,27,72,40,55.56,32,44.44,13027
13,28,56,19,33.93,37,66.07,13028
13,29,48,26,54.17,22,45.83,13029
13,30,34,16,47.06,18,52.94,13030
13,31,101,75,74.26,26,25.74,13031
13,32,69,35,50.72,34,49.28,13032
13,33,99,65,65.66,34,34.34,13033
13,34,73,33,45.21,40,54.79,13034
13,35,61,33,54.1,28,45.9,13035
13,36,31,14,45.16,17,54.84,13036
13,37,134,78,58.21,56,41.79,13037
13,38,58,33,56.9,25,43.1,13038
13,39,70,38,54.29,32,45.71,13039
13,40,45,22,48.89,23,51.11,13040
13,41,83,38,45.78,45,54.22,13041
13,42,101,75,74.26,26,25.74,13042
13,43,82,48,58.54,34,41.46,13043
13,44,55,30,54.55,25,45.45,13044
13,45,78,40,51.28,38,48.72,13045
13,46,63,33,52.38,30,47.62,13046
13,47,84,33,39.29,51,60.71,13047
13,48,71,44,61.97,27,38.03,13048
14,1,132,73,55.3,59,44.7,14001
14,2,79,38,48.1,41,51.9,14002
14,3,46,13,28.26,33,71.74,14003
14,4,66,47,71.21,19,28.79,14004
14,5,59,27,45.76,32,54.24,14005
14,6,25,11,44.0,14,56.0,14006
14,7,78,36,46.15,42,53.85,14007
14,8,71,24,33.8,47,66.2,14008
14,9,80,44,55.0,36,45.0,14009
14,10,46,19,41.3,27,58.7,14010
14,11,25,14,56.0,11,44.0,14011
14,12,80,35,43.75,45,56.25,14012
14,13,66,23,34.85,43,65.15,14013
14,14,72,27,37.5,45,62.5,14014
14,15,47,13,27.66,34,72.34,14015
14,16,56,27,48.21,29,51.79,14016
14,17,35,13,37.14,22,62.86,14017
14,18,34,15,44.12,19,55.88,14018
14,19,63,25,39.68,38,60.32,14019
14,20,51,18,35.29,33,64.71,14020
14,21,40,12,30.0,28,70.0,14021
14,22,91,44,48.35,47,51.65,14022
14,23,63,32,50.79,31,49.21,14023
14,24,99,60,60.61,39,39.39,14024
14,25,28,9,32.14,19,67.86,14025
14,26,59,26,44.07,33,55.93,14026
14,27,64,25,39.06,39,60.94,14027
14,28,43,19,44.19,24,55.81,14028
14,29,47,19,40.43,28,59.57,14029
14,30,39,11,28.21,28,71.79,14030
14,31,38,12,31.58,26,68.42,14031
15,1,74,15,20.27,59,79.73,15001
15,2,57,28,49.12,29,50.88,15002
15,3,57,21,36.84,36,63.16,15003
15,4,48,16,33.33,32,66.67,15004
15,5,48,20,41.67,28,58.33,15005
15,6,49,14,28.57,35,71.43,15006
15,7,38,20,52.63,18,47.37,15007
15,8,54,17,31.48,37,68.52,15008
15,9,74,26,35.14,48,64.86,15009
15,10,112,41,36.61,71,63.39,15010
15,11,69,31,44.93,38,55.07,15011
15,12,59,21,35.59,38,64.41,15012
15,13,68,24,35.29,44,64.71,15013
15,14,42,10,23.81,32,76.19,15014
15,15,53,11,20.75,42,79.25,15015
15,16,58,21,36.21,37,63.79,15016
15,17,62,26,41.94,36,58.06,15017
15,18,40,22,55.0,18,45.0,15018
15,19,72,31,43.06,41,56.94,15019
15,20,59,23,38.98,36,61.02,15020
15,21,48,20,41.67,28,58.33,15021
15,22,66,30,45.45,36,54.55,15022
15,23,76,36,47.37,40,52.63,15023
15,24,39,15,38.46,24,61.54,15024
16,1,81,31,38.27,50,61.73,16001
16,2,73,38,52.05,35,47.95,16002
16,3,59,27,45.76,32,54.24,16003
16,4,62,31,50.0,31,50.0,16004
16,5,49,21,42.86,28,57.14,16005
16,6,65,30,46.15,35,53.85,16006
16,7,71,28,39.44,43,60.56,16007
16,8,41,16,39.02,25,60.98,16008
16,9,63,28,44.44,35,55.56,16009
16,10,76,32,42.11,44,57.89,16010
16,11,55,22,40.0,33,60.0,16011
16,12,36,19,52.78,17,47.22,16012
16,13,23,9,39.13,14,60.87,16013
16,14,56,24,42.86,32,57.14,16014
16,15,64,27,42.19,37,57.81,16015
16,16,78,36,46.15,42,53.85,16016
16,17,58,28,48.28,30,51.72,16017
16,18,65,32,49.23,33,50.77,16018
16,19,69,33,47.83,36,52.17,16019
16,20,50,21,42.0,29,58.0,16020
16,21,45,26,57.78,19,42.22,16021
16,22,47,24,51.06,23,48.94,16022
16,23,43,11,25.58,32,74.42,16023
16,24,34,25,73.53,9,26.47,16024
16,25,84,41,48.81,43,51.19,16025
16,26,42,13,30.95,29,69.05,16026
16,27,31,14,45.16,17,54.84,16027
16,28,70,30,42.86,40,57.14,16028
16,29,48,22,45.83,26,54.17,16029
16,30,55,26,47.27,29,52.73,16030
16,31,61,28,45.9,33,54.1,16031
16,32,60,25,41.67,35,58.33,16032
16,33,48,19,39.58,29,60.42,16033
16,34,61,30,49.18,31,50.82,16034
16,35,51,15,29.41,36,70.59,16035
16,36,32,14,43.75,18,56.25,16036
17,1,57,27,47.37,30,52.63,17001
17,2,82,39,47.56,43,52.44,17002
17,3,102,55,53.92,47,46.08,17003
17,4,123,68,55.28,55,44.72,17004
17,5,76,43,56.58,33,43.42,17005
17,6,67,29,43.28,38,56.72,17006
17,7,60,23,38.33,37,61.67,17007
17,8,66,26,39.39,40,60.61,17008
17,9,79,48,60.76,31,39.24,17009
17,10,112,50,44.64,62,55.36,17010
17,11,58,24,41.38,34,58.62,17011
17,12,76,30,39.47,46,60.53,17012
