ward,precinct,total,Fritz Kaegi,Fritz Kaegi Percent,Kari K. Steele,Kari K. Steele Percent,precinct_id
2,38,147,104,70.75,43,29.25,02038
2,39,73,44,60.27,29,39.73,02039
2,40,157,76,48.41,81,51.59,02040
2,41,134,77,57.46,57,42.54,02041
2,42,130,74,56.92,56,43.08,02042
2,43,162,105,64.81,57,35.19,02043
2,44,171,116,67.84,55,32.16,02044
2,45,97,61,62.89,36,37.11,02045
2,46,97,60,61.86,37,38.14,02046
3,1,195,40,20.51,155,79.49,03001
3,2,279,61,21.86,218,78.14,03002
3,3,114,45,39.47,69,60.53,03003
3,4,231,51,22.08,180,77.92,03004
3,5,87,19,21.84,68,78.16,03005
3,6,258,138,53.49,120,46.51,03006
3,7,167,44,26.35,123,73.65,03007
3,8,108,17,15.74,91,84.26,03008
3,9,194,33,17.01,161,82.99,03009
3,10,72,25,34.72,47,65.28,03010
3,11,170,39,22.94,131,77.06,03011
3,12,269,70,26.02,199,73.98,03012
3,13,223,141,63.23,82,36.77,03013
3,14,182,91,50.0,91,50.0,03014
3,15,129,22,17.05,107,82.95,03015
3,16,144,34,23.61,110,76.39,03016
3,17,194,70,36.08,124,63.92,03017
3,18,227,75,33.04,152,66.96,03018
3,19,219,123,56.16,96,43.84,03019
3,20,199,63,31.66,136,68.34,03020
3,21,237,89,37.55,148,62.45,03021
3,22,225,117,52.0,108,48.0,03022
3,23,129,37,28.68,92,71.32,03023
3,24,133,27,20.3,106,79.7,03024
3,25,339,192,56.64,147,43.36,03025
3,26,252,133,52.78,119,47.22,03026
3,27,227,112,49.34,115,50.66,03027
3,28,133,32,24.06,101,75.94,03028
3,29,126,31,24.6,95,75.4,03029
3,30,180,42,23.33,138,76.67,03030
3,31,165,38,23.03,127,76.97,03031
3,32,236,108,45.76,128,54.24,03032
3,33,202,111,54.95,91,45.05,03033
3,34,252,121,48.02,131,51.98,03034
3,35,96,25,26.04,71,73.96,03035
3,36,63,15,23.81,48,76.19,03036
3,37,124,32,25.81,92,74.19,03037
3,38,187,44,23.53,143,76.47,03038
3,39,297,155,52.19,142,47.81,03039
3,40,151,59,39.07,92,60.93,03040
3,41,188,69,36.7,119,63.3,03041
4,1,270,167,61.85,103,38.15,04001
4,2,252,148,58.73,104,41.27,04002
4,3,125,30,24.0,95,76.0,04003
4,4,244,55,22.54,189,77.46,04004
4,5,223,72,32.29,151,67.71,04005
4,6,324,96,29.63,228,70.37,04006
4,7,266,85,31.95,181,68.05,04007
4,8,258,88,34.11,170,65.89,04008
4,9,348,126,36.21,222,63.79,04009
4,10,320,104,32.5,216,67.5,04010
4,11,112,34,30.36,78,69.64,04011
4,12,223,64,28.7,159,71.3,04012
4,13,126,79,62.7,47,37.3,04013
4,14,228,80,35.09,148,64.91,04014
4,15,234,59,25.21,175,74.79,04015
4,16,296,186,62.84,110,37.16,04016
4,17,233,145,62.23,88,37.77,04017
4,18,231,69,29.87,162,70.13,04018
4,19,106,27,25.47,79,74.53,04019
4,20,201,131,65.17,70,34.83,04020
4,21,175,111,63.43,64,36.57,04021
4,22,234,128,54.7,106,45.3,04022
4,23,285,185,64.91,100,35.09,04023
4,24,180,94,52.22,86,47.78,04024
4,25,266,160,60.15,106,39.85,04025
4,26,166,67,40.36,99,59.64,04026
4,27,262,135,51.53,127,48.47,04027
4,28,159,49,30.82,110,69.18,04028
4,29,197,74,37.56,123,62.44,04029
4,30,202,49,24.26,153,75.74,04030
4,31,317,123,38.8,194,61.2,04031
4,32,227,66,29.07,161,70.93,04032
4,33,185,71,38.38,114,61.62,04033
4,34,176,58,32.95,118,67.05,04034
4,35,278,85,30.58,193,69.42,04035
4,36,287,101,35.19,186,64.81,04036
4,37,337,219,64.99,118,35.01,04037
4,38,264,89,33.71,175,66.29,04038
5,1,118,32,27.12,86,72.88,05001
5,2,104,27,25.96,77,74.04,05002
5,3,195,138,70.77,57,29.23,05003
5,4,258,115,44.57,143,55.43,05004
5,5,159,47,29.56,112,70.44,05005
5,6,144,38,26.39,106,73.61,05006
5,7,198,75,37.88,123,62.12,05007
5,8,231,190,82.25,41,17.75,05008
5,9,276,132,47.83,144,52.17,05009
5,10,106,26,24.53,80,75.47,05010
5,11,229,134,58.52,95,41.48,05011
5,12,89,23,25.84,66,74.16,05012
5,13,146,26,17.81,120,82.19,05013
5,14,230,81,35.22,149,64.78,05014
5,15,187,82,43.85,105,56.15,05015
5,16,163,36,22.09,127,77.91,05016
5,17,113,30,26.55,83,73.45,05017
5,18,179,112,62.57,67,37.43,05018
5,19,234,178,76.07,56,23.93,05019
5,20,311,145,46.62,166,53.38,05020
5,21,196,123,62.76,73,37.24,05021
5,22,338,184,54.44,154,45.56,05022
5,23,350,208,59.43,142,40.57,05023
5,24,236,136,57.63,100,42.37,05024
5,25,197,86,43.65,111,56.35,05025
5,26,164,49,29.88,115,70.12,05026
5,27,174,141,81.03,33,18.97,05027
5,28,215,73,33.95,142,66.05,05028
5,29,182,57,31.32,125,68.68,05029
5,30,90,27,30.0,63,70.0,05030
5,31,103,25,24.27,78,75.73,05031
5,32,224,67,29.91,157,70.09,05032
5,33,198,43,21.72,155,78.28,05033
5,34,240,200,83.33,40,16.67,05034
5,35,281,171,60.85,110,39.15,05035
5,36,64,10,15.63,54,84.38,05036
5,37,272,190,69.85,82,30.15,05037
5,38,143,29,20.28,114,79.72,05038
5,39,208,139,66.83,69,33.17,05039
5,40,132,32,24.24,100,75.76,05040
5,41,177,91,51.41,86,48.59,05041
6,1,181,37,20.44,144,79.56,06001
6,2,210,37,17.62,173,82.38,06002
6,3,161,35,21.74,126,78.26,06003
6,4,79,18,22.78,61,77.22,06004
6,5,78,19,24.36,59,75.64,06005
6,6,168,49,29.17,119,70.83,06006
6,7,95,23,24.21,72,75.79,06007
6,8,193,49,25.39,144,74.61,06008
6,9,102,31,30.39,71,69.61,06009
6,10,64,12,18.75,52,81.25,06010
6,11,108,33,30.56,75,69.44,06011
6,12,63,15,23.81,48,76.19,06012
6,13,133,39,29.32,94,70.68,06013
6,14,141,23,16.31,118,83.69,06014
6,15,85,24,28.24,61,71.76,06015
6,16,178,50,28.09,128,71.91,06016
6,17,72,18,25.0,54,75.0,06017
6,18,96,23,23.96,73,76.04,06018
6,19,97,26,26.8,71,73.2,06019
6,20,75,23,30.67,52,69.33,06020
6,21,49,12,24.49,37,75.51,06021
6,22,62,11,17.74,51,82.26,06022
6,23,54,11,20.37,43,79.63,06023
6,24,56,15,26.79,41,73.21,06024
6,25,63,18,28.57,45,71.43,06025
6,26,67,17,25.37,50,74.63,06026
6,27,67,17,25.37,50,74.63,06027
6,28,44,8,18.18,36,81.82,06028
6,29,203,47,23.15,156,76.85,06029
6,30,89,25,28.09,64,71.91,06030
6,31,189,55,29.1,134,70.9,06031
6,32,148,36,24.32,112,75.68,06032
6,33,154,31,20.13,123,79.87,06033
6,34,143,33,23.08,110,76.92,06034
6,35,169,25,14.79,144,85.21,06035
6,36,205,41,20.0,164,80.0,06036
6,37,228,65,28.51,163,71.49,06037
6,38,195,39,20.0,156,80.0,06038
6,39,122,32,26.23,90,73.77,06039
6,40,114,34,29.82,80,70.18,06040
6,41,172,36,20.93,136,79.07,06041
6,42,128,28,21.88,100,78.13,06042
6,43,129,27,20.93,102,79.07,06043
6,44,138,29,21.01,109,78.99,06044
6,45,167,40,23.95,127,76.05,06045
6,46,109,20,18.35,89,81.65,06046
6,47,116,20,17.24,96,82.76,06047
6,48,120,32,26.67,88,73.33,06048
7,1,100,25,25.0,75,75.0,07001
7,2,98,26,26.53,72,73.47,07002
7,3,138,36,26.09,102,73.91,07003
7,4,121,35,28.93,86,71.07,07004
7,5,92,26,28.26,66,71.74,07005
7,6,180,64,35.56,116,64.44,07006
7,7,96,25,26.04,71,73.96,07007
7,8,111,31,27.93,80,72.07,07008
7,9,262,66,25.19,196,74.81,07009
7,10,185,56,30.27,129,69.73,07010
7,11,110,26,23.64,84,76.36,07011
7,12,84,21,25.0,63,75.0,07012
7,13,110,29,26.36,81,73.64,07013
7,14,121,31,25.62,90,74.38,07014
7,15,141,39,27.66,102,72.34,07015
7,16,87,21,24.14,66,75.86,07016
7,17,102,37,36.27,65,63.73,07017
7,18,105,30,28.57,75,71.43,07018
7,19,118,32,27.12,86,72.88,07019
7,20,75,19,25.33,56,74.67,07020
7,21,78,28,35.9,50,64.1,07021
7,22,100,29,29.0,71,71.0,07022
7,23,161,51,31.68,110,68.32,07023
7,24,86,24,27.91,62,72.09,07024
7,25,59,22,37.29,37,62.71,07025
7,26,125,30,24.0,95,76.0,07026
7,27,109,21,19.27,88,80.73,07027
7,28,77,17,22.08,60,77.92,07028
7,29,115,35,30.43,80,69.57,07029
7,30,80,21,26.25,59,73.75,07030
7,31,66,24,36.36,42,63.64,07031
7,32,242,70,28.93,172,71.07,07032
7,33,240,66,27.5,174,72.5,07033
7,34,191,44,23.04,147,76.96,07034
7,35,121,40,33.06,81,66.94,07035
7,36,185,46,24.86,139,75.14,07036
7,37,166,56,33.73,110,66.27,07037
7,38,111,28,25.23,83,74.77,07038
7,39,121,34,28.1,87,71.9,07039
7,40,119,39,32.77,80,67.23,07040
7,41,99,22,22.22,77,77.78,07041
7,42,125,33,26.4,92,73.6,07042
7,43,125,33,26.4,92,73.6,07043
7,44,109,29,26.61,80,73.39,07044
7,45,78,22,28.21,56,71.79,07045
7,46,61,16,26.23,45,73.77,07046
8,1,101,20,19.8,81,80.2,08001
8,2,101,30,29.7,71,70.3,08002
8,3,234,52,22.22,182,77.78,08003
8,4,199,52,26.13,147,73.87,08004
8,5,214,47,21.96,167,78.04,08005
8,6,178,37,20.79,141,79.21,08006
8,7,194,60,30.93,134,69.07,08007
8,8,215,52,24.19,163,75.81,08008
8,9,93,19,20.43,74,79.57,08009
8,10,277,80,28.88,197,71.12,08010
8,11,101,20,19.8,81,80.2,08011
8,12,123,29,23.58,94,76.42,08012
8,13,143,24,16.78,119,83.22,08013
8,14,59,10,16.95,49,83.05,08014
8,15,124,22,17.74,102,82.26,08015
8,16,34,2,5.88,32,94.12,08016
8,17,159,45,28.3,114,71.7,08017
8,18,66,13,19.7,53,80.3,08018
8,19,222,58,26.13,164,73.87,08019
8,20,190,41,21.58,149,78.42,08020
8,21,169,35,20.71,134,79.29,08021
8,22,144,35,24.31,109,75.69,08022
8,23,87,20,22.99,67,77.01,08023
8,24,100,24,24.0,76,76.0,08024
8,25,126,27,21.43,99,78.57,08025
8,26,97,18,18.56,79,81.44,08026
8,27,240,59,24.58,181,75.42,08027
8,28,155,36,23.23,119,76.77,08028
8,29,193,44,22.8,149,77.2,08029
8,30,170,39,22.94,131,77.06,08030
8,31,110,27,24.55,83,75.45,08031
8,32,116,26,22.41,90,77.59,08032
8,33,114,26,22.81,88,77.19,08033
8,34,153,43,28.1,110,71.9,08034
8,35,190,40,21.05,150,78.95,08035
8,36,159,45,28.3,114,71.7,08036
8,37,145,37,25.52,108,74.48,08037
8,38,102,24,23.53,78,76.47,08038
8,39,143,34,23.78,109,76.22,08039
8,40,106,26,24.53,80,75.47,08040
8,41,146,27,18.49,119,81.51,08041
8,42,179,47,26.26,132,73.74,08042
8,43,53,10,18.87,43,81.13,08043
8,44,101,21,20.79,80,79.21,08044
8,45,68,19,27.94,49,72.06,08045
8,46,111,24,21.62,87,78.38,08046
8,47,131,30,22.9,101,77.1,08047
8,48,133,40,30.08,93,69.92,08048
8,49,153,26,16.99,127,83.01,08049
8,50,169,33,19.53,136,80.47,08050
8,51,189,41,21.69,148,78.31,08051
8,52,254,44,17.32,210,82.68,08052
8,53,78,18,23.08,60,76.92,08053
8,54,74,17,22.97,57,77.03,08054
8,55,148,26,17.57,122,82.43,08055
8,56,198,39,19.7,159,80.3,08056
9,1,129,29,22.48,100,77.52,09001
9,2,97,29,29.9,68,70.1,09002
9,3,48,14,29.17,34,70.83,09003
9,4,98,29,29.59,69,70.41,09004
9,5,152,47,30.92,105,69.08,09005
9,6,110,28,25.45,82,74.55,09006
9,7,66,14,21.21,52,78.79,09007
9,8,85,32,37.65,53,62.35,09008
9,9,167,38,22.75,129,77.25,09009
9,10,90,32,35.56,58,64.44,09010
9,11,98,28,28.57,70,71.43,09011
9,12,180,47,26.11,133,73.89,09012
9,13,174,58,33.33,116,66.67,09013
9,14,175,42,24.0,133,76.0,09014
9,15,49,6,12.24,43,87.76,09015
9,16,124,32,25.81,92,74.19,09016
9,17,58,9,15.52,49,84.48,09017
9,18,106,35,33.02,71,66.98,09018
9,19,112,40,35.71,72,64.29,09019
9,20,127,31,24.41,96,75.59,09020
9,21,103,32,31.07,71,68.93,09021
9,22,144,39,27.08,105,72.92,09022
9,23,179,32,17.88,147,82.12,09023
9,24,172,42,24.42,130,75.58,09024
9,25,128,27,21.09,101,78.91,09025
9,26,72,14,19.44,58,80.56,09026
9,27,119,36,30.25,83,69.75,09027
9,28,49,12,24.49,37,75.51,09028
9,29,67,22,32.84,45,67.16,09029
9,30,89,24,26.97,65,73.03,09030
9,31,78,20,25.64,58,74.36,09031
9,32,138,32,23.19,106,76.81,09032
9,33,86,30,34.88,56,65.12,09033
9,34,92,20,21.74,72,78.26,09034
9,35,149,40,26.85,109,73.15,09035
9,36,97,13,13.4,84,86.6,09036
9,37,206,104,50.49,102,49.51,09037
9,38,101,21,20.79,80,79.21,09038
9,39,157,44,28.03,113,71.97,09039
9,40,184,51,27.72,133,72.28,09040
9,41,109,35,32.11,74,67.89,09041
9,42,183,49,26.78,134,73.22,09042
9,43,90,19,21.11,71,78.89,09043
9,44,129,29,22.48,100,77.52,09044
9,45,92,46,50.0,46,50.0,09045
9,46,130,40,30.77,90,69.23,09046
9,47,182,45,24.73,137,75.27,09047
9,48,174,42,24.14,132,75.86,09048
9,49,180,46,25.56,134,74.44,09049
9,50,230,54,23.48,176,76.52,09050
9,51,178,39,21.91,139,78.09,09051
10,1,118,34,28.81,84,71.19,10001
10,2,81,50,61.73,31,38.27,10002
10,3,95,44,46.32,51,53.68,10003
10,4,53,22,41.51,31,58.49,10004
10,5,70,44,62.86,26,37.14,10005
10,6,76,36,47.37,40,52.63,10006
10,7,46,21,45.65,25,54.35,10007
10,8,28,9,32.14,19,67.86,10008
10,9,67,45,67.16,22,32.84,10009
10,10,94,54,57.45,40,42.55,10010
10,11,82,50,60.98,32,39.02,10011
10,12,50,28,56.0,22,44.0,10012
10,13,87,43,49.43,44,50.57,10013
10,14,98,58,59.18,40,40.82,10014
10,15,215,60,27.91,155,72.09,10015
10,16,57,32,56.14,25,43.86,10016
10,17,126,78,61.9,48,38.1,10017
10,18,44,20,45.45,24,54.55,10018
10,19,63,38,60.32,25,39.68,10019
10,20,83,45,54.22,38,45.78,10020
10,21,73,47,64.38,26,35.62,10021
10,22,27,14,51.85,13,48.15,10022
10,23,71,40,56.34,31,43.66,10023
10,24,73,33,45.21,40,54.79,10024
10,25,36,14,38.89,22,61.11,10025
10,26,58,25,43.1,33,56.9,10026
10,27,60,26,43.33,34,56.67,10027
10,28,84,53,63.1,31,36.9,10028
10,29,67,41,61.19,26,38.81,10029
10,30,58,41,70.69,17,29.31,10030
10,31,51,30,58.82,21,41.18,10031
10,32,72,43,59.72,29,40.28,10032
10,33,58,32,55.17,26,44.83,10033
10,34,39,15,38.46,24,61.54,10034
10,35,103,69,66.99,34,33.01,10035
10,36,35,10,28.57,25,71.43,10036
11,1,148,102,68.92,46,31.08,11001
11,2,5,3,60.0,2,40.0,11002
11,3,164,107,65.24,57,34.76,11003
11,4,117,85,72.65,32,27.35,11004
11,5,157,100,63.69,57,36.31,11005
11,6,208,120,57.69,88,42.31,11006
11,7,92,55,59.78,37,40.22,11007
11,8,123,74,60.16,49,39.84,11008
11,9,104,67,64.42,37,35.58,11009
11,10,99,64,64.65,35,35.35,11010
11,11,122,65,53.28,57,46.72,11011
11,12,150,90,60.0,60,40.0,11012
11,13,141,87,61.7,54,38.3,11013
11,14,53,29,54.72,24,45.28,11014
11,15,57,34,59.65,23,40.35,11015
11,16,87,60,68.97,27,31.03,11016
11,17,197,135,68.53,62,31.47,11017
11,18,104,64,61.54,40,38.46,11018
11,19,196,135,68.88,61,31.12,11019
11,20,98,68,69.39,30,30.61,11020
11,21,212,141,66.51,71,33.49,11021
11,22,157,102,64.97,55,35.03,11022
11,23,90,61,67.78,29,32.22,11023
11,24,231,158,68.4,73,31.6,11024
11,25,178,115,64.61,63,35.39,11025
11,26,164,123,75.0,41,25.0,11026
11,27,40,26,65.0,14,35.0,11027
11,28,54,27,50.0,27,50.0,11028
11,29,159,115,72.33,44,27.67,11029
11,30,75,52,69.33,23,30.67,11030
11,31,127,77,60.63,50,39.37,11031
11,32,67,45,67.16,22,32.84,11032
11,33,152,76,50.0,76,50.0,11033
11,34,56,33,58.93,23,41.07,11034
11,35,39,26,66.67,13,33.33,11035
11,36,46,33,71.74,13,28.26,11036
11,37,38,21,55.26,17,44.74,11037
11,38,74,45,60.81,29,39.19,11038
12,1,122,87,71.31,35,28.69,12001
12,2,72,42,58.33,30,41.67,12002
12,3,177,109,61.58,68,38.42,12003
12,4,134,86,64.18,48,35.82,12004
12,5,117,79,67.52,38,32.48,12005
12,6,120,66,55.0,54,45.0,12006
12,7,71,55,77.46,16,22.54,12007
12,8,121,80,66.12,41,33.88,12008
12,9,88,58,65.91,30,34.09,12009
12,10,99,57,57.58,42,42.42,12010
12,11,62,32,51.61,30,48.39,12011
12,12,75,48,64.0,27,36.0,12012
12,13,84,47,55.95,37,44.05,12013
12,14,69,41,59.42,28,40.58,12014
12,15,68,45,66.18,23,33.82,12015
12,16,37,26,70.27,11,29.73,12016
12,17,77,46,59.74,31,40.26,12017
12,18,45,24,53.33,21,46.67,12018
12,19,89,63,70.79,26,29.21,12019
12,20,83,44,53.01,39,46.99,12020
12,21,101,57,56.44,44,43.56,12021
12,22,72,42,58.33,30,41.67,12022
12,23,131,91,69.47,40,30.53,12023
13,1,97,58,59.79,39,40.21,13001
13,2,87,58,66.67,29,33.33,13002
13,3,39,30,76.92,9,23.08,13003
13,4,86,55,63.95,31,36.05,13004
13,5,60,35,58.33,25,41.67,13005
13,6,108,72,66.67,36,33.33,13006
13,7,47,32,68.09,15,31.91,13007
13,8,59,38,64.41,21,35.59,13008
13,9,64,35,54.69,29,45.31,13009
13,10,88,50,56.82,38,43.18,13010
13,11,106,62,58.49,44,41.51,13011
13,12,69,39,56.52,30,43.48,13012
13,13,83,52,62.65,31,37.35,13013
13,14,83,48,57.83,35,42.17,13014
13,15,88,61,69.32,27,30.68,13015
13,16,44,27,61.36,17,38.64,13016
13,17,87,53,60.92,34,39.08,13017
13,18,76,45,59.21,31,40.79,13018
13,19,63,30,47.62,33,52.38,13019
13,20,59,36,61.02,23,38.98,13020
13,21,119,75,63.03,44,36.97,13021
13,22,103,70,67.96,33,32.04,13022
13,23,62,37,59.68,25,40.32,13023
13,24,73,59,80.82,14,19.18,13024
13,25,58,35,60.34,23,39.66,13025
13,26,84,62,73.81,22,26.19,13026
13,27,80,51,63.75,29,36.25,13027
13,28,61,34,55.74,27,44.26,13028
13,29,51,41,80.39,10,19.61,13029
13,30,38,26,68.42,12,31.58,13030
13,31,110,77,70.0,33,30.0,13031
13,32,77,44,57.14,33,42.86,13032
13,33,103,66,64.08,37,35.92,13033
13,34,69,43,62.32,26,37.68,13034
13,35,69,48,69.57,21,30.43,13035
13,36,33,18,54.55,15,45.45,13036
13,37,140,53,37.86,87,62.14,13037
13,38,71,45,63.38,26,36.62,13038
13,39,73,56,76.71,17,23.29,13039
13,40,48,27,56.25,21,43.75,13040
13,41,83,45,54.22,38,45.78,13041
13,42,113,69,61.06,44,38.94,13042
13,43,90,56,62.22,34,37.78,13043
13,44,60,44,73.33,16,26.67,13044
13,45,82,48,58.54,34,41.46,13045
13,46,63,32,50.79,31,49.21,13046
13,47,88,57,64.77,31,35.23,13047
13,48,86,61,70.93,25,29.07,13048
14,1,134,72,53.73,62,46.27,14001
14,2,82,53,64.63,29,35.37,14002
14,3,50,28,56.0,22,44.0,14003
14,4,73,47,64.38,26,35.62,14004
14,5,64,39,60.94,25,39.06,14005
14,6,23,15,65.22,8,34.78,14006
14,7,78,42,53.85,36,46.15,14007
14,8,70,44,62.86,26,37.14,14008
14,9,86,55,63.95,31,36.05,14009
14,10,48,31,64.58,17,35.42,14010
14,11,27,13,48.15,14,51.85,14011
14,12,78,56,71.79,22,28.21,14012
14,13,69,40,57.97,29,42.03,14013
14,14,69,43,62.32,26,37.68,14014
14,15,48,28,58.33,20,41.67,14015
14,16,60,37,61.67,23,38.33,14016
14,17,35,24,68.57,11,31.43,14017
14,18,35,21,60.0,14,40.0,14018
14,19,64,34,53.13,30,46.88,14019
14,20,51,35,68.63,16,31.37,14020
14,21,41,20,48.78,21,51.22,14021
14,22,94,57,60.64,37,39.36,14022
14,23,62,35,56.45,27,43.55,14023
14,24,109,69,63.3,40,36.7,14024
14,25,34,21,61.76,13,38.24,14025
14,26,58,31,53.45,27,46.55,14026
14,27,65,36,55.38,29,44.62,14027
14,28,45,28,62.22,17,37.78,14028
14,29,50,32,64.0,18,36.0,14029
14,30,41,27,65.85,14,34.15,14030
14,31,42,25,59.52,17,40.48,14031
15,1,75,41,54.67,34,45.33,15001
15,2,57,11,19.3,46,80.7,15002
15,3,69,14,20.29,55,79.71,15003
15,4,51,34,66.67,17,33.33,15004
15,5,47,28,59.57,19,40.43,15005
15,6,54,24,44.44,30,55.56,15006
15,7,48,12,25.0,36,75.0,15007
15,8,56,31,55.36,25,44.64,15008
15,9,75,36,48.0,39,52.0,15009
15,10,116,73,62.93,43,37.07,15010
15,11,72,37,51.39,35,48.61,15011
15,12,67,37,55.22,30,44.78,15012
15,13,71,35,49.3,36,50.7,15013
15,14,45,29,64.44,16,35.56,15014
15,15,47,23,48.94,24,51.06,15015
15,16,62,26,41.94,36,58.06,15016
15,17,77,12,15.58,65,84.42,15017
15,18,51,16,31.37,35,68.63,15018
15,19,81,34,41.98,47,58.02,15019
15,20,68,17,25.0,51,75.0,15020
15,21,57,15,26.32,42,73.68,15021
15,22,71,22,30.99,49,69.01,15022
15,23,87,17,19.54,70,80.46,15023
15,24,49,13,26.53,36,73.47,15024
16,1,80,50,62.5,30,37.5,16001
16,2,79,20,25.32,59,74.68,16002
16,3,60,12,20.0,48,80.0,16003
16,4,68,11,16.18,57,83.82,16004
16,5,59,8,13.56,51,86.44,16005
16,6,75,20,26.67,55,73.33,16006
16,7,75,23,30.67,52,69.33,16007
16,8,44,14,31.82,30,68.18,16008
16,9,71,12,16.9,59,83.1,16009
16,10,80,16,20.0,64,80.0,16010
16,11,56,17,30.36,39,69.64,16011
16,12,45,15,33.33,30,66.67,16012
16,13,24,3,12.5,21,87.5,16013
16,14,57,13,22.81,44,77.19,16014
16,15,73,18,24.66,55,75.34,16015
16,16,87,20,22.99,67,77.01,16016
16,17,62,23,37.1,39,62.9,16017
16,18,67,16,23.88,51,76.12,16018
16,19,73,30,41.1,43,58.9,16019
16,20,59,19,32.2,40,67.8,16020
16,21,53,15,28.3,38,71.7,16021
16,22,52,16,30.77,36,69.23,16022
16,23,46,20,43.48,26,56.52,16023
16,24,39,14,35.9,25,64.1,16024
16,25,93,15,16.13,78,83.87,16025
16,26,54,13,24.07,41,75.93,16026
16,27,39,7,17.95,32,82.05,16027
16,28,88,10,11.36,78,88.64,16028
16,29,56,10,17.86,46,82.14,16029
16,30,58,16,27.59,42,72.41,16030
16,31,68,22,32.35,46,67.65,16031
16,32,62,27,43.55,35,56.45,16032
16,33,57,18,31.58,39,68.42,16033
16,34,73,13,17.81,60,82.19,16034
16,35,56,22,39.29,34,60.71,16035
16,36,44,3,6.82,41,93.18,16036
17,1,63,29,46.03,34,53.97,17001
17,2,100,16,16.0,84,84.0,17002
17,3,115,36,31.3,79,68.7,17003
17,4,150,33,22.0,117,78.0,17004
17,5,85,19,22.35,66,77.65,17005
17,6,76,22,28.95,54,71.05,17006
17,7,67,25,37.31,42,62.69,17007
17,8,77,15,19.48,62,80.52,17008
17,9,94,13,13.83,81,86.17,17009
17,10,129,30,23.26,99,76.74,17010
17,11,64,17,26.56,47,73.44,17011
17,12,83,29,34.94,54,65.06,17012
17,13,82,22,26.83,60,73.17,17013
17,14,65,29,44.62,36,55.38,17014
