ward,precinct,total,Willie Preston,Willie Preston Percent,Lamont Raymond Williams,Lamont Raymond Williams Percent,precinct_id
17,31,75,49,65.33,26,34.67,17031
17,32,59,32,54.24,27,45.76,17032
17,33,45,27,60.0,18,40.0,17033
17,34,54,31,57.41,23,42.59,17034
17,35,55,27,49.09,28,50.91,17035
17,36,85,46,54.12,39,45.88,17036
17,37,103,66,64.08,37,35.92,17037
17,38,109,67,61.47,42,38.53,17038
17,39,109,57,52.29,52,47.71,17039
17,40,154,97,62.99,57,37.01,17040
17,41,148,105,70.95,43,29.05,17041
18,1,93,45,48.39,48,51.61,18001
18,2,61,28,45.9,33,54.1,18002
18,3,78,44,56.41,34,43.59,18003
18,4,172,88,51.16,84,48.84,18004
18,5,71,48,67.61,23,32.39,18005
18,6,88,35,39.77,53,60.23,18006
18,7,99,60,60.61,39,39.39,18007
18,8,170,84,49.41,86,50.59,18008
18,9,89,45,50.56,44,49.44,18009
18,10,239,149,62.34,90,37.66,18010
18,11,99,45,45.45,54,54.55,18011
18,12,138,60,43.48,78,56.52,18012
18,13,117,71,60.68,46,39.32,18013
18,14,171,91,53.22,80,46.78,18014
18,15,102,47,46.08,55,53.92,18015
18,16,139,80,57.55,59,42.45,18016
18,17,98,44,44.9,54,55.1,18017
18,18,173,93,53.76,80,46.24,18018
18,19,145,80,55.17,65,44.83,18019
18,20,94,51,54.26,43,45.74,18020
18,21,198,95,47.98,103,52.02,18021
18,22,183,97,53.01,86,46.99,18022
18,23,118,61,51.69,57,48.31,18023
18,24,54,30,55.56,24,44.44,18024
18,25,86,53,61.63,33,38.37,18025
18,26,165,66,40.0,99,60.0,18026
18,27,93,51,54.84,42,45.16,18027
18,28,81,32,39.51,49,60.49,18028
18,29,127,64,50.39,63,49.61,18029
18,30,83,38,45.78,45,54.22,18030
18,31,118,82,69.49,36,30.51,18031
18,32,156,78,50.0,78,50.0,18032
18,33,86,55,63.95,31,36.05,18033
18,35,185,90,48.65,95,51.35,18035
18,36,87,53,60.92,34,39.08,18036
18,37,199,106,53.27,93,46.73,18037
18,38,126,77,61.11,49,38.89,18038
18,39,82,49,59.76,33,40.24,18039
18,40,120,51,42.5,69,57.5,18040
18,41,200,76,38.0,124,62.0,18041
18,42,88,55,62.5,33,37.5,18042
18,43,38,21,55.26,17,44.74,18043
18,44,71,35,49.3,36,50.7,18044
18,45,81,45,55.56,36,44.44,18045
18,46,85,50,58.82,35,41.18,18046
18,47,79,40,50.63,39,49.37,18047
18,48,69,25,36.23,44,63.77,18048
18,49,68,21,30.88,47,69.12,18049
18,50,83,46,55.42,37,44.58,18050
19,56,226,98,43.36,128,56.64,19056
20,8,16,8,50.0,8,50.0,20008
21,2,69,42,60.87,27,39.13,21002
21,4,123,79,64.23,44,35.77,21004
21,7,174,78,44.83,96,55.17,21007
21,9,171,89,52.05,82,47.95,21009
21,11,120,58,48.33,62,51.67,21011
21,13,106,70,66.04,36,33.96,21013
21,15,107,61,57.01,46,42.99,21015
21,17,42,19,45.24,23,54.76,21017
21,20,137,84,61.31,53,38.69,21020
21,26,82,59,71.95,23,28.05,21026
21,28,144,87,60.42,57,39.58,21028
21,29,96,67,69.79,29,30.21,21029
21,30,101,60,59.41,41,40.59,21030
21,33,80,44,55.0,36,45.0,21033
21,34,45,25,55.56,20,44.44,21034
21,43,136,93,68.38,43,31.62,21043
21,44,71,34,47.89,37,52.11,21044
21,47,102,75,73.53,27,26.47,21047
21,48,15,11,73.33,4,26.67,21048
21,51,158,93,58.86,65,41.14,21051
21,52,152,100,65.79,52,34.21,21052
21,53,7,4,57.14,3,42.86,21053
21,54,116,55,47.41,61,52.59,21054
