ward,precinct,total,Araceli R. De La Cruz,Araceli R. De La Cruz Percent,Jacqueline Marie Griffin,Jacqueline Marie Griffin Percent,Dan Balanoff,Dan Balanoff Percent,precinct_id
2,7,112,78,69.64,9,8.04,25,22.32,02007
2,8,156,103,66.03,19,12.18,34,21.79,02008
2,9,136,78,57.35,38,27.94,20,14.71,02009
2,10,132,67,50.76,46,34.85,19,14.39,02010
2,11,166,104,62.65,38,22.89,24,14.46,02011
2,12,113,65,57.52,36,31.86,12,10.62,02012
2,13,166,107,64.46,37,22.29,22,13.25,02013
2,14,178,93,52.25,26,14.61,59,33.15,02014
2,15,138,89,64.49,25,18.12,24,17.39,02015
2,16,163,95,58.28,30,18.4,38,23.31,02016
2,17,227,115,50.66,42,18.5,70,30.84,02017
2,18,129,80,62.02,33,25.58,16,12.4,02018
2,19,111,74,66.67,27,24.32,10,9.01,02019
2,20,132,83,62.88,27,20.45,22,16.67,02020
2,21,179,92,51.4,27,15.08,60,33.52,02021
2,22,155,87,56.13,42,27.1,26,16.77,02022
2,23,121,68,56.2,32,26.45,21,17.36,02023
2,24,125,65,52.0,40,32.0,20,16.0,02024
2,25,187,121,64.71,34,18.18,32,17.11,02025
2,26,113,72,63.72,26,23.01,15,13.27,02026
2,27,92,52,56.52,25,27.17,15,16.3,02027
2,28,141,85,60.28,37,26.24,19,13.48,02028
2,29,133,76,57.14,37,27.82,20,15.04,02029
2,30,112,64,57.14,29,25.89,19,16.96,02030
2,31,181,109,60.22,39,21.55,33,18.23,02031
2,32,78,43,55.13,24,30.77,11,14.1,02032
2,33,187,104,55.61,62,33.16,21,11.23,02033
2,34,141,89,63.12,37,26.24,15,10.64,02034
2,35,166,98,59.04,50,30.12,18,10.84,02035
2,36,142,84,59.15,38,26.76,20,14.08,02036
2,37,162,96,59.26,43,26.54,23,14.2,02037
2,38,119,76,63.87,32,26.89,11,9.24,02038
2,39,67,34,50.75,23,34.33,10,14.93,02039
2,40,146,89,60.96,38,26.03,19,13.01,02040
2,41,125,68,54.4,36,28.8,21,16.8,02041
2,42,121,66,54.55,39,32.23,16,13.22,02042
2,43,144,89,61.81,30,20.83,25,17.36,02043
2,44,147,99,67.35,32,21.77,16,10.88,02044
2,45,91,52,57.14,27,29.67,12,13.19,02045
2,46,83,53,63.86,18,21.69,12,14.46,02046
3,1,173,47,27.17,109,63.01,17,9.83,03001
3,2,246,68,27.64,157,63.82,21,8.54,03002
3,3,105,51,48.57,47,44.76,7,6.67,03003
3,4,215,87,40.47,117,54.42,11,5.12,03004
3,5,83,20,24.1,53,63.86,10,12.05,03005
3,6,225,138,61.33,60,26.67,27,12.0,03006
3,7,143,43,30.07,89,62.24,11,7.69,03007
3,8,97,29,29.9,58,59.79,10,10.31,03008
3,9,183,75,40.98,90,49.18,18,9.84,03009
3,10,60,22,36.67,36,60.0,2,3.33,03010
3,11,153,63,41.18,75,49.02,15,9.8,03011
3,12,234,81,34.62,132,56.41,21,8.97,03012
3,13,201,115,57.21,52,25.87,34,16.92,03013
3,14,176,104,59.09,58,32.95,14,7.95,03014
3,15,120,41,34.17,63,52.5,16,13.33,03015
3,16,124,43,34.68,75,60.48,6,4.84,03016
3,17,167,82,49.1,61,36.53,24,14.37,03017
3,18,207,85,41.06,109,52.66,13,6.28,03018
3,19,199,131,65.83,47,23.62,21,10.55,03019
3,20,168,54,32.14,103,61.31,11,6.55,03020
3,21,208,102,49.04,86,41.35,20,9.62,03021
3,22,208,124,59.62,53,25.48,31,14.9,03022
3,23,102,27,26.47,66,64.71,9,8.82,03023
3,24,112,36,32.14,67,59.82,9,8.04,03024
3,25,295,168,56.95,91,30.85,36,12.2,03025
3,26,218,143,65.6,55,25.23,20,9.17,03026
3,27,197,120,60.91,56,28.43,21,10.66,03027
3,28,121,36,29.75,77,63.64,8,6.61,03028
3,29,115,43,37.39,65,56.52,7,6.09,03029
3,30,154,52,33.77,87,56.49,15,9.74,03030
3,31,151,60,39.74,76,50.33,15,9.93,03031
3,32,206,113,54.85,66,32.04,27,13.11,03032
3,33,184,117,63.59,49,26.63,18,9.78,03033
3,34,223,117,52.47,79,35.43,27,12.11,03034
3,35,84,35,41.67,43,51.19,6,7.14,03035
3,36,60,15,25.0,41,68.33,4,6.67,03036
3,37,115,38,33.04,67,58.26,10,8.7,03037
3,38,162,50,30.86,101,62.35,11,6.79,03038
3,39,285,179,62.81,71,24.91,35,12.28,03039
3,40,144,63,43.75,71,49.31,10,6.94,03040
3,41,147,64,43.54,59,40.14,24,16.33,03041
4,1,260,145,55.77,63,24.23,52,20.0,04001
4,2,239,161,67.36,60,25.1,18,7.53,04002
4,3,109,31,28.44,69,63.3,9,8.26,04003
4,4,211,74,35.07,120,56.87,17,8.06,04004
4,5,201,96,47.76,78,38.81,27,13.43,04005
4,6,288,112,38.89,152,52.78,24,8.33,04006
4,7,238,106,44.54,101,42.44,31,13.03,04007
4,8,232,98,42.24,117,50.43,17,7.33,04008
4,9,306,142,46.41,141,46.08,23,7.52,04009
4,10,283,119,42.05,133,47.0,31,10.95,04010
4,11,97,39,40.21,54,55.67,4,4.12,04011
4,12,200,96,48.0,88,44.0,16,8.0,04012
4,13,122,79,64.75,31,25.41,12,9.84,04013
4,14,201,89,44.28,94,46.77,18,8.96,04014
4,15,216,81,37.5,120,55.56,15,6.94,04015
4,16,278,191,68.71,59,21.22,28,10.07,04016
4,17,222,151,68.02,41,18.47,30,13.51,04017
4,18,208,68,32.69,117,56.25,23,11.06,04018
4,19,88,23,26.14,58,65.91,7,7.95,04019
4,20,186,114,61.29,39,20.97,33,17.74,04020
4,21,158,100,63.29,34,21.52,24,15.19,04021
4,22,197,100,50.76,64,32.49,33,16.75,04022
4,23,261,151,57.85,65,24.9,45,17.24,04023
4,24,166,86,51.81,55,33.13,25,15.06,04024
4,25,240,158,65.83,53,22.08,29,12.08,04025
4,26,148,61,41.22,73,49.32,14,9.46,04026
4,27,246,140,56.91,72,29.27,34,13.82,04027
4,28,142,49,34.51,76,53.52,17,11.97,04028
4,29,186,77,41.4,88,47.31,21,11.29,04029
4,30,183,71,38.8,103,56.28,9,4.92,04030
4,31,280,128,45.71,126,45.0,26,9.29,04031
4,32,214,104,48.6,88,41.12,22,10.28,04032
4,33,157,72,45.86,65,41.4,20,12.74,04033
4,34,159,84,52.83,70,44.03,5,3.14,04034
4,35,250,98,39.2,134,53.6,18,7.2,04035
4,36,254,111,43.7,124,48.82,19,7.48,04036
4,37,319,204,63.95,74,23.2,41,12.85,04037
4,38,243,110,45.27,116,47.74,17,7.0,04038
5,1,108,39,36.11,58,53.7,11,10.19,05001
5,2,93,25,26.88,59,63.44,9,9.68,05002
5,3,175,94,53.71,39,22.29,42,24.0,05003
5,4,229,114,49.78,77,33.62,38,16.59,05004
5,5,130,43,33.08,76,58.46,11,8.46,05005
5,6,126,33,26.19,75,59.52,18,14.29,05006
5,7,180,91,50.56,74,41.11,15,8.33,05007
5,8,217,146,67.28,25,11.52,46,21.2,05008
5,9,248,122,49.19,89,35.89,37,14.92,05009
5,10,99,34,34.34,59,59.6,6,6.06,05010
5,11,205,116,56.59,57,27.8,32,15.61,05011
5,12,77,20,25.97,49,63.64,8,10.39,05012
5,13,126,43,34.13,70,55.56,13,10.32,05013
5,14,196,74,37.76,97,49.49,25,12.76,05014
5,15,157,71,45.22,58,36.94,28,17.83,05015
5,16,150,50,33.33,87,58.0,13,8.67,05016
5,17,106,36,33.96,62,58.49,8,7.55,05017
5,18,164,92,56.1,43,26.22,29,17.68,05018
5,19,210,123,58.57,45,21.43,42,20.0,05019
5,20,271,147,54.24,94,34.69,30,11.07,05020
5,21,180,96,53.33,55,30.56,29,16.11,05021
5,22,301,188,62.46,79,26.25,34,11.3,05022
5,23,311,167,53.7,76,24.44,68,21.86,05023
5,24,218,114,52.29,62,28.44,42,19.27,05024
5,25,174,71,40.8,75,43.1,28,16.09,05025
5,26,141,47,33.33,82,58.16,12,8.51,05026
5,27,157,103,65.61,13,8.28,41,26.11,05027
5,28,182,74,40.66,95,52.2,13,7.14,05028
5,29,165,75,45.45,80,48.48,10,6.06,05029
5,30,87,33,37.93,50,57.47,4,4.6,05030
5,31,98,46,46.94,44,44.9,8,8.16,05031
5,32,215,83,38.6,121,56.28,11,5.12,05032
5,33,176,56,31.82,108,61.36,12,6.82,05033
5,34,222,157,70.72,33,14.86,32,14.41,05034
5,35,264,158,59.85,66,25.0,40,15.15,05035
5,36,58,19,32.76,36,62.07,3,5.17,05036
5,37,245,129,52.65,56,22.86,60,24.49,05037
5,38,131,40,30.53,85,64.89,6,4.58,05038
5,39,187,110,58.82,49,26.2,28,14.97,05039
5,40,125,42,33.6,70,56.0,13,10.4,05040
5,41,149,85,57.05,47,31.54,17,11.41,05041
6,1,158,37,23.42,110,69.62,11,6.96,06001
6,2,188,61,32.45,115,61.17,12,6.38,06002
6,3,138,45,32.61,83,60.14,10,7.25,06003
6,4,74,23,31.08,44,59.46,7,9.46,06004
6,5,73,18,24.66,52,71.23,3,4.11,06005
6,6,151,50,33.11,81,53.64,20,13.25,06006
6,7,89,29,32.58,55,61.8,5,5.62,06007
6,8,173,55,31.79,103,59.54,15,8.67,06008
6,9,89,23,25.84,59,66.29,7,7.87,06009
6,10,60,19,31.67,37,61.67,4,6.67,06010
6,11,99,33,33.33,57,57.58,9,9.09,06011
6,12,59,20,33.9,37,62.71,2,3.39,06012
6,13,123,44,35.77,71,57.72,8,6.5,06013
6,14,130,38,29.23,80,61.54,12,9.23,06014
6,15,69,19,27.54,44,63.77,6,8.7,06015
6,16,151,52,34.44,88,58.28,11,7.28,06016
6,17,66,18,27.27,45,68.18,3,4.55,06017
6,18,83,23,27.71,51,61.45,9,10.84,06018
6,19,78,25,32.05,45,57.69,8,10.26,06019
6,20,72,25,34.72,41,56.94,6,8.33,06020
6,21,46,10,21.74,33,71.74,3,6.52,06021
6,22,53,15,28.3,35,66.04,3,5.66,06022
6,23,46,14,30.43,29,63.04,3,6.52,06023
6,24,51,12,23.53,35,68.63,4,7.84,06024
6,25,59,18,30.51,36,61.02,5,8.47,06025
6,26,61,16,26.23,41,67.21,4,6.56,06026
6,27,63,21,33.33,37,58.73,5,7.94,06027
6,28,38,9,23.68,26,68.42,3,7.89,06028
6,29,175,63,36.0,93,53.14,19,10.86,06029
6,30,85,25,29.41,52,61.18,8,9.41,06030
6,31,172,78,45.35,86,50.0,8,4.65,06031
6,32,126,24,19.05,88,69.84,14,11.11,06032
6,33,139,48,34.53,84,60.43,7,5.04,06033
6,34,131,44,33.59,80,61.07,7,5.34,06034
6,35,154,47,30.52,96,62.34,11,7.14,06035
6,36,185,65,35.14,110,59.46,10,5.41,06036
6,37,210,82,39.05,110,52.38,18,8.57,06037
6,38,165,64,38.79,91,55.15,10,6.06,06038
6,39,108,36,33.33,62,57.41,10,9.26,06039
6,40,102,33,32.35,59,57.84,10,9.8,06040
6,41,152,51,33.55,90,59.21,11,7.24,06041
6,42,117,35,29.91,75,64.1,7,5.98,06042
6,43,118,38,32.2,67,56.78,13,11.02,06043
6,44,123,37,30.08,77,62.6,9,7.32,06044
6,45,151,55,36.42,88,58.28,8,5.3,06045
6,46,101,36,35.64,58,57.43,7,6.93,06046
6,47,103,26,25.24,68,66.02,9,8.74,06047
6,48,111,40,36.04,63,56.76,8,7.21,06048
7,1,91,36,39.56,47,51.65,8,8.79,07001
7,2,94,24,25.53,64,68.09,6,6.38,07002
7,3,125,46,36.8,64,51.2,15,12.0,07003
7,4,117,47,40.17,59,50.43,11,9.4,07004
7,5,86,27,31.4,47,54.65,12,13.95,07005
7,6,168,66,39.29,85,50.6,17,10.12,07006
7,7,90,27,30.0,57,63.33,6,6.67,07007
7,8,101,43,42.57,50,49.5,8,7.92,07008
7,9,233,76,32.62,143,61.37,14,6.01,07009
7,10,171,60,35.09,99,57.89,12,7.02,07010
7,11,96,29,30.21,59,61.46,8,8.33,07011
7,12,74,19,25.68,42,56.76,13,17.57,07012
7,13,104,28,26.92,64,61.54,12,11.54,07013
7,14,105,31,29.52,62,59.05,12,11.43,07014
7,15,129,47,36.43,72,55.81,10,7.75,07015
7,16,79,29,36.71,47,59.49,3,3.8,07016
7,17,90,34,37.78,46,51.11,10,11.11,07017
7,18,103,25,24.27,50,48.54,28,27.18,07018
7,19,100,31,31.0,62,62.0,7,7.0,07019
7,20,66,19,28.79,43,65.15,4,6.06,07020
7,21,67,22,32.84,39,58.21,6,8.96,07021
7,22,98,35,35.71,55,56.12,8,8.16,07022
7,23,140,56,40.0,76,54.29,8,5.71,07023
7,24,81,36,44.44,39,48.15,6,7.41,07024
7,25,47,23,48.94,20,42.55,4,8.51,07025
7,26,109,33,30.28,72,66.06,4,3.67,07026
7,27,97,38,39.18,54,55.67,5,5.15,07027
7,28,65,21,32.31,38,58.46,6,9.23,07028
7,29,111,43,38.74,59,53.15,9,8.11,07029
7,30,71,23,32.39,45,63.38,3,4.23,07030
7,31,59,25,42.37,28,47.46,6,10.17,07031
7,32,223,74,33.18,118,52.91,31,13.9,07032
7,33,216,60,27.78,131,60.65,25,11.57,07033
7,34,166,47,28.31,90,54.22,29,17.47,07034
7,35,106,37,34.91,56,52.83,13,12.26,07035
7,36,165,62,37.58,81,49.09,22,13.33,07036
7,37,140,51,36.43,68,48.57,21,15.0,07037
7,38,104,20,19.23,68,65.38,16,15.38,07038
7,39,110,28,25.45,70,63.64,12,10.91,07039
7,40,110,31,28.18,65,59.09,14,12.73,07040
7,41,90,21,23.33,56,62.22,13,14.44,07041
7,42,116,36,31.03,64,55.17,16,13.79,07042
7,43,112,27,24.11,67,59.82,18,16.07,07043
7,44,98,37,37.76,50,51.02,11,11.22,07044
7,45,64,15,23.44,34,53.13,15,23.44,07045
7,46,54,13,24.07,35,64.81,6,11.11,07046
8,1,95,26,27.37,62,65.26,7,7.37,08001
8,2,93,47,50.54,42,45.16,4,4.3,08002
8,3,208,74,35.58,107,51.44,27,12.98,08003
8,4,182,57,31.32,96,52.75,29,15.93,08004
8,5,184,64,34.78,99,53.8,21,11.41,08005
8,6,167,73,43.71,81,48.5,13,7.78,08006
8,7,179,83,46.37,80,44.69,16,8.94,08007
8,8,193,66,34.2,102,52.85,25,12.95,08008
8,9,82,31,37.8,45,54.88,6,7.32,08009
8,10,249,99,39.76,131,52.61,19,7.63,08010
8,11,92,35,38.04,52,56.52,5,5.43,08011
8,12,111,36,32.43,71,63.96,4,3.6,08012
8,13,135,58,42.96,70,51.85,7,5.19,08013
8,14,50,12,24.0,35,70.0,3,6.0,08014
8,15,110,34,30.91,63,57.27,13,11.82,08015
8,16,29,5,17.24,22,75.86,2,6.9,08016
8,17,131,59,45.04,60,45.8,12,9.16,08017
8,18,62,26,41.94,32,51.61,4,6.45,08018
8,19,204,70,34.31,107,52.45,27,13.24,08019
8,20,178,66,37.08,93,52.25,19,10.67,08020
8,21,162,52,32.1,97,59.88,13,8.02,08021
8,22,132,52,39.39,66,50.0,14,10.61,08022
8,23,79,33,41.77,43,54.43,3,3.8,08023
8,24,97,32,32.99,54,55.67,11,11.34,08024
8,25,121,33,27.27,70,57.85,18,14.88,08025
8,26,87,18,20.69,62,71.26,7,8.05,08026
8,27,216,75,34.72,120,55.56,21,9.72,08027
8,28,141,60,42.55,69,48.94,12,8.51,08028
8,29,176,69,39.2,95,53.98,12,6.82,08029
8,30,151,53,35.1,83,54.97,15,9.93,08030
8,31,104,30,28.85,62,59.62,12,11.54,08031
8,32,105,43,40.95,57,54.29,5,4.76,08032
8,33,105,26,24.76,67,63.81,12,11.43,08033
8,34,144,55,38.19,74,51.39,15,10.42,08034
8,35,168,62,36.9,86,51.19,20,11.9,08035
8,36,145,61,42.07,76,52.41,8,5.52,08036
8,37,131,54,41.22,68,51.91,9,6.87,08037
8,38,94,28,29.79,53,56.38,13,13.83,08038
8,39,134,52,38.81,71,52.99,11,8.21,08039
8,40,98,31,31.63,58,59.18,9,9.18,08040
8,41,126,54,42.86,60,47.62,12,9.52,08041
8,42,173,69,39.88,87,50.29,17,9.83,08042
8,43,49,13,26.53,33,67.35,3,6.12,08043
8,44,90,24,26.67,61,67.78,5,5.56,08044
8,45,58,20,34.48,34,58.62,4,6.9,08045
8,46,104,26,25.0,62,59.62,16,15.38,08046
8,47,119,57,47.9,53,44.54,9,7.56,08047
8,48,130,40,30.77,77,59.23,13,10.0,08048
8,49,140,56,40.0,71,50.71,13,9.29,08049
8,50,156,65,41.67,79,50.64,12,7.69,08050
8,51,171,62,36.26,94,54.97,15,8.77,08051
8,52,224,89,39.73,114,50.89,21,9.38,08052
8,53,70,22,31.43,40,57.14,8,11.43,08053
8,54,63,23,36.51,37,58.73,3,4.76,08054
8,55,134,43,32.09,82,61.19,9,6.72,08055
8,56,170,80,47.06,75,44.12,15,8.82,08056
9,1,116,41,35.34,65,56.03,10,8.62,09001
9,2,94,30,31.91,62,65.96,2,2.13,09002
9,3,46,17,36.96,24,52.17,5,10.87,09003
9,4,91,34,37.36,52,57.14,5,5.49,09004
9,5,138,51,36.96,70,50.72,17,12.32,09005
9,6,103,36,34.95,61,59.22,6,5.83,09006
9,7,61,17,27.87,39,63.93,5,8.2,09007
9,8,79,24,30.38,48,60.76,7,8.86,09008
9,9,154,46,29.87,101,65.58,7,4.55,09009
9,10,79,23,29.11,50,63.29,6,7.59,09010
9,11,85,25,29.41,56,65.88,4,4.71,09011
9,12,163,57,34.97,96,58.9,10,6.13,09012
9,13,152,58,38.16,78,51.32,16,10.53,09013
9,14,154,51,33.12,95,61.69,8,5.19,09014
9,15,43,9,20.93,32,74.42,2,4.65,09015
9,16,118,37,31.36,76,64.41,5,4.24,09016
9,17,58,15,25.86,41,70.69,2,3.45,09017
9,18,101,36,35.64,64,63.37,1,0.99,09018
9,19,100,43,43.0,53,53.0,4,4.0,09019
9,20,113,36,31.86,70,61.95,7,6.19,09020
9,21,100,32,32.0,63,63.0,5,5.0,09021
9,22,129,40,31.01,69,53.49,20,15.5,09022
9,23,156,65,41.67,77,49.36,14,8.97,09023
9,24,163,54,33.13,97,59.51,12,7.36,09024
9,25,114,30,26.32,72,63.16,12,10.53,09025
9,26,64,22,34.38,38,59.38,4,6.25,09026
9,27,113,47,41.59,63,55.75,3,2.65,09027
9,28,43,15,34.88,25,58.14,3,6.98,09028
9,29,56,21,37.5,30,53.57,5,8.93,09029
9,30,82,26,31.71,48,58.54,8,9.76,09030
9,31,72,24,33.33,45,62.5,3,4.17,09031
9,32,124,53,42.74,61,49.19,10,8.06,09032
9,33,78,23,29.49,55,70.51,0,0.0,09033
9,34,85,22,25.88,56,65.88,7,8.24,09034
9,35,140,69,49.29,62,44.29,9,6.43,09035
9,36,83,21,25.3,56,67.47,6,7.23,09036
9,37,185,105,56.76,56,30.27,24,12.97,09037
9,38,100,23,23.0,68,68.0,9,9.0,09038
9,39,144,43,29.86,98,68.06,3,2.08,09039
9,40,168,58,34.52,91,54.17,19,11.31,09040
9,41,96,32,33.33,59,61.46,5,5.21,09041
9,42,169,67,39.64,91,53.85,11,6.51,09042
9,43,85,24,28.24,59,69.41,2,2.35,09043
9,44,121,29,23.97,78,64.46,14,11.57,09044
9,45,85,32,37.65,46,54.12,7,8.24,09045
9,46,121,44,36.36,72,59.5,5,4.13,09046
9,47,161,59,36.65,93,57.76,9,5.59,09047
9,48,157,47,29.94,95,60.51,15,9.55,09048
9,49,163,61,37.42,87,53.37,15,9.2,09049
9,50,200,76,38.0,117,58.5,7,3.5,09050
9,51,159,51,32.08,97,61.01,11,6.92,09051
10,1,103,47,45.63,43,41.75,13,12.62,10001
10,2,78,49,62.82,12,15.38,17,21.79,10002
10,3,89,42,47.19,25,28.09,22,24.72,10003
10,4,49,23,46.94,15,30.61,11,22.45,10004
10,5,64,31,48.44,13,20.31,20,31.25,10005
10,6,76,54,71.05,10,13.16,12,15.79,10006
10,7,42,28,66.67,4,9.52,10,23.81,10007
10,8,30,18,60.0,11,36.67,1,3.33,10008
10,9,59,29,49.15,8,13.56,22,37.29,10009
10,10,94,72,76.6,13,13.83,9,9.57,10010
10,11,82,48,58.54,7,8.54,27,32.93,10011
10,12,50,41,82.0,2,4.0,7,14.0,10012
10,13,85,56,65.88,20,23.53,9,10.59,10013
10,14,89,61,68.54,4,4.49,24,26.97,10014
10,15,206,75,36.41,111,53.88,20,9.71,10015
10,16,51,27,52.94,8,15.69,16,31.37,10016
10,17,113,63,55.75,26,23.01,24,21.24,10017
10,18,42,19,45.24,14,33.33,9,21.43,10018
10,19,61,39,63.93,6,9.84,16,26.23,10019
10,20,79,42,53.16,11,13.92,26,32.91,10020
10,21,72,53,73.61,6,8.33,13,18.06,10021
10,22,27,22,81.48,2,7.41,3,11.11,10022
10,23,66,42,63.64,6,9.09,18,27.27,10023
10,24,73,47,64.38,12,16.44,14,19.18,10024
10,25,33,19,57.58,8,24.24,6,18.18,10025
10,26,59,32,54.24,13,22.03,14,23.73,10026
10,27,56,29,51.79,23,41.07,4,7.14,10027
10,28,81,46,56.79,8,9.88,27,33.33,10028
10,29,67,48,71.64,6,8.96,13,19.4,10029
10,30,55,40,72.73,5,9.09,10,18.18,10030
10,31,50,35,70.0,6,12.0,9,18.0,10031
10,32,71,46,64.79,4,5.63,21,29.58,10032
10,33,56,40,71.43,6,10.71,10,17.86,10033
10,34,36,21,58.33,10,27.78,5,13.89,10034
10,35,104,70,67.31,8,7.69,26,25.0,10035
10,36,33,13,39.39,16,48.48,4,12.12,10036
11,1,146,78,53.42,46,31.51,22,15.07,11001
11,2,5,2,40.0,3,60.0,0,0.0,11002
11,3,153,90,58.82,17,11.11,46,30.07,11003
11,4,118,69,58.47,26,22.03,23,19.49,11004
11,5,158,77,48.73,36,22.78,45,28.48,11005
11,6,187,117,62.57,42,22.46,28,14.97,11006
11,7,89,55,61.8,27,30.34,7,7.87,11007
11,8,118,61,51.69,25,21.19,32,27.12,11008
11,9,88,40,45.45,25,28.41,23,26.14,11009
11,10,97,48,49.48,31,31.96,18,18.56,11010
11,11,118,66,55.93,30,25.42,22,18.64,11011
11,12,147,42,28.57,88,59.86,17,11.56,11012
11,13,127,42,33.07,62,48.82,23,18.11,11013
11,14,44,19,43.18,19,43.18,6,13.64,11014
11,15,57,20,35.09,25,43.86,12,21.05,11015
11,16,71,30,42.25,30,42.25,11,15.49,11016
11,17,185,102,55.14,35,18.92,48,25.95,11017
11,18,97,42,43.3,37,38.14,18,18.56,11018
11,19,194,112,57.73,28,14.43,54,27.84,11019
11,20,95,43,45.26,36,37.89,16,16.84,11020
11,21,229,54,23.58,150,65.5,25,10.92,11021
11,22,155,85,54.84,47,30.32,23,14.84,11022
11,23,83,33,39.76,34,40.96,16,19.28,11023
11,24,266,46,17.29,203,76.32,17,6.39,11024
11,25,172,92,53.49,59,34.3,21,12.21,11025
11,26,164,53,32.32,71,43.29,40,24.39,11026
11,27,39,18,46.15,12,30.77,9,23.08,11027
11,28,50,15,30.0,23,46.0,12,24.0,11028
11,29,174,58,33.33,95,54.6,21,12.07,11029
11,30,69,37,53.62,20,28.99,12,17.39,11030
11,31,116,43,37.07,62,53.45,11,9.48,11031
11,32,62,16,25.81,32,51.61,14,22.58,11032
11,33,148,87,58.78,47,31.76,14,9.46,11033
11,34,53,21,39.62,25,47.17,7,13.21,11034
11,35,36,21,58.33,10,27.78,5,13.89,11035
11,36,46,16,34.78,13,28.26,17,36.96,11036
11,37,33,17,51.52,10,30.3,6,18.18,11037
11,38,67,45,67.16,7,10.45,15,22.39,11038
12,1,117,78,66.67,17,14.53,22,18.8,12001
12,2,68,51,75.0,11,16.18,6,8.82,12002
12,3,169,110,65.09,24,14.2,35,20.71,12003
12,4,126,73,57.94,20,15.87,33,26.19,12004
12,5,114,76,66.67,25,21.93,13,11.4,12005
12,6,116,75,64.66,22,18.97,19,16.38,12006
12,7,72,53,73.61,5,6.94,14,19.44,12007
12,8,117,75,64.1,22,18.8,20,17.09,12008
12,9,86,54,62.79,20,23.26,12,13.95,12009
12,10,101,76,75.25,6,5.94,19,18.81,12010
12,11,61,51,83.61,5,8.2,5,8.2,12011
12,12,73,54,73.97,11,15.07,8,10.96,12012
12,13,88,57,64.77,13,14.77,18,20.45,12013
12,14,70,52,74.29,8,11.43,10,14.29,12014
12,15,67,48,71.64,16,23.88,3,4.48,12015
12,16,41,35,85.37,3,7.32,3,7.32,12016
12,17,75,51,68.0,9,12.0,15,20.0,12017
12,18,48,34,70.83,7,14.58,7,14.58,12018
12,19,85,61,71.76,10,11.76,14,16.47,12019
12,20,86,61,70.93,9,10.47,16,18.6,12020
12,21,100,76,76.0,12,12.0,12,12.0,12021
12,22,66,47,71.21,11,16.67,8,12.12,12022
12,23,127,85,66.93,25,19.69,17,13.39,12023
13,1,84,57,67.86,16,19.05,11,13.1,13001
13,2,75,38,50.67,22,29.33,15,20.0,13002
13,3,37,26,70.27,7,18.92,4,10.81,13003
