ward,precinct,total,Mariyana T. Spyropoulos,Mariyana T. Spyropoulos Percent,Yumeka Brown,Yumeka Brown Percent,Patricia Theresa Flynn,Patricia Theresa Flynn Percent,Frank Avila,Frank Avila Percent,Rick Garcia,Rick Garcia Percent,Cristina P. Nonato,Cristina P. Nonato Percent,Precious W. Brady-Davis,Precious W. Brady-Davis Percent,Sharon Waller,Sharon Waller Percent,precinct_id
1,30,490,132,26.94,43,8.78,51,10.41,43,8.78,35,7.14,21,4.29,81,16.53,84,17.14,01030
1,31,325,76,23.38,35,10.77,35,10.77,34,10.46,21,6.46,15,4.62,49,15.08,60,18.46,01031
1,32,383,106,27.68,31,8.09,41,10.7,33,8.62,12,3.13,22,5.74,67,17.49,71,18.54,01032
1,33,418,119,28.47,45,10.77,56,13.4,30,7.18,9,2.15,25,5.98,63,15.07,71,16.99,01033
1,34,407,106,26.04,42,10.32,33,8.11,26,6.39,17,4.18,19,4.67,82,20.15,82,20.15,01034
1,35,415,103,24.82,42,10.12,49,11.81,32,7.71,18,4.34,26,6.27,67,16.14,78,18.8,01035
1,36,493,125,25.35,60,12.17,53,10.75,40,8.11,22,4.46,32,6.49,77,15.62,84,17.04,01036
1,37,431,109,25.29,44,10.21,43,9.98,28,6.5,20,4.64,23,5.34,84,19.49,80,18.56,01037
1,38,355,91,25.63,23,6.48,31,8.73,35,9.86,18,5.07,24,6.76,67,18.87,66,18.59,01038
1,39,311,90,28.94,34,10.93,26,8.36,29,9.32,23,7.4,12,3.86,57,18.33,40,12.86,01039
1,40,305,81,26.56,45,14.75,36,11.8,28,9.18,20,6.56,17,5.57,39,12.79,39,12.79,01040
1,41,228,54,23.68,22,9.65,18,7.89,23,10.09,18,7.89,8,3.51,40,17.54,45,19.74,01041
1,42,115,27,23.48,11,9.57,9,7.83,12,10.43,8,6.96,5,4.35,20,17.39,23,20.0,01042
1,43,347,101,29.11,35,10.09,26,7.49,23,6.63,14,4.03,16,4.61,64,18.44,68,19.6,01043
1,44,346,95,27.46,38,10.98,30,8.67,19,5.49,11,3.18,11,3.18,71,20.52,71,20.52,01044
2,1,350,95,27.14,43,12.29,34,9.71,22,6.29,14,4.0,15,4.29,62,17.71,65,18.57,02001
2,2,325,79,24.31,45,13.85,66,20.31,26,8.0,19,5.85,22,6.77,23,7.08,45,13.85,02002
2,3,472,132,27.97,56,11.86,54,11.44,25,5.3,10,2.12,19,4.03,79,16.74,97,20.55,02003
2,4,411,120,29.2,36,8.76,37,9.0,29,7.06,14,3.41,21,5.11,70,17.03,84,20.44,02004
2,5,419,114,27.21,47,11.22,47,11.22,33,7.88,20,4.77,16,3.82,74,17.66,68,16.23,02005
2,6,354,97,27.4,44,12.43,33,9.32,26,7.34,13,3.67,19,5.37,62,17.51,60,16.95,02006
2,7,292,78,26.71,34,11.64,20,6.85,17,5.82,16,5.48,9,3.08,58,19.86,60,20.55,02007
2,8,366,115,31.42,55,15.03,49,13.39,24,6.56,8,2.19,17,4.64,42,11.48,56,15.3,02008
2,9,373,97,26.01,49,13.14,67,17.96,18,4.83,20,5.36,23,6.17,50,13.4,49,13.14,02009
2,10,352,99,28.13,49,13.92,73,20.74,35,9.94,15,4.26,21,5.97,24,6.82,36,10.23,02010
2,11,464,130,28.02,80,17.24,110,23.71,25,5.39,26,5.6,26,5.6,27,5.82,40,8.62,02011
2,12,294,68,23.13,61,20.75,52,17.69,20,6.8,9,3.06,13,4.42,32,10.88,39,13.27,02012
2,13,440,113,25.68,71,16.14,87,19.77,31,7.05,26,5.91,25,5.68,34,7.73,53,12.05,02013
2,14,431,123,28.54,43,9.98,46,10.67,27,6.26,13,3.02,27,6.26,75,17.4,77,17.87,02014
2,15,339,88,25.96,46,13.57,39,11.5,26,7.67,20,5.9,18,5.31,53,15.63,49,14.45,02015
2,16,421,118,28.03,56,13.3,48,11.4,14,3.33,11,2.61,25,5.94,77,18.29,72,17.1,02016
2,17,617,170,27.55,66,10.7,72,11.67,34,5.51,17,2.76,35,5.67,117,18.96,106,17.18,02017
2,18,332,84,25.3,43,12.95,52,15.66,33,9.94,14,4.22,21,6.33,38,11.45,47,14.16,02018
2,19,299,82,27.42,39,13.04,46,15.38,24,8.03,22,7.36,14,4.68,33,11.04,39,13.04,02019
2,20,338,85,25.15,49,14.5,47,13.91,21,6.21,23,6.8,12,3.55,42,12.43,59,17.46,02020
2,21,457,116,25.38,52,11.38,47,10.28,33,7.22,16,3.5,24,5.25,81,17.72,88,19.26,02021
2,22,446,110,24.66,57,12.78,84,18.83,34,7.62,25,5.61,28,6.28,48,10.76,60,13.45,02022
2,23,305,88,28.85,34,11.15,55,18.03,26,8.52,22,7.21,14,4.59,24,7.87,42,13.77,02023
2,24,314,78,24.84,33,10.51,49,15.61,30,9.55,20,6.37,25,7.96,31,9.87,48,15.29,02024
2,25,484,136,28.1,57,11.78,57,11.78,27,5.58,22,4.55,26,5.37,77,15.91,82,16.94,02025
2,26,269,65,24.16,35,13.01,49,18.22,14,5.2,15,5.58,18,6.69,34,12.64,39,14.5,02026
2,27,218,51,23.39,35,16.06,39,17.89,17,7.8,13,5.96,15,6.88,22,10.09,26,11.93,02027
2,28,314,80,25.48,44,14.01,40,12.74,27,8.6,23,7.32,16,5.1,35,11.15,49,15.61,02028
2,29,303,85,28.05,40,13.2,57,18.81,21,6.93,13,4.29,21,6.93,34,11.22,32,10.56,02029
2,30,299,77,25.75,35,11.71,59,19.73,27,9.03,13,4.35,23,7.69,23,7.69,42,14.05,02030
2,31,494,138,27.94,62,12.55,100,20.24,43,8.7,37,7.49,26,5.26,35,7.09,53,10.73,02031
2,32,217,59,27.19,37,17.05,38,17.51,12,5.53,8,3.69,11,5.07,21,9.68,31,14.29,02032
2,33,478,144,30.13,69,14.44,115,24.06,30,6.28,22,4.6,21,4.39,31,6.49,46,9.62,02033
2,34,404,110,27.23,59,14.6,78,19.31,38,9.41,22,5.45,19,4.7,25,6.19,53,13.12,02034
2,35,426,109,25.59,67,15.73,70,16.43,35,8.22,18,4.23,17,3.99,53,12.44,57,13.38,02035
2,36,362,94,25.97,50,13.81,61,16.85,31,8.56,25,6.91,21,5.8,37,10.22,43,11.88,02036
2,37,432,131,30.32,65,15.05,95,21.99,29,6.71,20,4.63,23,5.32,30,6.94,39,9.03,02037
2,38,328,88,26.83,54,16.46,69,21.04,25,7.62,19,5.79,17,5.18,20,6.1,36,10.98,02038
2,39,182,42,23.08,22,12.09,27,14.84,14,7.69,11,6.04,15,8.24,20,10.99,31,17.03,02039
2,40,366,89,24.32,49,13.39,55,15.03,30,8.2,20,5.46,21,5.74,46,12.57,56,15.3,02040
2,41,314,77,24.52,39,12.42,34,10.83,33,10.51,12,3.82,18,5.73,39,12.42,62,19.75,02041
2,42,287,84,29.27,38,13.24,39,13.59,20,6.97,15,5.23,14,4.88,36,12.54,41,14.29,02042
2,43,368,100,27.17,57,15.49,62,16.85,29,7.88,22,5.98,24,6.52,34,9.24,40,10.87,02043
2,44,352,93,26.42,52,14.77,73,20.74,29,8.24,19,5.4,16,4.55,25,7.1,45,12.78,02044
2,45,230,59,25.65,37,16.09,34,14.78,23,10.0,11,4.78,9,3.91,23,10.0,34,14.78,02045
2,46,202,55,27.23,23,11.39,28,13.86,15,7.43,5,2.48,16,7.92,26,12.87,34,16.83,02046
3,1,432,72,16.67,95,21.99,66,15.28,30,6.94,29,6.71,19,4.4,63,14.58,58,13.43,03001
3,2,614,105,17.1,149,24.27,99,16.12,26,4.23,34,5.54,35,5.7,91,14.82,75,12.21,03002
3,3,284,58,20.42,55,19.37,40,14.08,22,7.75,15,5.28,19,6.69,35,12.32,40,14.08,03003
3,4,555,84,15.14,133,23.96,74,13.33,43,7.75,33,5.95,22,3.96,95,17.12,71,12.79,03004
3,5,206,32,15.53,47,22.82,27,13.11,10,4.85,14,6.8,12,5.83,38,18.45,26,12.62,03005
3,6,537,130,24.21,85,15.83,63,11.73,55,10.24,27,5.03,37,6.89,60,11.17,80,14.9,03006
3,7,338,48,14.2,82,24.26,53,15.68,24,7.1,25,7.4,9,2.66,48,14.2,49,14.5,03007
3,8,233,35,15.02,54,23.18,27,11.59,19,8.15,18,7.73,4,1.72,45,19.31,31,13.3,03008
3,9,462,71,15.37,106,22.94,58,12.55,23,4.98,22,4.76,22,4.76,98,21.21,62,13.42,03009
3,10,166,30,18.07,33,19.88,28,16.87,11,6.63,12,7.23,9,5.42,16,9.64,27,16.27,03010
3,11,381,55,14.44,88,23.1,52,13.65,19,4.99,23,6.04,18,4.72,72,18.9,54,14.17,03011
3,12,554,90,16.25,144,25.99,66,11.91,24,4.33,29,5.23,36,6.5,86,15.52,79,14.26,03012
3,13,537,126,23.46,82,15.27,69,12.85,46,8.57,29,5.4,28,5.21,78,14.53,79,14.71,03013
3,14,415,89,21.45,75,18.07,49,11.81,35,8.43,29,6.99,31,7.47,58,13.98,49,11.81,03014
3,15,307,49,15.96,74,24.1,38,12.38,18,5.86,17,5.54,18,5.86,45,14.66,48,15.64,03015
3,16,323,51,15.79,75,23.22,46,14.24,20,6.19,14,4.33,10,3.1,64,19.81,43,13.31,03016
3,17,439,81,18.45,80,18.22,50,11.39,32,7.29,22,5.01,32,7.29,75,17.08,67,15.26,03017
3,18,510,85,16.67,101,19.8,81,15.88,39,7.65,31,6.08,27,5.29,70,13.73,76,14.9,03018
3,19,521,117,22.46,82,15.74,81,15.55,37,7.1,29,5.57,32,6.14,65,12.48,78,14.97,03019
3,20,433,65,15.01,103,23.79,55,12.7,35,8.08,28,6.47,18,4.16,63,14.55,66,15.24,03020
3,21,565,104,18.41,94,16.64,78,13.81,53,9.38,24,4.25,36,6.37,80,14.16,96,16.99,03021
3,22,549,112,20.4,79,14.39,62,11.29,50,9.11,29,5.28,39,7.1,89,16.21,89,16.21,03022
3,23,240,30,12.5,51,21.25,46,19.17,16,6.67,17,7.08,11,4.58,35,14.58,34,14.17,03023
3,24,290,48,16.55,65,22.41,33,11.38,23,7.93,17,5.86,18,6.21,48,16.55,38,13.1,03024
3,25,811,196,24.17,115,14.18,121,14.92,70,8.63,50,6.17,57,7.03,78,9.62,124,15.29,03025
3,26,593,140,23.61,101,17.03,89,15.01,39,6.58,27,4.55,36,6.07,69,11.64,92,15.51,03026
3,27,525,137,26.1,88,16.76,86,16.38,39,7.43,20,3.81,42,8.0,55,10.48,58,11.05,03027
3,28,307,46,14.98,58,18.89,45,14.66,22,7.17,21,6.84,17,5.54,48,15.64,50,16.29,03028
3,29,294,53,18.03,69,23.47,47,15.99,16,5.44,20,6.8,13,4.42,41,13.95,35,11.9,03029
3,30,404,65,16.09,105,25.99,53,13.12,19,4.7,24,5.94,17,4.21,61,15.1,60,14.85,03030
3,31,381,61,16.01,103,27.03,52,13.65,24,6.3,22,5.77,16,4.2,68,17.85,35,9.19,03031
3,32,556,129,23.2,95,17.09,75,13.49,34,6.12,24,4.32,39,7.01,74,13.31,86,15.47,03032
3,33,499,122,24.45,81,16.23,70,14.03,44,8.82,23,4.61,33,6.61,55,11.02,71,14.23,03033
3,34,572,137,23.95,91,15.91,75,13.11,43,7.52,28,4.9,36,6.29,81,14.16,81,14.16,03034
3,35,216,27,12.5,54,25.0,32,14.81,16,7.41,12,5.56,7,3.24,38,17.59,30,13.89,03035
3,36,147,26,17.69,37,25.17,22,14.97,6,4.08,10,6.8,8,5.44,18,12.24,20,13.61,03036
3,37,302,50,16.56,61,20.2,51,16.89,21,6.95,19,6.29,9,2.98,52,17.22,39,12.91,03037
3,38,402,60,14.93,87,21.64,67,16.67,22,5.47,21,5.22,25,6.22,62,15.42,58,14.43,03038
3,39,729,171,23.46,105,14.4,75,10.29,50,6.86,34,4.66,55,7.54,104,14.27,135,18.52,03039
3,40,366,66,18.03,65,17.76,54,14.75,28,7.65,30,8.2,17,4.64,49,13.39,57,15.57,03040
3,41,388,50,12.89,71,18.3,54,13.92,31,7.99,46,11.86,34,8.76,45,11.6,57,14.69,03041
4,1,635,146,22.99,108,17.01,64,10.08,48,7.56,31,4.88,14,2.2,115,18.11,109,17.17,04001
4,2,650,148,22.77,90,13.85,97,14.92,47,7.23,28,4.31,47,7.23,90,13.85,103,15.85,04002
4,3,255,34,13.33,59,23.14,38,14.9,16,6.27,14,5.49,5,1.96,55,21.57,34,13.33,04003
4,4,532,69,12.97,132,24.81,79,14.85,28,5.26,28,5.26,18,3.38,91,17.11,87,16.35,04004
4,5,527,83,15.75,133,25.24,78,14.8,25,4.74,23,4.36,18,3.42,101,19.17,66,12.52,04005
4,6,744,122,16.4,157,21.1,126,16.94,48,6.45,41,5.51,24,3.23,116,15.59,110,14.78,04006
4,7,585,89,15.21,142,24.27,90,15.38,43,7.35,41,7.01,18,3.08,95,16.24,67,11.45,04007
4,8,592,105,17.74,159,26.86,101,17.06,25,4.22,31,5.24,9,1.52,90,15.2,72,12.16,04008
4,9,816,143,17.52,214,26.23,154,18.87,42,5.15,27,3.31,13,1.59,118,14.46,105,12.87,04009
4,10,744,126,16.94,186,25.0,114,15.32,49,6.59,28,3.76,22,2.96,123,16.53,96,12.9,04010
4,11,231,46,19.91,53,22.94,49,21.21,17,7.36,12,5.19,6,2.6,26,11.26,22,9.52,04011
4,12,512,89,17.38,125,24.41,85,16.6,27,5.27,29,5.66,11,2.15,76,14.84,70,13.67,04012
4,13,281,68,24.2,45,16.01,41,14.59,19,6.76,13,4.63,15,5.34,32,11.39,48,17.08,04013
4,14,525,95,18.1,129,24.57,89,16.95,31,5.9,32,6.1,10,1.9,70,13.33,69,13.14,04014
4,15,522,85,16.28,134,25.67,83,15.9,30,5.75,26,4.98,12,2.3,78,14.94,74,14.18,04015
4,16,746,176,23.59,104,13.94,90,12.06,58,7.77,36,4.83,33,4.42,112,15.01,137,18.36,04016
4,17,589,142,24.11,76,12.9,75,12.73,40,6.79,29,4.92,35,5.94,93,15.79,99,16.81,04017
4,18,491,74,15.07,99,20.16,71,14.46,31,6.31,25,5.09,14,2.85,95,19.35,82,16.7,04018
4,19,202,30,14.85,38,18.81,34,16.83,13,6.44,16,7.92,9,4.46,36,17.82,26,12.87,04019
4,20,490,128,26.12,70,14.29,76,15.51,38,7.76,19,3.88,15,3.06,62,12.65,82,16.73,04020
4,21,415,101,24.34,63,15.18,54,13.01,31,7.47,24,5.78,30,7.23,59,14.22,53,12.77,04021
4,22,549,114,20.77,121,22.04,86,15.66,25,4.55,19,3.46,13,2.37,88,16.03,83,15.12,04022
4,23,674,159,23.59,129,19.14,101,14.99,26,3.86,22,3.26,16,2.37,113,16.77,108,16.02,04023
4,24,415,86,20.72,88,21.2,60,14.46,28,6.75,23,5.54,8,1.93,65,15.66,57,13.73,04024
4,25,648,151,23.3,104,16.05,104,16.05,45,6.94,25,3.86,46,7.1,87,13.43,86,13.27,04025
4,26,357,61,17.09,84,23.53,59,16.53,22,6.16,22,6.16,6,1.68,59,16.53,44,12.32,04026
4,27,629,135,21.46,111,17.65,88,13.99,29,4.61,27,4.29,22,3.5,112,17.81,105,16.69,04027
4,28,359,55,15.32,85,23.68,61,16.99,31,8.64,16,4.46,11,3.06,48,13.37,52,14.48,04028
4,29,460,80,17.39,113,24.57,81,17.61,32,6.96,29,6.3,11,2.39,63,13.7,51,11.09,04029
4,30,451,76,16.85,102,22.62,94,20.84,23,5.1,21,4.66,14,3.1,57,12.64,64,14.19,04030
4,31,739,124,16.78,174,23.55,129,17.46,29,3.92,43,5.82,19,2.57,114,15.43,107,14.48,04031
4,32,549,90,16.39,140,25.5,76,13.84,28,5.1,27,4.92,9,1.64,99,18.03,80,14.57,04032
4,33,443,81,18.28,89,20.09,63,14.22,34,7.67,15,3.39,14,3.16,79,17.83,68,15.35,04033
4,34,365,56,15.34,94,25.75,60,16.44,20,5.48,18,4.93,16,4.38,52,14.25,49,13.42,04034
4,35,629,106,16.85,155,24.64,105,16.69,36,5.72,33,5.25,10,1.59,100,15.9,84,13.35,04035
4,36,674,113,16.77,164,24.33,91,13.5,43,6.38,36,5.34,17,2.52,120,17.8,90,13.35,04036
4,37,839,217,25.86,129,15.38,121,14.42,62,7.39,25,2.98,43,5.13,111,13.23,131,15.61,04037
4,38,638,113,17.71,158,24.76,106,16.61,36,5.64,36,5.64,16,2.51,95,14.89,78,12.23,04038
5,1,265,46,17.36,56,21.13,45,16.98,23,8.68,11,4.15,7,2.64,46,17.36,31,11.7,05001
5,2,204,22,10.78,43,21.08,32,15.69,17,8.33,19,9.31,4,1.96,37,18.14,30,14.71,05002
5,3,441,107,24.26,74,16.78,55,12.47,19,4.31,13,2.95,5,1.13,89,20.18,79,17.91,05003
5,4,595,110,18.49,130,21.85,83,13.95,28,4.71,31,5.21,18,3.03,110,18.49,85,14.29,05004
5,5,321,47,14.64,62,19.31,50,15.58,26,8.1,21,6.54,10,3.12,51,15.89,54,16.82,05005
5,6,302,36,11.92,72,23.84,39,12.91,25,8.28,16,5.3,3,0.99,64,21.19,47,15.56,05006
5,7,460,83,18.04,119,25.87,73,15.87,31,6.74,19,4.13,13,2.83,71,15.43,51,11.09,05007
5,8,558,160,28.67,93,16.67,73,13.08,27,4.84,14,2.51,20,3.58,73,13.08,98,17.56,05008
5,9,618,134,21.68,108,17.48,95,15.37,45,7.28,27,4.37,12,1.94,110,17.8,87,14.08,05009
5,10,217,26,11.98,54,24.88,34,15.67,15,6.91,21,9.68,6,2.76,30,13.82,31,14.29,05010
5,11,546,128,23.44,100,18.32,69,12.64,36,6.59,22,4.03,15,2.75,100,18.32,76,13.92,05011
5,12,172,22,12.79,38,22.09,22,12.79,15,8.72,16,9.3,5,2.91,26,15.12,28,16.28,05012
5,13,295,41,13.9,67,22.71,45,15.25,16,5.42,19,6.44,8,2.71,51,17.29,48,16.27,05013
5,14,516,72,13.95,137,26.55,80,15.5,31,6.01,25,4.84,11,2.13,88,17.05,72,13.95,05014
5,15,379,81,21.37,74,19.53,65,17.15,19,5.01,8,2.11,9,2.37,65,17.15,58,15.3,05015
5,16,369,44,11.92,76,20.6,58,15.72,24,6.5,19,5.15,15,4.07,70,18.97,63,17.07,05016
5,17,258,35,13.57,55,21.32,47,18.22,21,8.14,16,6.2,11,4.26,40,15.5,33,12.79,05017
5,18,430,100,23.26,82,19.07,54,12.56,14,3.26,16,3.72,11,2.56,83,19.3,70,16.28,05018
5,19,567,146,25.75,79,13.93,64,11.29,28,4.94,25,4.41,18,3.17,97,17.11,110,19.4,05019
5,20,726,133,18.32,144,19.83,104,14.33,46,6.34,36,4.96,23,3.17,141,19.42,99,13.64,05020
5,21,460,102,22.17,82,17.83,58,12.61,28,6.09,12,2.61,17,3.7,87,18.91,74,16.09,05021
5,22,822,191,23.24,160,19.46,114,13.87,53,6.45,36,4.38,16,1.95,129,15.69,123,14.96,05022
5,23,855,201,23.51,145,16.96,92,10.76,37,4.33,29,3.39,24,2.81,172,20.12,155,18.13,05023
5,24,542,134,24.72,93,17.16,56,10.33,26,4.8,16,2.95,14,2.58,108,19.93,95,17.53,05024
5,25,464,98,21.12,109,23.49,89,19.18,25,5.39,23,4.96,4,0.86,67,14.44,49,10.56,05025
5,26,419,63,15.04,97,23.15,74,17.66,24,5.73,23,5.49,9,2.15,77,18.38,52,12.41,05026
5,27,427,124,29.04,36,8.43,42,9.84,16,3.75,13,3.04,19,4.45,87,20.37,90,21.08,05027
5,28,479,81,16.91,112,23.38,74,15.45,28,5.85,23,4.8,15,3.13,80,16.7,66,13.78,05028
5,29,459,74,16.12,96,20.92,62,13.51,34,7.41,38,8.28,11,2.4,90,19.61,54,11.76,05029
5,30,203,33,16.26,45,22.17,43,21.18,10,4.93,13,6.4,5,2.46,25,12.32,29,14.29,05030
5,31,263,42,15.97,61,23.19,35,13.31,15,5.7,15,5.7,15,5.7,47,17.87,33,12.55,05031
5,32,578,95,16.44,141,24.39,96,16.61,39,6.75,25,4.33,14,2.42,93,16.09,75,12.98,05032
5,33,400,67,16.75,92,23.0,79,19.75,22,5.5,24,6.0,6,1.5,57,14.25,53,13.25,05033
5,34,575,157,27.3,93,16.17,80,13.91,29,5.04,20,3.48,21,3.65,82,14.26,93,16.17,05034
5,35,679,166,24.45,115,16.94,105,15.46,35,5.15,22,3.24,22,3.24,110,16.2,104,15.32,05035
5,36,123,17,13.82,26,21.14,19,15.45,8,6.5,11,8.94,4,3.25,17,13.82,21,17.07,05036
5,37,641,152,23.71,109,17.0,96,14.98,39,6.08,30,4.68,30,4.68,90,14.04,95,14.82,05037
5,38,319,34,10.66,65,20.38,51,15.99,30,9.4,16,5.02,11,3.45,60,18.81,52,16.3,05038
5,39,488,118,24.18,72,14.75,64,13.11,28,5.74,20,4.1,18,3.69,83,17.01,85,17.42,05039
5,40,323,45,13.93,77,23.84,41,12.69,20,6.19,22,6.81,8,2.48,63,19.5,47,14.55,05040
5,41,436,94,21.56,80,18.35,74,16.97,30,6.88,22,5.05,10,2.29,69,15.83,57,13.07,05041
6,1,400,63,15.75,93,23.25,63,15.75,26,6.5,19,4.75,5,1.25,71,17.75,60,15.0,06001
6,2,452,71,15.71,112,24.78,80,17.7,23,5.09,26,5.75,7,1.55,70,15.49,63,13.94,06002
6,3,331,58,17.52,71,21.45,69,20.85,22,6.65,19,5.74,9,2.72,38,11.48,45,13.6,06003
6,4,183,29,15.85,38,20.77,30,16.39,12,6.56,12,6.56,8,4.37,24,13.11,30,16.39,06004
6,5,147,24,16.33,35,23.81,20,13.61,11,7.48,8,5.44,4,2.72,19,12.93,26,17.69,06005
6,6,353,56,15.86,81,22.95,69,19.55,24,6.8,26,7.37,6,1.7,42,11.9,49,13.88,06006
6,7,221,44,19.91,51,23.08,44,19.91,12,5.43,4,1.81,5,2.26,25,11.31,36,16.29,06007
6,8,425,65,15.29,94,22.12,68,16.0,31,7.29,23,5.41,10,2.35,78,18.35,56,13.18,06008
6,9,205,31,15.12,40,19.51,22,10.73,18,8.78,15,7.32,4,1.95,40,19.51,35,17.07,06009
6,10,121,20,16.53,24,19.83,23,19.01,9,7.44,9,7.44,4,3.31,18,14.88,14,11.57,06010
6,11,242,34,14.05,63,26.03,44,18.18,17,7.02,13,5.37,3,1.24,35,14.46,33,13.64,06011
6,12,134,18,13.43,31,23.13,24,17.91,11,8.21,13,9.7,3,2.24,15,11.19,19,14.18,06012
6,13,291,42,14.43,66,22.68,41,14.09,25,8.59,20,6.87,6,2.06,41,14.09,50,17.18,06013
6,14,293,33,11.26,61,20.82,54,18.43,26,8.87,19,6.48,4,1.37,48,16.38,48,16.38,06014
6,15,159,19,11.95,30,18.87,27,16.98,13,8.18,11,6.92,5,3.14,25,15.72,29,18.24,06015
6,16,359,63,17.55,80,22.28,63,17.55,23,6.41,20,5.57,10,2.79,51,14.21,49,13.65,06016
6,17,146,26,17.81,24,16.44,21,14.38,12,8.22,11,7.53,5,3.42,23,15.75,24,16.44,06017
6,18,199,28,14.07,35,17.59,32,16.08,17,8.54,18,9.05,3,1.51,30,15.08,36,18.09,06018
6,19,190,25,13.16,44,23.16,29,15.26,14,7.37,9,4.74,2,1.05,32,16.84,35,18.42,06019
6,20,171,25,14.62,40,23.39,29,16.96,10,5.85,13,7.6,5,2.92,27,15.79,22,12.87,06020
6,21,111,9,8.11,21,18.92,19,17.12,10,9.01,12,10.81,4,3.6,16,14.41,20,18.02,06021
6,22,135,21,15.56,38,28.15,22,16.3,6,4.44,5,3.7,4,2.96,17,12.59,22,16.3,06022
6,23,101,15,14.85,21,20.79,17,16.83,9,8.91,5,4.95,2,1.98,17,16.83,15,14.85,06023
6,24,116,16,13.79,27,23.28,16,13.79,10,8.62,7,6.03,0,0.0,20,17.24,20,17.24,06024
6,25,147,23,15.65,30,20.41,22,14.97,8,5.44,11,7.48,7,4.76,25,17.01,21,14.29,06025
6,26,133,18,13.53,33,24.81,29,21.8,6,4.51,5,3.76,2,1.5,21,15.79,19,14.29,06026
6,27,144,23,15.97,30,20.83,28,19.44,10,6.94,8,5.56,5,3.47,24,16.67,16,11.11,06027
6,28,93,12,12.9,22,23.66,11,11.83,8,8.6,9,9.68,3,3.23,10,10.75,18,19.35,06028
