ward,precinct,total,John J. Cullerton,John J. Cullerton Percent,Robert Martwick,Robert Martwick Percent,precinct_id
32,40,147,91,61.9,56,38.1,32040
32,41,151,99,65.56,52,34.44,32041
32,42,125,73,58.4,52,41.6,32042
33,8,65,45,69.23,20,30.77,33008
33,10,21,15,71.43,6,28.57,33010
33,24,158,85,53.8,73,46.2,33024
38,2,122,56,45.9,66,54.1,38002
38,12,112,58,51.79,54,48.21,38012
38,13,116,41,35.34,75,64.66,38013
38,18,133,38,28.57,95,71.43,38018
38,19,163,80,49.08,83,50.92,38019
38,22,85,10,11.76,75,88.24,38022
38,25,115,38,33.04,77,66.96,38025
38,28,100,54,54.0,46,46.0,38028
38,31,6,1,16.67,5,83.33,38031
38,32,126,28,22.22,98,77.78,38032
38,36,84,24,28.57,60,71.43,38036
39,1,129,69,53.49,60,46.51,39001
39,2,121,86,71.07,35,28.93,39002
39,3,184,57,30.98,127,69.02,39003
39,4,148,84,56.76,64,43.24,39004
39,5,166,80,48.19,86,51.81,39005
39,9,111,73,65.77,38,34.23,39009
39,11,141,79,56.03,62,43.97,39011
39,13,106,63,59.43,43,40.57,39013
39,14,152,86,56.58,66,43.42,39014
39,15,146,101,69.18,45,30.82,39015
39,16,77,44,57.14,33,42.86,39016
39,17,205,126,61.46,79,38.54,39017
39,18,147,76,51.7,71,48.3,39018
39,19,162,73,45.06,89,54.94,39019
39,20,188,80,42.55,108,57.45,39020
39,21,141,72,51.06,69,48.94,39021
39,22,91,47,51.65,44,48.35,39022
39,23,147,55,37.41,92,62.59,39023
39,24,199,88,44.22,111,55.78,39024
39,25,95,41,43.16,54,56.84,39025
39,26,117,68,58.12,49,41.88,39026
39,27,26,12,46.15,14,53.85,39027
39,30,156,79,50.64,77,49.36,39030
39,32,125,77,61.6,48,38.4,39032
39,34,141,55,39.01,86,60.99,39034
39,35,159,86,54.09,73,45.91,39035
39,36,49,34,69.39,15,30.61,39036
39,37,163,103,63.19,60,36.81,39037
39,38,131,74,56.49,57,43.51,39038
39,39,88,57,64.77,31,35.23,39039
39,40,131,86,65.65,45,34.35,39040
39,41,172,71,41.28,101,58.72,39041
39,42,180,111,61.67,69,38.33,39042
39,43,141,74,52.48,67,47.52,39043
39,44,115,62,53.91,53,46.09,39044
39,45,156,90,57.69,66,42.31,39045
40,1,113,64,56.64,49,43.36,40001
40,2,151,98,64.9,53,35.1,40002
40,3,224,125,55.8,99,44.2,40003
40,5,203,95,46.8,108,53.2,40005
40,6,223,114,51.12,109,48.88,40006
40,8,283,139,49.12,144,50.88,40008
40,10,31,15,48.39,16,51.61,40010
40,12,160,92,57.5,68,42.5,40012
40,14,133,77,57.89,56,42.11,40014
40,15,124,81,65.32,43,34.68,40015
40,17,163,104,63.8,59,36.2,40017
40,19,182,121,66.48,61,33.52,40019
40,20,136,75,55.15,61,44.85,40020
40,21,252,155,61.51,97,38.49,40021
40,23,293,149,50.85,144,49.15,40023
40,24,117,70,59.83,47,40.17,40024
40,29,178,113,63.48,65,36.52,40029
40,30,144,90,62.5,54,37.5,40030
40,32,4,4,100.0,0,0.0,40032
40,34,126,71,56.35,55,43.65,40034
40,38,225,118,52.44,107,47.56,40038
41,3,134,54,40.3,80,59.7,41003
41,5,152,66,43.42,86,56.58,41005
41,6,205,126,61.46,79,38.54,41006
41,7,122,49,40.16,73,59.84,41007
41,8,121,56,46.28,65,53.72,41008
41,9,119,69,57.98,50,42.02,41009
41,11,155,90,58.06,65,41.94,41011
41,12,120,52,43.33,68,56.67,41012
41,13,128,59,46.09,69,53.91,41013
41,14,204,118,57.84,86,42.16,41014
41,15,194,85,43.81,109,56.19,41015
41,16,116,57,49.14,59,50.86,41016
41,17,121,53,43.8,68,56.2,41017
41,18,111,59,53.15,52,46.85,41018
41,19,172,94,54.65,78,45.35,41019
41,20,73,44,60.27,29,39.73,41020
41,21,147,77,52.38,70,47.62,41021
41,22,177,90,50.85,87,49.15,41022
41,23,117,63,53.85,54,46.15,41023
41,24,111,52,46.85,59,53.15,41024
41,26,127,54,42.52,73,57.48,41026
41,30,140,61,43.57,79,56.43,41030
41,31,129,68,52.71,61,47.29,41031
41,32,118,62,52.54,56,47.46,41032
41,33,125,49,39.2,76,60.8,41033
41,34,116,54,46.55,62,53.45,41034
41,35,187,94,50.27,93,49.73,41035
41,36,138,58,42.03,80,57.97,41036
41,37,160,74,46.25,86,53.75,41037
41,38,121,51,42.15,70,57.85,41038
41,39,166,103,62.05,63,37.95,41039
41,41,110,60,54.55,50,45.45,41041
41,43,133,69,51.88,64,48.12,41043
41,45,133,59,44.36,74,55.64,41045
41,46,155,80,51.61,75,48.39,41046
41,47,176,105,59.66,71,40.34,41047
42,1,176,129,73.3,47,26.7,42001
42,19,199,126,63.32,73,36.68,42019
42,22,54,39,72.22,15,27.78,42022
42,23,141,91,64.54,50,35.46,42023
42,24,129,82,63.57,47,36.43,42024
42,34,144,93,64.58,51,35.42,42034
43,2,163,94,57.67,69,42.33,43002
43,3,144,102,70.83,42,29.17,43003
43,4,134,91,67.91,43,32.09,43004
43,5,148,102,68.92,46,31.08,43005
43,6,108,69,63.89,39,36.11,43006
43,7,126,88,69.84,38,30.16,43007
43,8,107,84,78.5,23,21.5,43008
43,9,157,115,73.25,42,26.75,43009
43,10,178,110,61.8,68,38.2,43010
43,11,92,60,65.22,32,34.78,43011
43,12,88,52,59.09,36,40.91,43012
43,13,163,105,64.42,58,35.58,43013
43,14,165,121,73.33,44,26.67,43014
43,15,137,95,69.34,42,30.66,43015
43,16,161,99,61.49,62,38.51,43016
43,17,115,84,73.04,31,26.96,43017
43,18,172,117,68.02,55,31.98,43018
43,19,154,94,61.04,60,38.96,43019
43,20,194,125,64.43,69,35.57,43020
43,21,117,71,60.68,46,39.32,43021
43,22,109,66,60.55,43,39.45,43022
43,23,97,63,64.95,34,35.05,43023
43,24,133,90,67.67,43,32.33,43024
43,25,181,131,72.38,50,27.62,43025
43,26,145,93,64.14,52,35.86,43026
43,27,157,119,75.8,38,24.2,43027
43,28,144,104,72.22,40,27.78,43028
43,29,177,118,66.67,59,33.33,43029
43,30,151,108,71.52,43,28.48,43030
43,31,153,111,72.55,42,27.45,43031
43,32,131,88,67.18,43,32.82,43032
43,33,200,137,68.5,63,31.5,43033
43,34,105,66,62.86,39,37.14,43034
43,35,185,119,64.32,66,35.68,43035
43,36,66,36,54.55,30,45.45,43036
43,37,126,66,52.38,60,47.62,43037
43,38,131,84,64.12,47,35.88,43038
43,39,95,67,70.53,28,29.47,43039
43,40,107,71,66.36,36,33.64,43040
43,41,159,104,65.41,55,34.59,43041
43,42,142,97,68.31,45,31.69,43042
43,43,173,125,72.25,48,27.75,43043
43,44,140,93,66.43,47,33.57,43044
43,45,2,2,100.0,0,0.0,43045
43,46,77,47,61.04,30,38.96,43046
44,1,270,157,58.15,113,41.85,44001
44,2,159,97,61.01,62,38.99,44002
44,3,156,124,79.49,32,20.51,44003
44,4,150,107,71.33,43,28.67,44004
44,5,174,108,62.07,66,37.93,44005
44,6,179,95,53.07,84,46.93,44006
44,7,151,105,69.54,46,30.46,44007
44,8,205,120,58.54,85,41.46,44008
44,9,130,70,53.85,60,46.15,44009
44,10,139,81,58.27,58,41.73,44010
44,11,157,79,50.32,78,49.68,44011
44,12,234,158,67.52,76,32.48,44012
44,13,121,83,68.6,38,31.4,44013
44,14,154,88,57.14,66,42.86,44014
44,15,173,110,63.58,63,36.42,44015
44,16,169,99,58.58,70,41.42,44016
44,17,246,145,58.94,101,41.06,44017
44,18,169,103,60.95,66,39.05,44018
44,19,245,156,63.67,89,36.33,44019
44,20,174,92,52.87,82,47.13,44020
44,21,182,104,57.14,78,42.86,44021
44,22,178,123,69.1,55,30.9,44022
44,23,144,87,60.42,57,39.58,44023
44,24,163,113,69.33,50,30.67,44024
44,25,200,116,58.0,84,42.0,44025
44,26,201,124,61.69,77,38.31,44026
44,27,177,107,60.45,70,39.55,44027
44,28,173,108,62.43,65,37.57,44028
44,29,182,106,58.24,76,41.76,44029
44,30,184,108,58.7,76,41.3,44030
44,31,103,52,50.49,51,49.51,44031
44,32,151,78,51.66,73,48.34,44032
44,33,178,95,53.37,83,46.63,44033
44,34,197,129,65.48,68,34.52,44034
44,35,216,140,64.81,76,35.19,44035
44,36,166,88,53.01,78,46.99,44036
44,37,225,140,62.22,85,37.78,44037
44,38,147,72,48.98,75,51.02,44038
44,39,176,101,57.39,75,42.61,44039
44,40,162,104,64.2,58,35.8,44040
44,41,209,120,57.42,89,42.58,44041
45,3,186,82,44.09,104,55.91,45003
45,4,222,71,31.98,151,68.02,45004
45,5,190,72,37.89,118,62.11,45005
45,6,274,89,32.48,185,67.52,45006
45,7,266,104,39.1,162,60.9,45007
45,15,208,38,18.27,170,81.73,45015
45,16,162,30,18.52,132,81.48,45016
45,17,172,50,29.07,122,70.93,45017
45,18,164,55,33.54,109,66.46,45018
45,19,69,29,42.03,40,57.97,45019
45,20,96,36,37.5,60,62.5,45020
45,21,147,46,31.29,101,68.71,45021
45,22,108,32,29.63,76,70.37,45022
45,23,116,34,29.31,82,70.69,45023
45,24,89,38,42.7,51,57.3,45024
45,25,108,50,46.3,58,53.7,45025
45,26,76,32,42.11,44,57.89,45026
45,27,129,40,31.01,89,68.99,45027
45,28,122,36,29.51,86,70.49,45028
45,29,106,42,39.62,64,60.38,45029
45,30,129,36,27.91,93,72.09,45030
45,31,123,39,31.71,84,68.29,45031
45,32,134,42,31.34,92,68.66,45032
45,33,120,27,22.5,93,77.5,45033
45,34,147,49,33.33,98,66.67,45034
45,35,175,37,21.14,138,78.86,45035
45,36,200,63,31.5,137,68.5,45036
45,37,155,58,37.42,97,62.58,45037
45,38,134,53,39.55,81,60.45,45038
45,39,137,52,37.96,85,62.04,45039
45,40,132,60,45.45,72,54.55,45040
45,41,116,47,40.52,69,59.48,45041
45,42,158,84,53.16,74,46.84,45042
45,43,132,43,32.58,89,67.42,45043
45,44,176,71,40.34,105,59.66,45044
45,45,77,33,42.86,44,57.14,45045
45,46,87,35,40.23,52,59.77,45046
45,47,104,42,40.38,62,59.62,45047
45,48,105,46,43.81,59,56.19,45048
46,3,260,167,64.23,93,35.77,46003
46,10,191,102,53.4,89,46.6,46010
46,12,42,20,47.62,22,52.38,46012
46,16,135,71,52.59,64,47.41,46016
46,17,153,107,69.93,46,30.07,46017
46,19,154,116,75.32,38,24.68,46019
46,28,178,125,70.22,53,29.78,46028
46,30,170,99,58.24,71,41.76,46030
46,31,184,114,61.96,70,38.04,46031
46,33,219,137,62.56,82,37.44,46033
46,36,211,137,64.93,74,35.07,46036
46,39,175,112,64.0,63,36.0,46039
47,1,137,85,62.04,52,37.96,47001
47,2,190,120,63.16,70,36.84,47002
47,3,202,146,72.28,56,27.72,47003
47,4,226,137,60.62,89,39.38,47004
47,5,247,137,55.47,110,44.53,47005
47,6,213,129,60.56,84,39.44,47006
47,7,170,106,62.35,64,37.65,47007
47,8,208,140,67.31,68,32.69,47008
47,9,155,93,60.0,62,40.0,47009
47,10,284,133,46.83,151,53.17,47010
47,11,176,105,59.66,71,40.34,47011
47,12,212,127,59.91,85,40.09,47012
47,13,260,145,55.77,115,44.23,47013
47,14,195,136,69.74,59,30.26,47014
47,16,186,119,63.98,67,36.02,47016
47,17,219,148,67.58,71,32.42,47017
47,18,193,106,54.92,87,45.08,47018
47,20,216,123,56.94,93,43.06,47020
47,21,249,137,55.02,112,44.98,47021
47,22,248,145,58.47,103,41.53,47022
47,24,240,129,53.75,111,46.25,47024
47,25,246,157,63.82,89,36.18,47025
47,26,265,142,53.58,123,46.42,47026
47,27,213,128,60.09,85,39.91,47027
47,28,206,131,63.59,75,36.41,47028
47,29,210,123,58.57,87,41.43,47029
47,31,231,117,50.65,114,49.35,47031
47,33,172,106,61.63,66,38.37,47033
47,34,218,127,58.26,91,41.74,47034
47,35,145,95,65.52,50,34.48,47035
47,36,255,133,52.16,122,47.84,47036
47,37,202,103,50.99,99,49.01,47037
47,38,227,135,59.47,92,40.53,47038
47,39,267,165,61.8,102,38.2,47039
47,40,186,116,62.37,70,37.63,47040
47,41,243,135,55.56,108,44.44,47041
47,42,215,98,45.58,117,54.42,47042
47,43,172,117,68.02,55,31.98,47043
47,44,179,119,66.48,60,33.52,47044
47,45,251,162,64.54,89,35.46,47045
47,46,100,61,61.0,39,39.0,47046
47,47,217,132,60.83,85,39.17,47047
50,24,80,47,58.75,33,41.25,50024
