ward,precinct,total,Delia Ramirez,Delia Ramirez Percent,"Gilbert """"Gil"""" Villegas","Gilbert """"Gil"""" Villegas Percent",Juan Enrique Aguirre,Juan Enrique Aguirre Percent,Iymen H Chehade,Iymen H Chehade Percent,precinct_id
26,5,107,83,77.57,17,15.89,5,4.67,2,1.87,26005
26,6,76,67,88.16,7,9.21,1,1.32,1,1.32,26006
26,7,105,92,87.62,8,7.62,1,0.95,4,3.81,26007
26,8,54,36,66.67,13,24.07,2,3.7,3,5.56,26008
26,9,111,89,80.18,12,10.81,7,6.31,3,2.7,26009
26,10,62,46,74.19,7,11.29,5,8.06,4,6.45,26010
26,11,111,95,85.59,13,11.71,3,2.7,0,0.0,26011
26,12,139,115,82.73,20,14.39,2,1.44,2,1.44,26012
26,13,46,28,60.87,10,21.74,4,8.7,4,8.7,26013
26,14,91,78,85.71,8,8.79,5,5.49,0,0.0,26014
26,15,44,28,63.64,10,22.73,4,9.09,2,4.55,26015
26,16,37,24,64.86,12,32.43,1,2.7,0,0.0,26016
26,18,67,43,64.18,14,20.9,4,5.97,6,8.96,26018
26,19,46,24,52.17,17,36.96,2,4.35,3,6.52,26019
26,20,124,99,79.84,17,13.71,0,0.0,8,6.45,26020
26,22,27,17,62.96,7,25.93,2,7.41,1,3.7,26022
26,23,60,46,76.67,12,20.0,1,1.67,1,1.67,26023
26,24,88,68,77.27,11,12.5,4,4.55,5,5.68,26024
26,25,94,72,76.6,16,17.02,3,3.19,3,3.19,26025
26,26,92,68,73.91,12,13.04,4,4.35,8,8.7,26026
26,27,155,123,79.35,24,15.48,0,0.0,8,5.16,26027
26,29,74,58,78.38,10,13.51,1,1.35,5,6.76,26029
26,30,116,88,75.86,23,19.83,4,3.45,1,0.86,26030
26,31,55,48,87.27,3,5.45,0,0.0,4,7.27,26031
26,33,11,7,63.64,4,36.36,0,0.0,0,0.0,26033
26,34,146,113,77.4,28,19.18,1,0.68,4,2.74,26034
26,35,96,75,78.13,14,14.58,5,5.21,2,2.08,26035
26,36,127,97,76.38,22,17.32,3,2.36,5,3.94,26036
26,37,124,98,79.03,16,12.9,4,3.23,6,4.84,26037
26,38,55,34,61.82,15,27.27,4,7.27,2,3.64,26038
26,39,141,113,80.14,15,10.64,2,1.42,11,7.8,26039
26,40,60,49,81.67,7,11.67,0,0.0,4,6.67,26040
26,41,137,106,77.37,23,16.79,3,2.19,5,3.65,26041
26,42,108,81,75.0,22,20.37,3,2.78,2,1.85,26042
26,43,56,43,76.79,11,19.64,2,3.57,0,0.0,26043
26,44,49,40,81.63,4,8.16,4,8.16,1,2.04,26044
26,45,47,34,72.34,9,19.15,2,4.26,2,4.26,26045
26,47,50,39,78.0,8,16.0,3,6.0,0,0.0,26047
26,48,137,108,78.83,15,10.95,5,3.65,9,6.57,26048
26,49,47,29,61.7,16,34.04,1,2.13,1,2.13,26049
27,5,3,2,66.67,0,0.0,0,0.0,1,33.33,27005
27,24,54,33,61.11,14,25.93,4,7.41,3,5.56,27024
27,29,73,50,68.49,12,16.44,6,8.22,5,6.85,27029
29,1,6,2,33.33,3,50.0,0,0.0,1,16.67,29001
29,23,131,65,49.62,51,38.93,3,2.29,12,9.16,29023
29,29,129,69,53.49,43,33.33,4,3.1,13,10.08,29029
29,30,197,105,53.3,73,37.06,7,3.55,12,6.09,29030
29,31,95,46,48.42,41,43.16,7,7.37,1,1.05,29031
29,32,112,55,49.11,43,38.39,3,2.68,11,9.82,29032
29,38,105,52,49.52,39,37.14,7,6.67,7,6.67,29038
29,39,95,45,47.37,40,42.11,6,6.32,4,4.21,29039
29,43,43,15,34.88,24,55.81,1,2.33,3,6.98,29043
30,1,171,101,59.06,55,32.16,7,4.09,8,4.68,30001
30,2,107,56,52.34,38,35.51,5,4.67,8,7.48,30002
30,3,146,102,69.86,29,19.86,1,0.68,14,9.59,30003
30,4,117,63,53.85,37,31.62,5,4.27,12,10.26,30004
30,5,57,21,36.84,30,52.63,3,5.26,3,5.26,30005
30,6,101,55,54.46,37,36.63,6,5.94,3,2.97,30006
30,7,158,123,77.85,26,16.46,4,2.53,5,3.16,30007
30,8,197,153,77.66,27,13.71,4,2.03,13,6.6,30008
30,9,93,56,60.22,29,31.18,5,5.38,3,3.23,30009
30,10,122,61,50.0,48,39.34,8,6.56,5,4.1,30010
30,11,79,43,54.43,30,37.97,2,2.53,4,5.06,30011
30,12,70,39,55.71,22,31.43,6,8.57,3,4.29,30012
30,13,108,58,53.7,45,41.67,0,0.0,5,4.63,30013
30,14,58,29,50.0,21,36.21,6,10.34,2,3.45,30014
30,16,50,24,48.0,21,42.0,4,8.0,1,2.0,30016
30,17,118,59,50.0,48,40.68,4,3.39,7,5.93,30017
30,18,199,159,79.9,26,13.07,2,1.01,12,6.03,30018
30,19,76,44,57.89,25,32.89,4,5.26,3,3.95,30019
30,20,152,100,65.79,33,21.71,5,3.29,14,9.21,30020
30,21,92,42,45.65,35,38.04,6,6.52,9,9.78,30021
30,22,223,169,75.78,39,17.49,7,3.14,8,3.59,30022
30,23,144,91,63.19,41,28.47,5,3.47,7,4.86,30023
30,24,220,178,80.91,27,12.27,5,2.27,10,4.55,30024
30,25,220,167,75.91,27,12.27,8,3.64,18,8.18,30025
30,26,85,53,62.35,16,18.82,9,10.59,7,8.24,30026
30,27,89,63,70.79,17,19.1,2,2.25,7,7.87,30027
30,28,186,136,73.12,31,16.67,4,2.15,15,8.06,30028
30,29,62,33,53.23,22,35.48,5,8.06,2,3.23,30029
30,30,49,21,42.86,20,40.82,4,8.16,4,8.16,30030
30,31,65,41,63.08,18,27.69,4,6.15,2,3.08,30031
30,32,142,100,70.42,28,19.72,2,1.41,12,8.45,30032
31,1,56,40,71.43,14,25.0,0,0.0,2,3.57,31001
31,2,51,30,58.82,12,23.53,4,7.84,5,9.8,31002
31,3,50,25,50.0,18,36.0,2,4.0,5,10.0,31003
31,4,132,106,80.3,20,15.15,2,1.52,4,3.03,31004
31,5,93,57,61.29,27,29.03,2,2.15,7,7.53,31005
31,6,60,37,61.67,17,28.33,2,3.33,4,6.67,31006
31,7,176,150,85.23,18,10.23,2,1.14,6,3.41,31007
31,8,59,43,72.88,8,13.56,1,1.69,7,11.86,31008
31,9,63,36,57.14,16,25.4,11,17.46,0,0.0,31009
31,10,94,64,68.09,21,22.34,0,0.0,9,9.57,31010
31,11,70,43,61.43,20,28.57,2,2.86,5,7.14,31011
31,12,79,40,50.63,24,30.38,8,10.13,7,8.86,31012
31,13,86,55,63.95,22,25.58,5,5.81,4,4.65,31013
31,14,75,40,53.33,28,37.33,3,4.0,4,5.33,31014
31,15,63,41,65.08,16,25.4,2,3.17,4,6.35,31015
31,16,145,113,77.93,24,16.55,3,2.07,5,3.45,31016
31,17,63,36,57.14,17,26.98,3,4.76,7,11.11,31017
31,18,84,49,58.33,26,30.95,3,3.57,6,7.14,31018
31,19,69,42,60.87,23,33.33,3,4.35,1,1.45,31019
31,20,63,31,49.21,23,36.51,3,4.76,6,9.52,31020
31,21,52,29,55.77,19,36.54,2,3.85,2,3.85,31021
31,22,57,34,59.65,14,24.56,5,8.77,4,7.02,31022
31,23,93,73,78.49,17,18.28,1,1.08,2,2.15,31023
31,24,96,50,52.08,38,39.58,5,5.21,3,3.13,31024
31,25,60,35,58.33,17,28.33,5,8.33,3,5.0,31025
31,26,103,63,61.17,33,32.04,4,3.88,3,2.91,31026
31,27,84,51,60.71,23,27.38,6,7.14,4,4.76,31027
31,28,40,23,57.5,13,32.5,2,5.0,2,5.0,31028
31,29,70,39,55.71,27,38.57,2,2.86,2,2.86,31029
31,30,61,42,68.85,15,24.59,4,6.56,0,0.0,31030
31,31,51,27,52.94,19,37.25,5,9.8,0,0.0,31031
31,32,30,17,56.67,9,30.0,1,3.33,3,10.0,31032
31,33,62,39,62.9,17,27.42,5,8.06,1,1.61,31033
31,34,93,52,55.91,35,37.63,1,1.08,5,5.38,31034
31,35,69,35,50.72,25,36.23,5,7.25,4,5.8,31035
31,36,81,52,64.2,17,20.99,7,8.64,5,6.17,31036
31,37,53,33,62.26,17,32.08,2,3.77,1,1.89,31037
31,38,42,25,59.52,10,23.81,5,11.9,2,4.76,31038
31,39,78,60,76.92,14,17.95,3,3.85,1,1.28,31039
31,40,86,57,66.28,22,25.58,1,1.16,6,6.98,31040
31,41,71,45,63.38,16,22.54,6,8.45,4,5.63,31041
32,1,102,60,58.82,25,24.51,7,6.86,10,9.8,32001
32,3,219,157,71.69,38,17.35,8,3.65,16,7.31,32003
32,11,190,162,85.26,12,6.32,5,2.63,11,5.79,32011
32,12,166,119,71.69,33,19.88,2,1.2,12,7.23,32012
32,14,238,175,73.53,41,17.23,8,3.36,14,5.88,32014
32,17,205,151,73.66,37,18.05,3,1.46,14,6.83,32017
32,20,201,163,81.09,25,12.44,7,3.48,6,2.99,32020
32,22,292,230,78.77,36,12.33,9,3.08,17,5.82,32022
32,26,252,202,80.16,35,13.89,4,1.59,11,4.37,32026
32,28,213,168,78.87,31,14.55,6,2.82,8,3.76,32028
32,43,246,199,80.89,29,11.79,7,2.85,11,4.47,32043
33,1,217,167,76.96,31,14.29,2,0.92,17,7.83,33001
33,2,272,193,70.96,55,20.22,9,3.31,15,5.51,33002
33,3,291,207,71.13,54,18.56,11,3.78,19,6.53,33003
33,4,261,174,66.67,58,22.22,8,3.07,21,8.05,33004
33,5,158,104,65.82,33,20.89,12,7.59,9,5.7,33005
33,6,150,97,64.67,39,26.0,3,2.0,11,7.33,33006
33,7,229,177,77.29,27,11.79,10,4.37,15,6.55,33007
33,8,257,166,64.59,66,25.68,2,0.78,23,8.95,33008
33,9,228,158,69.3,47,20.61,8,3.51,15,6.58,33009
33,10,130,89,68.46,28,21.54,4,3.08,9,6.92,33010
33,11,229,161,70.31,44,19.21,7,3.06,17,7.42,33011
33,12,187,131,70.05,40,21.39,9,4.81,7,3.74,33012
33,13,188,122,64.89,40,21.28,13,6.91,13,6.91,33013
33,14,104,82,78.85,16,15.38,2,1.92,4,3.85,33014
33,15,231,176,76.19,34,14.72,5,2.16,16,6.93,33015
33,16,257,178,69.26,53,20.62,13,5.06,13,5.06,33016
33,17,226,153,67.7,63,27.88,3,1.33,7,3.1,33017
33,18,255,195,76.47,39,15.29,9,3.53,12,4.71,33018
33,19,188,140,74.47,24,12.77,8,4.26,16,8.51,33019
33,20,289,220,76.12,46,15.92,6,2.08,17,5.88,33020
33,21,219,145,66.21,58,26.48,6,2.74,10,4.57,33021
33,22,191,102,53.4,73,38.22,6,3.14,10,5.24,33022
33,23,260,171,65.77,71,27.31,3,1.15,15,5.77,33023
33,24,170,116,68.24,38,22.35,5,2.94,11,6.47,33024
33,25,242,156,64.46,64,26.45,5,2.07,17,7.02,33025
33,26,152,118,77.63,28,18.42,3,1.97,3,1.97,33026
33,27,195,160,82.05,16,8.21,7,3.59,12,6.15,33027
33,28,189,157,83.07,21,11.11,3,1.59,8,4.23,33028
35,1,207,156,75.36,25,12.08,15,7.25,11,5.31,35001
35,2,240,199,82.92,30,12.5,1,0.42,10,4.17,35002
35,3,143,122,85.31,12,8.39,6,4.2,3,2.1,35003
35,4,182,129,70.88,34,18.68,6,3.3,13,7.14,35004
35,5,151,116,76.82,20,13.25,6,3.97,9,5.96,35005
35,6,157,124,78.98,22,14.01,4,2.55,7,4.46,35006
35,7,221,174,78.73,26,11.76,6,2.71,15,6.79,35007
35,8,183,145,79.23,18,9.84,13,7.1,7,3.83,35008
35,9,137,95,69.34,26,18.98,7,5.11,9,6.57,35009
35,10,228,191,83.77,24,10.53,4,1.75,9,3.95,35010
35,11,215,175,81.4,23,10.7,7,3.26,10,4.65,35011
35,12,82,58,70.73,18,21.95,3,3.66,3,3.66,35012
35,13,86,72,83.72,11,12.79,2,2.33,1,1.16,35013
35,14,108,79,73.15,15,13.89,5,4.63,9,8.33,35014
35,15,213,178,83.57,25,11.74,8,3.76,2,0.94,35015
35,16,46,34,73.91,10,21.74,1,2.17,1,2.17,35016
35,17,211,158,74.88,29,13.74,9,4.27,15,7.11,35017
35,18,90,69,76.67,15,16.67,4,4.44,2,2.22,35018
35,19,68,43,63.24,20,29.41,3,4.41,2,2.94,35019
35,20,139,95,68.35,25,17.99,7,5.04,12,8.63,35020
35,21,174,136,78.16,16,9.2,8,4.6,14,8.05,35021
35,22,193,143,74.09,26,13.47,8,4.15,16,8.29,35022
35,23,188,131,69.68,29,15.43,11,5.85,17,9.04,35023
35,24,150,111,74.0,24,16.0,6,4.0,9,6.0,35024
35,25,167,140,83.83,15,8.98,6,3.59,6,3.59,35025
35,26,130,91,70.0,31,23.85,3,2.31,5,3.85,35026
35,27,155,109,70.32,27,17.42,13,8.39,6,3.87,35027
35,28,197,153,77.66,33,16.75,2,1.02,9,4.57,35028
35,29,118,87,73.73,14,11.86,7,5.93,10,8.47,35029
35,30,126,85,67.46,25,19.84,6,4.76,10,7.94,35030
35,31,191,136,71.2,38,19.9,5,2.62,12,6.28,35031
36,1,101,41,40.59,55,54.46,3,2.97,2,1.98,36001
36,2,88,24,27.27,57,64.77,5,5.68,2,2.27,36002
36,3,99,23,23.23,64,64.65,6,6.06,6,6.06,36003
36,4,82,24,29.27,54,65.85,2,2.44,2,2.44,36004
36,5,84,31,36.9,50,59.52,2,2.38,1,1.19,36005
36,6,69,29,42.03,36,52.17,1,1.45,3,4.35,36006
36,7,164,52,31.71,104,63.41,2,1.22,6,3.66,36007
36,8,59,31,52.54,19,32.2,5,8.47,4,6.78,36008
36,9,70,26,37.14,39,55.71,4,5.71,1,1.43,36009
36,10,110,31,28.18,70,63.64,5,4.55,4,3.64,36010
36,11,65,26,40.0,37,56.92,1,1.54,1,1.54,36011
36,12,65,36,55.38,26,40.0,1,1.54,2,3.08,36012
36,13,80,41,51.25,36,45.0,3,3.75,0,0.0,36013
36,14,151,70,46.36,74,49.01,1,0.66,6,3.97,36014
36,15,125,34,27.2,81,64.8,2,1.6,8,6.4,36015
36,16,134,56,41.79,71,52.99,3,2.24,4,2.99,36016
36,17,160,56,35.0,88,55.0,6,3.75,10,6.25,36017
36,18,153,57,37.25,86,56.21,1,0.65,9,5.88,36018
36,19,124,46,37.1,69,55.65,2,1.61,7,5.65,36019
36,20,126,59,46.83,63,50.0,2,1.59,2,1.59,36020
36,21,83,26,31.33,51,61.45,3,3.61,3,3.61,36021
36,22,55,24,43.64,27,49.09,3,5.45,1,1.82,36022
36,23,53,21,39.62,29,54.72,0,0.0,3,5.66,36023
36,24,111,29,26.13,75,67.57,3,2.7,4,3.6,36024
36,25,84,36,42.86,41,48.81,5,5.95,2,2.38,36025
36,26,93,32,34.41,54,58.06,2,2.15,5,5.38,36026
36,27,100,45,45.0,47,47.0,6,6.0,2,2.0,36027
36,28,92,31,33.7,56,60.87,0,0.0,5,5.43,36028
36,29,125,34,27.2,84,67.2,2,1.6,5,4.0,36029
36,30,114,25,21.93,78,68.42,4,3.51,7,6.14,36030
37,2,59,37,62.71,15,25.42,5,8.47,2,3.39,37002
37,4,62,39,62.9,20,32.26,3,4.84,0,0.0,37004
37,7,74,51,68.92,17,22.97,2,2.7,4,5.41,37007
37,8,55,38,69.09,15,27.27,1,1.82,1,1.82,37008
37,10,89,50,56.18,25,28.09,1,1.12,13,14.61,37010
37,12,67,49,73.13,12,17.91,2,2.99,4,5.97,37012
37,19,69,37,53.62,19,27.54,5,7.25,8,11.59,37019
37,21,65,42,64.62,9,13.85,5,7.69,9,13.85,37021
37,22,63,37,58.73,14,22.22,8,12.7,4,6.35,37022
37,26,0,0,0.0,0,0.0,0,0.0,0,0.0,37026
37,28,75,40,53.33,22,29.33,8,10.67,5,6.67,37028
38,1,141,86,60.99,43,30.5,5,3.55,7,4.96,38001
38,3,99,55,55.56,38,38.38,4,4.04,2,2.02,38003
38,4,112,44,39.29,55,49.11,8,7.14,5,4.46,38004
38,5,106,53,50.0,48,45.28,2,1.89,3,2.83,38005
38,6,96,53,55.21,36,37.5,2,2.08,5,5.21,38006
38,7,113,46,40.71,57,50.44,4,3.54,6,5.31,38007
38,8,92,47,51.09,35,38.04,4,4.35,6,6.52,38008
38,9,148,75,50.68,50,33.78,7,4.73,16,10.81,38009
38,10,102,53,51.96,43,42.16,2,1.96,4,3.92,38010
38,11,120,82,68.33,28,23.33,1,0.83,9,7.5,38011
38,13,11,5,45.45,4,36.36,0,0.0,2,18.18,38013
38,14,145,93,64.14,36,24.83,6,4.14,10,6.9,38014
38,15,121,74,61.16,36,29.75,3,2.48,8,6.61,38015
38,16,108,52,48.15,44,40.74,4,3.7,8,7.41,38016
38,17,137,66,48.18,55,40.15,5,3.65,11,8.03,38017
38,20,111,46,41.44,47,42.34,7,6.31,11,9.91,38020
38,21,132,89,67.42,28,21.21,7,5.3,8,6.06,38021
38,22,60,31,51.67,22,36.67,2,3.33,5,8.33,38022
38,23,152,79,51.97,57,37.5,7,4.61,9,5.92,38023
38,24,122,57,46.72,54,44.26,7,5.74,4,3.28,38024
38,26,142,73,51.41,52,36.62,2,1.41,15,10.56,38026
38,27,105,44,41.9,47,44.76,7,6.67,7,6.67,38027
38,28,21,11,52.38,8,38.1,2,9.52,0,0.0,38028
38,29,132,73,55.3,41,31.06,5,3.79,13,9.85,38029
38,30,103,51,49.51,38,36.89,4,3.88,10,9.71,38030
38,31,177,101,57.06,64,36.16,3,1.69,9,5.08,38031
38,33,103,53,51.46,42,40.78,2,1.94,6,5.83,38033
38,34,142,93,65.49,39,27.46,3,2.11,7,4.93,38034
38,35,136,89,65.44,35,25.74,6,4.41,6,4.41,38035
38,36,48,25,52.08,21,43.75,1,2.08,1,2.08,38036
38,37,136,67,49.26,51,37.5,9,6.62,9,6.62,38037
38,38,117,60,51.28,45,38.46,4,3.42,8,6.84,38038
38,39,166,88,53.01,60,36.14,4,2.41,14,8.43,38039
38,40,163,103,63.19,46,28.22,5,3.07,9,5.52,38040
38,41,200,125,62.5,57,28.5,5,2.5,13,6.5,38041
39,6,150,103,68.67,31,20.67,7,4.67,9,6.0,39006
39,7,156,118,75.64,24,15.38,1,0.64,13,8.33,39007
39,8,216,170,78.7,37,17.13,6,2.78,3,1.39,39008
39,10,106,90,84.91,8,7.55,3,2.83,5,4.72,39010
39,12,210,164,78.1,28,13.33,6,2.86,12,5.71,39012
39,28,254,180,70.87,51,20.08,6,2.36,17,6.69,39028
39,29,76,55,72.37,13,17.11,4,5.26,4,5.26,39029
39,31,108,72,66.67,29,26.85,4,3.7,3,2.78,39031
39,33,175,127,72.57,40,22.86,3,1.71,5,2.86,39033
45,1,173,135,78.03,21,12.14,5,2.89,12,6.94,45001
45,2,206,152,73.79,37,17.96,8,3.88,9,4.37,45002
45,7,5,5,100.0,0,0.0,0,0.0,0,0.0,45007
45,8,165,109,66.06,36,21.82,4,2.42,16,9.7,45008
45,9,149,105,70.47,33,22.15,7,4.7,4,2.68,45009
45,10,176,102,57.95,55,31.25,9,5.11,10,5.68,45010
45,11,91,60,65.93,19,20.88,6,6.59,6,6.59,45011
45,12,145,93,64.14,32,22.07,7,4.83,13,8.97,45012
45,13,154,104,67.53,36,23.38,5,3.25,9,5.84,45013
45,14,223,145,65.02,44,19.73,15,6.73,19,8.52,45014
45,15,31,17,54.84,11,35.48,3,9.68,0,0.0,45015
45,17,3,3,100.0,0,0.0,0,0.0,0,0.0,45017
47,48,23,13,56.52,5,21.74,4,17.39,1,4.35,47048
