ward,precinct,total,"Timothy W. Wright, III","Timothy W. Wright, III Percent",Judie Lyn Smith,Judie Lyn Smith Percent,Tiffany N. Brooks,Tiffany N. Brooks Percent,Jackie Marie Portman-Brown,Jackie Marie Portman-Brown Percent,precinct_id
5,16,153,61,39.87,13,8.5,50,32.68,29,18.95,05016
5,17,109,48,44.04,14,12.84,32,29.36,15,13.76,05017
5,18,166,89,53.61,33,19.88,24,14.46,20,12.05,05018
5,19,210,117,55.71,50,23.81,27,12.86,16,7.62,05019
5,20,276,152,55.07,39,14.13,55,19.93,30,10.87,05020
5,21,179,88,49.16,41,22.91,28,15.64,22,12.29,05021
5,22,300,175,58.33,53,17.67,33,11.0,39,13.0,05022
5,23,320,171,53.44,73,22.81,41,12.81,35,10.94,05023
5,24,218,116,53.21,49,22.48,33,15.14,20,9.17,05024
5,25,180,115,63.89,15,8.33,39,21.67,11,6.11,05025
5,26,160,60,37.5,10,6.25,66,41.25,24,15.0,05026
5,27,155,91,58.71,46,29.68,6,3.87,12,7.74,05027
5,28,191,100,52.36,15,7.85,40,20.94,36,18.85,05028
5,29,178,84,47.19,19,10.67,51,28.65,24,13.48,05029
5,30,88,32,36.36,11,12.5,27,30.68,18,20.45,05030
5,31,102,38,37.25,8,7.84,39,38.24,17,16.67,05031
5,32,218,102,46.79,29,13.3,65,29.82,22,10.09,05032
5,33,190,68,35.79,26,13.68,56,29.47,40,21.05,05033
5,34,206,125,60.68,41,19.9,22,10.68,18,8.74,05034
5,35,261,147,56.32,52,19.92,32,12.26,30,11.49,05035
5,36,64,30,46.88,5,7.81,19,29.69,10,15.63,05036
5,37,239,142,59.41,48,20.08,19,7.95,30,12.55,05037
5,38,136,48,35.29,16,11.76,50,36.76,22,16.18,05038
5,39,184,108,58.7,27,14.67,21,11.41,28,15.22,05039
5,40,129,59,45.74,13,10.08,33,25.58,24,18.6,05040
5,41,149,90,60.4,21,14.09,22,14.77,16,10.74,05041
6,7,87,38,43.68,3,3.45,26,29.89,20,22.99,06007
6,9,91,26,28.57,14,15.38,29,31.87,22,24.18,06009
6,11,102,50,49.02,4,3.92,22,21.57,26,25.49,06011
6,15,62,25,40.32,7,11.29,15,24.19,15,24.19,06015
6,18,10,2,20.0,1,10.0,5,50.0,2,20.0,06018
6,21,45,11,24.44,2,4.44,18,40.0,14,31.11,06021
6,23,45,14,31.11,7,15.56,14,31.11,10,22.22,06023
6,24,50,11,22.0,3,6.0,20,40.0,16,32.0,06024
6,26,55,8,14.55,4,7.27,25,45.45,18,32.73,06026
6,28,44,17,38.64,3,6.82,13,29.55,11,25.0,06028
6,30,77,30,38.96,11,14.29,19,24.68,17,22.08,06030
6,32,131,50,38.17,9,6.87,40,30.53,32,24.43,06032
6,40,36,6,16.67,5,13.89,13,36.11,12,33.33,06040
6,48,116,40,34.48,5,4.31,41,35.34,30,25.86,06048
7,1,92,32,34.78,6,6.52,34,36.96,20,21.74,07001
7,2,93,37,39.78,15,16.13,23,24.73,18,19.35,07002
7,3,124,46,37.1,10,8.06,35,28.23,33,26.61,07003
7,4,121,46,38.02,9,7.44,42,34.71,24,19.83,07004
7,5,82,33,40.24,4,4.88,28,34.15,17,20.73,07005
7,6,162,68,41.98,17,10.49,55,33.95,22,13.58,07006
7,8,101,30,29.7,9,8.91,40,39.6,22,21.78,07008
7,9,244,78,31.97,60,24.59,60,24.59,46,18.85,07009
7,13,35,6,17.14,22,62.86,5,14.29,2,5.71,07013
8,1,99,47,47.47,5,5.05,32,32.32,15,15.15,08001
8,2,72,21,29.17,4,5.56,27,37.5,20,27.78,08002
8,26,42,20,47.62,3,7.14,10,23.81,9,21.43,08026
8,42,177,75,42.37,19,10.73,45,25.42,38,21.47,08042
11,12,127,64,50.39,29,22.83,18,14.17,16,12.6,11012
11,13,102,43,42.16,26,25.49,15,14.71,18,17.65,11013
11,14,37,24,64.86,9,24.32,1,2.7,3,8.11,11014
11,15,51,23,45.1,12,23.53,11,21.57,5,9.8,11015
11,16,61,29,47.54,13,21.31,6,9.84,13,21.31,11016
11,18,85,33,38.82,27,31.76,14,16.47,11,12.94,11018
11,20,77,33,42.86,20,25.97,14,18.18,10,12.99,11020
11,23,67,37,55.22,13,19.4,5,7.46,12,17.91,11023
11,27,34,13,38.24,8,23.53,5,14.71,8,23.53,11027
11,28,48,25,52.08,4,8.33,16,33.33,3,6.25,11028
11,32,56,24,42.86,21,37.5,6,10.71,5,8.93,11032
11,34,46,19,41.3,17,36.96,4,8.7,6,13.04,11034
11,35,34,14,41.18,12,35.29,3,8.82,5,14.71,11035
15,2,59,15,25.42,6,10.17,26,44.07,12,20.34,15002
15,3,66,24,36.36,5,7.58,18,27.27,19,28.79,15003
15,7,46,9,19.57,5,10.87,10,21.74,22,47.83,15007
15,17,69,18,26.09,13,18.84,16,23.19,22,31.88,15017
15,18,42,16,38.1,3,7.14,11,26.19,12,28.57,15018
15,20,66,24,36.36,8,12.12,16,24.24,18,27.27,15020
15,21,50,22,44.0,4,8.0,8,16.0,16,32.0,15021
15,22,33,7,21.21,3,9.09,12,36.36,11,33.33,15022
15,23,81,27,33.33,8,9.88,30,37.04,16,19.75,15023
15,24,46,17,36.96,8,17.39,14,30.43,7,15.22,15024
16,2,55,18,32.73,5,9.09,18,32.73,14,25.45,16002
16,3,62,23,37.1,8,12.9,16,25.81,15,24.19,16003
16,5,53,21,39.62,3,5.66,16,30.19,13,24.53,16005
16,6,64,13,20.31,14,21.88,17,26.56,20,31.25,16006
16,8,42,17,40.48,4,9.52,18,42.86,3,7.14,16008
16,9,70,22,31.43,5,7.14,23,32.86,20,28.57,16009
16,10,78,24,30.77,9,11.54,27,34.62,18,23.08,16010
16,11,2,1,50.0,0,0.0,0,0.0,1,50.0,16011
16,12,42,8,19.05,7,16.67,13,30.95,14,33.33,16012
16,14,55,17,30.91,2,3.64,20,36.36,16,29.09,16014
16,15,65,22,33.85,9,13.85,17,26.15,17,26.15,16015
16,16,82,33,40.24,7,8.54,25,30.49,17,20.73,16016
16,20,56,16,28.57,10,17.86,17,30.36,13,23.21,16020
16,21,49,19,38.78,4,8.16,16,32.65,10,20.41,16021
16,24,38,14,36.84,5,13.16,8,21.05,11,28.95,16024
16,25,86,28,32.56,8,9.3,23,26.74,27,31.4,16025
16,26,47,13,27.66,6,12.77,14,29.79,14,29.79,16026
16,27,35,10,28.57,6,17.14,10,28.57,9,25.71,16027
16,28,79,21,26.58,10,12.66,27,34.18,21,26.58,16028
16,29,42,14,33.33,6,14.29,11,26.19,11,26.19,16029
16,30,59,13,22.03,6,10.17,20,33.9,20,33.9,16030
16,31,63,22,34.92,3,4.76,16,25.4,22,34.92,16031
16,33,51,17,33.33,6,11.76,10,19.61,18,35.29,16033
16,34,66,23,34.85,2,3.03,18,27.27,23,34.85,16034
16,36,42,14,33.33,4,9.52,15,35.71,9,21.43,16036
17,8,33,13,39.39,5,15.15,8,24.24,7,21.21,17008
17,13,77,29,37.66,15,19.48,18,23.38,15,19.48,17013
17,19,20,9,45.0,0,0.0,6,30.0,5,25.0,17019
17,35,27,5,18.52,2,7.41,12,44.44,8,29.63,17035
17,36,12,4,33.33,2,16.67,4,33.33,2,16.67,17036
20,1,138,46,33.33,14,10.14,43,31.16,35,25.36,20001
20,2,21,9,42.86,1,4.76,4,19.05,7,33.33,20002
20,3,120,41,34.17,15,12.5,39,32.5,25,20.83,20003
20,4,30,11,36.67,4,13.33,8,26.67,7,23.33,20004
20,5,110,43,39.09,11,10.0,24,21.82,32,29.09,20005
20,6,37,12,32.43,9,24.32,9,24.32,7,18.92,20006
20,7,94,28,29.79,10,10.64,44,46.81,12,12.77,20007
20,8,102,40,39.22,10,9.8,24,23.53,28,27.45,20008
20,9,176,76,43.18,17,9.66,45,25.57,38,21.59,20009
20,10,63,18,28.57,14,22.22,20,31.75,11,17.46,20010
20,11,104,45,43.27,9,8.65,30,28.85,20,19.23,20011
20,12,57,20,35.09,6,10.53,17,29.82,14,24.56,20012
20,13,112,46,41.07,15,13.39,22,19.64,29,25.89,20013
20,14,73,30,41.1,10,13.7,21,28.77,12,16.44,20014
20,16,155,59,38.06,20,12.9,45,29.03,31,20.0,20016
20,17,1,0,0.0,0,0.0,1,100.0,0,0.0,20017
20,18,76,33,43.42,6,7.89,23,30.26,14,18.42,20018
20,19,78,28,35.9,7,8.97,24,30.77,19,24.36,20019
20,21,68,23,33.82,8,11.76,16,23.53,21,30.88,20021
20,22,197,84,42.64,30,15.23,54,27.41,29,14.72,20022
20,23,87,28,32.18,8,9.2,29,33.33,22,25.29,20023
20,24,142,72,50.7,21,14.79,35,24.65,14,9.86,20024
20,25,83,24,28.92,9,10.84,27,32.53,23,27.71,20025
20,26,140,67,47.86,16,11.43,32,22.86,25,17.86,20026
20,27,70,33,47.14,9,12.86,11,15.71,17,24.29,20027
20,28,64,23,35.94,11,17.19,18,28.13,12,18.75,20028
20,29,133,40,30.08,23,17.29,35,26.32,35,26.32,20029
20,30,52,26,50.0,8,15.38,8,15.38,10,19.23,20030
20,31,120,58,48.33,16,13.33,27,22.5,19,15.83,20031
20,32,70,24,34.29,12,17.14,18,25.71,16,22.86,20032
20,33,67,34,50.75,7,10.45,18,26.87,8,11.94,20033
20,34,130,52,40.0,22,16.92,35,26.92,21,16.15,20034
20,35,30,11,36.67,2,6.67,11,36.67,6,20.0,20035
20,36,36,14,38.89,4,11.11,9,25.0,9,25.0,20036
20,37,31,7,22.58,4,12.9,12,38.71,8,25.81,20037
20,38,24,8,33.33,2,8.33,6,25.0,8,33.33,20038
20,39,2,0,0.0,1,50.0,0,0.0,1,50.0,20039
