ward,precinct,total,"Jesus """"Chuy"""" Garcia","Jesus """"Chuy"""" Garcia Percent",precinct_id
17,30,33,33,100.0,17030
18,3,77,77,100.0,18003
18,6,88,88,100.0,18006
18,15,96,96,100.0,18015
18,24,55,55,100.0,18024
18,25,90,90,100.0,18025
18,28,78,78,100.0,18028
18,30,78,78,100.0,18030
18,40,116,116,100.0,18040
18,43,52,52,100.0,18043
18,44,78,78,100.0,18044
18,46,81,81,100.0,18046
20,2,8,8,100.0,20002
20,4,7,7,100.0,20004
20,15,66,66,100.0,20015
20,17,13,13,100.0,20017
20,20,33,33,100.0,20020
22,1,50,50,100.0,22001
22,2,96,96,100.0,22002
22,3,106,106,100.0,22003
22,4,53,53,100.0,22004
22,5,76,76,100.0,22005
22,6,72,72,100.0,22006
22,7,73,73,100.0,22007
22,8,112,112,100.0,22008
22,9,56,56,100.0,22009
22,10,117,117,100.0,22010
22,11,47,47,100.0,22011
22,12,68,68,100.0,22012
22,13,60,60,100.0,22013
22,14,71,71,100.0,22014
22,15,51,51,100.0,22015
22,16,55,55,100.0,22016
22,17,96,96,100.0,22017
22,18,53,53,100.0,22018
22,19,15,15,100.0,22019
22,20,66,66,100.0,22020
22,22,48,48,100.0,22022
22,23,139,139,100.0,22023
22,24,107,107,100.0,22024
22,25,64,64,100.0,22025
23,4,71,71,100.0,23004
23,5,60,60,100.0,23005
23,6,63,63,100.0,23006
23,7,47,47,100.0,23007
23,8,81,81,100.0,23008
23,9,37,37,100.0,23009
23,10,78,78,100.0,23010
23,11,64,64,100.0,23011
23,13,54,54,100.0,23013
23,15,50,50,100.0,23015
23,17,35,35,100.0,23017
23,19,23,23,100.0,23019
23,20,37,37,100.0,23020
23,22,3,3,100.0,23022
23,24,57,57,100.0,23024
23,25,52,52,100.0,23025
23,26,74,74,100.0,23026
23,29,67,67,100.0,23029
23,30,71,71,100.0,23030
23,31,16,16,100.0,23031
23,32,64,64,100.0,23032
23,33,65,65,100.0,23033
23,34,61,61,100.0,23034
23,38,73,73,100.0,23038
23,39,82,82,100.0,23039
24,16,392,392,100.0,24016
24,39,38,38,100.0,24039
25,1,92,92,100.0,25001
25,2,158,158,100.0,25002
25,5,118,118,100.0,25005
25,7,126,126,100.0,25007
25,8,133,133,100.0,25008
25,9,102,102,100.0,25009
25,11,145,145,100.0,25011
25,12,136,136,100.0,25012
25,13,178,178,100.0,25013
25,15,103,103,100.0,25015
25,17,150,150,100.0,25017
25,19,130,130,100.0,25019
25,22,121,121,100.0,25022
25,23,169,169,100.0,25023
25,24,95,95,100.0,25024
25,26,117,117,100.0,25026
25,28,120,120,100.0,25028
25,30,105,105,100.0,25030
25,32,91,91,100.0,25032
28,19,2,2,100.0,28019
