ward,precinct,total,Michael Cabonargi,Michael Cabonargi Percent,Ryan McIntyre,Ryan McIntyre Percent,precinct_id
46,22,113,83,73.45,30,26.55,46022
46,23,171,126,73.68,45,26.32,46023
46,24,279,204,73.12,75,26.88,46024
46,25,194,147,75.77,47,24.23,46025
46,26,227,167,73.57,60,26.43,46026
46,27,195,150,76.92,45,23.08,46027
46,29,141,111,78.72,30,21.28,46029
46,32,72,47,65.28,25,34.72,46032
46,34,229,173,75.55,56,24.45,46034
46,35,136,102,75.0,34,25.0,46035
46,37,128,90,70.31,38,29.69,46037
46,38,170,117,68.82,53,31.18,46038
46,40,197,140,71.07,57,28.93,46040
47,15,281,234,83.27,47,16.73,47015
47,19,334,263,78.74,71,21.26,47019
47,23,229,186,81.22,43,18.78,47023
47,30,255,196,76.86,59,23.14,47030
47,32,295,246,83.39,49,16.61,47032
48,1,217,164,75.58,53,24.42,48001
48,2,86,60,69.77,26,30.23,48002
48,3,200,153,76.5,47,23.5,48003
48,4,234,159,67.95,75,32.05,48004
48,5,173,135,78.03,38,21.97,48005
48,6,189,135,71.43,54,28.57,48006
48,7,246,193,78.46,53,21.54,48007
48,8,118,93,78.81,25,21.19,48008
48,9,147,107,72.79,40,27.21,48009
48,10,312,246,78.85,66,21.15,48010
48,11,183,147,80.33,36,19.67,48011
48,12,245,179,73.06,66,26.94,48012
48,13,263,197,74.9,66,25.1,48013
48,14,95,72,75.79,23,24.21,48014
48,15,95,71,74.74,24,25.26,48015
48,16,199,150,75.38,49,24.62,48016
48,17,196,147,75.0,49,25.0,48017
48,18,133,85,63.91,48,36.09,48018
48,19,175,129,73.71,46,26.29,48019
48,20,246,176,71.54,70,28.46,48020
48,21,214,140,65.42,74,34.58,48021
48,22,205,156,76.1,49,23.9,48022
48,23,257,191,74.32,66,25.68,48023
48,24,179,127,70.95,52,29.05,48024
48,25,191,145,75.92,46,24.08,48025
48,26,78,64,82.05,14,17.95,48026
48,27,119,86,72.27,33,27.73,48027
48,28,205,134,65.37,71,34.63,48028
48,29,126,88,69.84,38,30.16,48029
48,30,198,141,71.21,57,28.79,48030
48,31,198,140,70.71,58,29.29,48031
48,32,167,117,70.06,50,29.94,48032
48,33,126,102,80.95,24,19.05,48033
48,34,170,136,80.0,34,20.0,48034
48,35,111,72,64.86,39,35.14,48035
48,36,135,98,72.59,37,27.41,48036
48,37,217,167,76.96,50,23.04,48037
48,38,238,174,73.11,64,26.89,48038
48,39,170,128,75.29,42,24.71,48039
48,40,174,128,73.56,46,26.44,48040
48,41,191,138,72.25,53,27.75,48041
48,42,255,193,75.69,62,24.31,48042
48,43,217,156,71.89,61,28.11,48043
48,44,256,193,75.39,63,24.61,48044
48,45,137,95,69.34,42,30.66,48045
48,46,140,104,74.29,36,25.71,48046
49,1,102,67,65.69,35,34.31,49001
49,2,126,87,69.05,39,30.95,49002
49,3,209,160,76.56,49,23.44,49003
49,4,206,157,76.21,49,23.79,49004
49,5,184,134,72.83,50,27.17,49005
49,6,149,113,75.84,36,24.16,49006
49,7,132,89,67.42,43,32.58,49007
49,8,139,102,73.38,37,26.62,49008
49,9,184,140,76.09,44,23.91,49009
49,10,179,137,76.54,42,23.46,49010
49,11,214,159,74.3,55,25.7,49011
49,12,192,136,70.83,56,29.17,49012
49,13,217,163,75.12,54,24.88,49013
49,14,115,71,61.74,44,38.26,49014
49,15,122,85,69.67,37,30.33,49015
49,16,178,124,69.66,54,30.34,49016
49,17,143,104,72.73,39,27.27,49017
49,18,224,178,79.46,46,20.54,49018
49,19,126,93,73.81,33,26.19,49019
49,20,267,207,77.53,60,22.47,49020
49,21,76,50,65.79,26,34.21,49021
49,22,189,136,71.96,53,28.04,49022
49,23,204,161,78.92,43,21.08,49023
49,24,111,69,62.16,42,37.84,49024
49,25,209,148,70.81,61,29.19,49025
49,26,185,138,74.59,47,25.41,49026
49,27,148,111,75.0,37,25.0,49027
49,28,262,194,74.05,68,25.95,49028
49,29,209,159,76.08,50,23.92,49029
49,30,177,124,70.06,53,29.94,49030
49,31,114,73,64.04,41,35.96,49031
49,32,179,131,73.18,48,26.82,49032
49,33,145,113,77.93,32,22.07,49033
50,1,122,86,70.49,36,29.51,50001
50,2,71,46,64.79,25,35.21,50002
50,3,117,82,70.09,35,29.91,50003
50,4,151,109,72.19,42,27.81,50004
50,5,88,63,71.59,25,28.41,50005
50,6,148,100,67.57,48,32.43,50006
50,7,203,142,69.95,61,30.05,50007
50,8,113,86,76.11,27,23.89,50008
50,9,111,75,67.57,36,32.43,50009
50,10,92,59,64.13,33,35.87,50010
50,11,66,44,66.67,22,33.33,50011
50,12,49,36,73.47,13,26.53,50012
50,13,117,85,72.65,32,27.35,50013
50,14,42,28,66.67,14,33.33,50014
50,15,201,148,73.63,53,26.37,50015
50,16,50,33,66.0,17,34.0,50016
50,17,89,61,68.54,28,31.46,50017
50,18,20,12,60.0,8,40.0,50018
50,19,71,52,73.24,19,26.76,50019
50,20,137,107,78.1,30,21.9,50020
50,21,125,81,64.8,44,35.2,50021
50,22,92,60,65.22,32,34.78,50022
50,23,56,32,57.14,24,42.86,50023
50,25,96,59,61.46,37,38.54,50025
50,26,91,55,60.44,36,39.56,50026
50,27,42,30,71.43,12,28.57,50027
50,28,118,80,67.8,38,32.2,50028
50,29,62,51,82.26,11,17.74,50029
50,30,95,67,70.53,28,29.47,50030
50,31,122,84,68.85,38,31.15,50031
50,32,102,67,65.69,35,34.31,50032
50,33,108,68,62.96,40,37.04,50033
50,34,185,135,72.97,50,27.03,50034
50,35,170,126,74.12,44,25.88,50035
50,36,159,108,67.92,51,32.08,50036
50,37,113,77,68.14,36,31.86,50037
50,38,61,45,73.77,16,26.23,50038
50,39,55,28,50.91,27,49.09,50039
50,40,101,59,58.42,42,41.58,50040
