ward,precinct,total,Margaret Croke,Margaret Croke Percent,Nancy Shepherdson,Nancy Shepherdson Percent,Mariyana T. Spyropoulos,Mariyana T. Spyropoulos Percent,precinct_id
32,27,115,49,42.61,23,20.0,43,37.39,32027
32,29,147,50,34.01,44,29.93,53,36.05,32029
32,30,114,48,42.11,30,26.32,36,31.58,32030
32,31,135,47,34.81,46,34.07,42,31.11,32031
32,32,178,57,32.02,59,33.15,62,34.83,32032
32,33,156,53,33.97,45,28.85,58,37.18,32033
32,34,152,52,34.21,63,41.45,37,24.34,32034
32,35,133,36,27.07,47,35.34,50,37.59,32035
32,36,135,56,41.48,41,30.37,38,28.15,32036
32,37,155,52,33.55,52,33.55,51,32.9,32037
32,38,139,44,31.65,48,34.53,47,33.81,32038
32,39,140,52,37.14,42,30.0,46,32.86,32039
32,40,139,59,42.45,51,36.69,29,20.86,32040
32,41,153,62,40.52,51,33.33,40,26.14,32041
32,42,119,48,40.34,35,29.41,36,30.25,32042
33,8,55,22,40.0,14,25.45,19,34.55,33008
33,10,23,9,39.13,7,30.43,7,30.43,33010
33,24,150,54,36.0,56,37.33,40,26.67,33024
38,2,113,24,21.24,32,28.32,57,50.44,38002
38,12,100,25,25.0,21,21.0,54,54.0,38012
38,13,102,33,32.35,20,19.61,49,48.04,38013
38,18,121,39,32.23,43,35.54,39,32.23,38018
38,19,144,52,36.11,43,29.86,49,34.03,38019
38,22,75,17,22.67,19,25.33,39,52.0,38022
38,25,107,36,33.64,21,19.63,50,46.73,38025
38,28,89,29,32.58,26,29.21,34,38.2,38028
38,31,4,0,0.0,2,50.0,2,50.0,38031
38,32,106,29,27.36,23,21.7,54,50.94,38032
38,36,70,24,34.29,15,21.43,31,44.29,38036
39,1,116,39,33.62,22,18.97,55,47.41,39001
39,2,125,40,32.0,38,30.4,47,37.6,39002
39,3,172,55,31.98,49,28.49,68,39.53,39003
39,4,138,47,34.06,39,28.26,52,37.68,39004
39,5,153,41,26.8,48,31.37,64,41.83,39005
39,9,110,34,30.91,36,32.73,40,36.36,39009
39,11,140,34,24.29,57,40.71,49,35.0,39011
39,13,109,22,20.18,42,38.53,45,41.28,39013
39,14,150,42,28.0,52,34.67,56,37.33,39014
39,15,140,45,32.14,31,22.14,64,45.71,39015
39,16,86,27,31.4,27,31.4,32,37.21,39016
39,17,198,65,32.83,58,29.29,75,37.88,39017
39,18,147,47,31.97,54,36.73,46,31.29,39018
39,19,161,52,32.3,65,40.37,44,27.33,39019
39,20,171,58,33.92,56,32.75,57,33.33,39020
39,21,122,38,31.15,34,27.87,50,40.98,39021
39,22,93,31,33.33,32,34.41,30,32.26,39022
39,23,136,35,25.74,55,40.44,46,33.82,39023
39,24,179,54,30.17,64,35.75,61,34.08,39024
39,25,90,34,37.78,30,33.33,26,28.89,39025
39,26,105,32,30.48,34,32.38,39,37.14,39026
39,27,28,2,7.14,10,35.71,16,57.14,39027
39,30,155,51,32.9,53,34.19,51,32.9,39030
39,32,119,30,25.21,30,25.21,59,49.58,39032
39,34,138,37,26.81,51,36.96,50,36.23,39034
39,35,157,35,22.29,68,43.31,54,34.39,39035
39,36,46,14,30.43,12,26.09,20,43.48,39036
39,37,160,56,35.0,38,23.75,66,41.25,39037
39,38,122,36,29.51,29,23.77,57,46.72,39038
39,39,84,30,35.71,20,23.81,34,40.48,39039
39,40,130,34,26.15,40,30.77,56,43.08,39040
39,41,160,45,28.13,51,31.88,64,40.0,39041
39,42,167,47,28.14,38,22.75,82,49.1,39042
39,43,130,42,32.31,36,27.69,52,40.0,39043
39,44,106,21,19.81,30,28.3,55,51.89,39044
39,45,152,41,26.97,37,24.34,74,48.68,39045
40,1,119,27,22.69,44,36.97,48,40.34,40001
40,2,152,47,30.92,42,27.63,63,41.45,40002
40,3,228,68,29.82,91,39.91,69,30.26,40003
40,5,206,60,29.13,83,40.29,63,30.58,40005
40,6,227,68,29.96,93,40.97,66,29.07,40006
40,8,274,96,35.04,89,32.48,89,32.48,40008
40,10,33,9,27.27,13,39.39,11,33.33,40010
40,12,161,54,33.54,54,33.54,53,32.92,40012
40,14,133,34,25.56,54,40.6,45,33.83,40014
40,15,127,38,29.92,35,27.56,54,42.52,40015
40,17,174,53,30.46,58,33.33,63,36.21,40017
40,19,185,70,37.84,54,29.19,61,32.97,40019
40,20,134,45,33.58,60,44.78,29,21.64,40020
40,21,253,90,35.57,93,36.76,70,27.67,40021
40,23,297,88,29.63,131,44.11,78,26.26,40023
40,24,122,41,33.61,42,34.43,39,31.97,40024
40,29,172,48,27.91,51,29.65,73,42.44,40029
40,30,156,35,22.44,48,30.77,73,46.79,40030
40,32,5,1,20.0,3,60.0,1,20.0,40032
40,34,138,35,25.36,42,30.43,61,44.2,40034
40,38,232,74,31.9,85,36.64,73,31.47,40038
41,3,115,35,30.43,33,28.7,47,40.87,41003
41,5,127,45,35.43,25,19.69,57,44.88,41005
41,6,172,60,34.88,37,21.51,75,43.6,41006
41,7,110,34,30.91,38,34.55,38,34.55,41007
41,8,106,33,31.13,28,26.42,45,42.45,41008
41,9,110,34,30.91,32,29.09,44,40.0,41009
41,11,127,49,38.58,32,25.2,46,36.22,41011
41,12,102,31,30.39,32,31.37,39,38.24,41012
41,13,111,28,25.23,32,28.83,51,45.95,41013
41,14,178,50,28.09,45,25.28,83,46.63,41014
41,15,160,56,35.0,31,19.38,73,45.63,41015
41,16,100,38,38.0,22,22.0,40,40.0,41016
41,17,104,43,41.35,28,26.92,33,31.73,41017
41,18,96,22,22.92,34,35.42,40,41.67,41018
41,19,159,45,28.3,35,22.01,79,49.69,41019
41,20,68,21,30.88,18,26.47,29,42.65,41020
41,21,138,40,28.99,34,24.64,64,46.38,41021
41,22,169,49,28.99,50,29.59,70,41.42,41022
41,23,99,26,26.26,30,30.3,43,43.43,41023
41,24,104,36,34.62,27,25.96,41,39.42,41024
41,26,118,39,33.05,31,26.27,48,40.68,41026
41,30,123,41,33.33,42,34.15,40,32.52,41030
41,31,113,33,29.2,30,26.55,50,44.25,41031
41,32,112,28,25.0,37,33.04,47,41.96,41032
41,33,105,34,32.38,26,24.76,45,42.86,41033
41,34,98,26,26.53,31,31.63,41,41.84,41034
41,35,157,49,31.21,36,22.93,72,45.86,41035
41,36,114,33,28.95,37,32.46,44,38.6,41036
41,37,140,38,27.14,40,28.57,62,44.29,41037
41,38,112,42,37.5,19,16.96,51,45.54,41038
41,39,152,53,34.87,40,26.32,59,38.82,41039
41,41,100,32,32.0,26,26.0,42,42.0,41041
41,43,118,32,27.12,29,24.58,57,48.31,41043
41,45,119,35,29.41,38,31.93,46,38.66,41045
41,46,137,29,21.17,41,29.93,67,48.91,41046
41,47,163,49,30.06,46,28.22,68,41.72,41047
42,1,162,72,44.44,45,27.78,45,27.78,42001
42,19,180,56,31.11,66,36.67,58,32.22,42019
42,22,53,21,39.62,14,26.42,18,33.96,42022
42,23,138,45,32.61,52,37.68,41,29.71,42023
42,24,126,65,51.59,29,23.02,32,25.4,42024
42,34,127,54,42.52,30,23.62,43,33.86,42034
43,2,164,74,45.12,56,34.15,34,20.73,43002
43,3,141,83,58.87,22,15.6,36,25.53,43003
43,4,145,90,62.07,28,19.31,27,18.62,43004
43,5,146,76,52.05,29,19.86,41,28.08,43005
43,6,114,43,37.72,45,39.47,26,22.81,43006
43,7,130,65,50.0,31,23.85,34,26.15,43007
43,8,121,85,70.25,18,14.88,18,14.88,43008
43,9,159,85,53.46,44,27.67,30,18.87,43009
43,10,170,72,42.35,48,28.24,50,29.41,43010
43,11,91,48,52.75,18,19.78,25,27.47,43011
43,12,91,51,56.04,29,31.87,11,12.09,43012
43,13,166,95,57.23,52,31.33,19,11.45,43013
43,14,161,122,75.78,21,13.04,18,11.18,43014
43,15,141,72,51.06,39,27.66,30,21.28,43015
43,16,163,96,58.9,41,25.15,26,15.95,43016
43,17,115,54,46.96,29,25.22,32,27.83,43017
43,18,160,69,43.13,40,25.0,51,31.88,43018
43,19,153,93,60.78,32,20.92,28,18.3,43019
43,20,202,119,58.91,33,16.34,50,24.75,43020
43,21,122,58,47.54,29,23.77,35,28.69,43021
43,22,117,66,56.41,37,31.62,14,11.97,43022
43,23,91,41,45.05,31,34.07,19,20.88,43023
43,24,129,80,62.02,20,15.5,29,22.48,43024
43,25,175,101,57.71,39,22.29,35,20.0,43025
43,26,154,106,68.83,23,14.94,25,16.23,43026
43,27,153,92,60.13,34,22.22,27,17.65,43027
43,28,137,81,59.12,30,21.9,26,18.98,43028
43,29,183,105,57.38,40,21.86,38,20.77,43029
43,30,144,68,47.22,38,26.39,38,26.39,43030
43,31,151,77,50.99,37,24.5,37,24.5,43031
43,32,130,78,60.0,31,23.85,21,16.15,43032
43,33,192,126,65.63,29,15.1,37,19.27,43033
43,34,102,66,64.71,20,19.61,16,15.69,43034
43,35,171,82,47.95,33,19.3,56,32.75,43035
43,36,70,34,48.57,23,32.86,13,18.57,43036
43,37,127,59,46.46,39,30.71,29,22.83,43037
43,38,124,73,58.87,28,22.58,23,18.55,43038
43,39,92,51,55.43,24,26.09,17,18.48,43039
43,40,103,52,50.49,26,25.24,25,24.27,43040
43,41,155,84,54.19,40,25.81,31,20.0,43041
43,42,149,82,55.03,37,24.83,30,20.13,43042
43,43,171,98,57.31,40,23.39,33,19.3,43043
43,44,139,80,57.55,37,26.62,22,15.83,43044
43,45,2,2,100.0,0,0.0,0,0.0,43045
43,46,70,38,54.29,19,27.14,13,18.57,43046
44,1,276,145,52.54,76,27.54,55,19.93,44001
44,2,152,58,38.16,55,36.18,39,25.66,44002
44,3,159,103,64.78,30,18.87,26,16.35,44003
44,4,158,82,51.9,45,28.48,31,19.62,44004
44,5,178,89,50.0,44,24.72,45,25.28,44005
44,6,203,112,55.17,57,28.08,34,16.75,44006
44,7,142,76,53.52,41,28.87,25,17.61,44007
44,8,203,111,54.68,55,27.09,37,18.23,44008
44,9,124,56,45.16,39,31.45,29,23.39,44009
44,10,140,76,54.29,50,35.71,14,10.0,44010
44,11,164,68,41.46,56,34.15,40,24.39,44011
44,12,224,119,53.13,57,25.45,48,21.43,44012
44,13,122,53,43.44,42,34.43,27,22.13,44013
44,14,158,79,50.0,44,27.85,35,22.15,44014
44,15,167,90,53.89,46,27.54,31,18.56,44015
44,16,177,74,41.81,39,22.03,64,36.16,44016
44,17,250,128,51.2,74,29.6,48,19.2,44017
44,18,180,101,56.11,43,23.89,36,20.0,44018
44,19,249,138,55.42,66,26.51,45,18.07,44019
44,20,187,86,45.99,68,36.36,33,17.65,44020
44,21,190,103,54.21,49,25.79,38,20.0,44021
44,22,186,96,51.61,43,23.12,47,25.27,44022
44,23,150,67,44.67,41,27.33,42,28.0,44023
44,24,157,84,53.5,38,24.2,35,22.29,44024
44,25,195,74,37.95,82,42.05,39,20.0,44025
44,26,205,107,52.2,61,29.76,37,18.05,44026
44,27,178,87,48.88,50,28.09,41,23.03,44027
44,28,180,99,55.0,46,25.56,35,19.44,44028
44,29,185,94,50.81,52,28.11,39,21.08,44029
44,30,194,68,35.05,68,35.05,58,29.9,44030
44,31,107,47,43.93,41,38.32,19,17.76,44031
44,32,153,68,44.44,57,37.25,28,18.3,44032
44,33,188,87,46.28,58,30.85,43,22.87,44033
44,34,201,105,52.24,60,29.85,36,17.91,44034
44,35,221,119,53.85,53,23.98,49,22.17,44035
44,36,170,83,48.82,44,25.88,43,25.29,44036
44,37,237,121,51.05,65,27.43,51,21.52,44037
44,38,150,77,51.33,36,24.0,37,24.67,44038
44,39,179,83,46.37,56,31.28,40,22.35,44039
44,40,158,73,46.2,47,29.75,38,24.05,44040
44,41,222,115,51.8,63,28.38,44,19.82,44041
45,3,173,49,28.32,54,31.21,70,40.46,45003
45,4,205,64,31.22,71,34.63,70,34.15,45004
45,5,182,52,28.57,57,31.32,73,40.11,45005
45,6,253,87,34.39,70,27.67,96,37.94,45006
45,7,242,76,31.4,78,32.23,88,36.36,45007
45,15,183,59,32.24,48,26.23,76,41.53,45015
45,16,145,28,19.31,69,47.59,48,33.1,45016
45,17,160,48,30.0,49,30.63,63,39.38,45017
45,18,146,42,28.77,51,34.93,53,36.3,45018
45,19,64,22,34.38,22,34.38,20,31.25,45019
45,20,82,30,36.59,24,29.27,28,34.15,45020
45,21,130,42,32.31,35,26.92,53,40.77,45021
45,22,94,29,30.85,17,18.09,48,51.06,45022
45,23,104,32,30.77,33,31.73,39,37.5,45023
45,24,72,18,25.0,18,25.0,36,50.0,45024
45,25,95,24,25.26,25,26.32,46,48.42,45025
45,26,71,18,25.35,23,32.39,30,42.25,45026
45,27,118,34,28.81,33,27.97,51,43.22,45027
45,28,103,31,30.1,33,32.04,39,37.86,45028
45,29,98,27,27.55,29,29.59,42,42.86,45029
45,30,116,39,33.62,32,27.59,45,38.79,45030
45,31,111,34,30.63,33,29.73,44,39.64,45031
45,32,119,38,31.93,33,27.73,48,40.34,45032
45,33,102,30,29.41,23,22.55,49,48.04,45033
45,34,133,35,26.32,41,30.83,57,42.86,45034
45,35,145,46,31.72,42,28.97,57,39.31,45035
45,36,171,50,29.24,55,32.16,66,38.6,45036
45,37,140,33,23.57,41,29.29,66,47.14,45037
45,38,115,46,40.0,21,18.26,48,41.74,45038
45,39,130,43,33.08,41,31.54,46,35.38,45039
45,40,116,45,38.79,39,33.62,32,27.59,45040
45,41,101,28,27.72,27,26.73,46,45.54,45041
45,42,142,28,19.72,43,30.28,71,50.0,45042
45,43,114,40,35.09,38,33.33,36,31.58,45043
45,44,142,50,35.21,41,28.87,51,35.92,45044
45,45,64,14,21.88,19,29.69,31,48.44,45045
45,46,77,18,23.38,25,32.47,34,44.16,45046
45,47,81,33,40.74,18,22.22,30,37.04,45047
45,48,90,21,23.33,27,30.0,42,46.67,45048
46,3,269,136,50.56,63,23.42,70,26.02,46003
46,10,201,93,46.27,66,32.84,42,20.9,46010
46,12,41,12,29.27,23,56.1,6,14.63,46012
46,16,135,38,28.15,58,42.96,39,28.89,46016
46,17,155,66,42.58,40,25.81,49,31.61,46017
46,19,161,65,40.37,40,24.84,56,34.78,46019
46,28,184,101,54.89,49,26.63,34,18.48,46028
46,30,183,83,45.36,57,31.15,43,23.5,46030
46,31,188,83,44.15,62,32.98,43,22.87,46031
46,33,211,98,46.45,56,26.54,57,27.01,46033
46,36,211,93,44.08,57,27.01,61,28.91,46036
46,39,176,73,41.48,51,28.98,52,29.55,46039
47,1,135,53,39.26,44,32.59,38,28.15,47001
47,2,166,61,36.75,61,36.75,44,26.51,47002
47,3,196,94,47.96,57,29.08,45,22.96,47003
47,4,220,85,38.64,70,31.82,65,29.55,47004
47,5,251,100,39.84,95,37.85,56,22.31,47005
47,6,210,96,45.71,73,34.76,41,19.52,47006
47,7,164,60,36.59,56,34.15,48,29.27,47007
47,8,209,103,49.28,63,30.14,43,20.57,47008
47,9,154,76,49.35,43,27.92,35,22.73,47009
47,10,291,99,34.02,120,41.24,72,24.74,47010
47,11,178,67,37.64,52,29.21,59,33.15,47011
47,12,215,91,42.33,82,38.14,42,19.53,47012
47,13,251,86,34.26,91,36.25,74,29.48,47013
47,14,194,87,44.85,52,26.8,55,28.35,47014
47,16,187,65,34.76,58,31.02,64,34.22,47016
47,17,209,81,38.76,59,28.23,69,33.01,47017
47,18,199,80,40.2,65,32.66,54,27.14,47018
47,20,229,86,37.55,87,37.99,56,24.45,47020
47,21,251,95,37.85,94,37.45,62,24.7,47021
47,22,258,105,40.7,74,28.68,79,30.62,47022
47,24,238,119,50.0,81,34.03,38,15.97,47024
47,25,245,116,47.35,79,32.24,50,20.41,47025
47,26,274,105,38.32,108,39.42,61,22.26,47026
47,27,211,93,44.08,67,31.75,51,24.17,47027
47,28,206,88,42.72,68,33.01,50,24.27,47028
47,29,215,87,40.47,66,30.7,62,28.84,47029
47,31,241,98,40.66,87,36.1,56,23.24,47031
47,33,169,65,38.46,53,31.36,51,30.18,47033
47,34,219,86,39.27,79,36.07,54,24.66,47034
47,35,147,76,51.7,39,26.53,32,21.77,47035
47,36,260,91,35.0,106,40.77,63,24.23,47036
47,37,205,85,41.46,78,38.05,42,20.49,47037
47,38,235,94,40.0,85,36.17,56,23.83,47038
47,39,264,139,52.65,71,26.89,54,20.45,47039
47,40,175,70,40.0,61,34.86,44,25.14,47040
47,41,233,106,45.49,86,36.91,41,17.6,47041
47,42,218,85,38.99,92,42.2,41,18.81,47042
47,43,162,83,51.23,46,28.4,33,20.37,47043
47,44,173,81,46.82,52,30.06,40,23.12,47044
47,45,252,106,42.06,81,32.14,65,25.79,47045
47,46,91,32,35.16,31,34.07,28,30.77,47046
47,47,205,93,45.37,59,28.78,53,25.85,47047
50,24,75,31,41.33,19,25.33,25,33.33,50024
