ward,precinct,total,Alexi Giannoulias,Alexi Giannoulias Percent,Anna M. Valencia,Anna M. Valencia Percent,precinct_id
2,39,78,35,44.87,35,44.87,02039
2,40,172,85,49.42,68,39.53,02040
2,41,138,54,39.13,74,53.62,02041
2,42,141,71,50.35,58,41.13,02042
2,43,175,95,54.29,73,41.71,02043
2,44,185,115,62.16,60,32.43,02044
2,45,109,54,49.54,44,40.37,02045
2,46,106,49,46.23,48,45.28,02046
3,1,211,104,49.29,39,18.48,03001
3,2,294,159,54.08,67,22.79,03002
3,3,130,67,51.54,40,30.77,03003
3,4,233,103,44.21,64,27.47,03004
3,5,93,44,47.31,18,19.35,03005
3,6,266,130,48.87,107,40.23,03006
3,7,171,97,56.73,27,15.79,03007
3,8,119,52,43.7,23,19.33,03008
3,9,201,87,43.28,58,28.86,03009
3,10,71,41,57.75,15,21.13,03010
3,11,170,75,44.12,38,22.35,03011
3,12,273,132,48.35,65,23.81,03012
3,13,239,123,51.46,99,41.42,03013
3,14,196,92,46.94,82,41.84,03014
3,15,133,63,47.37,30,22.56,03015
3,16,153,72,47.06,35,22.88,03016
3,17,199,86,43.22,69,34.67,03017
3,18,224,99,44.2,59,26.34,03018
3,19,231,127,54.98,79,34.2,03019
3,20,203,105,51.72,51,25.12,03020
3,21,246,139,56.5,72,29.27,03021
3,22,235,96,40.85,117,49.79,03022
3,23,128,72,56.25,26,20.31,03023
3,24,133,72,54.14,29,21.8,03024
3,25,351,189,53.85,122,34.76,03025
3,26,263,136,51.71,92,34.98,03026
3,27,236,105,44.49,100,42.37,03027
3,28,139,63,45.32,26,18.71,03028
3,29,131,66,50.38,33,25.19,03029
3,30,183,97,53.01,39,21.31,03030
3,31,173,84,48.55,41,23.7,03031
3,32,251,120,47.81,93,37.05,03032
3,33,212,114,53.77,79,37.26,03033
3,34,262,109,41.6,112,42.75,03034
3,35,98,53,54.08,19,19.39,03035
3,36,65,46,70.77,5,7.69,03036
3,37,132,65,49.24,29,21.97,03037
3,38,197,93,47.21,49,24.87,03038
3,39,311,135,43.41,148,47.59,03039
3,40,154,71,46.1,51,33.12,03040
3,41,189,91,48.15,44,23.28,03041
4,1,275,108,39.27,108,39.27,04001
4,2,268,131,48.88,113,42.16,04002
4,3,131,63,48.09,31,23.66,04003
4,4,247,122,49.39,64,25.91,04004
4,5,230,114,49.57,59,25.65,04005
4,6,336,188,55.95,66,19.64,04006
4,7,269,133,49.44,65,24.16,04007
4,8,254,134,52.76,58,22.83,04008
4,9,344,215,62.5,52,15.12,04009
4,10,321,159,49.53,66,20.56,04010
4,11,115,59,51.3,24,20.87,04011
4,12,226,114,50.44,60,26.55,04012
4,13,133,60,45.11,62,46.62,04013
4,14,233,130,55.79,43,18.45,04014
4,15,236,122,51.69,49,20.76,04015
4,16,321,136,42.37,156,48.6,04016
4,17,246,91,36.99,138,56.1,04017
4,18,233,116,49.79,61,26.18,04018
4,19,110,56,50.91,22,20.0,04019
4,20,205,96,46.83,84,40.98,04020
4,21,188,77,40.96,93,49.47,04021
4,22,236,118,50.0,66,27.97,04022
4,23,299,152,50.84,115,38.46,04023
4,24,190,96,50.53,60,31.58,04024
4,25,266,126,47.37,119,44.74,04025
4,26,177,101,57.06,42,23.73,04026
4,27,269,110,40.89,109,40.52,04027
4,28,162,93,57.41,36,22.22,04028
4,29,198,98,49.49,43,21.72,04029
4,30,212,107,50.47,51,24.06,04030
4,31,327,198,60.55,60,18.35,04031
4,32,233,106,45.49,68,29.18,04032
4,33,189,104,55.03,42,22.22,04033
4,34,184,90,48.91,44,23.91,04034
4,35,282,164,58.16,44,15.6,04035
4,36,294,166,56.46,61,20.75,04036
4,37,360,168,46.67,145,40.28,04037
4,38,270,154,57.04,54,20.0,04038
5,1,124,66,53.23,26,20.97,05001
5,2,106,59,55.66,18,16.98,05002
5,3,197,84,42.64,86,43.65,05003
5,4,260,112,43.08,104,40.0,05004
5,5,162,85,52.47,33,20.37,05005
5,6,143,67,46.85,32,22.38,05006
5,7,209,111,53.11,55,26.32,05007
5,8,248,111,44.76,100,40.32,05008
5,9,276,130,47.1,95,34.42,05009
5,10,108,57,52.78,24,22.22,05010
5,11,236,115,48.73,79,33.47,05011
5,12,91,46,50.55,20,21.98,05012
5,13,145,74,51.03,31,21.38,05013
5,14,232,114,49.14,51,21.98,05014
5,15,191,97,50.79,49,25.65,05015
5,16,168,77,45.83,39,23.21,05016
5,17,118,55,46.61,27,22.88,05017
5,18,185,93,50.27,61,32.97,05018
5,19,238,115,48.32,84,35.29,05019
5,20,316,158,50.0,107,33.86,05020
5,21,195,83,42.56,78,40.0,05021
5,22,345,198,57.39,105,30.43,05022
5,23,359,142,39.55,151,42.06,05023
5,24,241,97,40.25,103,42.74,05024
5,25,194,116,59.79,26,13.4,05025
5,26,177,87,49.15,44,24.86,05026
5,27,181,67,37.02,94,51.93,05027
5,28,217,104,47.93,47,21.66,05028
5,29,193,116,60.1,35,18.13,05029
5,30,94,49,52.13,22,23.4,05030
5,31,108,60,55.56,20,18.52,05031
5,32,232,123,53.02,43,18.53,05032
5,33,205,119,58.05,31,15.12,05033
5,34,245,110,44.9,116,47.35,05034
5,35,297,143,48.15,111,37.37,05035
5,36,66,32,48.48,16,24.24,05036
5,37,276,112,40.58,103,37.32,05037
5,38,150,70,46.67,29,19.33,05038
5,39,217,106,48.85,84,38.71,05039
5,40,138,65,47.1,31,22.46,05040
5,41,179,98,54.75,49,27.37,05041
6,1,186,97,52.15,27,14.52,06001
6,2,204,120,58.82,30,14.71,06002
6,3,163,85,52.15,22,13.5,06003
6,4,81,39,48.15,18,22.22,06004
6,5,79,37,46.84,12,15.19,06005
6,6,163,97,59.51,23,14.11,06006
6,7,96,53,55.21,17,17.71,06007
6,8,197,81,41.12,43,21.83,06008
6,9,98,44,44.9,21,21.43,06009
6,10,63,26,41.27,8,12.7,06010
6,11,108,61,56.48,18,16.67,06011
6,12,66,29,43.94,15,22.73,06012
6,13,141,60,42.55,22,15.6,06013
6,14,143,76,53.15,25,17.48,06014
6,15,79,36,45.57,11,13.92,06015
6,16,177,95,53.67,31,17.51,06016
6,17,78,27,34.62,17,21.79,06017
6,18,98,43,43.88,15,15.31,06018
6,19,97,51,52.58,15,15.46,06019
6,20,76,19,25.0,22,28.95,06020
6,21,48,20,41.67,5,10.42,06021
6,22,65,37,56.92,11,16.92,06022
6,23,52,22,42.31,10,19.23,06023
6,24,54,15,27.78,13,24.07,06024
6,25,65,24,36.92,11,16.92,06025
6,26,72,28,38.89,17,23.61,06026
6,27,69,29,42.03,6,8.7,06027
6,28,45,20,44.44,5,11.11,06028
6,29,204,102,50.0,39,19.12,06029
6,30,92,48,52.17,18,19.57,06030
6,31,190,101,53.16,28,14.74,06031
6,32,145,70,48.28,22,15.17,06032
6,33,156,85,54.49,28,17.95,06033
6,34,144,88,61.11,23,15.97,06034
6,35,165,87,52.73,26,15.76,06035
6,36,200,117,58.5,29,14.5,06036
6,37,225,116,51.56,39,17.33,06037
6,38,195,108,55.38,31,15.9,06038
6,39,123,61,49.59,30,24.39,06039
6,40,114,64,56.14,14,12.28,06040
6,41,173,88,50.87,31,17.92,06041
6,42,129,58,44.96,25,19.38,06042
6,43,129,50,38.76,32,24.81,06043
6,44,142,67,47.18,32,22.54,06044
6,45,166,78,46.99,41,24.7,06045
6,46,113,63,55.75,14,12.39,06046
6,47,118,56,47.46,27,22.88,06047
6,48,124,64,51.61,29,23.39,06048
7,1,103,46,44.66,25,24.27,07001
7,2,104,47,45.19,21,20.19,07002
7,3,140,81,57.86,27,19.29,07003
7,4,125,68,54.4,22,17.6,07004
7,5,97,51,52.58,14,14.43,07005
7,6,190,102,53.68,39,20.53,07006
7,7,97,49,50.52,19,19.59,07007
7,8,119,66,55.46,22,18.49,07008
7,9,270,145,53.7,52,19.26,07009
7,10,191,99,51.83,31,16.23,07010
7,11,108,59,54.63,20,18.52,07011
7,12,87,39,44.83,22,25.29,07012
7,13,113,57,50.44,19,16.81,07013
7,14,127,63,49.61,30,23.62,07014
7,15,141,80,56.74,31,21.99,07015
7,16,89,37,41.57,21,23.6,07016
7,17,104,52,50.0,30,28.85,07017
7,18,115,48,41.74,21,18.26,07018
7,19,117,52,44.44,28,23.93,07019
7,20,74,44,59.46,9,12.16,07020
7,21,77,43,55.84,12,15.58,07021
7,22,101,55,54.46,30,29.7,07022
7,23,159,95,59.75,34,21.38,07023
7,24,90,59,65.56,15,16.67,07024
7,25,59,31,52.54,18,30.51,07025
7,26,123,74,60.16,20,16.26,07026
7,27,111,63,56.76,21,18.92,07027
7,28,80,45,56.25,16,20.0,07028
7,29,117,62,52.99,16,13.68,07029
7,30,77,52,67.53,14,18.18,07030
7,31,69,41,59.42,14,20.29,07031
7,32,244,140,57.38,32,13.11,07032
7,33,247,148,59.92,47,19.03,07033
7,34,194,117,60.31,37,19.07,07034
7,35,119,68,57.14,31,26.05,07035
7,36,186,97,52.15,46,24.73,07036
7,37,167,100,59.88,26,15.57,07037
7,38,115,74,64.35,21,18.26,07038
7,39,129,81,62.79,21,16.28,07039
7,40,119,69,57.98,17,14.29,07040
7,41,97,60,61.86,21,21.65,07041
7,42,128,62,48.44,29,22.66,07042
7,43,129,75,58.14,26,20.16,07043
7,44,113,54,47.79,30,26.55,07044
7,45,80,45,56.25,15,18.75,07045
7,46,62,29,46.77,15,24.19,07046
8,1,107,50,46.73,24,22.43,08001
8,2,102,44,43.14,27,26.47,08002
8,3,240,138,57.5,53,22.08,08003
8,4,204,107,52.45,43,21.08,08004
8,5,217,107,49.31,44,20.28,08005
8,6,183,110,60.11,34,18.58,08006
8,7,198,113,57.07,40,20.2,08007
8,8,216,116,53.7,45,20.83,08008
8,9,93,51,54.84,25,26.88,08009
8,10,280,151,53.93,53,18.93,08010
8,11,107,56,52.34,31,28.97,08011
8,12,123,59,47.97,29,23.58,08012
8,13,142,68,47.89,38,26.76,08013
8,14,64,32,50.0,15,23.44,08014
8,15,125,61,48.8,18,14.4,08015
8,16,34,16,47.06,7,20.59,08016
8,17,156,73,46.79,47,30.13,08017
8,18,68,33,48.53,17,25.0,08018
8,19,225,136,60.44,38,16.89,08019
8,20,194,84,43.3,49,25.26,08020
8,21,178,87,48.88,49,27.53,08021
8,22,147,63,42.86,36,24.49,08022
8,23,97,52,53.61,22,22.68,08023
8,24,102,51,50.0,30,29.41,08024
8,25,137,76,55.47,23,16.79,08025
8,26,98,42,42.86,22,22.45,08026
8,27,243,133,54.73,55,22.63,08027
8,28,158,65,41.14,50,31.65,08028
8,29,193,98,50.78,50,25.91,08029
8,30,175,96,54.86,36,20.57,08030
8,31,114,60,52.63,16,14.04,08031
8,32,124,64,51.61,35,28.23,08032
8,33,117,62,52.99,30,25.64,08033
8,34,153,91,59.48,35,22.88,08034
8,35,194,118,60.82,27,13.92,08035
8,36,153,93,60.78,30,19.61,08036
8,37,149,93,62.42,30,20.13,08037
8,38,102,46,45.1,25,24.51,08038
8,39,152,77,50.66,41,26.97,08039
8,40,116,56,48.28,25,21.55,08040
8,41,152,76,50.0,27,17.76,08041
8,42,183,93,50.82,50,27.32,08042
8,43,56,29,51.79,11,19.64,08043
8,44,103,61,59.22,24,23.3,08044
8,45,72,41,56.94,16,22.22,08045
8,46,119,54,45.38,30,25.21,08046
8,47,137,55,40.15,45,32.85,08047
8,48,140,73,52.14,31,22.14,08048
8,49,153,72,47.06,44,28.76,08049
8,50,180,101,56.11,39,21.67,08050
8,51,197,110,55.84,44,22.34,08051
8,52,258,154,59.69,40,15.5,08052
8,53,82,50,60.98,10,12.2,08053
8,54,75,42,56.0,12,16.0,08054
8,55,147,65,44.22,37,25.17,08055
8,56,191,98,51.31,42,21.99,08056
9,1,129,65,50.39,32,24.81,09001
9,2,99,57,57.58,21,21.21,09002
9,3,52,30,57.69,10,19.23,09003
9,4,101,55,54.46,19,18.81,09004
9,5,154,70,45.45,26,16.88,09005
9,6,116,67,57.76,17,14.66,09006
9,7,67,32,47.76,17,25.37,09007
9,8,83,40,48.19,12,14.46,09008
9,9,169,84,49.7,32,18.93,09009
9,10,89,59,66.29,14,15.73,09010
9,11,100,51,51.0,18,18.0,09011
9,12,182,88,48.35,31,17.03,09012
9,13,175,107,61.14,25,14.29,09013
9,14,182,99,54.4,36,19.78,09014
9,15,50,24,48.0,11,22.0,09015
9,16,129,69,53.49,25,19.38,09016
9,17,60,22,36.67,15,25.0,09017
9,18,107,64,59.81,19,17.76,09018
9,19,115,63,54.78,28,24.35,09019
9,20,125,72,57.6,23,18.4,09020
9,21,109,63,57.8,16,14.68,09021
9,22,151,89,58.94,21,13.91,09022
9,23,179,105,58.66,26,14.53,09023
9,24,176,100,56.82,29,16.48,09024
9,25,126,59,46.83,23,18.25,09025
9,26,74,36,48.65,23,31.08,09026
9,27,121,70,57.85,23,19.01,09027
9,28,50,27,54.0,9,18.0,09028
9,29,69,37,53.62,13,18.84,09029
9,30,92,59,64.13,11,11.96,09030
9,31,83,42,50.6,11,13.25,09031
9,32,142,91,64.08,24,16.9,09032
9,33,92,49,53.26,8,8.7,09033
9,34,91,49,53.85,14,15.38,09034
9,35,150,94,62.67,23,15.33,09035
9,36,96,42,43.75,18,18.75,09036
9,37,207,111,53.62,62,29.95,09037
9,38,104,44,42.31,23,22.12,09038
9,39,159,95,59.75,20,12.58,09039
9,40,188,112,59.57,33,17.55,09040
9,41,110,60,54.55,16,14.55,09041
9,42,185,89,48.11,40,21.62,09042
9,43,95,50,52.63,20,21.05,09043
9,44,131,72,54.96,13,9.92,09044
9,45,92,48,52.17,21,22.83,09045
9,46,134,84,62.69,20,14.93,09046
9,47,185,109,58.92,37,20.0,09047
9,48,176,99,56.25,25,14.2,09048
9,49,178,96,53.93,33,18.54,09049
9,50,224,123,54.91,30,13.39,09050
9,51,178,108,60.67,29,16.29,09051
10,1,122,53,43.44,41,33.61,10001
10,2,87,41,47.13,39,44.83,10002
10,3,100,58,58.0,30,30.0,10003
10,4,58,24,41.38,20,34.48,10004
10,5,75,46,61.33,26,34.67,10005
10,6,79,29,36.71,44,55.7,10006
10,7,47,20,42.55,24,51.06,10007
10,8,31,10,32.26,11,35.48,10008
10,9,71,40,56.34,23,32.39,10009
10,10,100,50,50.0,49,49.0,10010
10,11,89,40,44.94,46,51.69,10011
10,12,55,24,43.64,27,49.09,10012
10,13,93,45,48.39,40,43.01,10013
10,14,104,35,33.65,66,63.46,10014
10,15,222,138,62.16,36,16.22,10015
10,16,59,31,52.54,21,35.59,10016
10,17,131,77,58.78,41,31.3,10017
10,18,45,17,37.78,19,42.22,10018
10,19,64,33,51.56,28,43.75,10019
10,20,88,47,53.41,38,43.18,10020
10,21,80,36,45.0,41,51.25,10021
10,22,28,15,53.57,11,39.29,10022
10,23,74,28,37.84,44,59.46,10023
10,24,77,29,37.66,39,50.65,10024
10,25,36,17,47.22,14,38.89,10025
10,26,64,31,48.44,27,42.19,10026
10,27,62,29,46.77,23,37.1,10027
10,28,86,45,52.33,35,40.7,10028
10,29,69,25,36.23,39,56.52,10029
10,30,63,30,47.62,29,46.03,10030
10,31,51,18,35.29,30,58.82,10031
10,32,77,22,28.57,50,64.94,10032
10,33,63,29,46.03,31,49.21,10033
10,34,38,15,39.47,17,44.74,10034
10,35,107,51,47.66,54,50.47,10035
10,36,35,13,37.14,15,42.86,10036
11,1,159,74,46.54,73,45.91,11001
11,2,5,2,40.0,1,20.0,11002
11,3,171,41,23.98,112,65.5,11003
11,4,129,59,45.74,55,42.64,11004
11,5,167,51,30.54,103,61.68,11005
11,6,217,100,46.08,101,46.54,11006
11,7,100,57,57.0,31,31.0,11007
11,8,131,54,41.22,60,45.8,11008
11,9,105,50,47.62,51,48.57,11009
11,10,109,57,52.29,49,44.95,11010
11,11,125,52,41.6,60,48.0,11011
11,12,156,98,62.82,39,25.0,11012
11,13,145,85,58.62,45,31.03,11013
11,14,66,44,66.67,18,27.27,11014
11,15,67,46,68.66,15,22.39,11015
11,16,98,54,55.1,34,34.69,11016
11,17,203,77,37.93,116,57.14,11017
11,18,107,63,58.88,36,33.64,11018
11,19,214,67,31.31,130,60.75,11019
11,20,108,59,54.63,33,30.56,11020
11,21,222,138,62.16,71,31.98,11021
11,22,167,72,43.11,76,45.51,11022
11,23,99,54,54.55,39,39.39,11023
11,24,242,160,66.12,65,26.86,11024
11,25,192,90,46.88,86,44.79,11025
11,26,174,81,46.55,79,45.4,11026
11,27,48,19,39.58,27,56.25,11027
11,28,55,33,60.0,13,23.64,11028
11,29,182,97,53.3,69,37.91,11029
11,30,84,38,45.24,37,44.05,11030
11,31,135,65,48.15,60,44.44,11031
11,32,68,30,44.12,31,45.59,11032
11,33,156,77,49.36,69,44.23,11033
11,34,65,32,49.23,16,24.62,11034
11,35,40,18,45.0,12,30.0,11035
11,36,52,22,42.31,27,51.92,11036
11,37,40,22,55.0,12,30.0,11037
11,38,78,21,26.92,54,69.23,11038
12,1,134,49,36.57,68,50.75,12001
12,2,72,27,37.5,43,59.72,12002
12,3,182,74,40.66,100,54.95,12003
12,4,136,43,31.62,84,61.76,12004
12,5,125,61,48.8,54,43.2,12005
12,6,128,43,33.59,67,52.34,12006
12,7,76,20,26.32,48,63.16,12007
12,8,132,59,44.7,60,45.45,12008
12,9,91,40,43.96,42,46.15,12009
12,10,104,29,27.88,66,63.46,12010
12,11,68,15,22.06,49,72.06,12011
12,12,83,38,45.78,37,44.58,12012
12,13,93,32,34.41,56,60.22,12013
12,14,78,26,33.33,46,58.97,12014
12,15,73,24,32.88,42,57.53,12015
12,16,44,20,45.45,24,54.55,12016
12,17,82,38,46.34,39,47.56,12017
12,18,53,15,28.3,35,66.04,12018
12,19,93,34,36.56,52,55.91,12019
12,20,86,26,30.23,56,65.12,12020
12,21,113,44,38.94,62,54.87,12021
12,22,75,21,28.0,48,64.0,12022
12,23,140,59,42.14,70,50.0,12023
13,1,100,49,49.0,46,46.0,13001
13,2,92,50,54.35,32,34.78,13002
13,3,43,20,46.51,21,48.84,13003
13,4,94,55,58.51,34,36.17,13004
13,5,62,26,41.94,34,54.84,13005
13,6,111,69,62.16,32,28.83,13006
13,7,47,26,55.32,18,38.3,13007
13,8,62,40,64.52,19,30.65,13008
13,9,69,27,39.13,36,52.17,13009
13,10,92,49,53.26,29,31.52,13010
13,11,111,64,57.66,32,28.83,13011
13,12,72,29,40.28,38,52.78,13012
13,13,85,36,42.35,44,51.76,13013
13,14,86,43,50.0,34,39.53,13014
13,15,91,31,34.07,49,53.85,13015
13,16,44,20,45.45,22,50.0,13016
13,17,85,43,50.59,35,41.18,13017
13,18,79,50,63.29,27,34.18,13018
13,19,65,30,46.15,24,36.92,13019
13,20,59,33,55.93,21,35.59,13020
13,21,125,75,60.0,42,33.6,13021
13,22,111,59,53.15,40,36.04,13022
13,23,62,36,58.06,21,33.87,13023
13,24,72,44,61.11,26,36.11,13024
13,25,65,31,47.69,30,46.15,13025
13,26,91,44,48.35,41,45.05,13026
13,27,84,52,61.9,24,28.57,13027
13,28,61,31,50.82,27,44.26,13028
13,29,53,28,52.83,19,35.85,13029
13,30,41,21,51.22,16,39.02,13030
13,31,112,65,58.04,37,33.04,13031
13,32,81,54,66.67,22,27.16,13032
13,33,107,60,56.07,38,35.51,13033
13,34,73,34,46.58,36,49.32,13034
13,35,71,39,54.93,28,39.44,13035
13,36,34,15,44.12,17,50.0,13036
13,37,153,76,49.67,53,34.64,13037
13,38,71,31,43.66,33,46.48,13038
13,39,77,33,42.86,39,50.65,13039
13,40,49,22,44.9,20,40.82,13040
13,41,90,32,35.56,47,52.22,13041
13,42,114,54,47.37,47,41.23,13042
13,43,94,47,50.0,38,40.43,13043
13,44,63,23,36.51,36,57.14,13044
13,45,83,39,46.99,34,40.96,13045
13,46,69,28,40.58,37,53.62,13046
13,47,91,31,34.07,54,59.34,13047
13,48,85,41,48.24,38,44.71,13048
14,1,149,78,52.35,54,36.24,14001
14,2,87,45,51.72,37,42.53,14002
14,3,54,22,40.74,30,55.56,14003
14,4,76,46,60.53,22,28.95,14004
14,5,67,23,34.33,40,59.7,14005
14,6,25,8,32.0,15,60.0,14006
14,7,86,29,33.72,51,59.3,14007
14,8,74,23,31.08,45,60.81,14008
14,9,87,53,60.92,31,35.63,14009
14,10,49,13,26.53,31,63.27,14010
14,11,27,12,44.44,12,44.44,14011
14,12,82,31,37.8,40,48.78,14012
14,13,71,30,42.25,37,52.11,14013
14,14,75,27,36.0,43,57.33,14014
14,15,49,15,30.61,31,63.27,14015
14,16,64,32,50.0,30,46.88,14016
14,17,39,7,17.95,30,76.92,14017
14,18,40,17,42.5,20,50.0,14018
14,19,68,19,27.94,42,61.76,14019
14,20,54,23,42.59,26,48.15,14020
14,21,43,15,34.88,25,58.14,14021
14,22,100,49,49.0,46,46.0,14022
14,23,73,34,46.58,37,50.68,14023
14,24,117,66,56.41,42,35.9,14024
14,25,35,14,40.0,21,60.0,14025
14,26,61,17,27.87,36,59.02,14026
14,27,65,22,33.85,41,63.08,14027
14,28,48,15,31.25,30,62.5,14028
14,29,53,22,41.51,28,52.83,14029
14,30,41,7,17.07,32,78.05,14030
14,31,45,15,33.33,26,57.78,14031
15,1,82,26,31.71,48,58.54,15001
15,2,60,26,43.33,16,26.67,15002
15,3,72,27,37.5,17,23.61,15003
15,4,51,17,33.33,31,60.78,15004
15,5,51,16,31.37,30,58.82,15005
15,6,58,21,36.21,31,53.45,15006
15,7,49,22,44.9,8,16.33,15007
15,8,62,27,43.55,32,51.61,15008
15,9,79,34,43.04,39,49.37,15009
15,10,122,36,29.51,69,56.56,15010
15,11,80,33,41.25,37,46.25,15011
15,12,65,27,41.54,34,52.31,15012
15,13,73,24,32.88,42,57.53,15013
15,14,48,17,35.42,29,60.42,15014
15,15,54,12,22.22,36,66.67,15015
15,16,62,22,35.48,31,50.0,15016
15,17,76,37,48.68,9,11.84,15017
15,18,52,27,51.92,8,15.38,15018
15,19,87,39,44.83,33,37.93,15019
15,20,68,30,44.12,9,13.24,15020
15,21,59,20,33.9,15,25.42,15021
15,22,77,31,40.26,15,19.48,15022
15,23,93,47,50.54,17,18.28,15023
15,24,49,21,42.86,6,12.24,15024
16,1,83,31,37.35,46,55.42,16001
16,2,83,28,33.73,29,34.94,16002
16,3,64,36,56.25,7,10.94,16003
16,4,68,28,41.18,13,19.12,16004
16,5,59,27,45.76,12,20.34,16005
16,6,79,30,37.97,20,25.32,16006
16,7,82,37,45.12,18,21.95,16007
16,8,45,16,35.56,10,22.22,16008
16,9,76,30,39.47,11,14.47,16009
16,10,84,40,47.62,20,23.81,16010
16,11,59,28,47.46,19,32.2,16011
16,12,46,26,56.52,8,17.39,16012
16,13,24,8,33.33,8,33.33,16013
16,14,59,28,47.46,9,15.25,16014
16,15,74,44,59.46,10,13.51,16015
16,16,91,54,59.34,12,13.19,16016
16,17,64,26,40.63,18,28.13,16017
16,18,73,33,45.21,20,27.4,16018
16,19,75,35,46.67,16,21.33,16019
16,20,62,31,50.0,11,17.74,16020
16,21,52,26,50.0,11,21.15,16021
16,22,56,33,58.93,14,25.0,16022
16,23,48,10,20.83,25,52.08,16023
16,24,42,18,42.86,8,19.05,16024
16,25,101,39,38.61,24,23.76,16025
16,26,56,30,53.57,7,12.5,16026
16,27,44,20,45.45,9,20.45,16027
16,28,87,39,44.83,17,19.54,16028
16,29,63,36,57.14,10,15.87,16029
16,30,60,22,36.67,14,23.33,16030
16,31,72,39,54.17,8,11.11,16031
16,32,65,27,41.54,26,40.0,16032
16,33,61,25,40.98,13,21.31,16033
16,34,72,25,34.72,13,18.06,16034
16,35,63,14,22.22,37,58.73,16035
16,36,46,17,36.96,13,28.26,16036
17,1,67,18,26.87,17,25.37,17001
17,2,105,36,34.29,12,11.43,17002
17,3,119,46,38.66,18,15.13,17003
17,4,145,56,38.62,18,12.41,17004
17,5,90,28,31.11,7,7.78,17005
17,6,81,34,41.98,16,19.75,17006
17,7,68,25,36.76,22,32.35,17007
17,8,77,27,35.06,14,18.18,17008
17,9,94,32,34.04,19,20.21,17009
17,10,138,47,34.06,19,13.77,17010
17,11,69,26,37.68,9,13.04,17011
17,12,88,34,38.64,25,28.41,17012
17,13,86,36,41.86,8,9.3,17013
