ward,precinct,total,"Daniel """"Pogo"""" Pogorzelski","Daniel """"Pogo"""" Pogorzelski Percent",Elizabeth Joyce,Elizabeth Joyce Percent,Chakena D. Perry,Chakena D. Perry Percent,precinct_id
6,33,143,42,29.37,49,34.27,52,36.36,06033
6,34,128,28,21.88,54,42.19,46,35.94,06034
6,35,155,32,20.65,69,44.52,54,34.84,06035
6,36,186,47,25.27,83,44.62,56,30.11,06036
6,37,213,54,25.35,74,34.74,85,39.91,06037
6,38,168,52,30.95,54,32.14,62,36.9,06038
6,39,116,20,17.24,55,47.41,41,35.34,06039
6,40,108,24,22.22,51,47.22,33,30.56,06040
6,41,154,36,23.38,64,41.56,54,35.06,06041
6,42,123,25,20.33,56,45.53,42,34.15,06042
6,43,121,27,22.31,51,42.15,43,35.54,06043
6,44,128,29,22.66,55,42.97,44,34.38,06044
6,45,155,45,29.03,53,34.19,57,36.77,06045
6,46,104,17,16.35,38,36.54,49,47.12,06046
6,47,106,23,21.7,58,54.72,25,23.58,06047
6,48,112,23,20.54,53,47.32,36,32.14,06048
7,1,90,16,17.78,45,50.0,29,32.22,07001
7,2,97,13,13.4,46,47.42,38,39.18,07002
7,3,132,34,25.76,47,35.61,51,38.64,07003
7,4,121,29,23.97,50,41.32,42,34.71,07004
7,5,86,20,23.26,31,36.05,35,40.7,07005
7,6,170,43,25.29,76,44.71,51,30.0,07006
7,7,89,24,26.97,32,35.96,33,37.08,07007
7,8,107,25,23.36,36,33.64,46,42.99,07008
7,9,245,65,26.53,93,37.96,87,35.51,07009
7,10,167,41,24.55,56,33.53,70,41.92,07010
7,11,98,20,20.41,47,47.96,31,31.63,07011
7,12,77,9,11.69,39,50.65,29,37.66,07012
7,13,106,22,20.75,49,46.23,35,33.02,07013
7,14,113,19,16.81,63,55.75,31,27.43,07014
7,15,128,28,21.88,46,35.94,54,42.19,07015
7,16,85,13,15.29,39,45.88,33,38.82,07016
7,17,90,26,28.89,38,42.22,26,28.89,07017
7,18,106,26,24.53,45,42.45,35,33.02,07018
7,19,108,21,19.44,50,46.3,37,34.26,07019
7,20,70,19,27.14,21,30.0,30,42.86,07020
7,21,69,20,28.99,34,49.28,15,21.74,07021
7,22,100,30,30.0,43,43.0,27,27.0,07022
7,23,146,57,39.04,55,37.67,34,23.29,07023
7,24,81,19,23.46,36,44.44,26,32.1,07024
7,25,54,18,33.33,16,29.63,20,37.04,07025
7,26,114,23,20.18,50,43.86,41,35.96,07026
7,27,105,32,30.48,41,39.05,32,30.48,07027
7,28,67,20,29.85,25,37.31,22,32.84,07028
7,29,106,31,29.25,43,40.57,32,30.19,07029
7,30,79,23,29.11,38,48.1,18,22.78,07030
7,31,63,20,31.75,27,42.86,16,25.4,07031
7,32,218,62,28.44,74,33.94,82,37.61,07032
7,33,222,54,24.32,93,41.89,75,33.78,07033
7,34,178,32,17.98,91,51.12,55,30.9,07034
7,35,110,31,28.18,40,36.36,39,35.45,07035
7,36,177,45,25.42,66,37.29,66,37.29,07036
7,37,149,41,27.52,67,44.97,41,27.52,07037
7,38,108,24,22.22,49,45.37,35,32.41,07038
7,39,114,32,28.07,47,41.23,35,30.7,07039
7,40,111,30,27.03,53,47.75,28,25.23,07040
7,41,92,18,19.57,37,40.22,37,40.22,07041
7,42,120,33,27.5,55,45.83,32,26.67,07042
7,43,113,24,21.24,51,45.13,38,33.63,07043
7,44,102,25,24.51,49,48.04,28,27.45,07044
7,45,63,16,25.4,34,53.97,13,20.63,07045
7,46,55,15,27.27,25,45.45,15,27.27,07046
8,1,100,23,23.0,42,42.0,35,35.0,08001
8,2,98,21,21.43,30,30.61,47,47.96,08002
8,3,212,54,25.47,66,31.13,92,43.4,08003
8,4,185,44,23.78,62,33.51,79,42.7,08004
8,5,195,52,26.67,63,32.31,80,41.03,08005
8,6,168,53,31.55,59,35.12,56,33.33,08006
8,7,182,58,31.87,72,39.56,52,28.57,08007
8,8,196,43,21.94,79,40.31,74,37.76,08008
8,9,86,19,22.09,36,41.86,31,36.05,08009
8,10,260,70,26.92,83,31.92,107,41.15,08010
8,11,96,25,26.04,36,37.5,35,36.46,08011
8,12,119,32,26.89,47,39.5,40,33.61,08012
8,13,141,36,25.53,50,35.46,55,39.01,08013
8,14,57,8,14.04,27,47.37,22,38.6,08014
8,15,113,21,18.58,59,52.21,33,29.2,08015
8,16,30,5,16.67,17,56.67,8,26.67,08016
8,17,148,48,32.43,54,36.49,46,31.08,08017
8,18,63,18,28.57,22,34.92,23,36.51,08018
8,19,215,53,24.65,80,37.21,82,38.14,08019
8,20,184,48,26.09,72,39.13,64,34.78,08020
8,21,162,47,29.01,60,37.04,55,33.95,08021
8,22,137,45,32.85,47,34.31,45,32.85,08022
8,23,89,19,21.35,40,44.94,30,33.71,08023
8,24,94,26,27.66,37,39.36,31,32.98,08024
8,25,122,30,24.59,47,38.52,45,36.89,08025
8,26,89,8,8.99,51,57.3,30,33.71,08026
8,27,232,62,26.72,87,37.5,83,35.78,08027
8,28,148,40,27.03,43,29.05,65,43.92,08028
8,29,183,46,25.14,66,36.07,71,38.8,08029
8,30,156,42,26.92,57,36.54,57,36.54,08030
8,31,104,21,20.19,51,49.04,32,30.77,08031
8,32,110,46,41.82,41,37.27,23,20.91,08032
8,33,106,23,21.7,44,41.51,39,36.79,08033
8,34,148,53,35.81,54,36.49,41,27.7,08034
8,35,180,44,24.44,72,40.0,64,35.56,08035
8,36,144,35,24.31,57,39.58,52,36.11,08036
8,37,132,36,27.27,44,33.33,52,39.39,08037
8,38,100,18,18.0,49,49.0,33,33.0,08038
8,39,138,50,36.23,47,34.06,41,29.71,08039
8,40,104,19,18.27,44,42.31,41,39.42,08040
8,41,139,35,25.18,55,39.57,49,35.25,08041
8,42,174,40,22.99,55,31.61,79,45.4,08042
8,43,50,8,16.0,30,60.0,12,24.0,08043
8,44,94,20,21.28,47,50.0,27,28.72,08044
8,45,63,15,23.81,20,31.75,28,44.44,08045
8,46,106,25,23.58,49,46.23,32,30.19,08046
8,47,121,29,23.97,53,43.8,39,32.23,08047
8,48,130,30,23.08,49,37.69,51,39.23,08048
8,49,143,38,26.57,52,36.36,53,37.06,08049
8,50,167,53,31.74,57,34.13,57,34.13,08050
8,51,184,54,29.35,73,39.67,57,30.98,08051
8,52,240,54,22.5,99,41.25,87,36.25,08052
8,53,77,17,22.08,27,35.06,33,42.86,08053
8,54,66,21,31.82,24,36.36,21,31.82,08054
8,55,142,28,19.72,71,50.0,43,30.28,08055
8,56,178,56,31.46,55,30.9,67,37.64,08056
9,1,117,28,23.93,49,41.88,40,34.19,09001
9,2,96,19,19.79,52,54.17,25,26.04,09002
9,3,49,13,26.53,26,53.06,10,20.41,09003
9,4,94,26,27.66,36,38.3,32,34.04,09004
9,5,145,36,24.83,47,32.41,62,42.76,09005
9,6,103,31,30.1,42,40.78,30,29.13,09006
9,7,62,11,17.74,31,50.0,20,32.26,09007
9,8,80,17,21.25,34,42.5,29,36.25,09008
9,9,151,33,21.85,68,45.03,50,33.11,09009
9,10,81,22,27.16,36,44.44,23,28.4,09010
9,11,87,24,27.59,42,48.28,21,24.14,09011
9,12,169,50,29.59,65,38.46,54,31.95,09012
9,13,162,48,29.63,58,35.8,56,34.57,09013
9,14,162,49,30.25,58,35.8,55,33.95,09014
9,15,50,13,26.0,19,38.0,18,36.0,09015
9,16,117,31,26.5,54,46.15,32,27.35,09016
9,17,59,13,22.03,26,44.07,20,33.9,09017
9,18,99,29,29.29,47,47.47,23,23.23,09018
9,19,106,34,32.08,40,37.74,32,30.19,09019
9,20,117,24,20.51,55,47.01,38,32.48,09020
9,21,104,23,22.12,40,38.46,41,39.42,09021
9,22,135,36,26.67,57,42.22,42,31.11,09022
9,23,158,34,21.52,57,36.08,67,42.41,09023
9,24,168,44,26.19,66,39.29,58,34.52,09024
9,25,118,22,18.64,54,45.76,42,35.59,09025
9,26,66,15,22.73,31,46.97,20,30.3,09026
9,27,111,27,24.32,53,47.75,31,27.93,09027
9,28,46,11,23.91,20,43.48,15,32.61,09028
9,29,60,18,30.0,19,31.67,23,38.33,09029
9,30,82,21,25.61,27,32.93,34,41.46,09030
9,31,72,18,25.0,33,45.83,21,29.17,09031
9,32,131,35,26.72,46,35.11,50,38.17,09032
9,33,77,24,31.17,31,40.26,22,28.57,09033
9,34,80,20,25.0,41,51.25,19,23.75,09034
9,35,143,39,27.27,52,36.36,52,36.36,09035
9,36,91,13,14.29,48,52.75,30,32.97,09036
9,37,188,72,38.3,58,30.85,58,30.85,09037
9,38,95,19,20.0,49,51.58,27,28.42,09038
9,39,150,41,27.33,61,40.67,48,32.0,09039
9,40,168,54,32.14,58,34.52,56,33.33,09040
9,41,97,32,32.99,33,34.02,32,32.99,09041
9,42,170,40,23.53,50,29.41,80,47.06,09042
9,43,86,22,25.58,41,47.67,23,26.74,09043
9,44,123,27,21.95,40,32.52,56,45.53,09044
9,45,85,28,32.94,39,45.88,18,21.18,09045
9,46,121,37,30.58,47,38.84,37,30.58,09046
9,47,175,49,28.0,72,41.14,54,30.86,09047
9,48,164,25,15.24,79,48.17,60,36.59,09048
9,49,166,40,24.1,53,31.93,73,43.98,09049
9,50,202,47,23.27,70,34.65,85,42.08,09050
9,51,161,39,24.22,58,36.02,64,39.75,09051
10,1,111,30,27.03,57,51.35,24,21.62,10001
10,2,81,39,48.15,33,40.74,9,11.11,10002
10,3,84,37,44.05,29,34.52,18,21.43,10003
10,4,50,15,30.0,23,46.0,12,24.0,10004
10,5,66,38,57.58,22,33.33,6,9.09,10005
10,6,71,23,32.39,35,49.3,13,18.31,10006
10,7,43,24,55.81,16,37.21,3,6.98,10007
10,8,28,8,28.57,15,53.57,5,17.86,10008
10,9,67,37,55.22,26,38.81,4,5.97,10009
10,10,91,45,49.45,33,36.26,13,14.29,10010
10,11,79,25,31.65,41,51.9,13,16.46,10011
10,12,47,19,40.43,23,48.94,5,10.64,10012
10,13,82,27,32.93,42,51.22,13,15.85,10013
10,14,91,45,49.45,39,42.86,7,7.69,10014
10,15,200,57,28.5,94,47.0,49,24.5,10015
10,16,54,25,46.3,26,48.15,3,5.56,10016
10,17,126,64,50.79,43,34.13,19,15.08,10017
10,18,40,15,37.5,16,40.0,9,22.5,10018
10,19,62,32,51.61,27,43.55,3,4.84,10019
10,20,78,40,51.28,31,39.74,7,8.97,10020
10,21,72,31,43.06,35,48.61,6,8.33,10021
10,22,27,12,44.44,12,44.44,3,11.11,10022
10,23,69,22,31.88,29,42.03,18,26.09,10023
10,24,71,29,40.85,29,40.85,13,18.31,10024
10,25,33,7,21.21,21,63.64,5,15.15,10025
10,26,57,25,43.86,22,38.6,10,17.54,10026
10,27,53,16,30.19,31,58.49,6,11.32,10027
10,28,84,30,35.71,37,44.05,17,20.24,10028
10,29,64,31,48.44,30,46.88,3,4.69,10029
10,30,55,24,43.64,23,41.82,8,14.55,10030
10,31,51,23,45.1,24,47.06,4,7.84,10031
10,32,72,33,45.83,30,41.67,9,12.5,10032
10,33,55,16,29.09,29,52.73,10,18.18,10033
10,34,36,12,33.33,17,47.22,7,19.44,10034
10,35,99,44,44.44,42,42.42,13,13.13,10035
10,36,33,5,15.15,21,63.64,7,21.21,10036
11,1,137,53,38.69,41,29.93,43,31.39,11001
11,2,5,1,20.0,4,80.0,0,0.0,11002
11,3,152,36,23.68,36,23.68,80,52.63,11003
11,4,110,41,37.27,34,30.91,35,31.82,11004
11,5,151,45,29.8,42,27.81,64,42.38,11005
11,6,186,56,30.11,50,26.88,80,43.01,11006
11,7,83,33,39.76,23,27.71,27,32.53,11007
11,8,120,48,40.0,35,29.17,37,30.83,11008
11,9,91,29,31.87,30,32.97,32,35.16,11009
11,10,87,33,37.93,26,29.89,28,32.18,11010
11,11,117,46,39.32,37,31.62,34,29.06,11011
11,12,137,68,49.64,62,45.26,7,5.11,11012
11,13,130,46,35.38,65,50.0,19,14.62,11013
11,14,40,20,50.0,13,32.5,7,17.5,11014
11,15,52,26,50.0,14,26.92,12,23.08,11015
11,16,79,34,43.04,33,41.77,12,15.19,11016
11,17,192,77,40.1,52,27.08,63,32.81,11017
11,18,94,50,53.19,26,27.66,18,19.15,11018
11,19,194,57,29.38,55,28.35,82,42.27,11019
11,20,88,46,52.27,30,34.09,12,13.64,11020
11,21,194,104,53.61,61,31.44,29,14.95,11021
11,22,142,59,41.55,42,29.58,41,28.87,11022
11,23,80,34,42.5,28,35.0,18,22.5,11023
11,24,214,104,48.6,80,37.38,30,14.02,11024
11,25,161,60,37.27,55,34.16,46,28.57,11025
11,26,158,66,41.77,53,33.54,39,24.68,11026
11,27,40,15,37.5,16,40.0,9,22.5,11027
11,28,55,19,34.55,31,56.36,5,9.09,11028
11,29,157,63,40.13,55,35.03,39,24.84,11029
11,30,68,22,32.35,30,44.12,16,23.53,11030
11,31,115,43,37.39,54,46.96,18,15.65,11031
11,32,62,29,46.77,17,27.42,16,25.81,11032
11,33,138,33,23.91,42,30.43,63,45.65,11033
11,34,55,25,45.45,26,47.27,4,7.27,11034
11,35,38,16,42.11,13,34.21,9,23.68,11035
11,36,41,17,41.46,12,29.27,12,29.27,11036
11,37,32,8,25.0,11,34.38,13,40.63,11037
11,38,62,20,32.26,13,20.97,29,46.77,11038
12,1,116,40,34.48,40,34.48,36,31.03,12001
12,2,67,27,40.3,27,40.3,13,19.4,12002
12,3,167,59,35.33,61,36.53,47,28.14,12003
12,4,123,45,36.59,34,27.64,44,35.77,12004
12,5,114,49,42.98,45,39.47,20,17.54,12005
12,6,116,39,33.62,45,38.79,32,27.59,12006
12,7,66,24,36.36,20,30.3,22,33.33,12007
12,8,118,51,43.22,42,35.59,25,21.19,12008
12,9,87,32,36.78,39,44.83,16,18.39,12009
12,10,97,34,35.05,28,28.87,35,36.08,12010
12,11,62,19,30.65,33,53.23,10,16.13,12011
12,12,74,35,47.3,30,40.54,9,12.16,12012
12,13,87,35,40.23,32,36.78,20,22.99,12013
12,14,67,20,29.85,33,49.25,14,20.9,12014
12,15,62,28,45.16,23,37.1,11,17.74,12015
12,16,40,11,27.5,22,55.0,7,17.5,12016
12,17,74,30,40.54,33,44.59,11,14.86,12017
12,18,45,9,20.0,23,51.11,13,28.89,12018
12,19,90,39,43.33,32,35.56,19,21.11,12019
12,20,83,36,43.37,34,40.96,13,15.66,12020
12,21,101,38,37.62,42,41.58,21,20.79,12021
12,22,63,16,25.4,35,55.56,12,19.05,12022
12,23,127,55,43.31,42,33.07,30,23.62,12023
13,1,93,40,43.01,47,50.54,6,6.45,13001
13,2,83,39,46.99,33,39.76,11,13.25,13002
