ward,precinct,total,Iris Y. Martinez,Iris Y. Martinez Percent,"Jacqueline """"Jackie"""" Baez","Jacqueline """"Jackie"""" Baez Percent",Delia C. Ramirez,Delia C. Ramirez Percent,precinct_id
30,29,60,20,33.33,10,16.67,30,50.0,30029
30,30,43,20,46.51,9,20.93,14,32.56,30030
30,31,62,29,46.77,11,17.74,22,35.48,30031
30,32,139,42,30.22,18,12.95,79,56.83,30032
31,1,55,27,49.09,5,9.09,23,41.82,31001
31,2,51,24,47.06,10,19.61,17,33.33,31002
31,3,48,26,54.17,5,10.42,17,35.42,31003
31,4,126,19,15.08,7,5.56,100,79.37,31004
31,5,91,46,50.55,12,13.19,33,36.26,31005
31,6,59,29,49.15,8,13.56,22,37.29,31006
31,7,165,39,23.64,10,6.06,116,70.3,31007
31,8,57,25,43.86,3,5.26,29,50.88,31008
31,9,62,37,59.68,8,12.9,17,27.42,31009
31,10,86,32,37.21,7,8.14,47,54.65,31010
31,11,66,30,45.45,3,4.55,33,50.0,31011
31,12,80,31,38.75,15,18.75,34,42.5,31012
31,13,86,41,47.67,11,12.79,34,39.53,31013
31,14,71,33,46.48,10,14.08,28,39.44,31014
31,15,57,22,38.6,7,12.28,28,49.12,31015
31,16,142,34,23.94,15,10.56,93,65.49,31016
31,17,61,28,45.9,9,14.75,24,39.34,31017
31,18,79,34,43.04,10,12.66,35,44.3,31018
31,19,65,33,50.77,5,7.69,27,41.54,31019
31,20,62,31,50.0,11,17.74,20,32.26,31020
31,21,51,22,43.14,9,17.65,20,39.22,31021
31,22,54,19,35.19,7,12.96,28,51.85,31022
31,23,91,39,42.86,5,5.49,47,51.65,31023
31,24,93,45,48.39,14,15.05,34,36.56,31024
31,25,59,20,33.9,15,25.42,24,40.68,31025
31,26,103,58,56.31,4,3.88,41,39.81,31026
31,27,83,35,42.17,12,14.46,36,43.37,31027
31,28,40,18,45.0,3,7.5,19,47.5,31028
31,29,68,29,42.65,13,19.12,26,38.24,31029
31,30,61,28,45.9,9,14.75,24,39.34,31030
31,31,52,21,40.38,9,17.31,22,42.31,31031
31,32,29,16,55.17,3,10.34,10,34.48,31032
31,33,61,28,45.9,7,11.48,26,42.62,31033
31,34,88,46,52.27,11,12.5,31,35.23,31034
31,35,69,32,46.38,5,7.25,32,46.38,31035
31,36,75,37,49.33,6,8.0,32,42.67,31036
31,37,52,29,55.77,2,3.85,21,40.38,31037
31,38,42,19,45.24,8,19.05,15,35.71,31038
31,39,76,22,28.95,11,14.47,43,56.58,31039
31,40,85,32,37.65,10,11.76,43,50.59,31040
31,41,70,27,38.57,13,18.57,30,42.86,31041
32,1,100,25,25.0,13,13.0,62,62.0,32001
32,3,205,55,26.83,20,9.76,130,63.41,32003
32,11,180,36,20.0,13,7.22,131,72.78,32011
32,12,156,30,19.23,21,13.46,105,67.31,32012
32,14,220,49,22.27,24,10.91,147,66.82,32014
32,17,205,56,27.32,15,7.32,134,65.37,32017
32,20,188,52,27.66,9,4.79,127,67.55,32020
32,22,284,56,19.72,24,8.45,204,71.83,32022
32,26,234,81,34.62,16,6.84,137,58.55,32026
32,28,206,60,29.13,11,5.34,135,65.53,32028
32,43,224,56,25.0,21,9.38,147,65.63,32043
33,1,200,62,31.0,12,6.0,126,63.0,33001
33,2,262,104,39.69,25,9.54,133,50.76,33002
33,3,280,106,37.86,20,7.14,154,55.0,33003
33,4,256,104,40.63,24,9.38,128,50.0,33004
33,5,149,65,43.62,9,6.04,75,50.34,33005
33,6,148,68,45.95,17,11.49,63,42.57,33006
33,7,223,56,25.11,28,12.56,139,62.33,33007
33,8,232,80,34.48,17,7.33,135,58.19,33008
33,9,213,86,40.38,17,7.98,110,51.64,33009
33,10,126,52,41.27,14,11.11,60,47.62,33010
33,11,219,88,40.18,16,7.31,115,52.51,33011
33,12,177,85,48.02,26,14.69,66,37.29,33012
33,13,181,57,31.49,23,12.71,101,55.8,33013
33,14,99,35,35.35,12,12.12,52,52.53,33014
33,15,223,98,43.95,16,7.17,109,48.88,33015
33,16,250,126,50.4,23,9.2,101,40.4,33016
33,17,214,107,50.0,14,6.54,93,43.46,33017
33,18,248,79,31.85,21,8.47,148,59.68,33018
33,19,176,64,36.36,15,8.52,97,55.11,33019
33,20,284,103,36.27,24,8.45,157,55.28,33020
33,21,216,88,40.74,18,8.33,110,50.93,33021
33,22,189,121,64.02,13,6.88,55,29.1,33022
33,23,242,95,39.26,13,5.37,134,55.37,33023
33,24,163,59,36.2,12,7.36,92,56.44,33024
33,25,236,106,44.92,22,9.32,108,45.76,33025
33,26,148,41,27.7,12,8.11,95,64.19,33026
33,27,186,55,29.57,12,6.45,119,63.98,33027
33,28,182,56,30.77,8,4.4,118,64.84,33028
35,1,200,63,31.5,20,10.0,117,58.5,35001
35,2,222,53,23.87,11,4.95,158,71.17,35002
35,3,133,26,19.55,8,6.02,99,74.44,35003
35,4,178,79,44.38,13,7.3,86,48.31,35004
35,5,148,43,29.05,12,8.11,93,62.84,35005
35,6,154,45,29.22,9,5.84,100,64.94,35006
35,7,197,42,21.32,17,8.63,138,70.05,35007
35,8,173,31,17.92,15,8.67,127,73.41,35008
35,9,124,52,41.94,12,9.68,60,48.39,35009
35,10,213,28,13.15,18,8.45,167,78.4,35010
35,11,210,50,23.81,13,6.19,147,70.0,35011
35,12,80,29,36.25,9,11.25,42,52.5,35012
35,13,79,31,39.24,7,8.86,41,51.9,35013
35,14,107,28,26.17,15,14.02,64,59.81,35014
35,15,205,48,23.41,6,2.93,151,73.66,35015
35,16,44,16,36.36,1,2.27,27,61.36,35016
35,17,198,39,19.7,23,11.62,136,68.69,35017
35,18,88,29,32.95,7,7.95,52,59.09,35018
35,19,65,23,35.38,12,18.46,30,46.15,35019
35,20,132,55,41.67,12,9.09,65,49.24,35020
35,21,165,45,27.27,13,7.88,107,64.85,35021
35,22,186,60,32.26,17,9.14,109,58.6,35022
35,23,179,65,36.31,25,13.97,89,49.72,35023
35,24,144,53,36.81,14,9.72,77,53.47,35024
35,25,162,30,18.52,10,6.17,122,75.31,35025
35,26,117,46,39.32,7,5.98,64,54.7,35026
35,27,153,40,26.14,19,12.42,94,61.44,35027
35,28,190,66,34.74,11,5.79,113,59.47,35028
35,29,118,49,41.53,15,12.71,54,45.76,35029
35,30,118,53,44.92,12,10.17,53,44.92,35030
35,31,180,60,33.33,15,8.33,105,58.33,35031
36,1,98,40,40.82,17,17.35,41,41.84,36001
36,2,84,41,48.81,13,15.48,30,35.71,36002
36,3,87,37,42.53,17,19.54,33,37.93,36003
36,4,81,37,45.68,11,13.58,33,40.74,36004
36,5,84,24,28.57,20,23.81,40,47.62,36005
36,6,64,23,35.94,11,17.19,30,46.88,36006
36,7,144,55,38.19,26,18.06,63,43.75,36007
36,8,56,26,46.43,7,12.5,23,41.07,36008
36,9,66,29,43.94,15,22.73,22,33.33,36009
36,10,102,44,43.14,15,14.71,43,42.16,36010
36,11,63,22,34.92,16,25.4,25,39.68,36011
36,12,60,23,38.33,5,8.33,32,53.33,36012
36,13,76,23,30.26,11,14.47,42,55.26,36013
36,14,135,47,34.81,18,13.33,70,51.85,36014
36,15,116,58,50.0,13,11.21,45,38.79,36015
36,16,124,52,41.94,13,10.48,59,47.58,36016
36,17,150,68,45.33,19,12.67,63,42.0,36017
36,18,145,48,33.1,24,16.55,73,50.34,36018
36,19,117,50,42.74,19,16.24,48,41.03,36019
36,20,118,55,46.61,17,14.41,46,38.98,36020
36,21,79,31,39.24,16,20.25,32,40.51,36021
36,22,52,18,34.62,6,11.54,28,53.85,36022
36,23,45,19,42.22,5,11.11,21,46.67,36023
36,24,103,42,40.78,19,18.45,42,40.78,36024
36,25,81,29,35.8,16,19.75,36,44.44,36025
36,26,91,29,31.87,14,15.38,48,52.75,36026
36,27,94,35,37.23,31,32.98,28,29.79,36027
36,28,85,26,30.59,14,16.47,45,52.94,36028
36,29,116,48,41.38,28,24.14,40,34.48,36029
36,30,104,36,34.62,26,25.0,42,40.38,36030
37,2,61,21,34.43,16,26.23,24,39.34,37002
37,4,60,11,18.33,14,23.33,35,58.33,37004
37,7,73,21,28.77,23,31.51,29,39.73,37007
37,8,52,22,42.31,11,21.15,19,36.54,37008
37,10,87,30,34.48,21,24.14,36,41.38,37010
37,12,67,24,35.82,21,31.34,22,32.84,37012
37,19,65,16,24.62,26,40.0,23,35.38,37019
37,21,59,18,30.51,15,25.42,26,44.07,37021
37,22,63,22,34.92,25,39.68,16,25.4,37022
37,26,0,0,0.0,0,0.0,0,0.0,37026
37,28,72,26,36.11,23,31.94,23,31.94,37028
38,1,131,38,29.01,21,16.03,72,54.96,38001
38,3,98,42,42.86,18,18.37,38,38.78,38003
38,4,106,35,33.02,25,23.58,46,43.4,38004
38,5,99,29,29.29,19,19.19,51,51.52,38005
38,6,85,31,36.47,15,17.65,39,45.88,38006
38,7,112,51,45.54,21,18.75,40,35.71,38007
38,8,86,41,47.67,13,15.12,32,37.21,38008
38,9,143,43,30.07,28,19.58,72,50.35,38009
38,10,99,30,30.3,28,28.28,41,41.41,38010
38,11,115,28,24.35,21,18.26,66,57.39,38011
38,13,11,2,18.18,3,27.27,6,54.55,38013
38,14,142,40,28.17,27,19.01,75,52.82,38014
38,15,111,29,26.13,23,20.72,59,53.15,38015
38,16,101,42,41.58,19,18.81,40,39.6,38016
38,17,127,38,29.92,27,21.26,62,48.82,38017
38,20,106,51,48.11,19,17.92,36,33.96,38020
38,21,127,44,34.65,22,17.32,61,48.03,38021
38,22,58,17,29.31,8,13.79,33,56.9,38022
38,23,145,39,26.9,23,15.86,83,57.24,38023
38,24,112,38,33.93,28,25.0,46,41.07,38024
38,26,129,51,39.53,23,17.83,55,42.64,38026
38,27,104,48,46.15,20,19.23,36,34.62,38027
38,28,18,11,61.11,4,22.22,3,16.67,38028
38,29,126,38,30.16,27,21.43,61,48.41,38029
38,30,98,32,32.65,11,11.22,55,56.12,38030
38,31,167,48,28.74,31,18.56,88,52.69,38031
38,33,99,23,23.23,19,19.19,57,57.58,38033
38,34,131,43,32.82,15,11.45,73,55.73,38034
38,35,128,49,38.28,21,16.41,58,45.31,38035
38,36,47,12,25.53,19,40.43,16,34.04,38036
38,37,128,45,35.16,23,17.97,60,46.88,38037
38,38,112,39,34.82,26,23.21,47,41.96,38038
38,39,155,45,29.03,36,23.23,74,47.74,38039
38,40,153,48,31.37,28,18.3,77,50.33,38040
38,41,188,49,26.06,32,17.02,107,56.91,38041
39,6,142,40,28.17,23,16.2,79,55.63,39006
39,7,149,49,32.89,16,10.74,84,56.38,39007
39,8,201,44,21.89,24,11.94,133,66.17,39008
39,10,94,14,14.89,9,9.57,71,75.53,39010
39,12,192,57,29.69,16,8.33,119,61.98,39012
39,28,246,91,36.99,21,8.54,134,54.47,39028
39,29,71,23,32.39,9,12.68,39,54.93,39029
39,31,101,41,40.59,7,6.93,53,52.48,39031
39,33,158,45,28.48,15,9.49,98,62.03,39033
45,1,165,42,25.45,16,9.7,107,64.85,45001
45,2,201,70,34.83,15,7.46,116,57.71,45002
45,7,5,0,0.0,0,0.0,5,100.0,45007
45,8,147,41,27.89,22,14.97,84,57.14,45008
45,9,142,52,36.62,15,10.56,75,52.82,45009
45,10,168,62,36.9,27,16.07,79,47.02,45010
45,11,90,33,36.67,16,17.78,41,45.56,45011
45,12,132,40,30.3,21,15.91,71,53.79,45012
45,13,140,33,23.57,15,10.71,92,65.71,45013
45,14,207,74,35.75,35,16.91,98,47.34,45014
45,15,28,10,35.71,5,17.86,13,46.43,45015
45,17,3,2,66.67,0,0.0,1,33.33,45017
47,48,23,10,43.48,7,30.43,6,26.09,47048
