ward,precinct,total,George A. Cardenas,George A. Cardenas Percent,Tammy Wendt,Tammy Wendt Percent,precinct_id
19,32,125,68,54.4,57,45.6,19032
19,33,99,42,42.42,57,57.58,19033
19,34,147,88,59.86,59,40.14,19034
19,35,181,101,55.8,80,44.2,19035
19,36,208,115,55.29,93,44.71,19036
19,37,216,138,63.89,78,36.11,19037
19,38,178,102,57.3,76,42.7,19038
19,39,37,16,43.24,21,56.76,19039
19,40,192,123,64.06,69,35.94,19040
19,41,87,32,36.78,55,63.22,19041
19,42,141,82,58.16,59,41.84,19042
19,43,203,100,49.26,103,50.74,19043
19,44,116,53,45.69,63,54.31,19044
19,45,127,64,50.39,63,49.61,19045
19,46,134,70,52.24,64,47.76,19046
19,47,298,150,50.34,148,49.66,19047
19,48,160,73,45.63,87,54.38,19048
19,49,230,138,60.0,92,40.0,19049
19,50,116,42,36.21,74,63.79,19050
19,51,170,89,52.35,81,47.65,19051
19,52,119,61,51.26,58,48.74,19052
19,53,123,63,51.22,60,48.78,19053
19,54,70,35,50.0,35,50.0,19054
19,55,70,28,40.0,42,60.0,19055
19,56,213,116,54.46,97,45.54,19056
19,57,164,91,55.49,73,44.51,19057
20,15,63,44,69.84,19,30.16,20015
22,1,54,27,50.0,27,50.0,22001
22,2,96,71,73.96,25,26.04,22002
22,3,105,89,84.76,16,15.24,22003
22,4,48,39,81.25,9,18.75,22004
22,5,69,57,82.61,12,17.39,22005
22,6,66,55,83.33,11,16.67,22006
22,7,71,51,71.83,20,28.17,22007
22,8,114,78,68.42,36,31.58,22008
22,9,59,43,72.88,16,27.12,22009
22,10,113,93,82.3,20,17.7,22010
22,11,48,37,77.08,11,22.92,22011
22,12,71,45,63.38,26,36.62,22012
22,13,58,48,82.76,10,17.24,22013
22,14,70,47,67.14,23,32.86,22014
22,15,50,39,78.0,11,22.0,22015
22,16,52,44,84.62,8,15.38,22016
22,17,84,71,84.52,13,15.48,22017
22,18,53,46,86.79,7,13.21,22018
22,19,39,25,64.1,14,35.9,22019
22,20,64,54,84.38,10,15.63,22020
22,21,86,64,74.42,22,25.58,22021
22,22,46,34,73.91,12,26.09,22022
22,23,134,68,50.75,66,49.25,22023
22,24,97,79,81.44,18,18.56,22024
22,25,55,46,83.64,9,16.36,22025
23,1,79,47,59.49,32,40.51,23001
23,2,97,64,65.98,33,34.02,23002
23,3,81,47,58.02,34,41.98,23003
23,4,78,50,64.1,28,35.9,23004
23,5,55,37,67.27,18,32.73,23005
23,6,66,44,66.67,22,33.33,23006
23,7,49,36,73.47,13,26.53,23007
23,8,88,64,72.73,24,27.27,23008
23,9,39,29,74.36,10,25.64,23009
23,10,81,56,69.14,25,30.86,23010
23,11,66,50,75.76,16,24.24,23011
23,12,86,51,59.3,35,40.7,23012
23,13,52,43,82.69,9,17.31,23013
23,14,66,44,66.67,22,33.33,23014
23,15,48,34,70.83,14,29.17,23015
23,16,108,61,56.48,47,43.52,23016
23,17,33,26,78.79,7,21.21,23017
23,18,79,50,63.29,29,36.71,23018
23,20,36,28,77.78,8,22.22,23020
23,21,89,55,61.8,34,38.2,23021
23,22,67,42,62.69,25,37.31,23022
23,23,101,68,67.33,33,32.67,23023
23,24,60,42,70.0,18,30.0,23024
23,25,55,39,70.91,16,29.09,23025
23,26,71,56,78.87,15,21.13,23026
23,27,88,50,56.82,38,43.18,23027
23,28,71,52,73.24,19,26.76,23028
23,29,71,51,71.83,20,28.17,23029
23,30,71,60,84.51,11,15.49,23030
23,31,45,39,86.67,6,13.33,23031
23,32,62,44,70.97,18,29.03,23032
23,33,65,53,81.54,12,18.46,23033
23,34,58,42,72.41,16,27.59,23034
23,35,47,28,59.57,19,40.43,23035
23,36,90,46,51.11,44,48.89,23036
23,37,117,75,64.1,42,35.9,23037
23,38,80,52,65.0,28,35.0,23038
23,39,85,69,81.18,16,18.82,23039
24,2,62,35,56.45,27,43.55,24002
24,3,72,43,59.72,29,40.28,24003
24,6,83,40,48.19,43,51.81,24006
24,7,48,35,72.92,13,27.08,24007
24,9,70,40,57.14,30,42.86,24009
24,10,62,38,61.29,24,38.71,24010
24,12,43,21,48.84,22,51.16,24012
24,13,37,22,59.46,15,40.54,24013
24,14,44,18,40.91,26,59.09,24014
24,16,397,179,45.09,218,54.91,24016
24,23,65,33,50.77,32,49.23,24023
24,34,62,34,54.84,28,45.16,24034
24,38,80,40,50.0,40,50.0,24038
24,39,101,61,60.4,40,39.6,24039
25,1,99,70,70.71,29,29.29,25001
25,2,152,108,71.05,44,28.95,25002
25,4,52,28,53.85,24,46.15,25004
25,5,117,87,74.36,30,25.64,25005
25,6,39,29,74.36,10,25.64,25006
25,7,114,90,78.95,24,21.05,25007
25,8,127,102,80.31,25,19.69,25008
25,9,92,68,73.91,24,26.09,25009
25,11,133,99,74.44,34,25.56,25011
25,12,123,90,73.17,33,26.83,25012
25,13,171,128,74.85,43,25.15,25013
25,14,87,58,66.67,29,33.33,25014
25,15,106,75,70.75,31,29.25,25015
25,17,149,110,73.83,39,26.17,25017
25,18,56,41,73.21,15,26.79,25018
25,19,127,83,65.35,44,34.65,25019
25,20,55,29,52.73,26,47.27,25020
25,22,111,90,81.08,21,18.92,25022
25,23,168,132,78.57,36,21.43,25023
25,24,94,72,76.6,22,23.4,25024
25,26,108,81,75.0,27,25.0,25026
25,27,19,13,68.42,6,31.58,25027
25,28,119,91,76.47,28,23.53,25028
25,29,100,56,56.0,44,44.0,25029
25,30,103,72,69.9,31,30.1,25030
25,32,93,53,56.99,40,43.01,25032
26,8,46,31,67.39,15,32.61,26008
26,11,97,73,75.26,24,24.74,26011
26,13,41,33,80.49,8,19.51,26013
26,15,45,30,66.67,15,33.33,26015
26,16,36,26,72.22,10,27.78,26016
26,18,60,44,73.33,16,26.67,26018
26,22,22,20,90.91,2,9.09,26022
26,23,51,35,68.63,16,31.37,26023
26,24,77,51,66.23,26,33.77,26024
26,38,46,29,63.04,17,36.96,26038
26,43,51,41,80.39,10,19.61,26043
26,44,46,38,82.61,8,17.39,26044
26,45,41,28,68.29,13,31.71,26045
26,47,46,34,73.91,12,26.09,26047
26,49,42,27,64.29,15,35.71,26049
28,5,55,30,54.55,25,45.45,28005
28,19,14,12,85.71,2,14.29,28019
28,34,56,40,71.43,16,28.57,28034
29,1,203,104,51.23,99,48.77,29001
29,7,144,86,59.72,58,40.28,29007
29,9,173,100,57.8,73,42.2,29009
29,10,205,120,58.54,85,41.46,29010
29,12,142,76,53.52,66,46.48,29012
29,15,142,68,47.89,74,52.11,29015
29,17,89,55,61.8,34,38.2,29017
29,23,119,65,54.62,54,45.38,29023
29,24,104,53,50.96,51,49.04,29024
29,30,186,106,56.99,80,43.01,29030
29,36,109,58,53.21,51,46.79,29036
29,38,100,59,59.0,41,41.0,29038
29,43,188,104,55.32,84,44.68,29043
30,5,51,38,74.51,13,25.49,30005
30,6,92,59,64.13,33,35.87,30006
30,10,107,77,71.96,30,28.04,30010
30,11,74,53,71.62,21,28.38,30011
30,12,57,41,71.93,16,28.07,30012
30,13,103,74,71.84,29,28.16,30013
30,14,54,39,72.22,15,27.78,30014
30,16,45,33,73.33,12,26.67,30016
30,18,175,136,77.71,39,22.29,30018
30,19,71,52,73.24,19,26.76,30019
30,22,206,164,79.61,42,20.39,30022
30,24,202,156,77.23,46,22.77,30024
30,25,197,141,71.57,56,28.43,30025
30,29,58,43,74.14,15,25.86,30029
30,30,44,33,75.0,11,25.0,30030
31,1,54,45,83.33,9,16.67,31001
31,2,50,34,68.0,16,32.0,31002
31,3,47,37,78.72,10,21.28,31003
31,4,110,75,68.18,35,31.82,31004
31,5,87,59,67.82,28,32.18,31005
31,7,156,109,69.87,47,30.13,31007
31,10,83,54,65.06,29,34.94,31010
31,13,76,67,88.16,9,11.84,31013
31,15,52,38,73.08,14,26.92,31015
31,16,131,95,72.52,36,27.48,31016
31,17,57,47,82.46,10,17.54,31017
31,18,75,63,84.0,12,16.0,31018
31,19,63,46,73.02,17,26.98,31019
31,20,60,43,71.67,17,28.33,31020
31,21,51,38,74.51,13,25.49,31021
31,22,54,39,72.22,15,27.78,31022
31,24,94,65,69.15,29,30.85,31024
31,26,97,66,68.04,31,31.96,31026
31,27,75,63,84.0,12,16.0,31027
31,28,37,35,94.59,2,5.41,31028
31,29,65,45,69.23,20,30.77,31029
31,30,56,33,58.93,23,41.07,31030
31,32,28,20,71.43,8,28.57,31032
31,37,51,38,74.51,13,25.49,31037
31,38,39,24,61.54,15,38.46,31038
31,39,75,57,76.0,18,24.0,31039
31,40,79,61,77.22,18,22.78,31040
31,41,68,50,73.53,18,26.47,31041
35,3,128,92,71.88,36,28.13,35003
35,12,73,53,72.6,20,27.4,35012
35,13,73,52,71.23,21,28.77,35013
35,14,100,63,63.0,37,37.0,35014
35,15,187,152,81.28,35,18.72,35015
35,16,38,31,81.58,7,18.42,35016
35,18,86,58,67.44,28,32.56,35018
35,19,59,45,76.27,14,23.73,35019
35,21,162,114,70.37,48,29.63,35021
35,28,179,131,73.18,48,26.82,35028
36,1,95,70,73.68,25,26.32,36001
36,2,78,56,71.79,22,28.21,36002
36,3,80,63,78.75,17,21.25,36003
36,4,78,49,62.82,29,37.18,36004
36,5,78,46,58.97,32,41.03,36005
36,6,63,46,73.02,17,26.98,36006
36,8,55,39,70.91,16,29.09,36008
36,9,68,42,61.76,26,38.24,36009
36,11,60,43,71.67,17,28.33,36011
36,12,57,49,85.96,8,14.04,36012
36,13,69,57,82.61,12,17.39,36013
36,21,72,56,77.78,16,22.22,36021
36,22,49,33,67.35,16,32.65,36022
36,23,44,31,70.45,13,29.55,36023
36,25,77,60,77.92,17,22.08,36025
36,27,86,50,58.14,36,41.86,36027
37,6,97,50,51.55,47,48.45,37006
37,10,112,66,58.93,46,41.07,37010
37,16,113,62,54.87,51,45.13,37016
37,22,62,38,61.29,24,38.71,37022
37,24,109,54,49.54,55,50.46,37024
37,26,133,67,50.38,66,49.62,37026
37,41,107,47,43.93,60,56.07,37041
