ward,precinct,total,Michael Cabonargi,Michael Cabonargi Percent,Samantha Steele,Samantha Steele Percent,precinct_id
31,12,72,32,44.44,40,55.56,31012
31,14,67,33,49.25,34,50.75,31014
31,23,82,33,40.24,49,59.76,31023
31,25,55,29,52.73,26,47.27,31025
31,31,50,25,50.0,25,50.0,31031
31,33,57,27,47.37,30,52.63,31033
31,34,86,36,41.86,50,58.14,31034
31,35,63,22,34.92,41,65.08,31035
31,36,67,22,32.84,45,67.16,31036
32,1,168,50,29.76,118,70.24,32001
32,2,134,51,38.06,83,61.94,32002
32,3,189,51,26.98,138,73.02,32003
32,4,149,70,46.98,79,53.02,32004
32,5,152,51,33.55,101,66.45,32005
32,6,175,55,31.43,120,68.57,32006
32,7,156,48,30.77,108,69.23,32007
32,8,155,58,37.42,97,62.58,32008
32,9,142,45,31.69,97,68.31,32009
32,10,154,76,49.35,78,50.65,32010
32,11,172,46,26.74,126,73.26,32011
32,12,146,40,27.4,106,72.6,32012
32,13,142,50,35.21,92,64.79,32013
32,14,201,57,28.36,144,71.64,32014
32,15,151,64,42.38,87,57.62,32015
32,16,156,63,40.38,93,59.62,32016
32,17,179,46,25.7,133,74.3,32017
32,18,131,46,35.11,85,64.89,32018
32,19,145,55,37.93,90,62.07,32019
32,20,177,46,25.99,131,74.01,32020
32,21,183,72,39.34,111,60.66,32021
32,22,259,58,22.39,201,77.61,32022
32,23,144,58,40.28,86,59.72,32023
32,24,115,52,45.22,63,54.78,32024
32,25,163,66,40.49,97,59.51,32025
32,26,220,78,35.45,142,64.55,32026
32,27,110,44,40.0,66,60.0,32027
32,28,198,46,23.23,152,76.77,32028
32,29,146,51,34.93,95,65.07,32029
32,30,117,55,47.01,62,52.99,32030
32,31,132,51,38.64,81,61.36,32031
32,32,178,62,34.83,116,65.17,32032
32,33,150,61,40.67,89,59.33,32033
32,34,155,45,29.03,110,70.97,32034
32,35,142,62,43.66,80,56.34,32035
32,36,134,49,36.57,85,63.43,32036
32,37,161,57,35.4,104,64.6,32037
32,38,143,55,38.46,88,61.54,32038
32,39,146,67,45.89,79,54.11,32039
32,40,146,60,41.1,86,58.9,32040
32,41,157,55,35.03,102,64.97,32041
32,42,126,57,45.24,69,54.76,32042
32,43,203,42,20.69,161,79.31,32043
33,1,202,66,32.67,136,67.33,33001
33,2,224,76,33.93,148,66.07,33002
33,3,259,84,32.43,175,67.57,33003
33,4,229,80,34.93,149,65.07,33004
33,5,138,50,36.23,88,63.77,33005
33,6,139,49,35.25,90,64.75,33006
33,7,200,65,32.5,135,67.5,33007
33,8,287,121,42.16,166,57.84,33008
33,9,203,77,37.93,126,62.07,33009
33,10,140,62,44.29,78,55.71,33010
33,11,207,78,37.68,129,62.32,33011
33,12,162,68,41.98,94,58.02,33012
33,13,172,63,36.63,109,63.37,33013
33,14,92,38,41.3,54,58.7,33014
33,15,210,73,34.76,137,65.24,33015
33,16,230,100,43.48,130,56.52,33016
33,17,185,56,30.27,129,69.73,33017
33,18,230,73,31.74,157,68.26,33018
33,19,174,55,31.61,119,68.39,33019
33,20,264,90,34.09,174,65.91,33020
33,21,200,75,37.5,125,62.5,33021
33,22,169,88,52.07,81,47.93,33022
33,23,227,76,33.48,151,66.52,33023
33,24,301,128,42.52,173,57.48,33024
33,25,212,88,41.51,124,58.49,33025
33,26,138,38,27.54,100,72.46,33026
33,27,171,50,29.24,121,70.76,33027
33,28,164,41,25.0,123,75.0,33028
35,1,180,47,26.11,133,73.89,35001
35,2,198,57,28.79,141,71.21,35002
35,4,164,66,40.24,98,59.76,35004
35,5,139,44,31.65,95,68.35,35005
35,6,143,38,26.57,105,73.43,35006
35,7,186,47,25.27,139,74.73,35007
35,8,161,42,26.09,119,73.91,35008
35,9,114,42,36.84,72,63.16,35009
35,10,191,37,19.37,154,80.63,35010
35,11,185,48,25.95,137,74.05,35011
35,17,181,47,25.97,134,74.03,35017
35,20,115,37,32.17,78,67.83,35020
35,22,173,47,27.17,126,72.83,35022
35,23,160,61,38.13,99,61.88,35023
35,24,126,35,27.78,91,72.22,35024
35,25,146,27,18.49,119,81.51,35025
35,26,109,39,35.78,70,64.22,35026
35,27,135,44,32.59,91,67.41,35027
35,29,106,30,28.3,76,71.7,35029
35,30,112,37,33.04,75,66.96,35030
35,31,173,53,30.64,120,69.36,35031
36,7,136,71,52.21,65,47.79,36007
36,10,96,45,46.88,51,53.13,36010
36,14,127,53,41.73,74,58.27,36014
36,15,117,65,55.56,52,44.44,36015
36,16,113,48,42.48,65,57.52,36016
36,17,142,73,51.41,69,48.59,36017
36,18,135,63,46.67,72,53.33,36018
36,19,114,43,37.72,71,62.28,36019
36,20,113,48,42.48,65,57.52,36020
36,24,102,52,50.98,50,49.02,36024
36,26,81,42,51.85,39,48.15,36026
36,28,83,38,45.78,45,54.22,36028
36,29,114,64,56.14,50,43.86,36029
36,30,102,57,55.88,45,44.12,36030
38,1,126,57,45.24,69,54.76,38001
38,2,117,81,69.23,36,30.77,38002
38,3,94,52,55.32,42,44.68,38003
38,4,107,67,62.62,40,37.38,38004
38,5,95,69,72.63,26,27.37,38005
38,6,82,46,56.1,36,43.9,38006
38,7,108,67,62.04,41,37.96,38007
38,8,89,47,52.81,42,47.19,38008
38,9,139,67,48.2,72,51.8,38009
38,10,93,41,44.09,52,55.91,38010
38,11,105,48,45.71,57,54.29,38011
38,12,104,72,69.23,32,30.77,38012
38,13,117,72,61.54,45,38.46,38013
38,14,136,73,53.68,63,46.32,38014
38,15,111,57,51.35,54,48.65,38015
38,16,98,59,60.2,39,39.8,38016
38,17,123,77,62.6,46,37.4,38017
38,18,123,59,47.97,64,52.03,38018
38,19,150,99,66.0,51,34.0,38019
38,20,101,58,57.43,43,42.57,38020
38,21,123,73,59.35,50,40.65,38021
38,22,134,76,56.72,58,43.28,38022
38,23,135,65,48.15,70,51.85,38023
38,24,103,62,60.19,41,39.81,38024
38,25,110,49,44.55,61,55.45,38025
38,26,126,73,57.94,53,42.06,38026
38,27,98,64,65.31,34,34.69,38027
38,28,102,59,57.84,43,42.16,38028
38,29,122,66,54.1,56,45.9,38029
38,30,89,52,58.43,37,41.57,38030
38,31,172,88,51.16,84,48.84,38031
38,32,111,59,53.15,52,46.85,38032
38,33,94,35,37.23,59,62.77,38033
38,34,131,61,46.56,70,53.44,38034
38,35,118,45,38.14,73,61.86,38035
38,36,113,64,56.64,49,43.36,38036
38,37,124,61,49.19,63,50.81,38037
38,38,113,57,50.44,56,49.56,38038
38,39,151,61,40.4,90,59.6,38039
38,40,149,74,49.66,75,50.34,38040
38,41,176,99,56.25,77,43.75,38041
39,1,127,76,59.84,51,40.16,39001
39,2,126,61,48.41,65,51.59,39002
39,3,184,67,36.41,117,63.59,39003
39,4,148,82,55.41,66,44.59,39004
39,5,168,77,45.83,91,54.17,39005
39,6,131,52,39.69,79,60.31,39006
39,7,143,72,50.35,71,49.65,39007
39,8,175,67,38.29,108,61.71,39008
39,9,115,49,42.61,66,57.39,39009
39,10,93,31,33.33,62,66.67,39010
39,11,145,61,42.07,84,57.93,39011
39,12,178,81,45.51,97,54.49,39012
39,13,110,36,32.73,74,67.27,39013
39,14,157,65,41.4,92,58.6,39014
39,15,149,91,61.07,58,38.93,39015
39,16,87,41,47.13,46,52.87,39016
39,17,209,99,47.37,110,52.63,39017
39,18,156,70,44.87,86,55.13,39018
39,19,162,62,38.27,100,61.73,39019
39,20,170,88,51.76,82,48.24,39020
39,21,126,56,44.44,70,55.56,39021
39,22,89,35,39.33,54,60.67,39022
39,23,142,77,54.23,65,45.77,39023
39,24,185,98,52.97,87,47.03,39024
39,25,87,41,47.13,46,52.87,39025
39,26,111,55,49.55,56,50.45,39026
39,27,37,20,54.05,17,45.95,39027
39,28,222,94,42.34,128,57.66,39028
39,29,70,19,27.14,51,72.86,39029
39,30,163,62,38.04,101,61.96,39030
39,31,100,51,51.0,49,49.0,39031
39,32,134,67,50.0,67,50.0,39032
39,33,136,48,35.29,88,64.71,39033
39,34,143,53,37.06,90,62.94,39034
39,35,164,80,48.78,84,51.22,39035
39,36,48,16,33.33,32,66.67,39036
39,37,170,98,57.65,72,42.35,39037
39,38,129,87,67.44,42,32.56,39038
39,39,93,46,49.46,47,50.54,39039
39,40,131,73,55.73,58,44.27,39040
39,41,168,79,47.02,89,52.98,39041
39,42,180,119,66.11,61,33.89,39042
39,43,141,79,56.03,62,43.97,39043
39,44,107,56,52.34,51,47.66,39044
39,45,150,84,56.0,66,44.0,39045
40,1,120,49,40.83,71,59.17,40001
40,2,159,78,49.06,81,50.94,40002
40,3,246,86,34.96,160,65.04,40003
40,4,95,52,54.74,43,45.26,40004
40,5,209,93,44.5,116,55.5,40005
40,6,231,85,36.8,146,63.2,40006
40,7,223,100,44.84,123,55.16,40007
40,8,317,126,39.75,191,60.25,40008
40,9,114,56,49.12,58,50.88,40009
40,10,120,62,51.67,58,48.33,40010
40,11,219,105,47.95,114,52.05,40011
40,12,174,68,39.08,106,60.92,40012
40,13,317,123,38.8,194,61.2,40013
40,14,138,52,37.68,86,62.32,40014
40,15,132,63,47.73,69,52.27,40015
40,16,299,122,40.8,177,59.2,40016
40,17,182,85,46.7,97,53.3,40017
40,18,104,57,54.81,47,45.19,40018
40,19,189,86,45.5,103,54.5,40019
40,20,140,50,35.71,90,64.29,40020
40,21,261,131,50.19,130,49.81,40021
40,22,249,131,52.61,118,47.39,40022
40,23,310,113,36.45,197,63.55,40023
40,24,123,67,54.47,56,45.53,40024
40,25,268,95,35.45,173,64.55,40025
40,26,236,102,43.22,134,56.78,40026
40,27,219,101,46.12,118,53.88,40027
40,28,200,85,42.5,115,57.5,40028
40,29,185,109,58.92,76,41.08,40029
40,30,165,94,56.97,71,43.03,40030
40,31,274,99,36.13,175,63.87,40031
40,32,231,114,49.35,117,50.65,40032
40,33,252,124,49.21,128,50.79,40033
40,34,137,70,51.09,67,48.91,40034
40,35,67,42,62.69,25,37.31,40035
40,36,158,90,56.96,68,43.04,40036
40,37,167,93,55.69,74,44.31,40037
40,38,250,102,40.8,148,59.2,40038
40,39,33,17,51.52,16,48.48,40039
41,1,110,59,53.64,51,46.36,41001
41,2,121,70,57.85,51,42.15,41002
41,3,128,67,52.34,61,47.66,41003
41,4,133,82,61.65,51,38.35,41004
41,5,131,79,60.31,52,39.69,41005
41,6,195,121,62.05,74,37.95,41006
41,7,109,57,52.29,52,47.71,41007
41,8,117,67,57.26,50,42.74,41008
41,9,114,61,53.51,53,46.49,41009
41,10,169,112,66.27,57,33.73,41010
41,11,134,75,55.97,59,44.03,41011
41,12,108,66,61.11,42,38.89,41012
41,13,116,66,56.9,50,43.1,41013
41,14,191,115,60.21,76,39.79,41014
41,15,168,85,50.6,83,49.4,41015
41,16,103,63,61.17,40,38.83,41016
41,17,112,59,52.68,53,47.32,41017
41,18,101,62,61.39,39,38.61,41018
41,19,157,78,49.68,79,50.32,41019
41,20,69,36,52.17,33,47.83,41020
41,21,142,82,57.75,60,42.25,41021
41,22,164,90,54.88,74,45.12,41022
41,23,105,72,68.57,33,31.43,41023
41,24,103,55,53.4,48,46.6,41024
41,25,49,21,42.86,28,57.14,41025
41,26,118,71,60.17,47,39.83,41026
41,27,64,40,62.5,24,37.5,41027
41,28,79,33,41.77,46,58.23,41028
41,29,45,30,66.67,15,33.33,41029
41,30,126,56,44.44,70,55.56,41030
41,31,118,56,47.46,62,52.54,41031
41,32,116,62,53.45,54,46.55,41032
41,33,110,71,64.55,39,35.45,41033
41,34,96,59,61.46,37,38.54,41034
41,35,166,86,51.81,80,48.19,41035
41,36,118,69,58.47,49,41.53,41036
41,37,149,89,59.73,60,40.27,41037
41,38,114,60,52.63,54,47.37,41038
41,39,163,87,53.37,76,46.63,41039
41,40,150,104,69.33,46,30.67,41040
41,41,103,67,65.05,36,34.95,41041
41,42,110,68,61.82,42,38.18,41042
41,43,123,71,57.72,52,42.28,41043
41,44,121,74,61.16,47,38.84,41044
41,45,122,63,51.64,59,48.36,41045
41,46,148,83,56.08,65,43.92,41046
41,47,168,83,49.4,85,50.6,41047
42,1,184,118,64.13,66,35.87,42001
42,3,33,10,30.3,23,69.7,42003
42,5,122,66,54.1,56,45.9,42005
42,9,77,33,42.86,44,57.14,42009
42,12,139,69,49.64,70,50.36,42012
42,14,139,55,39.57,84,60.43,42014
42,15,143,70,48.95,73,51.05,42015
42,17,147,64,43.54,83,56.46,42017
42,18,106,34,32.08,72,67.92,42018
42,19,88,53,60.23,35,39.77,42019
42,21,140,60,42.86,80,57.14,42021
42,23,127,50,39.37,77,60.63,42023
42,24,131,73,55.73,58,44.27,42024
42,34,137,81,59.12,56,40.88,42034
42,36,159,69,43.4,90,56.6,42036
42,37,89,41,46.07,48,53.93,42037
42,38,106,44,41.51,62,58.49,42038
42,39,103,43,41.75,60,58.25,42039
42,41,154,77,50.0,77,50.0,42041
43,1,80,36,45.0,44,55.0,43001
43,2,167,48,28.74,119,71.26,43002
43,3,140,72,51.43,68,48.57,43003
43,4,137,65,47.45,72,52.55,43004
43,5,149,69,46.31,80,53.69,43005
43,6,107,33,30.84,74,69.16,43006
43,7,123,39,31.71,84,68.29,43007
43,8,111,50,45.05,61,54.95,43008
43,9,161,59,36.65,102,63.35,43009
43,10,177,78,44.07,99,55.93,43010
43,11,98,51,52.04,47,47.96,43011
43,12,88,39,44.32,49,55.68,43012
43,13,172,67,38.95,105,61.05,43013
43,14,163,76,46.63,87,53.37,43014
43,15,140,71,50.71,69,49.29,43015
43,16,159,46,28.93,113,71.07,43016
43,17,123,55,44.72,68,55.28,43017
43,18,170,71,41.76,99,58.24,43018
43,19,153,72,47.06,81,52.94,43019
43,20,205,86,41.95,119,58.05,43020
43,21,134,58,43.28,76,56.72,43021
43,22,116,39,33.62,77,66.38,43022
43,23,98,44,44.9,54,55.1,43023
43,24,133,55,41.35,78,58.65,43024
43,25,179,90,50.28,89,49.72,43025
43,26,139,53,38.13,86,61.87,43026
43,27,150,73,48.67,77,51.33,43027
43,28,139,64,46.04,75,53.96,43028
43,29,184,70,38.04,114,61.96,43029
43,30,142,66,46.48,76,53.52,43030
43,31,152,60,39.47,92,60.53,43031
43,32,131,42,32.06,89,67.94,43032
43,33,191,86,45.03,105,54.97,43033
43,34,102,46,45.1,56,54.9,43034
43,35,177,96,54.24,81,45.76,43035
43,36,65,26,40.0,39,60.0,43036
43,37,130,33,25.38,97,74.62,43037
43,38,122,72,59.02,50,40.98,43038
43,39,85,29,34.12,56,65.88,43039
43,40,102,34,33.33,68,66.67,43040
43,41,160,61,38.13,99,61.88,43041
43,42,140,46,32.86,94,67.14,43042
43,43,167,91,54.49,76,45.51,43043
43,44,135,58,42.96,77,57.04,43044
43,45,111,50,45.05,61,54.95,43045
43,46,87,39,44.83,48,55.17,43046
44,1,277,115,41.52,162,58.48,44001
44,2,157,74,47.13,83,52.87,44002
44,3,152,108,71.05,44,28.95,44003
44,4,165,74,44.85,91,55.15,44004
44,5,169,70,41.42,99,58.58,44005
44,6,192,68,35.42,124,64.58,44006
44,7,143,68,47.55,75,52.45,44007
44,8,205,70,34.15,135,65.85,44008
44,9,131,43,32.82,88,67.18,44009
44,10,143,67,46.85,76,53.15,44010
44,11,158,49,31.01,109,68.99,44011
44,12,228,112,49.12,116,50.88,44012
44,13,127,57,44.88,70,55.12,44013
44,14,152,54,35.53,98,64.47,44014
44,15,179,70,39.11,109,60.89,44015
44,16,178,79,44.38,99,55.62,44016
44,17,248,104,41.94,144,58.06,44017
44,18,167,75,44.91,92,55.09,44018
44,19,243,101,41.56,142,58.44,44019
44,20,185,56,30.27,129,69.73,44020
44,21,183,66,36.07,117,63.93,44021
44,22,167,85,50.9,82,49.1,44022
44,23,149,62,41.61,87,58.39,44023
44,24,157,68,43.31,89,56.69,44024
44,25,202,62,30.69,140,69.31,44025
44,26,204,78,38.24,126,61.76,44026
44,27,184,68,36.96,116,63.04,44027
44,28,167,81,48.5,86,51.5,44028
44,29,181,68,37.57,113,62.43,44029
44,30,203,85,41.87,118,58.13,44030
44,31,112,30,26.79,82,73.21,44031
44,32,157,54,34.39,103,65.61,44032
44,33,190,66,34.74,124,65.26,44033
44,34,201,73,36.32,128,63.68,44034
44,35,215,109,50.7,106,49.3,44035
44,36,169,72,42.6,97,57.4,44036
44,37,238,98,41.18,140,58.82,44037
44,38,146,62,42.47,84,57.53,44038
44,39,173,69,39.88,104,60.12,44039
44,40,161,62,38.51,99,61.49,44040
44,41,212,75,35.38,137,64.62,44041
45,1,164,77,46.95,87,53.05,45001
45,2,189,70,37.04,119,62.96,45002
45,3,174,74,42.53,100,57.47,45003
45,4,202,87,43.07,115,56.93,45004
45,5,184,79,42.93,105,57.07,45005
45,6,252,110,43.65,142,56.35,45006
45,7,253,117,46.25,136,53.75,45007
45,8,151,72,47.68,79,52.32,45008
45,9,134,59,44.03,75,55.97,45009
45,10,152,68,44.74,84,55.26,45010
45,11,83,34,40.96,49,59.04,45011
45,12,128,58,45.31,70,54.69,45012
45,13,139,61,43.88,78,56.12,45013
45,14,210,87,41.43,123,58.57,45014
45,15,220,125,56.82,95,43.18,45015
45,16,148,68,45.95,80,54.05,45016
45,17,155,77,49.68,78,50.32,45017
45,18,153,82,53.59,71,46.41,45018
45,19,67,28,41.79,39,58.21,45019
45,20,84,43,51.19,41,48.81,45020
45,21,132,52,39.39,80,60.61,45021
45,22,94,48,51.06,46,48.94,45022
45,23,116,66,56.9,50,43.1,45023
45,24,81,42,51.85,39,48.15,45024
45,25,99,51,51.52,48,48.48,45025
45,26,73,45,61.64,28,38.36,45026
45,27,124,61,49.19,63,50.81,45027
45,28,102,42,41.18,60,58.82,45028
45,29,97,59,60.82,38,39.18,45029
45,30,115,45,39.13,70,60.87,45030
45,31,117,60,51.28,57,48.72,45031
45,32,117,48,41.03,69,58.97,45032
45,33,109,48,44.04,61,55.96,45033
45,34,138,59,42.75,79,57.25,45034
45,35,160,85,53.13,75,46.88,45035
45,36,168,83,49.4,85,50.6,45036
45,37,146,64,43.84,82,56.16,45037
45,38,118,61,51.69,57,48.31,45038
45,39,130,59,45.38,71,54.62,45039
45,40,120,58,48.33,62,51.67,45040
45,41,109,57,52.29,52,47.71,45041
45,42,145,79,54.48,66,45.52,45042
45,43,114,60,52.63,54,47.37,45043
45,44,149,81,54.36,68,45.64,45044
45,45,62,30,48.39,32,51.61,45045
45,46,81,51,62.96,30,37.04,45046
45,47,88,47,53.41,41,46.59,45047
45,48,87,48,55.17,39,44.83,45048
46,1,140,44,31.43,96,68.57,46001
46,2,207,63,30.43,144,69.57,46002
46,3,259,108,41.7,151,58.3,46003
46,4,223,82,36.77,141,63.23,46004
46,5,215,86,40.0,129,60.0,46005
46,6,187,68,36.36,119,63.64,46006
46,7,265,153,57.74,112,42.26,46007
46,8,139,51,36.69,88,63.31,46008
46,9,218,84,38.53,134,61.47,46009
46,10,255,89,34.9,166,65.1,46010
46,11,175,72,41.14,103,58.86,46011
46,12,241,79,32.78,162,67.22,46012
46,13,218,100,45.87,118,54.13,46013
46,14,143,70,48.95,73,51.05,46014
46,15,187,84,44.92,103,55.08,46015
46,16,270,86,31.85,184,68.15,46016
46,17,225,117,52.0,108,48.0,46017
46,18,202,75,37.13,127,62.87,46018
46,19,165,99,60.0,66,40.0,46019
46,20,175,60,34.29,115,65.71,46020
46,21,87,33,37.93,54,62.07,46021
46,22,116,37,31.9,79,68.1,46022
46,23,184,57,30.98,127,69.02,46023
46,24,302,129,42.72,173,57.28,46024
46,25,204,74,36.27,130,63.73,46025
46,26,237,84,35.44,153,64.56,46026
46,27,207,58,28.02,149,71.98,46027
46,28,179,93,51.96,86,48.04,46028
46,29,155,91,58.71,64,41.29,46029
46,30,180,66,36.67,114,63.33,46030
46,31,194,65,33.51,129,66.49,46031
46,32,81,27,33.33,54,66.67,46032
46,33,210,97,46.19,113,53.81,46033
46,34,235,96,40.85,139,59.15,46034
46,35,150,63,42.0,87,58.0,46035
46,36,221,101,45.7,120,54.3,46036
46,37,132,62,46.97,70,53.03,46037
46,38,177,62,35.03,115,64.97,46038
46,39,177,70,39.55,107,60.45,46039
46,40,204,85,41.67,119,58.33,46040
47,1,138,55,39.86,83,60.14,47001
47,2,176,71,40.34,105,59.66,47002
47,3,196,95,48.47,101,51.53,47003
47,4,219,91,41.55,128,58.45,47004
47,5,255,117,45.88,138,54.12,47005
47,6,216,79,36.57,137,63.43,47006
47,7,176,77,43.75,99,56.25,47007
47,8,214,102,47.66,112,52.34,47008
47,9,157,65,41.4,92,58.6,47009
47,10,292,95,32.53,197,67.47,47010
47,11,178,70,39.33,108,60.67,47011
47,12,214,86,40.19,128,59.81,47012
47,13,253,107,42.29,146,57.71,47013
47,14,198,105,53.03,93,46.97,47014
47,15,298,99,33.22,199,66.78,47015
47,16,194,88,45.36,106,54.64,47016
47,17,212,100,47.17,112,52.83,47017
47,18,192,79,41.15,113,58.85,47018
47,19,360,145,40.28,215,59.72,47019
47,20,226,90,39.82,136,60.18,47020
47,21,253,95,37.55,158,62.45,47021
47,22,275,149,54.18,126,45.82,47022
47,23,257,83,32.3,174,67.7,47023
47,24,240,111,46.25,129,53.75,47024
