ward,precinct,total,Mary Bernadette McMahon,Mary Bernadette McMahon Percent,Suzanne Therese McEneely,Suzanne Therese McEneely Percent,Tracie Porter,Tracie Porter Percent,precinct_id
3,35,87,10,11.49,7,8.05,70,80.46,03035
3,36,63,9,14.29,6,9.52,48,76.19,03036
3,37,119,21,17.65,12,10.08,86,72.27,03037
3,38,163,26,15.95,23,14.11,114,69.94,03038
3,39,295,59,20.0,37,12.54,199,67.46,03039
3,40,140,25,17.86,26,18.57,89,63.57,03040
3,41,149,30,20.13,18,12.08,101,67.79,03041
4,1,253,35,13.83,29,11.46,189,74.7,04001
4,2,245,55,22.45,40,16.33,150,61.22,04002
4,3,116,20,17.24,22,18.97,74,63.79,04003
4,4,218,41,18.81,18,8.26,159,72.94,04004
4,5,215,25,11.63,23,10.7,167,77.67,04005
4,6,288,52,18.06,22,7.64,214,74.31,04006
4,7,239,39,16.32,15,6.28,185,77.41,04007
4,8,235,27,11.49,17,7.23,191,81.28,04008
4,9,329,36,10.94,28,8.51,265,80.55,04009
4,10,294,39,13.27,19,6.46,236,80.27,04010
4,11,101,15,14.85,14,13.86,72,71.29,04011
4,12,209,29,13.88,12,5.74,168,80.38,04012
4,13,119,29,24.37,19,15.97,71,59.66,04013
4,14,210,45,21.43,23,10.95,142,67.62,04014
4,15,215,32,14.88,17,7.91,166,77.21,04015
4,16,281,70,24.91,41,14.59,170,60.5,04016
4,17,223,48,21.52,34,15.25,141,63.23,04017
4,18,211,50,23.7,22,10.43,139,65.88,04018
4,19,84,13,15.48,12,14.29,59,70.24,04019
4,20,185,32,17.3,38,20.54,115,62.16,04020
4,21,161,34,21.12,29,18.01,98,60.87,04021
4,22,203,26,12.81,16,7.88,161,79.31,04022
4,23,268,37,13.81,39,14.55,192,71.64,04023
4,24,161,21,13.04,20,12.42,120,74.53,04024
4,25,248,48,19.35,36,14.52,164,66.13,04025
4,26,149,24,16.11,16,10.74,109,73.15,04026
4,27,251,35,13.94,17,6.77,199,79.28,04027
4,28,145,27,18.62,16,11.03,102,70.34,04028
4,29,186,27,14.52,17,9.14,142,76.34,04029
4,30,182,29,15.93,15,8.24,138,75.82,04030
4,31,294,32,10.88,19,6.46,243,82.65,04031
4,32,221,33,14.93,15,6.79,173,78.28,04032
4,33,163,13,7.98,18,11.04,132,80.98,04033
4,34,167,24,14.37,18,10.78,125,74.85,04034
4,35,246,40,16.26,20,8.13,186,75.61,04035
4,36,260,32,12.31,22,8.46,206,79.23,04036
4,37,315,49,15.56,58,18.41,208,66.03,04037
4,38,246,37,15.04,18,7.32,191,77.64,04038
5,1,116,24,20.69,10,8.62,82,70.69,05001
5,2,93,17,18.28,9,9.68,67,72.04,05002
5,3,176,18,10.23,30,17.05,128,72.73,05003
5,4,226,16,7.08,26,11.5,184,81.42,05004
5,5,131,27,20.61,17,12.98,87,66.41,05005
5,6,126,21,16.67,12,9.52,93,73.81,05006
5,7,186,27,14.52,16,8.6,143,76.88,05007
5,8,211,43,20.38,27,12.8,141,66.82,05008
5,9,246,42,17.07,20,8.13,184,74.8,05009
5,10,101,17,16.83,17,16.83,67,66.34,05010
5,11,217,43,19.82,19,8.76,155,71.43,05011
5,12,78,15,19.23,10,12.82,53,67.95,05012
5,13,127,20,15.75,22,17.32,85,66.93,05013
5,14,202,23,11.39,21,10.4,158,78.22,05014
5,15,161,23,14.29,23,14.29,115,71.43,05015
5,16,153,26,16.99,20,13.07,107,69.93,05016
5,17,106,21,19.81,21,19.81,64,60.38,05017
5,18,168,16,9.52,21,12.5,131,77.98,05018
5,19,208,32,15.38,22,10.58,154,74.04,05019
5,20,285,51,17.89,19,6.67,215,75.44,05020
5,21,176,27,15.34,21,11.93,128,72.73,05021
5,22,317,55,17.35,43,13.56,219,69.09,05022
5,23,326,51,15.64,31,9.51,244,74.85,05023
5,24,216,27,12.5,26,12.04,163,75.46,05024
5,25,177,27,15.25,13,7.34,137,77.4,05025
5,26,157,42,26.75,11,7.01,104,66.24,05026
5,27,159,28,17.61,12,7.55,119,74.84,05027
5,28,191,24,12.57,25,13.09,142,74.35,05028
5,29,172,26,15.12,14,8.14,132,76.74,05029
5,30,90,8,8.89,18,20.0,64,71.11,05030
5,31,97,19,19.59,10,10.31,68,70.1,05031
5,32,216,36,16.67,15,6.94,165,76.39,05032
5,33,183,34,18.58,20,10.93,129,70.49,05033
5,34,215,32,14.88,22,10.23,161,74.88,05034
5,35,261,40,15.33,22,8.43,199,76.25,05035
5,36,59,12,20.34,11,18.64,36,61.02,05036
5,37,236,57,24.15,25,10.59,154,65.25,05037
5,38,142,30,21.13,14,9.86,98,69.01,05038
5,39,183,27,14.75,27,14.75,129,70.49,05039
5,40,129,24,18.6,9,6.98,96,74.42,05040
5,41,156,16,10.26,16,10.26,124,79.49,05041
6,1,162,19,11.73,20,12.35,123,75.93,06001
6,2,188,30,15.96,24,12.77,134,71.28,06002
6,3,137,30,21.9,15,10.95,92,67.15,06003
6,4,72,13,18.06,18,25.0,41,56.94,06004
6,5,76,14,18.42,11,14.47,51,67.11,06005
6,6,151,28,18.54,10,6.62,113,74.83,06006
6,7,91,16,17.58,6,6.59,69,75.82,06007
6,8,174,25,14.37,15,8.62,134,77.01,06008
6,9,90,16,17.78,12,13.33,62,68.89,06009
6,10,60,17,28.33,9,15.0,34,56.67,06010
6,11,98,19,19.39,15,15.31,64,65.31,06011
6,12,58,14,24.14,10,17.24,34,58.62,06012
6,13,131,26,19.85,12,9.16,93,70.99,06013
6,14,135,27,20.0,14,10.37,94,69.63,06014
6,15,73,16,21.92,9,12.33,48,65.75,06015
6,16,156,41,26.28,12,7.69,103,66.03,06016
6,17,65,10,15.38,7,10.77,48,73.85,06017
6,18,85,22,25.88,16,18.82,47,55.29,06018
6,19,78,19,24.36,10,12.82,49,62.82,06019
6,20,74,9,12.16,15,20.27,50,67.57,06020
6,21,48,13,27.08,10,20.83,25,52.08,06021
6,22,57,13,22.81,5,8.77,39,68.42,06022
6,23,45,12,26.67,7,15.56,26,57.78,06023
6,24,54,10,18.52,7,12.96,37,68.52,06024
6,25,59,8,13.56,8,13.56,43,72.88,06025
6,26,61,12,19.67,11,18.03,38,62.3,06026
6,27,65,14,21.54,9,13.85,42,64.62,06027
6,28,41,9,21.95,7,17.07,25,60.98,06028
6,29,178,22,12.36,11,6.18,145,81.46,06029
6,30,83,14,16.87,11,13.25,58,69.88,06030
6,31,172,31,18.02,12,6.98,129,75.0,06031
6,32,126,25,19.84,19,15.08,82,65.08,06032
6,33,140,22,15.71,14,10.0,104,74.29,06033
6,34,132,25,18.94,16,12.12,91,68.94,06034
6,35,155,28,18.06,21,13.55,106,68.39,06035
6,36,186,25,13.44,18,9.68,143,76.88,06036
6,37,207,22,10.63,23,11.11,162,78.26,06037
6,38,165,21,12.73,20,12.12,124,75.15,06038
6,39,108,21,19.44,10,9.26,77,71.3,06039
6,40,105,19,18.1,7,6.67,79,75.24,06040
6,41,150,30,20.0,18,12.0,102,68.0,06041
6,42,117,20,17.09,10,8.55,87,74.36,06042
6,43,119,23,19.33,5,4.2,91,76.47,06043
6,44,126,18,14.29,11,8.73,97,76.98,06044
6,45,151,19,12.58,18,11.92,114,75.5,06045
6,46,102,10,9.8,11,10.78,81,79.41,06046
6,47,104,27,25.96,16,15.38,61,58.65,06047
6,48,107,17,15.89,10,9.35,80,74.77,06048
7,1,91,13,14.29,10,10.99,68,74.73,07001
7,2,94,17,18.09,10,10.64,67,71.28,07002
7,3,129,24,18.6,11,8.53,94,72.87,07003
7,4,116,17,14.66,10,8.62,89,76.72,07004
7,5,91,21,23.08,9,9.89,61,67.03,07005
7,6,175,34,19.43,14,8.0,127,72.57,07006
7,7,92,8,8.7,12,13.04,72,78.26,07007
7,8,109,22,20.18,7,6.42,80,73.39,07008
7,9,242,37,15.29,27,11.16,178,73.55,07009
7,10,174,24,13.79,17,9.77,133,76.44,07010
7,11,102,23,22.55,16,15.69,63,61.76,07011
7,12,76,17,22.37,8,10.53,51,67.11,07012
7,13,105,30,28.57,9,8.57,66,62.86,07013
7,14,110,27,24.55,9,8.18,74,67.27,07014
7,15,130,15,11.54,11,8.46,104,80.0,07015
