ward,precinct,total,Omar Aquino,Omar Aquino Percent,Wilmer A. Maldonado,Wilmer A. Maldonado Percent,Wilson Vazquez,Wilson Vazquez Percent,precinct_id
26,34,11,9,81.82,1,9.09,1,9.09,26034
26,35,93,76,81.72,10,10.75,7,7.53,26035
26,36,124,105,84.68,12,9.68,7,5.65,26036
26,37,120,93,77.5,18,15.0,9,7.5,26037
26,38,54,24,44.44,6,11.11,24,44.44,26038
26,39,136,112,82.35,11,8.09,13,9.56,26039
26,40,53,42,79.25,6,11.32,5,9.43,26040
26,41,136,111,81.62,14,10.29,11,8.09,26041
26,42,104,84,80.77,17,16.35,3,2.88,26042
26,43,52,38,73.08,9,17.31,5,9.62,26043
26,44,46,30,65.22,9,19.57,7,15.22,26044
26,45,45,31,68.89,6,13.33,8,17.78,26045
26,46,93,69,74.19,15,16.13,9,9.68,26046
26,47,46,36,78.26,5,10.87,5,10.87,26047
26,48,130,102,78.46,16,12.31,12,9.23,26048
26,49,45,27,60.0,10,22.22,8,17.78,26049
27,5,57,23,40.35,17,29.82,17,29.82,27005
27,15,26,15,57.69,4,15.38,7,26.92,27015
27,19,48,28,58.33,11,22.92,9,18.75,27019
27,24,52,31,59.62,12,23.08,9,17.31,27024
27,27,3,3,100.0,0,0.0,0,0.0,27027
27,29,68,36,52.94,22,32.35,10,14.71,27029
27,43,2,2,100.0,0,0.0,0,0.0,27043
29,29,27,20,74.07,5,18.52,2,7.41,29029
29,30,24,20,83.33,1,4.17,3,12.5,29030
29,31,42,27,64.29,9,21.43,6,14.29,29031
29,36,1,0,0.0,0,0.0,1,100.0,29036
29,38,74,42,56.76,21,28.38,11,14.86,29038
29,39,89,57,64.04,18,20.22,14,15.73,29039
30,2,89,58,65.17,13,14.61,18,20.22,30002
30,5,57,26,45.61,16,28.07,15,26.32,30005
30,6,91,47,51.65,11,12.09,33,36.26,30006
30,10,116,60,51.72,27,23.28,29,25.0,30010
30,11,79,44,55.7,11,13.92,24,30.38,30011
30,12,37,23,62.16,4,10.81,10,27.03,30012
30,13,104,73,70.19,15,14.42,16,15.38,30013
30,14,52,28,53.85,7,13.46,17,32.69,30014
30,16,46,25,54.35,11,23.91,10,21.74,30016
30,17,68,48,70.59,10,14.71,10,14.71,30017
30,19,54,35,64.81,11,20.37,8,14.81,30019
30,21,85,55,64.71,12,14.12,18,21.18,30021
30,29,62,43,69.35,8,12.9,11,17.74,30029
30,30,43,30,69.77,5,11.63,8,18.6,30030
31,3,12,7,58.33,3,25.0,2,16.67,31003
31,4,120,103,85.83,8,6.67,9,7.5,31004
31,16,136,116,85.29,11,8.09,9,6.62,31016
31,21,8,5,62.5,0,0.0,3,37.5,31021
31,22,54,35,64.81,10,18.52,9,16.67,31022
31,39,78,58,74.36,7,8.97,13,16.67,31039
32,2,134,111,82.84,11,8.21,12,8.96,32002
32,6,142,120,84.51,13,9.15,9,6.34,32006
35,2,207,177,85.51,12,5.8,18,8.7,35002
35,3,135,116,85.93,12,8.89,7,5.19,35003
35,7,201,175,87.06,10,4.98,16,7.96,35007
35,8,172,151,87.79,13,7.56,8,4.65,35008
35,12,75,48,64.0,14,18.67,13,17.33,35012
35,13,78,59,75.64,7,8.97,12,15.38,35013
35,14,103,76,73.79,19,18.45,8,7.77,35014
35,16,39,32,82.05,2,5.13,5,12.82,35016
35,18,91,68,74.73,10,10.99,13,14.29,35018
35,19,66,44,66.67,13,19.7,9,13.64,35019
35,21,170,140,82.35,16,9.41,14,8.24,35021
36,1,95,65,68.42,19,20.0,11,11.58,36001
36,2,81,58,71.6,12,14.81,11,13.58,36002
36,3,45,27,60.0,5,11.11,13,28.89,36003
36,4,79,51,64.56,14,17.72,14,17.72,36004
36,5,81,52,64.2,16,19.75,13,16.05,36005
36,6,61,43,70.49,11,18.03,7,11.48,36006
36,7,113,81,71.68,17,15.04,15,13.27,36007
36,8,57,36,63.16,11,19.3,10,17.54,36008
36,9,69,43,62.32,19,27.54,7,10.14,36009
36,10,103,65,63.11,13,12.62,25,24.27,36010
36,11,61,42,68.85,10,16.39,9,14.75,36011
36,12,64,50,78.13,4,6.25,10,15.63,36012
36,13,69,46,66.67,12,17.39,11,15.94,36013
36,14,53,31,58.49,8,15.09,14,26.42,36014
36,16,23,18,78.26,0,0.0,5,21.74,36016
36,17,146,97,66.44,27,18.49,22,15.07,36017
36,18,126,91,72.22,20,15.87,15,11.9,36018
36,19,116,80,68.97,17,14.66,19,16.38,36019
36,20,44,29,65.91,3,6.82,12,27.27,36020
36,21,79,44,55.7,19,24.05,16,20.25,36021
36,22,54,34,62.96,15,27.78,5,9.26,36022
36,23,45,29,64.44,3,6.67,13,28.89,36023
36,24,105,67,63.81,21,20.0,17,16.19,36024
36,25,75,51,68.0,13,17.33,11,14.67,36025
36,26,90,68,75.56,9,10.0,13,14.44,36026
36,27,64,30,46.88,21,32.81,13,20.31,36027
36,28,83,63,75.9,11,13.25,9,10.84,36028
36,29,113,67,59.29,22,19.47,24,21.24,36029
36,30,93,60,64.52,17,18.28,16,17.2,36030
37,2,58,22,37.93,20,34.48,16,27.59,37002
37,4,61,31,50.82,16,26.23,14,22.95,37004
37,7,69,44,63.77,15,21.74,10,14.49,37007
37,8,53,25,47.17,14,26.42,14,26.42,37008
37,12,62,34,54.84,16,25.81,12,19.35,37012
37,19,70,39,55.71,19,27.14,12,17.14,37019
37,21,59,34,57.63,13,22.03,12,20.34,37021
37,22,18,10,55.56,8,44.44,0,0.0,37022
37,26,0,0,0.0,0,0.0,0,0.0,37026
37,28,72,38,52.78,23,31.94,11,15.28,37028
38,8,41,30,73.17,9,21.95,2,4.88,38008
38,10,98,58,59.18,20,20.41,20,20.41,38010
