ward,precinct,total,Pat Casey,Pat Casey Percent,John Fritchey,John Fritchey Percent,precinct_id
40,33,232,34,14.66,22,9.48,40033
40,36,165,24,14.55,24,14.55,40036
42,1,172,35,20.35,65,37.79,42001
42,2,95,23,24.21,16,16.84,42002
42,4,242,67,27.69,43,17.77,42004
42,5,121,28,23.14,35,28.93,42005
42,6,202,66,32.67,64,31.68,42006
42,7,154,43,27.92,36,23.38,42007
42,8,151,44,29.14,39,25.83,42008
42,9,135,54,40.0,22,16.3,42009
42,10,195,56,28.72,37,18.97,42010
42,11,108,40,37.04,27,25.0,42011
42,12,88,24,27.27,24,27.27,42012
42,13,173,58,33.53,52,30.06,42013
42,14,140,35,25.0,28,20.0,42014
42,15,136,48,35.29,27,19.85,42015
42,17,146,35,23.97,24,16.44,42017
42,19,196,46,23.47,54,27.55,42019
42,20,108,28,25.93,26,24.07,42020
42,22,60,12,20.0,11,18.33,42022
42,23,132,32,24.24,39,29.55,42023
42,24,131,41,31.3,34,25.95,42024
42,25,118,40,33.9,21,17.8,42025
42,26,166,51,30.72,30,18.07,42026
42,27,114,36,31.58,19,16.67,42027
42,28,197,64,32.49,43,21.83,42028
42,29,203,65,32.02,38,18.72,42029
42,30,159,41,25.79,42,26.42,42030
42,31,158,39,24.68,49,31.01,42031
42,32,94,25,26.6,20,21.28,42032
42,33,190,54,28.42,31,16.32,42033
42,34,127,33,25.98,37,29.13,42034
42,35,177,60,33.9,36,20.34,42035
42,37,83,20,24.1,25,30.12,42037
42,38,104,26,25.0,22,21.15,42038
42,39,112,26,23.21,23,20.54,42039
42,40,144,45,31.25,32,22.22,42040
42,42,221,62,28.05,42,19.0,42042
43,1,79,33,41.77,17,21.52,43001
43,2,175,27,15.43,44,25.14,43002
43,3,139,28,20.14,34,24.46,43003
43,4,140,45,32.14,24,17.14,43004
43,5,149,25,16.78,28,18.79,43005
43,6,116,28,24.14,21,18.1,43006
43,7,122,24,19.67,18,14.75,43007
43,8,110,23,20.91,27,24.55,43008
43,9,151,41,27.15,28,18.54,43009
43,10,173,30,17.34,31,17.92,43010
43,11,95,16,16.84,25,26.32,43011
43,12,81,24,29.63,15,18.52,43012
43,13,164,35,21.34,31,18.9,43013
43,14,154,26,16.88,32,20.78,43014
43,15,138,30,21.74,40,28.99,43015
43,16,170,36,21.18,26,15.29,43016
43,17,123,30,24.39,37,30.08,43017
43,18,170,32,18.82,54,31.76,43018
43,19,142,31,21.83,30,21.13,43019
43,20,195,42,21.54,38,19.49,43020
43,21,133,29,21.8,25,18.8,43021
43,22,116,26,22.41,14,12.07,43022
43,23,97,15,15.46,27,27.84,43023
43,24,125,40,32.0,32,25.6,43024
43,25,166,53,31.93,36,21.69,43025
43,26,137,29,21.17,29,21.17,43026
43,27,159,31,19.5,36,22.64,43027
43,28,135,37,27.41,32,23.7,43028
43,29,190,39,20.53,41,21.58,43029
43,30,147,34,23.13,34,23.13,43030
43,31,142,38,26.76,32,22.54,43031
43,32,136,26,19.12,27,19.85,43032
43,33,187,39,20.86,45,24.06,43033
43,34,104,21,20.19,32,30.77,43034
43,35,189,37,19.58,58,30.69,43035
43,36,71,20,28.17,9,12.68,43036
43,37,124,30,24.19,22,17.74,43037
43,38,114,20,17.54,23,20.18,43038
43,39,89,19,21.35,24,26.97,43039
43,40,91,29,31.87,18,19.78,43040
43,41,159,32,20.13,47,29.56,43041
43,42,139,26,18.71,30,21.58,43042
43,43,165,42,25.45,43,26.06,43043
43,44,134,33,24.63,28,20.9,43044
43,45,113,18,15.93,23,20.35,43045
43,46,78,14,17.95,15,19.23,43046
44,1,272,62,22.79,56,20.59,44001
44,2,167,34,20.36,47,28.14,44002
44,3,145,38,26.21,34,23.45,44003
44,4,159,26,16.35,31,19.5,44004
44,5,174,43,24.71,30,17.24,44005
44,6,192,32,16.67,25,13.02,44006
44,7,144,34,23.61,22,15.28,44007
44,8,212,45,21.23,22,10.38,44008
44,9,136,30,22.06,22,16.18,44009
44,10,142,29,20.42,18,12.68,44010
44,11,161,25,15.53,36,22.36,44011
44,12,228,55,24.12,40,17.54,44012
44,13,127,27,21.26,32,25.2,44013
44,14,161,31,19.25,19,11.8,44014
44,15,173,42,24.28,16,9.25,44015
44,16,181,31,17.13,38,20.99,44016
44,17,253,44,17.39,48,18.97,44017
44,18,163,42,25.77,34,20.86,44018
44,19,261,42,16.09,30,11.49,44019
44,20,185,36,19.46,16,8.65,44020
44,21,178,35,19.66,26,14.61,44021
44,22,180,37,20.56,34,18.89,44022
44,23,146,44,30.14,20,13.7,44023
44,24,154,35,22.73,34,22.08,44024
44,25,209,39,18.66,30,14.35,44025
44,26,199,49,24.62,32,16.08,44026
44,27,182,35,19.23,39,21.43,44027
44,28,177,38,21.47,37,20.9,44028
44,29,186,35,18.82,32,17.2,44029
44,30,202,44,21.78,41,20.3,44030
44,31,103,24,23.3,12,11.65,44031
44,32,158,29,18.35,32,20.25,44032
44,33,202,35,17.33,24,11.88,44033
44,34,207,55,26.57,27,13.04,44034
44,35,211,37,17.54,56,26.54,44035
44,36,169,42,24.85,18,10.65,44036
44,37,252,41,16.27,25,9.92,44037
44,38,149,39,26.17,24,16.11,44038
44,39,177,32,18.08,18,10.17,44039
44,40,161,29,18.01,34,21.12,44040
44,41,217,56,25.81,33,15.21,44041
46,1,137,33,24.09,18,13.14,46001
46,2,209,47,22.49,21,10.05,46002
46,3,258,59,22.87,51,19.77,46003
46,4,206,39,18.93,41,19.9,46004
46,5,212,46,21.7,37,17.45,46005
46,6,171,43,25.15,20,11.7,46006
46,7,224,66,29.46,46,20.54,46007
46,8,129,42,32.56,20,15.5,46008
46,9,220,45,20.45,37,16.82,46009
46,10,247,50,20.24,32,12.96,46010
46,11,168,40,23.81,24,14.29,46011
46,12,238,36,15.13,35,14.71,46012
46,13,213,49,23.0,26,12.21,46013
46,14,132,56,42.42,24,18.18,46014
46,15,183,53,28.96,28,15.3,46015
46,16,263,46,17.49,39,14.83,46016
46,17,204,52,25.49,55,26.96,46017
46,18,187,63,33.69,23,12.3,46018
46,19,144,34,23.61,35,24.31,46019
46,20,174,48,27.59,36,20.69,46020
46,21,89,25,28.09,12,13.48,46021
46,22,126,45,35.71,17,13.49,46022
46,23,167,35,20.96,25,14.97,46023
46,24,281,68,24.2,50,17.79,46024
46,25,197,53,26.9,26,13.2,46025
46,26,229,51,22.27,28,12.23,46026
46,27,204,37,18.14,25,12.25,46027
46,28,181,42,23.2,32,17.68,46028
46,29,141,35,24.82,31,21.99,46029
46,30,180,42,23.33,25,13.89,46030
46,31,191,32,16.75,34,17.8,46031
46,32,71,21,29.58,12,16.9,46032
46,33,211,45,21.33,39,18.48,46033
46,34,222,49,22.07,26,11.71,46034
46,35,150,47,31.33,20,13.33,46035
46,36,204,56,27.45,43,21.08,46036
46,37,124,42,33.87,27,21.77,46037
46,38,170,40,23.53,26,15.29,46038
46,39,166,60,36.14,33,19.88,46039
46,40,218,38,17.43,35,16.06,46040
47,9,55,12,21.82,12,21.82,47009
47,11,187,43,22.99,43,22.99,47011
47,15,289,40,13.84,27,9.34,47015
47,18,197,28,14.21,36,18.27,47018
47,19,356,66,18.54,37,10.39,47019
47,23,247,47,19.03,26,10.53,47023
47,24,242,47,19.42,48,19.83,47024
47,33,57,10,17.54,8,14.04,47033
47,41,256,39,15.23,38,14.84,47041
47,44,173,43,24.86,36,20.81,47044
48,1,239,46,19.25,38,15.9,48001
48,2,96,18,18.75,25,26.04,48002
48,3,201,56,27.86,21,10.45,48003
48,4,222,50,22.52,46,20.72,48004
48,5,169,34,20.12,34,20.12,48005
48,6,195,47,24.1,19,9.74,48006
48,7,266,44,16.54,32,12.03,48007
48,8,109,39,35.78,23,21.1,48008
48,9,138,36,26.09,28,20.29,48009
48,10,342,50,14.62,37,10.82,48010
48,11,197,23,11.68,28,14.21,48011
48,12,251,58,23.11,29,11.55,48012
48,14,97,33,34.02,14,14.43,48014
48,16,207,66,31.88,25,12.08,48016
48,17,222,47,21.17,42,18.92,48017
48,18,124,43,34.68,34,27.42,48018
48,19,177,46,25.99,28,15.82,48019
48,20,249,58,23.29,39,15.66,48020
48,21,225,60,26.67,27,12.0,48021
48,23,267,66,24.72,47,17.6,48023
48,24,173,53,30.64,21,12.14,48024
48,25,202,32,15.84,30,14.85,48025
48,26,79,21,26.58,12,15.19,48026
48,27,55,12,21.82,6,10.91,48027
48,28,193,81,41.97,32,16.58,48028
48,29,128,41,32.03,30,23.44,48029
48,30,202,37,18.32,26,12.87,48030
48,31,111,25,22.52,21,18.92,48031
48,32,65,17,26.15,5,7.69,48032
48,34,184,27,14.67,33,17.93,48034
48,35,110,47,42.73,19,17.27,48035
48,36,134,33,24.63,24,17.91,48036
48,37,221,38,17.19,24,10.86,48037
48,38,253,44,17.39,45,17.79,48038
48,39,168,45,26.79,38,22.62,48039
48,40,189,28,14.81,31,16.4,48040
48,41,202,47,23.27,41,20.3,48041
48,42,261,46,17.62,30,11.49,48042
48,43,221,49,22.17,39,17.65,48043
48,44,260,41,15.77,40,15.38,48044
48,45,146,33,22.6,16,10.96,48045
49,2,125,28,22.4,17,13.6,49002
49,17,128,55,42.97,20,15.63,49017
