ward,precinct,total,Maria M. Barlow,Maria M. Barlow Percent,John W. Wilson,John W. Wilson Percent,precinct_id
17,38,102,50,49.02,52,50.98,17038
17,39,102,57,55.88,45,44.12,17039
17,40,144,77,53.47,67,46.53,17040
17,41,131,79,60.31,52,39.69,17041
18,20,87,49,56.32,38,43.68,18020
18,38,113,59,52.21,54,47.79,18038
21,2,35,17,48.57,18,51.43,21002
21,4,113,56,49.56,57,50.44,21004
21,13,45,21,46.67,24,53.33,21013
21,15,106,54,50.94,52,49.06,21015
21,17,49,27,55.1,22,44.9,21017
21,20,113,72,63.72,41,36.28,21020
21,26,79,42,53.16,37,46.84,21026
21,28,140,75,53.57,65,46.43,21028
21,30,97,51,52.58,46,47.42,21030
21,31,125,66,52.8,59,47.2,21031
21,33,52,33,63.46,19,36.54,21033
21,34,45,27,60.0,18,40.0,21034
21,43,130,77,59.23,53,40.77,21043
21,44,35,16,45.71,19,54.29,21044
21,47,99,64,64.65,35,35.35,21047
21,48,47,28,59.57,19,40.43,21048
21,51,145,77,53.1,68,46.9,21051
21,52,122,62,50.82,60,49.18,21052
21,53,104,41,39.42,63,60.58,21053
21,54,109,54,49.54,55,50.46,21054
