ward,precinct,total,"Howard B. Brookins, Jr.","Howard B. Brookins, Jr. Percent",Ubi O. O'Neal,Ubi O. O'Neal Percent,Lisa Michelle Taylor,Lisa Michelle Taylor Percent,precinct_id
6,41,165,118,71.52,14,8.48,33,20.0,06041
6,42,124,76,61.29,7,5.65,41,33.06,06042
6,43,128,84,65.63,6,4.69,38,29.69,06043
6,44,136,89,65.44,11,8.09,36,26.47,06044
6,45,157,116,73.89,5,3.18,36,22.93,06045
6,46,110,70,63.64,11,10.0,29,26.36,06046
6,47,109,64,58.72,14,12.84,31,28.44,06047
6,48,117,82,70.09,8,6.84,27,23.08,06048
7,1,94,52,55.32,5,5.32,37,39.36,07001
7,2,97,54,55.67,8,8.25,35,36.08,07002
7,3,130,92,70.77,7,5.38,31,23.85,07003
7,4,122,85,69.67,13,10.66,24,19.67,07004
7,5,92,59,64.13,6,6.52,27,29.35,07005
7,6,181,110,60.77,22,12.15,49,27.07,07006
7,7,94,58,61.7,9,9.57,27,28.72,07007
7,8,112,63,56.25,10,8.93,39,34.82,07008
7,9,255,163,63.92,20,7.84,72,28.24,07009
7,10,180,117,65.0,13,7.22,50,27.78,07010
7,11,106,60,56.6,9,8.49,37,34.91,07011
7,12,84,57,67.86,6,7.14,21,25.0,07012
7,13,111,70,63.06,8,7.21,33,29.73,07013
7,14,120,74,61.67,8,6.67,38,31.67,07014
7,15,139,93,66.91,11,7.91,35,25.18,07015
7,16,83,46,55.42,9,10.84,28,33.73,07016
7,17,97,61,62.89,15,15.46,21,21.65,07017
7,18,109,59,54.13,11,10.09,39,35.78,07018
7,19,108,67,62.04,10,9.26,31,28.7,07019
7,20,69,43,62.32,7,10.14,19,27.54,07020
7,21,72,46,63.89,3,4.17,23,31.94,07021
7,22,103,59,57.28,9,8.74,35,33.98,07022
7,23,148,105,70.95,9,6.08,34,22.97,07023
7,24,85,50,58.82,7,8.24,28,32.94,07024
7,25,52,32,61.54,3,5.77,17,32.69,07025
7,26,118,75,63.56,7,5.93,36,30.51,07026
7,27,98,62,63.27,3,3.06,33,33.67,07027
7,28,70,44,62.86,10,14.29,16,22.86,07028
7,29,114,69,60.53,8,7.02,37,32.46,07029
7,30,71,33,46.48,9,12.68,29,40.85,07030
7,31,61,38,62.3,3,4.92,20,32.79,07031
7,32,236,178,75.42,13,5.51,45,19.07,07032
7,33,233,160,68.67,17,7.3,56,24.03,07033
7,34,187,129,68.98,7,3.74,51,27.27,07034
7,35,112,73,65.18,8,7.14,31,27.68,07035
7,36,175,119,68.0,8,4.57,48,27.43,07036
7,37,141,93,65.96,9,6.38,39,27.66,07037
7,38,110,76,69.09,6,5.45,28,25.45,07038
7,39,126,78,61.9,11,8.73,37,29.37,07039
7,40,119,88,73.95,9,7.56,22,18.49,07040
7,41,94,56,59.57,3,3.19,35,37.23,07041
7,42,123,75,60.98,10,8.13,38,30.89,07042
7,43,122,80,65.57,8,6.56,34,27.87,07043
7,44,106,69,65.09,8,7.55,29,27.36,07044
7,45,70,47,67.14,7,10.0,16,22.86,07045
7,46,62,41,66.13,9,14.52,12,19.35,07046
8,1,102,59,57.84,11,10.78,32,31.37,08001
8,2,98,57,58.16,4,4.08,37,37.76,08002
8,3,226,177,78.32,8,3.54,41,18.14,08003
8,4,195,143,73.33,9,4.62,43,22.05,08004
8,5,204,159,77.94,13,6.37,32,15.69,08005
8,6,176,112,63.64,15,8.52,49,27.84,08006
8,7,195,143,73.33,10,5.13,42,21.54,08007
8,8,215,163,75.81,12,5.58,40,18.6,08008
8,9,88,61,69.32,4,4.55,23,26.14,08009
8,10,265,187,70.57,15,5.66,63,23.77,08010
8,11,96,68,70.83,5,5.21,23,23.96,08011
8,12,118,92,77.97,2,1.69,24,20.34,08012
8,13,136,89,65.44,9,6.62,38,27.94,08013
8,14,56,32,57.14,1,1.79,23,41.07,08014
8,15,115,84,73.04,4,3.48,27,23.48,08015
8,16,30,17,56.67,0,0.0,13,43.33,08016
8,17,148,110,74.32,4,2.7,34,22.97,08017
8,18,66,34,51.52,5,7.58,27,40.91,08018
8,19,210,148,70.48,9,4.29,53,25.24,08019
8,20,190,119,62.63,12,6.32,59,31.05,08020
8,21,165,104,63.03,9,5.45,52,31.52,08021
8,22,142,100,70.42,15,10.56,27,19.01,08022
8,23,81,53,65.43,4,4.94,24,29.63,08023
8,24,97,72,74.23,6,6.19,19,19.59,08024
8,25,130,87,66.92,14,10.77,29,22.31,08025
8,26,92,54,58.7,4,4.35,34,36.96,08026
8,27,231,155,67.1,13,5.63,63,27.27,08027
8,28,148,102,68.92,8,5.41,38,25.68,08028
8,29,185,128,69.19,8,4.32,49,26.49,08029
8,30,162,109,67.28,9,5.56,44,27.16,08030
8,31,107,71,66.36,11,10.28,25,23.36,08031
8,32,119,89,74.79,4,3.36,26,21.85,08032
8,33,108,75,69.44,4,3.7,29,26.85,08033
8,34,149,104,69.8,11,7.38,34,22.82,08034
8,35,184,134,72.83,8,4.35,42,22.83,08035
8,36,150,111,74.0,7,4.67,32,21.33,08036
8,37,139,98,70.5,4,2.88,37,26.62,08037
8,38,100,60,60.0,6,6.0,34,34.0,08038
8,39,141,101,71.63,9,6.38,31,21.99,08039
8,40,105,71,67.62,8,7.62,26,24.76,08040
8,41,137,93,67.88,11,8.03,33,24.09,08041
8,42,180,122,67.78,11,6.11,47,26.11,08042
8,43,56,35,62.5,3,5.36,18,32.14,08043
8,44,98,70,71.43,7,7.14,21,21.43,08044
8,45,65,41,63.08,3,4.62,21,32.31,08045
8,46,114,85,74.56,4,3.51,25,21.93,08046
8,47,127,86,67.72,6,4.72,35,27.56,08047
8,48,133,78,58.65,21,15.79,34,25.56,08048
8,49,150,98,65.33,9,6.0,43,28.67,08049
8,50,169,116,68.64,9,5.33,44,26.04,08050
8,51,174,126,72.41,8,4.6,40,22.99,08051
8,52,246,170,69.11,16,6.5,60,24.39,08052
8,53,75,49,65.33,7,9.33,19,25.33,08053
8,54,68,33,48.53,14,20.59,21,30.88,08054
8,55,145,103,71.03,6,4.14,36,24.83,08055
8,56,187,139,74.33,8,4.28,40,21.39,08056
9,1,126,85,67.46,8,6.35,33,26.19,09001
9,2,99,64,64.65,10,10.1,25,25.25,09002
9,3,51,26,50.98,5,9.8,20,39.22,09003
9,4,94,60,63.83,7,7.45,27,28.72,09004
9,5,148,111,75.0,10,6.76,27,18.24,09005
9,6,112,77,68.75,7,6.25,28,25.0,09006
9,7,65,40,61.54,10,15.38,15,23.08,09007
9,8,82,54,65.85,9,10.98,19,23.17,09008
9,9,166,106,63.86,10,6.02,50,30.12,09009
9,10,85,61,71.76,11,12.94,13,15.29,09010
9,11,95,61,64.21,11,11.58,23,24.21,09011
9,12,177,127,71.75,12,6.78,38,21.47,09012
9,13,167,131,78.44,9,5.39,27,16.17,09013
9,14,174,120,68.97,9,5.17,45,25.86,09014
9,15,52,26,50.0,6,11.54,20,38.46,09015
9,16,125,90,72.0,6,4.8,29,23.2,09016
9,17,59,31,52.54,5,8.47,23,38.98,09017
9,18,104,67,64.42,7,6.73,30,28.85,09018
9,19,111,80,72.07,10,9.01,21,18.92,09019
9,20,119,86,72.27,6,5.04,27,22.69,09020
9,21,101,74,73.27,6,5.94,21,20.79,09021
9,22,141,108,76.6,17,12.06,16,11.35,09022
9,23,169,117,69.23,11,6.51,41,24.26,09023
9,24,165,127,76.97,7,4.24,31,18.79,09024
9,25,121,85,70.25,12,9.92,24,19.83,09025
9,26,69,43,62.32,10,14.49,16,23.19,09026
9,27,116,82,70.69,10,8.62,24,20.69,09027
9,28,46,29,63.04,5,10.87,12,26.09,09028
9,29,62,43,69.35,5,8.06,14,22.58,09029
9,30,84,60,71.43,9,10.71,15,17.86,09030
9,31,80,56,70.0,6,7.5,18,22.5,09031
9,32,139,100,71.94,15,10.79,24,17.27,09032
9,33,86,59,68.6,6,6.98,21,24.42,09033
9,34,91,61,67.03,13,14.29,17,18.68,09034
9,35,147,98,66.67,10,6.8,39,26.53,09035
9,36,94,63,67.02,6,6.38,25,26.6,09036
9,37,192,109,56.77,20,10.42,63,32.81,09037
9,38,102,55,53.92,14,13.73,33,32.35,09038
9,39,153,108,70.59,11,7.19,34,22.22,09039
9,40,184,124,67.39,16,8.7,44,23.91,09040
9,41,106,75,70.75,8,7.55,23,21.7,09041
9,42,175,125,71.43,6,3.43,44,25.14,09042
9,43,90,64,71.11,5,5.56,21,23.33,09043
9,44,127,91,71.65,12,9.45,24,18.9,09044
9,45,89,55,61.8,9,10.11,25,28.09,09045
9,46,125,79,63.2,9,7.2,37,29.6,09046
9,47,176,125,71.02,8,4.55,43,24.43,09047
9,48,165,106,64.24,10,6.06,49,29.7,09048
9,49,174,122,70.11,11,6.32,41,23.56,09049
9,50,218,161,73.85,8,3.67,49,22.48,09050
9,51,164,121,73.78,12,7.32,31,18.9,09051
10,1,112,65,58.04,8,7.14,39,34.82,10001
10,2,71,29,40.85,9,12.68,33,46.48,10002
10,3,90,37,41.11,17,18.89,36,40.0,10003
10,4,50,25,50.0,8,16.0,17,34.0,10004
10,5,66,26,39.39,7,10.61,33,50.0,10005
10,6,76,30,39.47,11,14.47,35,46.05,10006
10,7,44,12,27.27,5,11.36,27,61.36,10007
10,8,32,11,34.38,7,21.88,14,43.75,10008
10,9,64,23,35.94,9,14.06,32,50.0,10009
10,10,81,29,35.8,7,8.64,45,55.56,10010
10,11,77,28,36.36,5,6.49,44,57.14,10011
10,12,49,17,34.69,7,14.29,25,51.02,10012
10,13,86,38,44.19,12,13.95,36,41.86,10013
10,14,88,32,36.36,15,17.05,41,46.59,10014
10,15,213,149,69.95,13,6.1,51,23.94,10015
10,16,52,20,38.46,9,17.31,23,44.23,10016
10,17,118,45,38.14,13,11.02,60,50.85,10017
10,18,39,16,41.03,6,15.38,17,43.59,10018
10,19,57,26,45.61,9,15.79,22,38.6,10019
10,20,74,31,41.89,12,16.22,31,41.89,10020
10,21,77,28,36.36,11,14.29,38,49.35,10021
10,22,25,11,44.0,2,8.0,12,48.0,10022
10,23,66,23,34.85,6,9.09,37,56.06,10023
10,24,68,30,44.12,8,11.76,30,44.12,10024
10,25,33,15,45.45,4,12.12,14,42.42,10025
10,26,60,24,40.0,12,20.0,24,40.0,10026
10,27,61,30,49.18,10,16.39,21,34.43,10027
10,28,80,27,33.75,10,12.5,43,53.75,10028
10,29,66,25,37.88,5,7.58,36,54.55,10029
10,30,54,15,27.78,17,31.48,22,40.74,10030
10,31,52,18,34.62,5,9.62,29,55.77,10031
10,32,69,23,33.33,8,11.59,38,55.07,10032
10,33,56,8,14.29,7,12.5,41,73.21,10033
10,34,37,14,37.84,6,16.22,17,45.95,10034
10,35,98,39,39.8,11,11.22,48,48.98,10035
10,36,34,15,44.12,5,14.71,14,41.18,10036
11,1,141,44,31.21,12,8.51,85,60.28,11001
11,2,5,4,80.0,0,0.0,1,20.0,11002
11,3,157,30,19.11,16,10.19,111,70.7,11003
11,4,109,30,27.52,11,10.09,68,62.39,11004
11,5,156,42,26.92,24,15.38,90,57.69,11005
11,6,196,65,33.16,19,9.69,112,57.14,11006
11,7,89,33,37.08,9,10.11,47,52.81,11007
11,8,122,32,26.23,13,10.66,77,63.11,11008
11,9,89,27,30.34,7,7.87,55,61.8,11009
11,10,94,24,25.53,11,11.7,59,62.77,11010
11,11,118,32,27.12,13,11.02,73,61.86,11011
11,12,130,53,40.77,16,12.31,61,46.92,11012
11,13,113,45,39.82,13,11.5,55,48.67,11013
11,14,43,21,48.84,4,9.3,18,41.86,11014
11,15,54,19,35.19,8,14.81,27,50.0,11015
11,16,71,25,35.21,9,12.68,37,52.11,11016
11,17,186,53,28.49,18,9.68,115,61.83,11017
11,18,90,33,36.67,14,15.56,43,47.78,11018
11,19,196,43,21.94,17,8.67,136,69.39,11019
11,20,87,32,36.78,11,12.64,44,50.57,11020
11,21,173,83,47.98,16,9.25,74,42.77,11021
11,22,142,36,25.35,17,11.97,89,62.68,11022
11,23,76,29,38.16,11,14.47,36,47.37,11023
11,24,190,88,46.32,23,12.11,79,41.58,11024
11,25,168,59,35.12,15,8.93,94,55.95,11025
11,26,155,52,33.55,21,13.55,82,52.9,11026
11,27,37,8,21.62,7,18.92,22,59.46,11027
11,28,55,19,34.55,5,9.09,31,56.36,11028
11,29,145,55,37.93,13,8.97,77,53.1,11029
11,30,68,26,38.24,7,10.29,35,51.47,11030
11,31,103,35,33.98,18,17.48,50,48.54,11031
11,32,59,21,35.59,8,13.56,30,50.85,11032
11,33,145,65,44.83,15,10.34,65,44.83,11033
11,34,57,29,50.88,8,14.04,20,35.09,11034
11,35,38,17,44.74,11,28.95,10,26.32,11035
11,36,42,16,38.1,5,11.9,21,50.0,11036
11,37,37,22,59.46,3,8.11,12,32.43,11037
11,38,67,20,29.85,7,10.45,40,59.7,11038
12,1,114,35,30.7,14,12.28,65,57.02,12001
12,2,66,28,42.42,7,10.61,31,46.97,12002
12,3,168,51,30.36,27,16.07,90,53.57,12003
12,4,126,33,26.19,21,16.67,72,57.14,12004
12,5,109,33,30.28,16,14.68,60,55.05,12005
12,6,117,35,29.91,15,12.82,67,57.26,12006
12,7,68,21,30.88,9,13.24,38,55.88,12007
12,8,119,43,36.13,20,16.81,56,47.06,12008
12,9,80,24,30.0,16,20.0,40,50.0,12009
12,10,103,25,24.27,15,14.56,63,61.17,12010
12,11,65,16,24.62,9,13.85,40,61.54,12011
12,12,75,26,34.67,12,16.0,37,49.33,12012
12,13,85,26,30.59,7,8.24,52,61.18,12013
12,14,71,25,35.21,9,12.68,37,52.11,12014
12,15,67,20,29.85,2,2.99,45,67.16,12015
12,16,40,15,37.5,2,5.0,23,57.5,12016
12,17,75,23,30.67,7,9.33,45,60.0,12017
12,18,49,9,18.37,1,2.04,39,79.59,12018
12,19,89,27,30.34,14,15.73,48,53.93,12019
12,20,80,23,28.75,10,12.5,47,58.75,12020
12,21,103,31,30.1,13,12.62,59,57.28,12021
12,22,69,14,20.29,5,7.25,50,72.46,12022
12,23,124,41,33.06,19,15.32,64,51.61,12023
13,1,86,45,52.33,9,10.47,32,37.21,13001
13,2,78,31,39.74,11,14.1,36,46.15,13002
