ward,precinct,total,Omar Aquino,Omar Aquino Percent,"Gilbert """"Gil"""" Villegas","Gilbert """"Gil"""" Villegas Percent",precinct_id
26,24,82,57,69.51,25,30.49,26024
26,25,87,57,65.52,30,34.48,26025
26,26,85,57,67.06,28,32.94,26026
26,27,141,102,72.34,39,27.66,26027
26,29,70,55,78.57,15,21.43,26029
26,30,109,67,61.47,42,38.53,26030
26,31,49,42,85.71,7,14.29,26031
26,33,11,6,54.55,5,45.45,26033
26,34,134,84,62.69,50,37.31,26034
26,35,89,66,74.16,23,25.84,26035
26,36,121,92,76.03,29,23.97,26036
26,37,121,87,71.9,34,28.1,26037
26,38,51,31,60.78,20,39.22,26038
26,39,133,99,74.44,34,25.56,26039
26,40,52,44,84.62,8,15.38,26040
26,41,131,97,74.05,34,25.95,26041
26,42,100,75,75.0,25,25.0,26042
26,43,50,36,72.0,14,28.0,26043
26,44,47,35,74.47,12,25.53,26044
26,45,46,31,67.39,15,32.61,26045
26,47,45,32,71.11,13,28.89,26047
26,48,126,95,75.4,31,24.6,26048
26,49,45,29,64.44,16,35.56,26049
27,5,2,1,50.0,1,50.0,27005
27,24,53,26,49.06,27,50.94,27024
27,29,71,48,67.61,23,32.39,27029
29,1,4,0,0.0,4,100.0,29001
29,23,126,57,45.24,69,54.76,29023
29,29,117,59,50.43,58,49.57,29029
29,30,178,86,48.31,92,51.69,29030
29,31,92,46,50.0,46,50.0,29031
29,32,105,41,39.05,64,60.95,29032
29,38,104,58,55.77,46,44.23,29038
29,39,93,46,49.46,47,50.54,29039
29,43,42,12,28.57,30,71.43,29043
30,1,160,72,45.0,88,55.0,30001
30,2,105,54,51.43,51,48.57,30002
30,3,133,70,52.63,63,47.37,30003
30,4,112,62,55.36,50,44.64,30004
30,5,56,30,53.57,26,46.43,30005
30,6,92,47,51.09,45,48.91,30006
30,7,146,81,55.48,65,44.52,30007
30,8,169,110,65.09,59,34.91,30008
30,9,86,49,56.98,37,43.02,30009
30,10,115,53,46.09,62,53.91,30010
30,11,77,35,45.45,42,54.55,30011
30,12,63,32,50.79,31,49.21,30012
30,13,106,60,56.6,46,43.4,30013
30,14,56,26,46.43,30,53.57,30014
30,16,50,22,44.0,28,56.0,30016
30,17,112,54,48.21,58,51.79,30017
30,18,175,111,63.43,64,36.57,30018
30,19,71,31,43.66,40,56.34,30019
30,20,134,75,55.97,59,44.03,30020
30,21,85,43,50.59,42,49.41,30021
30,22,205,137,66.83,68,33.17,30022
30,23,134,64,47.76,70,52.24,30023
30,24,197,122,61.93,75,38.07,30024
30,25,193,122,63.21,71,36.79,30025
30,26,79,50,63.29,29,36.71,30026
30,27,84,44,52.38,40,47.62,30027
30,28,170,111,65.29,59,34.71,30028
30,29,61,32,52.46,29,47.54,30029
30,30,43,25,58.14,18,41.86,30030
30,31,64,38,59.38,26,40.63,30031
30,32,132,70,53.03,62,46.97,30032
31,1,51,28,54.9,23,45.1,31001
31,2,51,32,62.75,19,37.25,31002
31,3,49,22,44.9,27,55.1,31003
31,4,119,96,80.67,23,19.33,31004
31,5,83,36,43.37,47,56.63,31005
31,6,57,25,43.86,32,56.14,31006
31,7,155,90,58.06,65,41.94,31007
31,8,56,34,60.71,22,39.29,31008
31,9,59,32,54.24,27,45.76,31009
31,10,84,51,60.71,33,39.29,31010
31,11,69,30,43.48,39,56.52,31011
31,12,74,29,39.19,45,60.81,31012
31,13,75,45,60.0,30,40.0,31013
31,14,72,39,54.17,33,45.83,31014
31,15,61,34,55.74,27,44.26,31015
31,16,139,95,68.35,44,31.65,31016
31,17,62,37,59.68,25,40.32,31017
31,18,78,41,52.56,37,47.44,31018
31,19,69,40,57.97,29,42.03,31019
31,20,62,31,50.0,31,50.0,31020
31,21,51,23,45.1,28,54.9,31021
31,22,53,34,64.15,19,35.85,31022
31,23,87,51,58.62,36,41.38,31023
31,24,88,36,40.91,52,59.09,31024
31,25,59,32,54.24,27,45.76,31025
31,26,94,51,54.26,43,45.74,31026
31,27,76,35,46.05,41,53.95,31027
31,28,35,19,54.29,16,45.71,31028
31,29,67,28,41.79,39,58.21,31029
31,30,56,37,66.07,19,33.93,31030
31,31,49,24,48.98,25,51.02,31031
31,32,30,17,56.67,13,43.33,31032
31,33,58,25,43.1,33,56.9,31033
31,34,84,36,42.86,48,57.14,31034
31,35,66,38,57.58,28,42.42,31035
31,36,73,43,58.9,30,41.1,31036
31,37,49,30,61.22,19,38.78,31037
31,38,37,23,62.16,14,37.84,31038
31,39,77,51,66.23,26,33.77,31039
31,40,81,45,55.56,36,44.44,31040
31,41,67,47,70.15,20,29.85,31041
32,1,95,55,57.89,40,42.11,32001
32,3,193,123,63.73,70,36.27,32003
32,11,171,122,71.35,49,28.65,32011
32,12,148,95,64.19,53,35.81,32012
32,14,204,133,65.2,71,34.8,32014
32,17,181,111,61.33,70,38.67,32017
32,20,179,111,62.01,68,37.99,32020
32,22,261,163,62.45,98,37.55,32022
32,26,221,138,62.44,83,37.56,32026
32,28,182,116,63.74,66,36.26,32028
32,43,209,128,61.24,81,38.76,32043
33,1,190,115,60.53,75,39.47,33001
33,2,228,127,55.7,101,44.3,33002
33,3,262,142,54.2,120,45.8,33003
33,4,242,125,51.65,117,48.35,33004
33,5,147,79,53.74,68,46.26,33005
33,6,143,69,48.25,74,51.75,33006
33,7,210,133,63.33,77,36.67,33007
33,8,210,104,49.52,106,50.48,33008
33,9,198,99,50.0,99,50.0,33009
33,10,123,67,54.47,56,45.53,33010
33,11,198,104,52.53,94,47.47,33011
33,12,166,90,54.22,76,45.78,33012
33,13,166,93,56.02,73,43.98,33013
33,14,91,57,62.64,34,37.36,33014
33,15,205,126,61.46,79,38.54,33015
33,16,240,117,48.75,123,51.25,33016
33,17,207,107,51.69,100,48.31,33017
33,18,234,152,64.96,82,35.04,33018
33,19,173,98,56.65,75,43.35,33019
33,20,266,167,62.78,99,37.22,33020
33,21,205,109,53.17,96,46.83,33021
33,22,184,82,44.57,102,55.43,33022
33,23,226,113,50.0,113,50.0,33023
33,24,156,80,51.28,76,48.72,33024
33,25,223,117,52.47,106,47.53,33025
33,26,140,98,70.0,42,30.0,33026
33,27,178,109,61.24,69,38.76,33027
33,28,167,105,62.87,62,37.13,33028
35,1,184,105,57.07,79,42.93,35001
35,2,228,179,78.51,49,21.49,35002
35,3,131,109,83.21,22,16.79,35003
35,4,169,112,66.27,57,33.73,35004
35,5,136,84,61.76,52,38.24,35005
35,6,146,100,68.49,46,31.51,35006
35,7,203,149,73.4,54,26.6,35007
35,8,169,131,77.51,38,22.49,35008
35,9,120,67,55.83,53,44.17,35009
35,10,201,139,69.15,62,30.85,35010
35,11,189,129,68.25,60,31.75,35011
35,12,80,51,63.75,29,36.25,35012
35,13,82,59,71.95,23,28.05,35013
35,14,107,65,60.75,42,39.25,35014
35,15,195,146,74.87,49,25.13,35015
35,16,44,26,59.09,18,40.91,35016
35,17,194,132,68.04,62,31.96,35017
35,18,92,53,57.61,39,42.39,35018
35,19,64,42,65.63,22,34.38,35019
35,20,121,65,53.72,56,46.28,35020
35,21,168,123,73.21,45,26.79,35021
35,22,179,118,65.92,61,34.08,35022
35,23,167,101,60.48,66,39.52,35023
35,24,137,80,58.39,57,41.61,35024
35,25,150,100,66.67,50,33.33,35025
35,26,116,72,62.07,44,37.93,35026
35,27,140,77,55.0,63,45.0,35027
35,28,175,115,65.71,60,34.29,35028
35,29,110,63,57.27,47,42.73,35029
35,30,108,63,58.33,45,41.67,35030
35,31,175,117,66.86,58,33.14,35031
36,1,98,36,36.73,62,63.27,36001
36,2,87,38,43.68,49,56.32,36002
36,3,97,37,38.14,60,61.86,36003
36,4,81,30,37.04,51,62.96,36004
36,5,82,29,35.37,53,64.63,36005
36,6,66,31,46.97,35,53.03,36006
36,7,156,49,31.41,107,68.59,36007
36,8,60,24,40.0,36,60.0,36008
36,9,71,26,36.62,45,63.38,36009
36,10,109,31,28.44,78,71.56,36010
36,11,63,28,44.44,35,55.56,36011
36,12,63,38,60.32,25,39.68,36012
36,13,76,32,42.11,44,57.89,36013
36,14,144,53,36.81,91,63.19,36014
36,15,119,44,36.97,75,63.03,36015
36,16,124,48,38.71,76,61.29,36016
36,17,155,60,38.71,95,61.29,36017
36,18,155,60,38.71,95,61.29,36018
36,19,123,54,43.9,69,56.1,36019
36,20,123,49,39.84,74,60.16,36020
36,21,78,24,30.77,54,69.23,36021
36,22,53,25,47.17,28,52.83,36022
36,23,51,26,50.98,25,49.02,36023
36,24,109,34,31.19,75,68.81,36024
36,25,82,38,46.34,44,53.66,36025
36,26,91,35,38.46,56,61.54,36026
36,27,101,43,42.57,58,57.43,36027
36,28,90,26,28.89,64,71.11,36028
36,29,121,31,25.62,90,74.38,36029
36,30,110,26,23.64,84,76.36,36030
37,2,57,31,54.39,26,45.61,37002
37,4,60,30,50.0,30,50.0,37004
37,7,63,34,53.97,29,46.03,37007
37,8,49,31,63.27,18,36.73,37008
37,10,80,37,46.25,43,53.75,37010
37,12,65,41,63.08,24,36.92,37012
37,19,65,34,52.31,31,47.69,37019
37,21,62,38,61.29,24,38.71,37021
37,22,56,32,57.14,24,42.86,37022
37,26,0,0,0.0,0,0.0,37026
37,28,72,32,44.44,40,55.56,37028
38,1,119,63,52.94,56,47.06,38001
38,3,93,51,54.84,42,45.16,38003
38,4,113,60,53.1,53,46.9,38004
38,5,98,46,46.94,52,53.06,38005
38,6,85,40,47.06,45,52.94,38006
38,7,112,40,35.71,72,64.29,38007
38,8,89,42,47.19,47,52.81,38008
38,9,148,82,55.41,66,44.59,38009
38,10,98,49,50.0,49,50.0,38010
38,11,112,56,50.0,56,50.0,38011
38,13,10,4,40.0,6,60.0,38013
38,14,135,75,55.56,60,44.44,38014
38,15,109,58,53.21,51,46.79,38015
38,16,104,49,47.12,55,52.88,38016
38,17,129,52,40.31,77,59.69,38017
38,20,109,46,42.2,63,57.8,38020
38,21,117,73,62.39,44,37.61,38021
38,22,51,23,45.1,28,54.9,38022
38,23,145,75,51.72,70,48.28,38023
38,24,119,50,42.02,69,57.98,38024
38,26,129,58,44.96,71,55.04,38026
38,27,102,48,47.06,54,52.94,38027
38,28,20,10,50.0,10,50.0,38028
38,29,125,63,50.4,62,49.6,38029
38,30,96,41,42.71,55,57.29,38030
38,31,164,85,51.83,79,48.17,38031
38,33,98,43,43.88,55,56.12,38033
38,34,136,71,52.21,65,47.79,38034
38,35,124,54,43.55,70,56.45,38035
38,36,43,13,30.23,30,69.77,38036
38,37,132,70,53.03,62,46.97,38037
38,38,110,44,40.0,66,60.0,38038
38,39,158,94,59.49,64,40.51,38039
38,40,153,79,51.63,74,48.37,38040
38,41,186,91,48.92,95,51.08,38041
39,6,129,71,55.04,58,44.96,39006
39,7,136,66,48.53,70,51.47,39007
39,8,169,86,50.89,83,49.11,39008
39,10,84,56,66.67,28,33.33,39010
39,12,182,98,53.85,84,46.15,39012
39,28,228,136,59.65,92,40.35,39028
39,29,68,33,48.53,35,51.47,39029
39,31,101,49,48.51,52,51.49,39031
39,33,149,79,53.02,70,46.98,39033
45,1,159,97,61.01,62,38.99,45001
45,2,187,114,60.96,73,39.04,45002
45,7,3,3,100.0,0,0.0,45007
45,8,154,81,52.6,73,47.4,45008
45,9,132,72,54.55,60,45.45,45009
45,10,157,72,45.86,85,54.14,45010
45,11,86,46,53.49,40,46.51,45011
45,12,126,68,53.97,58,46.03,45012
45,13,139,71,51.08,68,48.92,45013
45,14,196,113,57.65,83,42.35,45014
45,15,24,11,45.83,13,54.17,45015
45,17,1,0,0.0,1,100.0,45017
47,48,22,12,54.55,10,45.45,47048
