ward,precinct,total,Chris Taliaferro,Chris Taliaferro Percent,Aileen Bhandari,Aileen Bhandari Percent,precinct_id
36,29,116,67,57.76,49,42.24,36029
36,30,99,62,62.63,37,37.37,36030
37,16,78,51,65.38,27,34.62,37016
37,24,74,49,66.22,25,33.78,37024
37,26,126,81,64.29,45,35.71,37026
38,2,109,64,58.72,45,41.28,38002
38,3,94,44,46.81,50,53.19,38003
38,4,100,59,59.0,41,41.0,38004
38,5,93,57,61.29,36,38.71,38005
38,6,81,37,45.68,44,54.32,38006
38,7,95,61,64.21,34,35.79,38007
38,8,87,42,48.28,45,51.72,38008
38,9,127,68,53.54,59,46.46,38009
38,10,94,34,36.17,60,63.83,38010
38,11,105,46,43.81,59,56.19,38011
38,12,95,62,65.26,33,34.74,38012
38,13,110,52,47.27,58,52.73,38013
38,14,128,48,37.5,80,62.5,38014
38,15,101,44,43.56,57,56.44,38015
38,16,98,55,56.12,43,43.88,38016
38,17,111,55,49.55,56,50.45,38017
38,18,120,60,50.0,60,50.0,38018
38,19,137,64,46.72,73,53.28,38019
38,20,96,50,52.08,46,47.92,38020
38,21,119,51,42.86,68,57.14,38021
38,22,125,54,43.2,71,56.8,38022
38,23,133,53,39.85,80,60.15,38023
38,24,108,70,64.81,38,35.19,38024
38,25,107,46,42.99,61,57.01,38025
38,26,119,58,48.74,61,51.26,38026
38,27,98,59,60.2,39,39.8,38027
38,28,111,48,43.24,63,56.76,38028
38,29,120,56,46.67,64,53.33,38029
38,30,87,53,60.92,34,39.08,38030
38,33,90,32,35.56,58,64.44,38033
38,34,130,55,42.31,75,57.69,38034
38,35,117,37,31.62,80,68.38,38035
38,36,104,49,47.12,55,52.88,38036
38,37,118,58,49.15,60,50.85,38037
38,38,107,54,50.47,53,49.53,38038
38,39,147,57,38.78,90,61.22,38039
38,40,151,60,39.74,91,60.26,38040
41,25,52,25,48.08,27,51.92,41025
41,27,60,39,65.0,21,35.0,41027
41,28,74,28,37.84,46,62.16,41028
41,29,41,27,65.85,14,34.15,41029
45,4,30,12,40.0,18,60.0,45004
45,5,94,26,27.66,68,72.34,45005
45,6,253,64,25.3,189,74.7,45006
45,7,13,2,15.38,11,84.62,45007
45,8,13,4,30.77,9,69.23,45008
45,9,84,35,41.67,49,58.33,45009
45,10,71,28,39.44,43,60.56,45010
