ward,precinct,total,Kina Collins,Kina Collins Percent,Danny K. Davis,Danny K. Davis Percent,Denarvis C. Mendenhall,Denarvis C. Mendenhall Percent,precinct_id
20,36,41,6,14.63,35,85.37,0,0.0,20036
20,37,34,5,14.71,29,85.29,0,0.0,20037
20,38,29,9,31.03,19,65.52,1,3.45,20038
20,39,5,1,20.0,4,80.0,0,0.0,20039
21,42,0,0,0.0,0,0.0,0,0.0,21042
22,19,27,12,44.44,15,55.56,0,0.0,22019
22,21,90,15,16.67,75,83.33,0,0.0,22021
23,19,25,9,36.0,16,64.0,0,0.0,23019
23,31,26,17,65.38,8,30.77,1,3.85,23031
24,1,91,16,17.58,74,81.32,1,1.1,24001
24,2,71,23,32.39,46,64.79,2,2.82,24002
24,3,82,22,26.83,59,71.95,1,1.22,24003
24,4,55,12,21.82,43,78.18,0,0.0,24004
24,5,37,7,18.92,30,81.08,0,0.0,24005
24,6,93,24,25.81,66,70.97,3,3.23,24006
24,7,52,31,59.62,19,36.54,2,3.85,24007
24,8,32,5,15.63,25,78.13,2,6.25,24008
24,9,85,22,25.88,62,72.94,1,1.18,24009
24,10,67,23,34.33,44,65.67,0,0.0,24010
24,11,79,20,25.32,57,72.15,2,2.53,24011
24,12,49,11,22.45,36,73.47,2,4.08,24012
24,13,45,9,20.0,36,80.0,0,0.0,24013
24,14,53,11,20.75,42,79.25,0,0.0,24014
24,15,37,9,24.32,26,70.27,2,5.41,24015
24,17,71,21,29.58,47,66.2,3,4.23,24017
24,18,98,21,21.43,77,78.57,0,0.0,24018
24,19,95,21,22.11,71,74.74,3,3.16,24019
24,20,73,15,20.55,43,58.9,15,20.55,24020
24,21,44,10,22.73,32,72.73,2,4.55,24021
24,22,121,34,28.1,86,71.07,1,0.83,24022
24,23,79,20,25.32,55,69.62,4,5.06,24023
24,24,86,22,25.58,64,74.42,0,0.0,24024
24,25,46,9,19.57,37,80.43,0,0.0,24025
24,26,201,39,19.4,161,80.1,1,0.5,24026
24,27,104,33,31.73,70,67.31,1,0.96,24027
24,28,51,10,19.61,41,80.39,0,0.0,24028
24,29,30,10,33.33,19,63.33,1,3.33,24029
24,30,50,6,12.0,42,84.0,2,4.0,24030
24,31,81,21,25.93,59,72.84,1,1.23,24031
24,32,60,6,10.0,52,86.67,2,3.33,24032
24,33,47,11,23.4,36,76.6,0,0.0,24033
24,34,69,17,24.64,52,75.36,0,0.0,24034
24,35,80,22,27.5,54,67.5,4,5.0,24035
24,36,133,37,27.82,94,70.68,2,1.5,24036
24,37,56,16,28.57,38,67.86,2,3.57,24037
24,38,86,32,37.21,53,61.63,1,1.16,24038
24,39,77,23,29.87,50,64.94,4,5.19,24039
24,40,95,19,20.0,74,77.89,2,2.11,24040
24,41,79,17,21.52,61,77.22,1,1.27,24041
25,3,196,130,66.33,59,30.1,7,3.57,25003
25,4,96,57,59.38,39,40.63,0,0.0,25004
25,6,41,17,41.46,22,53.66,2,4.88,25006
25,10,158,93,58.86,60,37.97,5,3.16,25010
25,14,99,48,48.48,48,48.48,3,3.03,25014
25,16,174,100,57.47,62,35.63,12,6.9,25016
25,18,75,35,46.67,40,53.33,0,0.0,25018
25,20,67,22,32.84,45,67.16,0,0.0,25020
25,21,313,203,64.86,97,30.99,13,4.15,25021
25,25,120,52,43.33,65,54.17,3,2.5,25025
25,27,163,90,55.21,66,40.49,7,4.29,25027
25,29,122,50,40.98,70,57.38,2,1.64,25029
25,31,196,113,57.65,76,38.78,7,3.57,25031
26,10,38,23,60.53,13,34.21,2,5.26,26010
26,17,132,77,58.33,52,39.39,3,2.27,26017
26,21,128,90,70.31,34,26.56,4,3.13,26021
26,28,161,102,63.35,52,32.3,7,4.35,26028
26,32,118,84,71.19,32,27.12,2,1.69,26032
26,33,121,81,66.94,35,28.93,5,4.13,26033
26,46,97,66,68.04,28,28.87,3,3.09,26046
27,1,219,135,61.64,77,35.16,7,3.2,27001
27,2,165,63,38.18,97,58.79,5,3.03,27002
27,3,58,12,20.69,41,70.69,5,8.62,27003
27,4,76,41,53.95,31,40.79,4,5.26,27004
27,5,80,18,22.5,61,76.25,1,1.25,27005
27,6,138,71,51.45,67,48.55,0,0.0,27006
27,7,167,128,76.65,34,20.36,5,2.99,27007
27,8,78,22,28.21,55,70.51,1,1.28,27008
27,9,65,36,55.38,27,41.54,2,3.08,27009
27,10,147,22,14.97,121,82.31,4,2.72,27010
27,11,100,58,58.0,41,41.0,1,1.0,27011
27,13,213,64,30.05,144,67.61,5,2.35,27013
27,14,52,15,28.85,36,69.23,1,1.92,27014
27,15,51,14,27.45,36,70.59,1,1.96,27015
27,16,97,53,54.64,43,44.33,1,1.03,27016
27,17,113,42,37.17,66,58.41,5,4.42,27017
27,18,77,24,31.17,50,64.94,3,3.9,27018
27,19,57,17,29.82,37,64.91,3,5.26,27019
27,20,50,10,20.0,40,80.0,0,0.0,27020
27,21,134,72,53.73,61,45.52,1,0.75,27021
27,22,64,18,28.13,44,68.75,2,3.13,27022
27,23,87,20,22.99,65,74.71,2,2.3,27023
27,25,114,62,54.39,50,43.86,2,1.75,27025
27,26,79,25,31.65,51,64.56,3,3.8,27026
27,27,150,60,40.0,88,58.67,2,1.33,27027
27,28,166,83,50.0,78,46.99,5,3.01,27028
27,30,45,9,20.0,35,77.78,1,2.22,27030
27,31,65,30,46.15,35,53.85,0,0.0,27031
27,32,117,59,50.43,54,46.15,4,3.42,27032
27,33,137,87,63.5,49,35.77,1,0.73,27033
27,34,69,10,14.49,58,84.06,1,1.45,27034
27,35,160,101,63.13,59,36.88,0,0.0,27035
27,36,79,39,49.37,40,50.63,0,0.0,27036
27,37,132,41,31.06,86,65.15,5,3.79,27037
27,38,139,42,30.22,91,65.47,6,4.32,27038
27,39,102,45,44.12,55,53.92,2,1.96,27039
27,40,127,67,52.76,57,44.88,3,2.36,27040
27,41,133,30,22.56,103,77.44,0,0.0,27041
27,42,76,24,31.58,49,64.47,3,3.95,27042
27,43,84,34,40.48,45,53.57,5,5.95,27043
27,44,69,19,27.54,48,69.57,2,2.9,27044
27,45,261,167,63.98,88,33.72,6,2.3,27045
27,47,119,30,25.21,87,73.11,2,1.68,27047
27,48,191,91,47.64,98,51.31,2,1.05,27048
27,49,98,29,29.59,65,66.33,4,4.08,27049
27,50,111,20,18.02,87,78.38,4,3.6,27050
28,1,48,8,16.67,39,81.25,1,2.08,28001
28,2,83,25,30.12,57,68.67,1,1.2,28002
28,3,53,20,37.74,31,58.49,2,3.77,28003
28,4,69,35,50.72,31,44.93,3,4.35,28004
28,5,63,17,26.98,46,73.02,0,0.0,28005
28,6,61,22,36.07,38,62.3,1,1.64,28006
28,7,60,12,20.0,47,78.33,1,1.67,28007
28,8,143,94,65.73,41,28.67,8,5.59,28008
28,9,69,12,17.39,55,79.71,2,2.9,28009
28,10,128,53,41.41,69,53.91,6,4.69,28010
28,11,180,123,68.33,57,31.67,0,0.0,28011
28,12,78,11,14.1,67,85.9,0,0.0,28012
28,13,157,29,18.47,125,79.62,3,1.91,28013
28,14,62,11,17.74,51,82.26,0,0.0,28014
28,15,39,8,20.51,30,76.92,1,2.56,28015
28,16,51,9,17.65,41,80.39,1,1.96,28016
28,17,78,16,20.51,62,79.49,0,0.0,28017
28,18,83,10,12.05,72,86.75,1,1.2,28018
28,19,73,34,46.58,37,50.68,2,2.74,28019
28,20,59,21,35.59,38,64.41,0,0.0,28020
28,21,80,20,25.0,57,71.25,3,3.75,28021
28,22,102,42,41.18,56,54.9,4,3.92,28022
28,23,91,19,20.88,72,79.12,0,0.0,28023
28,24,63,17,26.98,44,69.84,2,3.17,28024
28,25,161,40,24.84,119,73.91,2,1.24,28025
28,26,94,22,23.4,71,75.53,1,1.06,28026
28,27,103,45,43.69,53,51.46,5,4.85,28027
28,28,139,66,47.48,67,48.2,6,4.32,28028
28,29,30,10,33.33,20,66.67,0,0.0,28029
28,30,24,6,25.0,18,75.0,0,0.0,28030
28,31,130,32,24.62,96,73.85,2,1.54,28031
28,32,87,25,28.74,62,71.26,0,0.0,28032
28,33,104,19,18.27,82,78.85,3,2.88,28033
28,34,108,26,24.07,80,74.07,2,1.85,28034
28,35,70,14,20.0,56,80.0,0,0.0,28035
28,36,48,11,22.92,36,75.0,1,2.08,28036
28,37,91,13,14.29,75,82.42,3,3.3,28037
28,38,39,5,12.82,34,87.18,0,0.0,28038
28,39,53,19,35.85,32,60.38,2,3.77,28039
28,40,110,24,21.82,85,77.27,1,0.91,28040
28,41,67,14,20.9,53,79.1,0,0.0,28041
28,42,70,17,24.29,53,75.71,0,0.0,28042
28,43,109,34,31.19,74,67.89,1,0.92,28043
28,44,57,16,28.07,40,70.18,1,1.75,28044
28,45,142,92,64.79,45,31.69,5,3.52,28045
28,46,212,122,57.55,82,38.68,8,3.77,28046
29,1,223,123,55.16,98,43.95,2,0.9,29001
29,2,147,38,25.85,108,73.47,1,0.68,29002
29,3,124,28,22.58,95,76.61,1,0.81,29003
29,4,159,42,26.42,116,72.96,1,0.63,29004
29,5,69,21,30.43,48,69.57,0,0.0,29005
29,6,86,18,20.93,66,76.74,2,2.33,29006
29,7,166,59,35.54,103,62.05,4,2.41,29007
29,8,71,15,21.13,56,78.87,0,0.0,29008
29,9,195,101,51.79,86,44.1,8,4.1,29009
