ward,precinct,total,"Russell """"Russ"""" Hartigan","Russell """"Russ"""" Hartigan Percent",Dominique C. Ross,Dominique C. Ross Percent,Debra B. Walker,Debra B. Walker Percent,precinct_id
7,5,89,14,15.73,43,48.31,32,35.96,07005
7,6,176,26,14.77,77,43.75,73,41.48,07006
7,7,90,9,10.0,43,47.78,38,42.22,07007
7,8,108,15,13.89,51,47.22,42,38.89,07008
7,9,253,29,11.46,120,47.43,104,41.11,07009
7,10,176,19,10.8,80,45.45,77,43.75,07010
7,11,105,10,9.52,46,43.81,49,46.67,07011
7,12,76,10,13.16,29,38.16,37,48.68,07012
7,13,103,19,18.45,41,39.81,43,41.75,07013
7,14,112,14,12.5,48,42.86,50,44.64,07014
7,15,134,13,9.7,71,52.99,50,37.31,07015
7,16,83,14,16.87,36,43.37,33,39.76,07016
7,17,93,15,16.13,43,46.24,35,37.63,07017
7,18,108,10,9.26,49,45.37,49,45.37,07018
7,19,107,10,9.35,55,51.4,42,39.25,07019
7,20,67,10,14.93,35,52.24,22,32.84,07020
7,21,71,8,11.27,27,38.03,36,50.7,07021
7,22,102,23,22.55,38,37.25,41,40.2,07022
7,23,140,16,11.43,79,56.43,45,32.14,07023
7,24,84,13,15.48,42,50.0,29,34.52,07024
7,25,49,9,18.37,23,46.94,17,34.69,07025
7,26,117,14,11.97,56,47.86,47,40.17,07026
7,27,100,12,12.0,44,44.0,44,44.0,07027
7,28,70,16,22.86,30,42.86,24,34.29,07028
7,29,111,10,9.01,51,45.95,50,45.05,07029
7,30,73,10,13.7,36,49.32,27,36.99,07030
7,31,62,11,17.74,38,61.29,13,20.97,07031
7,32,220,27,12.27,110,50.0,83,37.73,07032
7,33,220,32,14.55,99,45.0,89,40.45,07033
7,34,178,17,9.55,77,43.26,84,47.19,07034
7,35,111,16,14.41,57,51.35,38,34.23,07035
7,36,173,13,7.51,98,56.65,62,35.84,07036
7,37,141,16,11.35,71,50.35,54,38.3,07037
7,38,103,12,11.65,48,46.6,43,41.75,07038
7,39,116,14,12.07,50,43.1,52,44.83,07039
7,40,112,15,13.39,52,46.43,45,40.18,07040
7,41,91,8,8.79,42,46.15,41,45.05,07041
7,42,120,11,9.17,65,54.17,44,36.67,07042
7,43,117,14,11.97,55,47.01,48,41.03,07043
7,44,102,16,15.69,49,48.04,37,36.27,07044
7,45,72,18,25.0,28,38.89,26,36.11,07045
7,46,60,15,25.0,22,36.67,23,38.33,07046
8,1,100,17,17.0,46,46.0,37,37.0,08001
8,2,97,12,12.37,53,54.64,32,32.99,08002
8,3,209,18,8.61,121,57.89,70,33.49,08003
8,4,188,18,9.57,111,59.04,59,31.38,08004
8,5,198,20,10.1,108,54.55,70,35.35,08005
8,6,172,25,14.53,86,50.0,61,35.47,08006
8,7,186,33,17.74,96,51.61,57,30.65,08007
8,8,200,25,12.5,104,52.0,71,35.5,08008
8,9,85,10,11.76,43,50.59,32,37.65,08009
8,10,255,29,11.37,124,48.63,102,40.0,08010
8,11,98,7,7.14,53,54.08,38,38.78,08011
8,12,115,11,9.57,61,53.04,43,37.39,08012
8,13,140,18,12.86,85,60.71,37,26.43,08013
8,14,61,11,18.03,27,44.26,23,37.7,08014
8,15,109,14,12.84,51,46.79,44,40.37,08015
8,16,29,2,6.9,13,44.83,14,48.28,08016
8,17,140,14,10.0,84,60.0,42,30.0,08017
8,18,64,6,9.38,32,50.0,26,40.63,08018
8,19,207,17,8.21,113,54.59,77,37.2,08019
8,20,186,30,16.13,98,52.69,58,31.18,08020
8,21,166,19,11.45,81,48.8,66,39.76,08021
8,22,140,20,14.29,82,58.57,38,27.14,08022
8,23,78,9,11.54,31,39.74,38,48.72,08023
8,24,97,13,13.4,47,48.45,37,38.14,08024
8,25,120,23,19.17,53,44.17,44,36.67,08025
8,26,91,12,13.19,36,39.56,43,47.25,08026
8,27,234,17,7.26,127,54.27,90,38.46,08027
8,28,146,16,10.96,84,57.53,46,31.51,08028
8,29,182,17,9.34,101,55.49,64,35.16,08029
8,30,159,16,10.06,81,50.94,62,38.99,08030
8,31,103,12,11.65,50,48.54,41,39.81,08031
8,32,112,11,9.82,71,63.39,30,26.79,08032
8,33,105,8,7.62,40,38.1,57,54.29,08033
8,34,151,25,16.56,78,51.66,48,31.79,08034
8,35,171,21,12.28,89,52.05,61,35.67,08035
8,36,148,13,8.78,85,57.43,50,33.78,08036
8,37,133,15,11.28,66,49.62,52,39.1,08037
8,38,101,11,10.89,57,56.44,33,32.67,08038
8,39,135,16,11.85,80,59.26,39,28.89,08039
8,40,103,16,15.53,45,43.69,42,40.78,08040
8,41,133,13,9.77,77,57.89,43,32.33,08041
8,42,177,18,10.17,97,54.8,62,35.03,08042
8,43,53,1,1.89,25,47.17,27,50.94,08043
8,44,92,12,13.04,46,50.0,34,36.96,08044
8,45,61,10,16.39,26,42.62,25,40.98,08045
8,46,104,8,7.69,52,50.0,44,42.31,08046
8,47,121,10,8.26,65,53.72,46,38.02,08047
8,48,131,13,9.92,70,53.44,48,36.64,08048
8,49,147,13,8.84,84,57.14,50,34.01,08049
8,50,161,16,9.94,86,53.42,59,36.65,08050
8,51,171,22,12.87,81,47.37,68,39.77,08051
8,52,229,22,9.61,128,55.9,79,34.5,08052
8,53,71,9,12.68,31,43.66,31,43.66,08053
8,54,71,17,23.94,38,53.52,16,22.54,08054
8,55,137,20,14.6,54,39.42,63,45.99,08055
8,56,179,17,9.5,100,55.87,62,34.64,08056
9,1,121,9,7.44,56,46.28,56,46.28,09001
9,2,96,13,13.54,42,43.75,41,42.71,09002
9,3,48,9,18.75,18,37.5,21,43.75,09003
9,4,93,19,20.43,35,37.63,39,41.94,09004
9,5,147,18,12.24,82,55.78,47,31.97,09005
9,6,106,12,11.32,56,52.83,38,35.85,09006
9,7,64,8,12.5,31,48.44,25,39.06,09007
