ward,precinct,total,Dennis Deer,Dennis Deer Percent,Andre Smith,Andre Smith Percent,precinct_id
27,7,144,99,68.75,45,31.25,27007
27,10,127,54,42.52,73,57.48,27010
27,11,30,26,86.67,4,13.33,27011
27,13,37,25,67.57,12,32.43,27013
27,14,50,17,34.0,33,66.0,27014
27,16,74,49,66.22,25,33.78,27016
27,17,92,52,56.52,40,43.48,27017
27,18,67,26,38.81,41,61.19,27018
27,25,98,59,60.2,39,39.8,27025
27,26,35,19,54.29,16,45.71,27026
27,27,135,77,57.04,58,42.96,27027
27,30,36,20,55.56,16,44.44,27030
27,32,99,50,50.51,49,49.49,27032
27,33,110,68,61.82,42,38.18,27033
27,39,96,58,60.42,38,39.58,27039
27,40,107,71,66.36,36,33.64,27040
27,41,108,57,52.78,51,47.22,27041
27,43,60,23,38.33,37,61.67,27043
27,45,214,147,68.69,67,31.31,27045
27,49,88,55,62.5,33,37.5,27049
27,50,95,48,50.53,47,49.47,27050
28,1,0,0,0.0,0,0.0,28001
28,3,1,0,0.0,1,100.0,28003
28,4,60,43,71.67,17,28.33,28004
28,5,57,33,57.89,24,42.11,28005
28,6,55,36,65.45,19,34.55,28006
28,8,121,81,66.94,40,33.06,28008
28,9,17,6,35.29,11,64.71,28009
28,10,106,77,72.64,29,27.36,28010
28,11,162,100,61.73,62,38.27,28011
28,16,50,36,72.0,14,28.0,28016
28,17,28,17,60.71,11,39.29,28017
28,18,74,31,41.89,43,58.11,28018
28,19,71,51,71.83,20,28.17,28019
28,27,91,69,75.82,22,24.18,28027
28,28,119,84,70.59,35,29.41,28028
28,29,26,20,76.92,6,23.08,28029
28,30,22,14,63.64,8,36.36,28030
28,32,80,45,56.25,35,43.75,28032
28,34,91,51,56.04,40,43.96,28034
28,35,61,45,73.77,16,26.23,28035
28,36,42,29,69.05,13,30.95,28036
28,40,33,20,60.61,13,39.39,28040
28,45,114,76,66.67,38,33.33,28045
28,46,189,113,59.79,76,40.21,28046
42,3,144,104,72.22,40,27.78,42003
42,9,141,90,63.83,51,36.17,42009
42,10,190,123,64.74,67,35.26,42010
42,12,136,109,80.15,27,19.85,42012
42,14,73,41,56.16,32,43.84,42014
42,16,140,101,72.14,39,27.86,42016
42,17,129,97,75.19,32,24.81,42017
42,18,107,68,63.55,39,36.45,42018
42,21,138,98,71.01,40,28.99,42021
42,25,124,78,62.9,46,37.1,42025
42,33,84,59,70.24,25,29.76,42033
42,36,157,110,70.06,47,29.94,42036
42,41,145,101,69.66,44,30.34,42041
42,42,151,107,70.86,44,29.14,42042
