ward,precinct,total,Paul Joyce,Paul Joyce Percent,Michael Weaver,Michael Weaver Percent,precinct_id
2,11,169,41,24.26,76,44.97,02011
2,12,113,24,21.24,53,46.9,02012
2,13,159,46,28.93,79,49.69,02013
2,14,178,25,14.04,108,60.67,02014
2,15,142,37,26.06,75,52.82,02015
2,16,163,30,18.4,98,60.12,02016
2,17,223,40,17.94,140,62.78,02017
2,18,129,27,20.93,55,42.64,02018
2,19,110,39,35.45,51,46.36,02019
2,20,134,38,28.36,58,43.28,02020
2,21,179,44,24.58,104,58.1,02021
2,22,153,39,25.49,76,49.67,02022
2,23,116,37,31.9,42,36.21,02023
2,24,125,31,24.8,59,47.2,02024
2,25,188,35,18.62,104,55.32,02025
2,26,111,23,20.72,58,52.25,02026
2,27,89,18,20.22,35,39.33,02027
2,28,138,43,31.16,62,44.93,02028
2,29,134,45,33.58,50,37.31,02029
2,30,108,28,25.93,50,46.3,02030
2,31,180,57,31.67,77,42.78,02031
2,32,80,23,28.75,33,41.25,02032
2,33,189,47,24.87,75,39.68,02033
2,34,139,43,30.94,58,41.73,02034
2,35,165,41,24.85,74,44.85,02035
2,36,137,28,20.44,60,43.8,02036
2,37,164,40,24.39,80,48.78,02037
2,38,116,34,29.31,49,42.24,02038
2,39,67,19,28.36,22,32.84,02039
2,40,146,37,25.34,67,45.89,02040
2,41,125,32,25.6,55,44.0,02041
2,42,120,22,18.33,61,50.83,02042
2,43,146,39,26.71,61,41.78,02043
2,44,146,43,29.45,62,42.47,02044
2,45,90,21,23.33,54,60.0,02045
2,46,84,23,27.38,34,40.48,02046
3,1,172,44,25.58,54,31.4,03001
3,2,243,55,22.63,89,36.63,03002
3,3,104,20,19.23,52,50.0,03003
3,4,219,28,12.79,77,35.16,03004
3,5,79,19,24.05,23,29.11,03005
3,6,221,66,29.86,98,44.34,03006
3,7,143,25,17.48,55,38.46,03007
3,8,95,24,25.26,36,37.89,03008
3,9,182,30,16.48,60,32.97,03009
3,10,62,19,30.65,23,37.1,03010
3,11,149,33,22.15,59,39.6,03011
3,12,233,46,19.74,82,35.19,03012
3,13,194,41,21.13,92,47.42,03013
3,14,174,52,29.89,79,45.4,03014
3,15,120,22,18.33,46,38.33,03015
3,16,122,32,26.23,40,32.79,03016
3,17,176,32,18.18,81,46.02,03017
3,18,205,40,19.51,82,40.0,03018
3,19,198,51,25.76,88,44.44,03019
3,20,168,35,20.83,57,33.93,03020
3,21,203,60,29.56,77,37.93,03021
3,22,212,36,16.98,103,48.58,03022
3,23,99,18,18.18,41,41.41,03023
3,24,110,23,20.91,46,41.82,03024
3,25,291,95,32.65,132,45.36,03025
3,26,216,67,31.02,96,44.44,03026
3,27,197,57,28.93,73,37.06,03027
3,28,119,37,31.09,45,37.82,03028
3,29,119,29,24.37,46,38.66,03029
3,30,154,18,11.69,69,44.81,03030
3,31,153,35,22.88,57,37.25,03031
3,32,205,39,19.02,95,46.34,03032
3,33,184,63,34.24,78,42.39,03033
3,34,225,47,20.89,94,41.78,03034
3,35,83,16,19.28,34,40.96,03035
3,36,61,12,19.67,21,34.43,03036
3,37,114,21,18.42,50,43.86,03037
3,38,161,35,21.74,64,39.75,03038
3,39,285,66,23.16,137,48.07,03039
3,40,142,38,26.76,51,35.92,03040
3,41,148,37,25.0,59,39.86,03041
4,1,259,43,16.6,143,55.21,04001
4,2,244,71,29.1,111,45.49,04002
4,3,114,21,18.42,44,38.6,04003
4,4,210,48,22.86,79,37.62,04004
4,5,208,23,11.06,93,44.71,04005
4,6,287,55,19.16,127,44.25,04006
4,7,238,34,14.29,105,44.12,04007
4,8,225,35,15.56,100,44.44,04008
4,9,308,49,15.91,163,52.92,04009
4,10,282,45,15.96,117,41.49,04010
4,11,100,20,20.0,47,47.0,04011
4,12,201,38,18.91,96,47.76,04012
4,13,122,25,20.49,56,45.9,04013
4,14,199,39,19.6,95,47.74,04014
4,15,217,28,12.9,116,53.46,04015
4,16,276,65,23.55,137,49.64,04016
4,17,219,44,20.09,111,50.68,04017
4,18,207,49,23.67,84,40.58,04018
4,19,88,21,23.86,33,37.5,04019
4,20,184,55,29.89,84,45.65,04020
4,21,160,36,22.5,73,45.63,04021
4,22,197,26,13.2,109,55.33,04022
4,23,264,37,14.02,154,58.33,04023
4,24,168,35,20.83,81,48.21,04024
4,25,240,55,22.92,128,53.33,04025
4,26,151,25,16.56,69,45.7,04026
4,27,246,40,16.26,136,55.28,04027
4,28,142,22,15.49,71,50.0,04028
4,29,189,43,22.75,78,41.27,04029
4,30,181,36,19.89,88,48.62,04030
4,31,269,44,16.36,137,50.93,04031
4,32,212,34,16.04,97,45.75,04032
4,33,157,30,19.11,82,52.23,04033
4,34,161,20,12.42,77,47.83,04034
4,35,244,40,16.39,127,52.05,04035
4,36,254,43,16.93,102,40.16,04036
4,37,314,71,22.61,165,52.55,04037
4,38,245,40,16.33,113,46.12,04038
5,1,107,23,21.5,39,36.45,05001
5,2,95,23,24.21,38,40.0,05002
5,3,174,34,19.54,98,56.32,05003
5,4,234,37,15.81,119,50.85,05004
5,5,131,28,21.37,49,37.4,05005
5,6,124,33,26.61,41,33.06,05006
5,7,181,30,16.57,92,50.83,05007
5,8,211,43,20.38,118,55.92,05008
5,9,247,43,17.41,125,50.61,05009
5,10,99,26,26.26,36,36.36,05010
5,11,205,41,20.0,117,57.07,05011
5,12,77,13,16.88,36,46.75,05012
5,13,127,22,17.32,54,42.52,05013
5,14,193,28,14.51,84,43.52,05014
5,15,152,36,23.68,71,46.71,05015
5,16,148,25,16.89,48,32.43,05016
5,17,106,25,23.58,45,42.45,05017
5,18,167,37,22.16,80,47.9,05018
5,19,205,63,30.73,97,47.32,05019
5,20,273,48,17.58,127,46.52,05020
5,21,176,37,21.02,91,51.7,05021
5,22,299,58,19.4,157,52.51,05022
5,23,314,60,19.11,172,54.78,05023
5,24,216,44,20.37,121,56.02,05024
5,25,173,35,20.23,81,46.82,05025
5,26,145,22,15.17,56,38.62,05026
5,27,158,49,31.01,90,56.96,05027
5,28,179,25,13.97,78,43.58,05028
5,29,167,25,14.97,80,47.9,05029
5,30,88,20,22.73,37,42.05,05030
5,31,99,20,20.2,46,46.46,05031
5,32,212,27,12.74,108,50.94,05032
5,33,183,34,18.58,85,46.45,05033
5,34,220,57,25.91,114,51.82,05034
5,35,265,64,24.15,130,49.06,05035
5,36,59,11,18.64,27,45.76,05036
5,37,243,45,18.52,115,47.33,05037
5,38,129,27,20.93,41,31.78,05038
5,39,186,50,26.88,83,44.62,05039
5,40,124,22,17.74,52,41.94,05040
5,41,147,28,19.05,84,57.14,05041
6,1,155,27,17.42,67,43.23,06001
6,2,189,44,23.28,76,40.21,06002
6,3,134,30,22.39,57,42.54,06003
6,4,74,18,24.32,24,32.43,06004
6,5,75,12,16.0,30,40.0,06005
6,6,152,27,17.76,76,50.0,06006
6,7,90,11,12.22,41,45.56,06007
6,8,174,35,20.11,69,39.66,06008
6,9,91,16,17.58,39,42.86,06009
6,10,61,10,16.39,29,47.54,06010
6,11,96,17,17.71,42,43.75,06011
6,12,59,11,18.64,26,44.07,06012
6,13,125,35,28.0,44,35.2,06013
6,14,131,38,29.01,46,35.11,06014
6,15,71,21,29.58,23,32.39,06015
6,16,153,27,17.65,61,39.87,06016
6,17,64,12,18.75,25,39.06,06017
6,18,84,25,29.76,36,42.86,06018
6,19,78,12,15.38,41,52.56,06019
6,20,72,21,29.17,25,34.72,06020
6,21,46,11,23.91,19,41.3,06021
6,22,54,13,24.07,25,46.3,06022
6,23,47,14,29.79,17,36.17,06023
6,24,50,23,46.0,15,30.0,06024
6,25,59,11,18.64,29,49.15,06025
6,26,58,11,18.97,24,41.38,06026
6,27,60,14,23.33,15,25.0,06027
6,28,38,6,15.79,17,44.74,06028
6,29,173,34,19.65,87,50.29,06029
6,30,82,20,24.39,27,32.93,06030
6,31,170,36,21.18,70,41.18,06031
6,32,128,41,32.03,29,22.66,06032
6,33,140,26,18.57,53,37.86,06033
6,34,128,24,18.75,55,42.97,06034
6,35,150,36,24.0,51,34.0,06035
6,36,186,38,20.43,89,47.85,06036
6,37,203,44,21.67,89,43.84,06037
6,38,164,27,16.46,87,53.05,06038
6,39,109,21,19.27,44,40.37,06039
6,40,104,24,23.08,46,44.23,06040
6,41,150,28,18.67,67,44.67,06041
6,42,117,21,17.95,44,37.61,06042
6,43,117,25,21.37,51,43.59,06043
6,44,122,22,18.03,52,42.62,06044
6,45,151,24,15.89,83,54.97,06045
6,46,99,18,18.18,47,47.47,06046
6,47,104,33,31.73,36,34.62,06047
6,48,113,21,18.58,53,46.9,06048
7,1,88,11,12.5,49,55.68,07001
7,2,92,13,14.13,40,43.48,07002
7,3,122,20,16.39,54,44.26,07003
7,4,112,27,24.11,51,45.54,07004
7,5,86,14,16.28,39,45.35,07005
7,6,167,17,10.18,77,46.11,07006
7,7,87,12,13.79,37,42.53,07007
7,8,96,18,18.75,41,42.71,07008
7,9,241,44,18.26,98,40.66,07009
7,10,174,33,18.97,97,55.75,07010
7,11,96,18,18.75,37,38.54,07011
7,12,74,14,18.92,26,35.14,07012
7,13,103,27,26.21,33,32.04,07013
7,14,107,22,20.56,39,36.45,07014
7,15,128,27,21.09,51,39.84,07015
7,16,81,15,18.52,28,34.57,07016
7,17,92,13,14.13,40,43.48,07017
7,18,103,15,14.56,52,50.49,07018
7,19,101,15,14.85,44,43.56,07019
7,20,66,15,22.73,30,45.45,07020
7,21,65,10,15.38,27,41.54,07021
7,22,97,24,24.74,27,27.84,07022
7,23,137,18,13.14,73,53.28,07023
7,24,82,11,13.41,35,42.68,07024
7,25,47,10,21.28,13,27.66,07025
7,26,111,15,13.51,53,47.75,07026
7,27,97,25,25.77,36,37.11,07027
7,28,66,16,24.24,34,51.52,07028
7,29,108,21,19.44,47,43.52,07029
7,30,72,7,9.72,33,45.83,07030
7,31,62,13,20.97,26,41.94,07031
7,32,218,35,16.06,102,46.79,07032
7,33,217,40,18.43,100,46.08,07033
7,34,167,35,20.96,85,50.9,07034
7,35,107,12,11.21,61,57.01,07035
7,36,163,23,14.11,91,55.83,07036
7,37,135,24,17.78,61,45.19,07037
7,38,103,17,16.5,40,38.83,07038
7,39,109,29,26.61,42,38.53,07039
7,40,108,21,19.44,59,54.63,07040
7,41,88,15,17.05,42,47.73,07041
7,42,115,18,15.65,63,54.78,07042
7,43,110,22,20.0,40,36.36,07043
7,44,97,21,21.65,39,40.21,07044
7,45,63,15,23.81,24,38.1,07045
7,46,57,18,31.58,17,29.82,07046
8,1,94,18,19.15,41,43.62,08001
8,2,95,17,17.89,42,44.21,08002
8,3,203,35,17.24,100,49.26,08003
8,4,180,30,16.67,76,42.22,08004
8,5,186,34,18.28,89,47.85,08005
8,6,162,22,13.58,88,54.32,08006
8,7,185,25,13.51,99,53.51,08007
8,8,192,27,14.06,90,46.88,08008
8,9,80,19,23.75,31,38.75,08009
8,10,247,42,17.0,122,49.39,08010
8,11,93,15,16.13,46,49.46,08011
8,12,108,19,17.59,53,49.07,08012
8,13,134,29,21.64,66,49.25,08013
8,14,49,10,20.41,13,26.53,08014
8,15,108,22,20.37,42,38.89,08015
8,16,30,8,26.67,5,16.67,08016
8,17,130,22,16.92,65,50.0,08017
8,18,61,12,19.67,27,44.26,08018
8,19,202,29,14.36,88,43.56,08019
8,20,177,34,19.21,81,45.76,08020
8,21,158,21,13.29,89,56.33,08021
8,22,137,21,15.33,61,44.53,08022
8,23,81,23,28.4,31,38.27,08023
8,24,96,24,25.0,41,42.71,08024
8,25,121,31,25.62,44,36.36,08025
8,26,89,26,29.21,33,37.08,08026
8,27,216,35,16.2,101,46.76,08027
8,28,142,25,17.61,61,42.96,08028
8,29,175,26,14.86,80,45.71,08029
8,30,146,25,17.12,82,56.16,08030
8,31,101,17,16.83,44,43.56,08031
8,32,109,15,13.76,55,50.46,08032
8,33,103,19,18.45,42,40.78,08033
8,34,145,28,19.31,70,48.28,08034
8,35,168,31,18.45,81,48.21,08035
8,36,141,17,12.06,70,49.65,08036
8,37,127,18,14.17,66,51.97,08037
8,38,98,15,15.31,51,52.04,08038
8,39,130,21,16.15,60,46.15,08039
8,40,95,20,21.05,41,43.16,08040
8,41,125,18,14.4,58,46.4,08041
8,42,171,22,12.87,86,50.29,08042
8,43,50,14,28.0,18,36.0,08043
8,44,90,23,25.56,32,35.56,08044
8,45,57,9,15.79,20,35.09,08045
8,46,103,21,20.39,48,46.6,08046
8,47,122,31,25.41,50,40.98,08047
8,48,126,28,22.22,51,40.48,08048
8,49,141,20,14.18,77,54.61,08049
8,50,155,25,16.13,77,49.68,08050
8,51,170,31,18.24,64,37.65,08051
8,52,225,26,11.56,101,44.89,08052
8,53,70,14,20.0,26,37.14,08053
8,54,65,13,20.0,31,47.69,08054
8,55,132,32,24.24,57,43.18,08055
8,56,169,21,12.43,92,54.44,08056
9,1,111,19,17.12,49,44.14,09001
9,2,91,12,13.19,34,37.36,09002
9,3,45,10,22.22,18,40.0,09003
9,4,88,13,14.77,32,36.36,09004
9,5,139,19,13.67,59,42.45,09005
9,6,100,19,19.0,46,46.0,09006
9,7,59,15,25.42,19,32.2,09007
9,8,80,17,21.25,22,27.5,09008
9,9,156,30,19.23,63,40.38,09009
9,10,79,18,22.78,31,39.24,09010
9,11,88,19,21.59,35,39.77,09011
9,12,165,27,16.36,74,44.85,09012
9,13,153,22,14.38,70,45.75,09013
9,14,155,27,17.42,57,36.77,09014
9,15,46,5,10.87,16,34.78,09015
9,16,119,18,15.13,56,47.06,09016
9,17,57,12,21.05,22,38.6,09017
9,18,98,26,26.53,39,39.8,09018
9,19,102,20,19.61,51,50.0,09019
9,20,113,25,22.12,52,46.02,09020
9,21,97,16,16.49,39,40.21,09021
9,22,125,27,21.6,49,39.2,09022
9,23,156,26,16.67,73,46.79,09023
9,24,159,34,21.38,71,44.65,09024
9,25,112,15,13.39,37,33.04,09025
9,26,63,17,26.98,20,31.75,09026
9,27,111,13,11.71,53,47.75,09027
9,28,44,9,20.45,19,43.18,09028
9,29,55,11,20.0,27,49.09,09029
9,30,79,17,21.52,31,39.24,09030
9,31,71,21,29.58,23,32.39,09031
9,32,120,14,11.67,62,51.67,09032
9,33,72,17,23.61,33,45.83,09033
9,34,85,18,21.18,39,45.88,09034
9,35,140,29,20.71,62,44.29,09035
9,36,82,16,19.51,39,47.56,09036
9,37,177,42,23.73,75,42.37,09037
9,38,94,28,29.79,31,32.98,09038
9,39,141,20,14.18,66,46.81,09039
9,40,165,23,13.94,79,47.88,09040
9,41,97,13,13.4,50,51.55,09041
9,42,169,35,20.71,71,42.01,09042
9,43,83,17,20.48,31,37.35,09043
9,44,118,19,16.1,47,39.83,09044
9,45,84,22,26.19,33,39.29,09045
9,46,121,20,16.53,56,46.28,09046
9,47,161,33,20.5,76,47.2,09047
9,48,157,35,22.29,68,43.31,09048
9,49,159,30,18.87,72,45.28,09049
9,50,196,35,17.86,93,47.45,09050
9,51,154,23,14.94,70,45.45,09051
10,1,103,21,20.39,43,41.75,10001
10,2,65,14,21.54,24,36.92,10002
10,3,86,22,25.58,24,27.91,10003
10,4,51,13,25.49,20,39.22,10004
10,5,59,19,32.2,18,30.51,10005
10,6,73,22,30.14,19,26.03,10006
10,7,41,12,29.27,15,36.59,10007
10,8,29,8,27.59,8,27.59,10008
10,9,61,15,24.59,27,44.26,10009
10,10,80,27,33.75,28,35.0,10010
10,11,76,15,19.74,24,31.58,10011
10,12,45,17,37.78,12,26.67,10012
10,13,76,25,32.89,22,28.95,10013
10,14,84,29,34.52,27,32.14,10014
10,15,203,45,22.17,86,42.36,10015
10,16,53,18,33.96,19,35.85,10016
10,17,104,36,34.62,41,39.42,10017
10,18,40,10,25.0,13,32.5,10018
10,19,56,19,33.93,11,19.64,10019
10,20,75,25,33.33,19,25.33,10020
10,21,71,21,29.58,26,36.62,10021
10,22,26,8,30.77,7,26.92,10022
10,23,65,19,29.23,21,32.31,10023
10,24,68,25,36.76,23,33.82,10024
10,25,32,14,43.75,8,25.0,10025
10,26,56,16,28.57,17,30.36,10026
10,27,57,14,24.56,23,40.35,10027
10,28,79,29,36.71,24,30.38,10028
10,29,65,18,27.69,18,27.69,10029
10,30,49,10,20.41,16,32.65,10030
10,31,50,14,28.0,18,36.0,10031
10,32,68,18,26.47,18,26.47,10032
10,33,56,20,35.71,18,32.14,10033
10,34,37,9,24.32,12,32.43,10034
10,35,95,33,34.74,35,36.84,10035
10,36,32,11,34.38,9,28.13,10036
11,1,135,30,22.22,72,53.33,11001
11,2,5,3,60.0,2,40.0,11002
11,3,150,44,29.33,79,52.67,11003
11,4,105,28,26.67,39,37.14,11004
11,5,149,31,20.81,82,55.03,11005
11,6,185,49,26.49,75,40.54,11006
11,7,86,21,24.42,35,40.7,11007
11,8,116,28,24.14,55,47.41,11008
11,9,89,23,25.84,39,43.82,11009
11,10,90,31,34.44,38,42.22,11010
11,11,112,30,26.79,52,46.43,11011
11,12,130,57,43.85,42,32.31,11012
11,13,121,50,41.32,29,23.97,11013
11,14,37,14,37.84,14,37.84,11014
11,15,53,14,26.42,24,45.28,11015
11,16,68,23,33.82,28,41.18,11016
11,17,181,45,24.86,91,50.28,11017
11,18,91,28,30.77,37,40.66,11018
11,19,193,48,24.87,96,49.74,11019
11,20,82,26,31.71,34,41.46,11020
11,21,178,49,27.53,83,46.63,11021
11,22,150,36,24.0,78,52.0,11022
11,23,79,30,37.97,31,39.24,11023
11,24,217,85,39.17,90,41.47,11024
11,25,163,51,31.29,63,38.65,11025
11,26,157,49,31.21,75,47.77,11026
11,27,35,8,22.86,13,37.14,11027
11,28,48,17,35.42,18,37.5,11028
11,29,149,56,37.58,64,42.95,11029
11,30,68,29,42.65,25,36.76,11030
11,31,101,37,36.63,30,29.7,11031
11,32,55,15,27.27,27,49.09,11032
11,33,144,36,25.0,54,37.5,11033
11,34,50,18,36.0,9,18.0,11034
11,35,35,10,28.57,6,17.14,11035
11,36,41,14,34.15,21,51.22,11036
11,37,32,8,25.0,12,37.5,11037
11,38,63,8,12.7,33,52.38,11038
12,1,110,31,28.18,50,45.45,12001
12,2,65,24,36.92,25,38.46,12002
12,3,163,44,26.99,75,46.01,12003
12,4,123,34,27.64,57,46.34,12004
12,5,105,29,27.62,43,40.95,12005
12,6,110,31,28.18,47,42.73,12006
12,7,67,20,29.85,27,40.3,12007
12,8,111,28,25.23,47,42.34,12008
12,9,80,28,35.0,31,38.75,12009
12,10,97,26,26.8,36,37.11,12010
12,11,60,18,30.0,19,31.67,12011
12,12,70,24,34.29,22,31.43,12012
12,13,81,22,27.16,38,46.91,12013
12,14,66,14,21.21,29,43.94,12014
12,15,62,18,29.03,24,38.71,12015
12,16,37,10,27.03,21,56.76,12016
12,17,72,24,33.33,25,34.72,12017
12,18,45,8,17.78,19,42.22,12018
12,19,83,25,30.12,36,43.37,12019
12,20,80,20,25.0,34,42.5,12020
12,21,97,21,21.65,49,50.52,12021
12,22,65,17,26.15,23,35.38,12022
12,23,123,31,25.2,49,39.84,12023
13,1,84,30,35.71,34,40.48,13001
13,2,69,22,31.88,28,40.58,13002
13,3,35,16,45.71,11,31.43,13003
13,4,81,34,41.98,18,22.22,13004
13,5,61,21,34.43,15,24.59,13005
13,6,87,40,45.98,25,28.74,13006
13,7,44,15,34.09,15,34.09,13007
13,8,58,23,39.66,22,37.93,13008
13,9,63,18,28.57,22,34.92,13009
13,10,83,43,51.81,23,27.71,13010
13,11,87,25,28.74,30,34.48,13011
13,12,64,21,32.81,19,29.69,13012
13,13,76,25,32.89,28,36.84,13013
13,14,78,28,35.9,26,33.33,13014
13,15,86,32,37.21,34,39.53,13015
13,16,41,14,34.15,12,29.27,13016
13,17,76,29,38.16,28,36.84,13017
13,18,66,29,43.94,15,22.73,13018
13,19,61,18,29.51,19,31.15,13019
13,20,46,17,36.96,11,23.91,13020
13,21,100,45,45.0,30,30.0,13021
13,22,88,32,36.36,28,31.82,13022
13,23,55,18,32.73,21,38.18,13023
13,24,70,15,21.43,31,44.29,13024
13,25,56,20,35.71,14,25.0,13025
13,26,83,25,30.12,23,27.71,13026
13,27,72,23,31.94,26,36.11,13027
13,28,51,15,29.41,12,23.53,13028
13,29,48,18,37.5,11,22.92,13029
13,30,33,6,18.18,15,45.45,13030
13,31,98,39,39.8,42,42.86,13031
13,32,70,29,41.43,24,34.29,13032
13,33,96,41,42.71,29,30.21,13033
13,34,68,20,29.41,24,35.29,13034
13,35,61,17,27.87,23,37.7,13035
13,36,29,6,20.69,13,44.83,13036
13,37,132,47,35.61,49,37.12,13037
13,38,56,19,33.93,10,17.86,13038
13,39,70,18,25.71,28,40.0,13039
13,40,42,11,26.19,12,28.57,13040
13,41,84,29,34.52,31,36.9,13041
13,42,96,47,48.96,31,32.29,13042
13,43,81,33,40.74,25,30.86,13043
13,44,54,22,40.74,24,44.44,13044
13,45,75,25,33.33,23,30.67,13045
13,46,60,18,30.0,22,36.67,13046
13,47,81,21,25.93,30,37.04,13047
13,48,71,26,36.62,28,39.44,13048
14,1,129,67,51.94,25,19.38,14001
14,2,77,21,27.27,23,29.87,14002
14,3,47,14,29.79,18,38.3,14003
14,4,66,30,45.45,23,34.85,14004
14,5,55,17,30.91,25,45.45,14005
14,6,25,8,32.0,9,36.0,14006
14,7,76,21,27.63,29,38.16,14007
14,8,67,15,22.39,22,32.84,14008
14,9,72,27,37.5,21,29.17,14009
14,10,43,14,32.56,13,30.23,14010
14,11,25,7,28.0,11,44.0,14011
14,12,77,17,22.08,28,36.36,14012
14,13,63,15,23.81,18,28.57,14013
14,14,67,22,32.84,23,34.33,14014
14,15,48,14,29.17,21,43.75,14015
14,16,54,17,31.48,16,29.63,14016
14,17,36,5,13.89,23,63.89,14017
14,18,30,9,30.0,7,23.33,14018
14,19,63,16,25.4,21,33.33,14019
14,20,51,15,29.41,18,35.29,14020
14,21,41,13,31.71,16,39.02,14021
14,22,89,29,32.58,26,29.21,14022
14,23,57,30,52.63,13,22.81,14023
14,24,94,37,39.36,22,23.4,14024
14,25,28,9,32.14,9,32.14,14025
14,26,56,17,30.36,24,42.86,14026
14,27,64,16,25.0,11,17.19,14027
14,28,43,20,46.51,10,23.26,14028
14,29,45,11,24.44,13,28.89,14029
14,30,38,10,26.32,18,47.37,14030
14,31,39,12,30.77,14,35.9,14031
15,1,72,23,31.94,22,30.56,15001
15,2,56,11,19.64,24,42.86,15002
15,3,62,14,22.58,22,35.48,15003
15,4,46,15,32.61,17,36.96,15004
15,5,45,14,31.11,15,33.33,15005
15,6,51,15,29.41,20,39.22,15006
15,7,44,18,40.91,14,31.82,15007
15,8,53,23,43.4,15,28.3,15008
15,9,74,27,36.49,23,31.08,15009
15,10,109,38,34.86,34,31.19,15010
15,11,66,26,39.39,22,33.33,15011
15,12,60,17,28.33,22,36.67,15012
15,13,66,24,36.36,21,31.82,15013
15,14,40,7,17.5,22,55.0,15014
15,15,50,13,26.0,19,38.0,15015
15,16,61,24,39.34,18,29.51,15016
15,17,69,17,24.64,29,42.03,15017
15,18,43,10,23.26,18,41.86,15018
15,19,71,19,26.76,23,32.39,15019
15,20,61,13,21.31,30,49.18,15020
15,21,49,12,24.49,24,48.98,15021
15,22,69,20,28.99,24,34.78,15022
15,23,79,23,29.11,30,37.97,15023
15,24,41,10,24.39,14,34.15,15024
16,1,76,20,26.32,32,42.11,16001
16,2,76,23,30.26,25,32.89,16002
16,3,59,18,30.51,21,35.59,16003
16,4,64,8,12.5,29,45.31,16004
16,5,54,13,24.07,16,29.63,16005
16,6,66,18,27.27,29,43.94,16006
16,7,73,17,23.29,27,36.99,16007
16,8,40,16,40.0,14,35.0,16008
16,9,67,20,29.85,23,34.33,16009
16,10,79,27,34.18,28,35.44,16010
16,11,58,15,25.86,19,32.76,16011
16,12,39,7,17.95,20,51.28,16012
16,13,24,6,25.0,7,29.17,16013
16,14,56,13,23.21,16,28.57,16014
16,15,68,19,27.94,22,32.35,16015
16,16,79,25,31.65,29,36.71,16016
16,17,60,17,28.33,23,38.33,16017
16,18,65,15,23.08,25,38.46,16018
16,19,71,18,25.35,24,33.8,16019
16,20,55,10,18.18,25,45.45,16020
16,21,47,11,23.4,23,48.94,16021
16,22,50,7,14.0,17,34.0,16022
16,23,45,16,35.56,16,35.56,16023
16,24,36,14,38.89,11,30.56,16024
16,25,90,19,21.11,40,44.44,16025
16,26,46,7,15.22,18,39.13,16026
16,27,34,5,14.71,14,41.18,16027
16,28,76,16,21.05,22,28.95,16028
16,29,45,13,28.89,17,37.78,16029
16,30,55,12,21.82,21,38.18,16030
16,31,64,12,18.75,26,40.63,16031
16,32,61,16,26.23,18,29.51,16032
16,33,54,17,31.48,19,35.19,16033
16,34,66,22,33.33,18,27.27,16034
16,35,50,10,20.0,24,48.0,16035
16,36,37,10,27.03,11,29.73,16036
17,1,58,18,31.03,21,36.21,17001
17,2,81,17,20.99,36,44.44,17002
17,3,100,21,21.0,38,38.0,17003
17,4,127,27,21.26,52,40.94,17004
17,5,78,28,35.9,29,37.18,17005
17,6,65,15,23.08,23,35.38,17006
17,7,64,17,26.56,29,45.31,17007
17,8,69,13,18.84,28,40.58,17008
17,9,82,16,19.51,45,54.88,17009
17,10,121,32,26.45,44,36.36,17010
17,11,60,12,20.0,26,43.33,17011
17,12,78,17,21.79,29,37.18,17012
17,13,75,13,17.33,42,56.0,17013
17,14,56,16,28.57,19,33.93,17014
